,group,variable,month,TALLA BAJA < DE 1 AÑO,TALLA BAJA < DE 1 AÑO,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
YACO,estado nutricional,talla baja,2010-02-01,10,9,7,9,9,10,26,28,54
YACUIBA,estado nutricional,talla baja,2010-02-01,18,19,23,31,21,24,62,74,136
YAMPARAEZ,estado nutricional,talla baja,2010-02-01,3,1,21,12,69,67,93,80,173
YANACACHI,estado nutricional,talla baja,2010-02-01,1,1,4,1,5,4,10,6,16
YAPACANI,estado nutricional,talla baja,2010-02-01,4,7,7,16,14,8,25,31,56
YOCALLA,estado nutricional,talla baja,2010-02-01,12,5,7,4,8,6,27,15,42
YOTALA,estado nutricional,talla baja,2010-02-01,4,4,17,6,32,33,53,43,96
YUNCHARA,estado nutricional,talla baja,2010-02-01,8,7,18,10,36,26,62,43,105
ZUDAÑEZ,estado nutricional,talla baja,2010-02-01,4,1,13,15,59,51,76,67,143
ACACIO,estado nutricional,talla baja,2010-03-01,33,20,29,48,66,76,128,144,272
ACHACACHI,estado nutricional,talla baja,2010-03-01,16,19,25,17,9,13,50,49,99
ACHOCALLA,estado nutricional,talla baja,2010-03-01,9,2,6,6,8,12,23,20,43
AIQUILE,estado nutricional,talla baja,2010-03-01,26,12,26,41,77,84,129,137,266
ALALAY,estado nutricional,talla baja,2010-03-01,8,7,8,12,19,11,35,30,65
ALCALA,estado nutricional,talla baja,2010-03-01,6,3,6,7,32,26,44,36,80
ALTO BENI,estado nutricional,talla baja,2010-03-01,2,2,7,3,12,12,21,17,38
ANCORAIMES,estado nutricional,talla baja,2010-03-01,7,5,4,8,12,24,23,37,60
ANDAMARCA,estado nutricional,talla baja,2010-03-01,3,4,9,6,23,24,35,34,69
ANTEQUERA,estado nutricional,talla baja,2010-03-01,5,2,5,0,0,3,10,5,15
ANZALDO,estado nutricional,talla baja,2010-03-01,13,12,22,25,25,28,60,65,125
APOLO,estado nutricional,talla baja,2010-03-01,1,2,18,13,15,31,34,46,80
ARAMPAMPA,estado nutricional,talla baja,2010-03-01,16,3,8,7,14,24,38,34,72
ARANI,estado nutricional,talla baja,2010-03-01,1,2,3,1,5,4,9,7,16
ARBIETO,estado nutricional,talla baja,2010-03-01,4,3,12,9,7,8,23,20,43
ARQUE,estado nutricional,talla baja,2010-03-01,45,20,51,40,65,71,161,131,292
ASCENCION DE GUARAYOS,estado nutricional,talla baja,2010-03-01,3,2,0,2,2,0,5,4,9
ATOCHA,estado nutricional,talla baja,2010-03-01,5,9,19,18,12,11,36,38,74
AUCAPATA,estado nutricional,talla baja,2010-03-01,4,7,6,6,12,11,22,24,46
AYATA,estado nutricional,talla baja,2010-03-01,8,2,32,18,24,16,64,36,100
AYO AYO,estado nutricional,talla baja,2010-03-01,11,4,14,10,6,5,31,19,50
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla baja,2010-03-01,21,20,35,16,27,31,83,67,150
AZURDUY,estado nutricional,talla baja,2010-03-01,12,21,37,29,119,103,168,153,321
BATALLAS,estado nutricional,talla baja,2010-03-01,10,6,14,8,13,13,37,27,64
BAURES,estado nutricional,talla baja,2010-03-01,2,2,4,7,7,4,13,13,26
BELEN DE ANDAMARCA,estado nutricional,talla baja,2010-03-01,1,1,2,2,10,10,13,13,26
BELEN DE URMIRI,estado nutricional,talla baja,2010-03-01,1,0,4,3,2,4,7,7,14
BELLA FLOR,estado nutricional,talla baja,2010-03-01,0,0,0,1,0,1,0,2,2
BERMEJO,estado nutricional,talla baja,2010-03-01,1,12,12,3,6,8,19,23,42
BETANZOS,estado nutricional,talla baja,2010-03-01,54,38,103,71,154,129,311,238,549
BOLIVAR,estado nutricional,talla baja,2010-03-01,17,19,24,29,38,26,79,74,153
BOLPEBRA,estado nutricional,talla baja,2010-03-01,4,0,0,1,2,3,6,4,10
BUENA VISTA,estado nutricional,talla baja,2010-03-01,2,1,2,3,1,0,5,4,9
CABEZAS,estado nutricional,talla baja,2010-03-01,1,1,0,10,6,8,7,19,26
CAIROMA,estado nutricional,talla baja,2010-03-01,5,4,12,14,21,31,38,49,87
"CAIZA ""D""",estado nutricional,talla baja,2010-03-01,5,4,18,15,19,22,42,41,83
CAJUATA,estado nutricional,talla baja,2010-03-01,2,0,4,2,6,5,12,7,19
CALACOTO,estado nutricional,talla baja,2010-03-01,1,3,15,3,12,4,28,10,38
CALAMARCA,estado nutricional,talla baja,2010-03-01,11,5,19,20,18,26,48,51,99
CAMARGO,estado nutricional,talla baja,2010-03-01,17,15,24,23,53,57,94,95,189
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla baja,2010-03-01,3,0,6,5,10,7,19,12,31
CAMIRI,estado nutricional,talla baja,2010-03-01,2,5,6,6,22,17,30,28,58
CAPINOTA,estado nutricional,talla baja,2010-03-01,5,9,39,25,24,21,68,55,123
CAQUIAVIRI,estado nutricional,talla baja,2010-03-01,6,5,17,11,18,9,41,25,66
CARACOLLO,estado nutricional,talla baja,2010-03-01,26,17,44,36,36,32,106,85,191
CARANAVI,estado nutricional,talla baja,2010-03-01,17,38,49,60,80,92,146,190,336
CARANGAS,estado nutricional,talla baja,2010-03-01,0,0,0,0,0,2,0,2,2
CARAPARI,estado nutricional,talla baja,2010-03-01,7,4,11,2,19,11,37,17,54
CARIPUYO,estado nutricional,talla baja,2010-03-01,25,18,43,28,85,69,153,115,268
CARMEN RIVERO TORREZ,estado nutricional,talla baja,2010-03-01,3,3,0,0,0,1,3,4,7
CATACORA,estado nutricional,talla baja,2010-03-01,2,0,1,1,8,6,11,7,18
CHACARILLA,estado nutricional,talla baja,2010-03-01,1,1,4,1,0,0,5,2,7
CHALLAPATA,estado nutricional,talla baja,2010-03-01,24,11,89,33,47,46,160,90,250
CHAQUI,estado nutricional,talla baja,2010-03-01,7,7,11,8,18,18,36,33,69
CHARAGUA,estado nutricional,talla baja,2010-03-01,11,6,18,13,11,11,40,30,70
CHAYANTA,estado nutricional,talla baja,2010-03-01,37,29,65,45,57,51,159,125,284
CHIMORE,estado nutricional,talla baja,2010-03-01,4,2,10,4,15,20,29,26,55
CHIPAYA,estado nutricional,talla baja,2010-03-01,2,0,2,3,2,7,6,10,16
CHOQUE COTA,estado nutricional,talla baja,2010-03-01,3,0,3,0,1,3,7,3,10
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla baja,2010-03-01,1,3,7,9,4,6,12,18,30
CHUMA,estado nutricional,talla baja,2010-03-01,13,6,23,13,22,18,58,37,95
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla baja,2010-03-01,12,7,17,9,21,20,50,36,86
CKOCHAS,estado nutricional,talla baja,2010-03-01,7,18,15,5,18,18,40,41,81
CLIZA,estado nutricional,talla baja,2010-03-01,12,8,23,10,14,5,49,23,72
COBIJA,estado nutricional,talla baja,2010-03-01,23,9,22,15,19,15,64,39,103
COCAPATA,estado nutricional,talla baja,2010-03-01,33,33,41,54,54,43,128,130,258
COCHABAMBA,estado nutricional,talla baja,2010-03-01,72,69,152,140,141,107,365,316,681
COIPASA,estado nutricional,talla baja,2010-03-01,0,0,1,2,0,0,1,2,3
COLCAPIRHUA,estado nutricional,talla baja,2010-03-01,1,8,11,11,13,11,25,30,55
"COLCHA ""K""",estado nutricional,talla baja,2010-03-01,12,7,12,10,16,9,40,26,66
COLLANA,estado nutricional,talla baja,2010-03-01,3,3,3,6,1,4,7,13,20
COLOMI,estado nutricional,talla baja,2010-03-01,14,11,17,17,16,17,47,45,92
COLPA BELGICA,estado nutricional,talla baja,2010-03-01,1,0,0,1,1,0,2,1,3
COLQUECHACA,estado nutricional,talla baja,2010-03-01,70,51,101,100,45,49,216,200,416
COLQUENCHA,estado nutricional,talla baja,2010-03-01,12,8,12,11,30,22,54,41,95
COLQUIRI,estado nutricional,talla baja,2010-03-01,10,14,20,21,37,42,67,77,144
COMANCHE,estado nutricional,talla baja,2010-03-01,6,2,4,3,4,6,14,11,25
COMARAPA,estado nutricional,talla baja,2010-03-01,1,3,13,9,11,16,25,28,53
COMBAYA,estado nutricional,talla baja,2010-03-01,1,1,2,0,3,1,6,2,8
COPACABANA,estado nutricional,talla baja,2010-03-01,5,9,12,10,7,10,24,29,53
CORIPATA,estado nutricional,talla baja,2010-03-01,1,0,3,0,5,0,9,0,9
CORO CORO,estado nutricional,talla baja,2010-03-01,1,3,3,4,7,2,11,9,20
COROICO,estado nutricional,talla baja,2010-03-01,3,3,7,5,13,11,23,19,42
CORQUE,estado nutricional,talla baja,2010-03-01,3,3,13,3,13,8,29,14,43
COTAGAITA,estado nutricional,talla baja,2010-03-01,25,19,57,37,78,63,160,119,279
COTOCA,estado nutricional,talla baja,2010-03-01,9,8,11,19,10,17,30,44,74
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,talla baja,2010-03-01,0,0,0,2,1,1,1,3,4
CUEVO,estado nutricional,talla baja,2010-03-01,1,2,7,7,7,14,15,23,38
CULPINA,estado nutricional,talla baja,2010-03-01,15,13,38,37,72,70,125,120,245
CURAHUARA DE CARANGAS,estado nutricional,talla baja,2010-03-01,12,2,18,9,11,5,41,16,57
CURVA,estado nutricional,talla baja,2010-03-01,9,1,10,5,13,11,32,17,49
DESAGUADERO,estado nutricional,talla baja,2010-03-01,3,2,2,0,3,2,8,4,12
EL ALTO,estado nutricional,talla baja,2010-03-01,538,329,700,378,420,348,1658,1055,2713
EL CHORO,estado nutricional,talla baja,2010-03-01,3,2,4,2,0,5,7,9,16
EL PUENTE(STC),estado nutricional,talla baja,2010-03-01,10,6,17,9,24,28,51,43,94
EL PUENTE(TJA),estado nutricional,talla baja,2010-03-01,16,11,28,11,27,26,71,48,119
EL TORNO,estado nutricional,talla baja,2010-03-01,8,6,7,11,19,12,34,29,63
EL VILLAR,estado nutricional,talla baja,2010-03-01,4,12,11,9,135,32,150,53,203
ENTRE RIOS TRJ,estado nutricional,talla baja,2010-03-01,11,7,27,23,22,21,60,51,111
ENTRE RIOS CBBA,estado nutricional,talla baja,2010-03-01,4,8,16,21,16,17,36,46,82
ESCOMA,estado nutricional,talla baja,2010-03-01,0,3,4,4,1,0,5,7,12
ESMERALDA,estado nutricional,talla baja,2010-03-01,1,0,0,0,1,0,2,0,2
EUCALIPTUS,estado nutricional,talla baja,2010-03-01,10,4,18,14,6,18,34,36,70
EUREKA (SANTOS MERCADO),estado nutricional,talla baja,2010-03-01,0,0,2,1,1,5,3,6,9
EXALTACION,estado nutricional,talla baja,2010-03-01,0,0,0,0,1,1,1,1,2
FERNANDEZ ALONSO,estado nutricional,talla baja,2010-03-01,1,7,7,2,5,6,13,15,28
FILADELFIA,estado nutricional,talla baja,2010-03-01,2,0,0,2,1,2,3,4,7
GENERAL SAAVEDRA,estado nutricional,talla baja,2010-03-01,3,3,3,4,9,14,15,21,36
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla baja,2010-03-01,7,6,20,5,19,17,46,28,74
GUANAY,estado nutricional,talla baja,2010-03-01,5,5,9,8,18,18,32,31,63
GUAQUI,estado nutricional,talla baja,2010-03-01,5,11,12,6,2,1,19,18,37
GUAYARAMERIN,estado nutricional,talla baja,2010-03-01,15,17,17,16,19,22,51,55,106
GUTIERREZ,estado nutricional,talla baja,2010-03-01,14,10,40,21,44,42,98,73,171
HUACARETA,estado nutricional,talla baja,2010-03-01,8,3,10,9,15,14,33,26,59
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla baja,2010-03-01,2,2,1,2,3,8,6,12,18
HUACHACALLA,estado nutricional,talla baja,2010-03-01,0,0,2,2,4,5,6,7,13
HUANUNI,estado nutricional,talla baja,2010-03-01,24,17,27,19,22,22,73,58,131
HUARACAJE,estado nutricional,talla baja,2010-03-01,0,0,5,1,4,2,9,3,12
HUARINA,estado nutricional,talla baja,2010-03-01,3,2,5,3,4,7,12,12,24
HUAYLLAMARCA,estado nutricional,talla baja,2010-03-01,1,0,5,7,5,4,11,11,22
HUMANATA,estado nutricional,talla baja,2010-03-01,10,5,22,12,8,6,40,23,63
ICHOCA,estado nutricional,talla baja,2010-03-01,5,13,9,11,18,17,32,41,73
ICLA,estado nutricional,talla baja,2010-03-01,23,9,54,34,134,161,211,204,415
INCAHUASI,estado nutricional,talla baja,2010-03-01,12,10,29,20,44,44,85,74,159
INQUISIVI,estado nutricional,talla baja,2010-03-01,3,1,10,3,11,7,24,11,35
IRUPANA (VILLA DE LANZA),estado nutricional,talla baja,2010-03-01,3,1,2,3,9,9,14,13,27
IXIAMAS,estado nutricional,talla baja,2010-03-01,2,3,9,9,7,12,18,24,42
JESUS DE MACHACA,estado nutricional,talla baja,2010-03-01,27,1,12,8,14,11,53,20,73
LA ASUNTA,estado nutricional,talla baja,2010-03-01,5,1,14,20,9,12,28,33,61
LA GUARDIA,estado nutricional,talla baja,2010-03-01,34,17,20,20,30,34,84,71,155
LA PAZ,estado nutricional,talla baja,2010-03-01,379,217,432,284,380,333,1191,834,2025
LAGUNILLAS,estado nutricional,talla baja,2010-03-01,3,3,4,4,17,7,24,14,38
LAJA,estado nutricional,talla baja,2010-03-01,3,7,2,5,3,5,8,17,25
LAS CARRERAS,estado nutricional,talla baja,2010-03-01,0,0,6,3,6,3,12,6,18
LICOMA PAMPA,estado nutricional,talla baja,2010-03-01,1,0,2,0,8,5,11,5,16
LLALLAGUA,estado nutricional,talla baja,2010-03-01,34,32,47,50,47,50,128,132,260
LLICA,estado nutricional,talla baja,2010-03-01,1,4,4,2,3,7,8,13,21
LURIBAY,estado nutricional,talla baja,2010-03-01,1,6,8,2,8,3,17,11,28
MACHACAMARCA,estado nutricional,talla baja,2010-03-01,3,2,5,0,3,1,11,3,14
MACHARETI,estado nutricional,talla baja,2010-03-01,5,4,12,3,12,9,29,16,45
MAGDALENA,estado nutricional,talla baja,2010-03-01,2,6,2,4,2,6,6,16,22
MAIRANA,estado nutricional,talla baja,2010-03-01,7,5,12,7,13,16,32,28,60
MALLA,estado nutricional,talla baja,2010-03-01,1,1,4,2,9,5,14,8,22
MAPIRI,estado nutricional,talla baja,2010-03-01,0,1,1,0,3,7,4,8,12
MECAPACA,estado nutricional,talla baja,2010-03-01,4,1,7,6,3,5,14,12,26
MINEROS,estado nutricional,talla baja,2010-03-01,10,2,23,11,12,16,45,29,74
MIZQUE,estado nutricional,talla baja,2010-03-01,17,13,23,27,21,30,61,70,131
MOCOMOCO,estado nutricional,talla baja,2010-03-01,8,5,13,14,24,23,45,42,87
MOJINETE,estado nutricional,talla baja,2010-03-01,6,1,2,1,0,1,8,3,11
MOJOCOYA,estado nutricional,talla baja,2010-03-01,5,2,5,5,11,15,21,22,43
MONTEAGUDO,estado nutricional,talla baja,2010-03-01,6,6,19,8,46,31,71,45,116
MONTERO,estado nutricional,talla baja,2010-03-01,33,17,26,29,28,28,87,74,161
MORO MORO,estado nutricional,talla baja,2010-03-01,0,1,4,3,2,2,6,6,12
MOROCHATA,estado nutricional,talla baja,2010-03-01,43,8,23,20,28,41,94,69,163
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla baja,2010-03-01,1,1,2,0,1,0,4,1,5
NAZACARA DE PACAJES,estado nutricional,talla baja,2010-03-01,0,0,1,3,1,1,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla baja,2010-03-01,0,0,1,1,3,1,4,2,6
OCURI,estado nutricional,talla baja,2010-03-01,38,27,89,65,56,66,183,158,341
OKINAWA,estado nutricional,talla baja,2010-03-01,0,0,0,0,2,1,2,1,3
OMEREQUE,estado nutricional,talla baja,2010-03-01,0,0,2,1,3,1,5,2,7
ORURO,estado nutricional,talla baja,2010-03-01,199,114,219,151,143,120,561,385,946
PADCAYA,estado nutricional,talla baja,2010-03-01,3,8,18,4,18,19,39,31,70
PADILLA,estado nutricional,talla baja,2010-03-01,7,6,25,12,59,61,91,79,170
PAILON,estado nutricional,talla baja,2010-03-01,4,1,5,5,8,2,17,8,25
PALCA,estado nutricional,talla baja,2010-03-01,7,10,9,5,7,6,23,21,44
PALOS BLANCOS,estado nutricional,talla baja,2010-03-01,9,9,20,15,20,27,49,51,100
PAMPA AULLAGAS,estado nutricional,talla baja,2010-03-01,2,3,14,2,7,8,23,13,36
PAMPA GRANDE,estado nutricional,talla baja,2010-03-01,2,3,2,3,5,4,9,10,19
PAPEL PAMPA,estado nutricional,talla baja,2010-03-01,0,0,0,3,0,2,0,5,5
PASORAPA,estado nutricional,talla baja,2010-03-01,1,1,0,4,14,4,15,9,24
PATACAMAYA,estado nutricional,talla baja,2010-03-01,6,3,9,5,4,1,19,9,28
PAZÑA,estado nutricional,talla baja,2010-03-01,2,1,8,5,19,18,29,24,53
PELECHUCO,estado nutricional,talla baja,2010-03-01,6,3,6,7,15,10,27,20,47
POCOATA,estado nutricional,talla baja,2010-03-01,37,37,90,84,98,76,225,197,422
POCONA,estado nutricional,talla baja,2010-03-01,11,11,20,15,18,16,49,42,91
POJO (CBBA),estado nutricional,talla baja,2010-03-01,4,4,14,9,18,6,36,19,55
POOPO,estado nutricional,talla baja,2010-03-01,2,2,2,1,4,2,8,5,13
PORCO,estado nutricional,talla baja,2010-03-01,20,16,21,21,12,16,53,53,106
POROMA,estado nutricional,talla baja,2010-03-01,26,18,42,50,81,104,149,172,321
PORONGO,estado nutricional,talla baja,2010-03-01,1,2,3,2,2,2,6,6,12
PORTACHUELO,estado nutricional,talla baja,2010-03-01,1,3,1,1,0,2,2,6,8
PORVENIR,estado nutricional,talla baja,2010-03-01,0,1,2,1,0,2,2,4,6
POSTRER VALLE,estado nutricional,talla baja,2010-03-01,0,0,0,0,3,1,3,1,4
POTOSI,estado nutricional,talla baja,2010-03-01,146,107,285,164,131,135,562,406,968
PRESTO,estado nutricional,talla baja,2010-03-01,13,5,37,21,87,63,137,89,226
PUCARA,estado nutricional,talla baja,2010-03-01,1,0,1,2,2,2,4,4,8
PUCARANI,estado nutricional,talla baja,2010-03-01,22,10,34,25,9,10,65,45,110
PUERTO ACOSTA,estado nutricional,talla baja,2010-03-01,1,1,2,0,4,1,7,2,9
PUERTO CARABUCO,estado nutricional,talla baja,2010-03-01,8,3,11,8,23,22,42,33,75
PUERTO GONZALO MORENO,estado nutricional,talla baja,2010-03-01,6,7,17,7,20,24,43,38,81
PUERTO PEREZ,estado nutricional,talla baja,2010-03-01,1,1,3,1,7,2,11,4,15
PUERTO QUIJARRO,estado nutricional,talla baja,2010-03-01,0,0,1,1,1,1,2,2,4
PUERTO RICO,estado nutricional,talla baja,2010-03-01,1,2,9,3,7,9,17,14,31
PUERTO SILES,estado nutricional,talla baja,2010-03-01,0,1,0,5,3,3,3,9,12
PUERTO SUAREZ,estado nutricional,talla baja,2010-03-01,11,3,8,2,2,5,21,10,31
PUERTO VILLARROEL,estado nutricional,talla baja,2010-03-01,52,43,93,87,93,91,238,221,459
PUNA,estado nutricional,talla baja,2010-03-01,0,4,3,2,0,1,3,7,10
PUNATA,estado nutricional,talla baja,2010-03-01,9,10,16,15,12,9,37,34,71
QUIABAYA,estado nutricional,talla baja,2010-03-01,6,1,6,11,19,14,31,26,57
QUILLACOLLO,estado nutricional,talla baja,2010-03-01,19,16,36,11,19,20,74,47,121
QUIME,estado nutricional,talla baja,2010-03-01,6,5,13,9,14,20,33,34,67
QUIRUSILLAS,estado nutricional,talla baja,2010-03-01,0,0,0,0,2,1,2,1,3
RAVELO,estado nutricional,talla baja,2010-03-01,43,29,62,81,169,145,274,255,529
REYES,estado nutricional,talla baja,2010-03-01,10,1,6,12,11,19,27,32,59
RIBERALTA,estado nutricional,talla baja,2010-03-01,45,28,85,63,40,52,170,143,313
ROBORE,estado nutricional,talla baja,2010-03-01,1,2,1,4,0,0,2,6,8
RURRENABAQUE,estado nutricional,talla baja,2010-03-01,3,4,12,9,9,10,24,23,47
SABAYA,estado nutricional,talla baja,2010-03-01,2,2,3,2,1,1,6,5,11
SACABA,estado nutricional,talla baja,2010-03-01,47,23,62,69,90,91,199,183,382
SACABAMBA,estado nutricional,talla baja,2010-03-01,6,4,12,0,8,6,26,10,36
SACACA,estado nutricional,talla baja,2010-03-01,79,59,94,80,109,129,282,268,550
SAIPINA,estado nutricional,talla baja,2010-03-01,2,0,0,1,0,1,2,2,4
SALINAS DE GARCI MENDOZA,estado nutricional,talla baja,2010-03-01,4,2,7,4,8,16,19,22,41
SAMAIPATA,estado nutricional,talla baja,2010-03-01,3,3,4,2,3,1,10,6,16
SAN AGUSTIN,estado nutricional,talla baja,2010-03-01,1,0,1,0,0,2,2,2,4
SAN ANDRES,estado nutricional,talla baja,2010-03-01,0,0,2,2,6,8,8,10,18
SAN ANDRES DE MACHACA,estado nutricional,talla baja,2010-03-01,2,0,0,0,2,5,4,5,9
SAN ANTONIO DE ESMORUCO,estado nutricional,talla baja,2010-03-01,5,3,4,3,3,1,12,7,19
SAN BENITO,estado nutricional,talla baja,2010-03-01,6,6,15,15,9,12,30,33,63
SAN BORJA,estado nutricional,talla baja,2010-03-01,33,25,52,38,64,53,149,116,265
SAN BUENA VENTURA,estado nutricional,talla baja,2010-03-01,7,3,7,1,6,10,20,14,34
SAN CARLOS,estado nutricional,talla baja,2010-03-01,4,1,5,0,3,1,12,2,14
SAN IGNACIO,estado nutricional,talla baja,2010-03-01,3,2,9,6,20,9,32,17,49
SAN IGNACIO DE VELASCO,estado nutricional,talla baja,2010-03-01,23,13,33,23,47,22,103,58,161
SAN JAVIER(BNI),estado nutricional,talla baja,2010-03-01,2,8,2,2,3,25,7,35,42
SAN JAVIER(STC),estado nutricional,talla baja,2010-03-01,4,10,3,22,7,7,14,39,53
SAN JOAQUIN,estado nutricional,talla baja,2010-03-01,5,2,3,3,1,4,9,9,18
SAN JOSE DE CHIQUITOS,estado nutricional,talla baja,2010-03-01,2,3,1,7,3,1,6,11,17
SAN JUAN DE YAPACANI,estado nutricional,talla baja,2010-03-01,3,1,1,2,4,2,8,5,13
SAN JULIAN,estado nutricional,talla baja,2010-03-01,3,1,0,1,0,2,3,4,7
SAN LORENZO(PND),estado nutricional,talla baja,2010-03-01,2,1,4,3,4,5,10,9,19
SAN LORENZO(TJA),estado nutricional,talla baja,2010-03-01,25,9,30,20,23,24,78,53,131
SAN LUCAS,estado nutricional,talla baja,2010-03-01,64,44,133,94,278,257,475,395,870
SAN MIGUEL DE VELASCO,estado nutricional,talla baja,2010-03-01,11,7,12,16,24,24,47,47,94
SAN PABLO DE LIPEZ,estado nutricional,talla baja,2010-03-01,0,3,3,2,11,11,14,16,30
SAN PEDRO,estado nutricional,talla baja,2010-03-01,2,3,4,2,5,7,11,12,23
SAN PEDRO DE BUENA VISTA,estado nutricional,talla baja,2010-03-01,53,39,81,58,104,82,238,179,417
SAN PEDRO DE CURAHUARA,estado nutricional,talla baja,2010-03-01,0,0,1,3,5,3,6,6,12
SAN PEDRO DE TIQUINA,estado nutricional,talla baja,2010-03-01,1,1,4,1,4,3,9,5,14
SAN PEDRO(PND),estado nutricional,talla baja,2010-03-01,1,0,0,0,2,0,3,0,3
SAN RAFAEL,estado nutricional,talla baja,2010-03-01,2,4,4,3,2,3,8,10,18
SAN RAMON BENI,estado nutricional,talla baja,2010-03-01,2,0,2,0,0,1,4,1,5
SANTA ANA,estado nutricional,talla baja,2010-03-01,7,2,1,3,1,0,9,5,14
SANTA CRUZ DE LA SIERRA,estado nutricional,talla baja,2010-03-01,144,124,115,129,153,122,412,375,787
SANTA ROSA,estado nutricional,talla baja,2010-03-01,2,1,4,2,6,4,12,7,19
SANTA ROSA DEL SARA,estado nutricional,talla baja,2010-03-01,5,7,13,7,16,9,34,23,57
SANTIAGO DE CALLAPA,estado nutricional,talla baja,2010-03-01,1,2,7,2,2,0,10,4,14
SANTIAGO DE HUARI,estado nutricional,talla baja,2010-03-01,7,3,10,11,21,10,38,24,62
SANTIAGO DE HUATA,estado nutricional,talla baja,2010-03-01,1,1,3,2,7,4,11,7,18
SANTIAGO DE MACHACA,estado nutricional,talla baja,2010-03-01,1,2,3,10,7,4,11,16,27
SANTIVAÑES,estado nutricional,talla baja,2010-03-01,0,1,5,1,1,8,6,10,16
SANTUARIO DE QUILLACAS,estado nutricional,talla baja,2010-03-01,3,1,9,13,20,22,32,36,68
SAPAHAQUI,estado nutricional,talla baja,2010-03-01,4,4,8,10,20,14,32,28,60
SENA,estado nutricional,talla baja,2010-03-01,1,2,3,1,0,3,4,6,10
SHINAOTA,estado nutricional,talla baja,2010-03-01,9,4,20,13,19,23,48,40,88
SICA SICA (VILLA AROMA),estado nutricional,talla baja,2010-03-01,15,18,22,19,23,20,60,57,117
SICAYA,estado nutricional,talla baja,2010-03-01,1,1,4,6,1,0,6,7,13
SIPE SIPE,estado nutricional,talla baja,2010-03-01,12,4,15,7,18,12,45,23,68
SOPACHUY,estado nutricional,talla baja,2010-03-01,7,5,21,21,85,80,113,106,219
SORACACHI,estado nutricional,talla baja,2010-03-01,8,0,20,5,21,18,49,23,72
SORATA,estado nutricional,talla baja,2010-03-01,15,16,10,11,19,20,44,47,91
SUCRE,estado nutricional,talla baja,2010-03-01,105,85,185,162,275,272,565,519,1084
TACACHI,estado nutricional,talla baja,2010-03-01,2,1,1,2,3,1,6,4,10
TACACOMA,estado nutricional,talla baja,2010-03-01,3,1,11,10,7,10,21,21,42
TACOBAMBA,estado nutricional,talla baja,2010-03-01,18,15,19,23,22,17,59,55,114
TACOPAYA,estado nutricional,talla baja,2010-03-01,15,7,33,30,40,41,88,78,166
TAHUA,estado nutricional,talla baja,2010-03-01,1,0,0,0,4,2,5,2,7
TAPACARI,estado nutricional,talla baja,2010-03-01,46,31,81,55,68,63,195,149,344
TARABUCO,estado nutricional,talla baja,2010-03-01,24,20,58,69,198,208,280,297,577
TARACO,estado nutricional,talla baja,2010-03-01,0,0,3,2,2,2,5,4,9
TARATA,estado nutricional,talla baja,2010-03-01,7,3,10,10,6,5,23,18,41
TARIJA,estado nutricional,talla baja,2010-03-01,55,23,72,59,55,54,182,136,318
TARVITA,estado nutricional,talla baja,2010-03-01,22,12,59,55,170,178,251,245,496
TEOPONTE,estado nutricional,talla baja,2010-03-01,1,1,6,5,3,10,10,16,26
TIAWANACU,estado nutricional,talla baja,2010-03-01,3,3,9,4,4,3,16,10,26
TINGUIPAYA,estado nutricional,talla baja,2010-03-01,42,34,52,31,54,41,148,106,254
TIPUANI,estado nutricional,talla baja,2010-03-01,1,1,6,2,5,2,12,5,17
TIQUIPAYA,estado nutricional,talla baja,2010-03-01,19,27,37,54,45,44,101,125,226
TIRAQUE (CBBA),estado nutricional,talla baja,2010-03-01,10,10,11,17,8,17,29,44,73
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla baja,2010-03-01,2,1,2,2,2,0,6,3,9
TOCO,estado nutricional,talla baja,2010-03-01,0,0,3,3,3,3,6,6,12
TOLATA,estado nutricional,talla baja,2010-03-01,0,0,4,5,1,5,5,10,15
TOLEDO,estado nutricional,talla baja,2010-03-01,2,6,5,5,4,3,11,14,25
TOMAVE,estado nutricional,talla baja,2010-03-01,10,11,28,15,25,23,63,49,112
TOMINA,estado nutricional,talla baja,2010-03-01,10,8,34,22,99,97,143,127,270
TORO TORO,estado nutricional,talla baja,2010-03-01,21,11,27,37,40,55,88,103,191
TOTORA(CBBA),estado nutricional,talla baja,2010-03-01,0,0,1,1,2,2,3,3,6
TOTORA(ORR),estado nutricional,talla baja,2010-03-01,2,3,6,6,5,6,13,15,28
TRIGAL,estado nutricional,talla baja,2010-03-01,0,0,1,0,0,0,1,0,1
TRINIDAD,estado nutricional,talla baja,2010-03-01,20,23,26,26,49,8,95,57,152
