,group,variable,month,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
HUANUNI,estado nutricional,talla normal,2010-03-01,208,182,78,97,62,66,348,345,693
HUARACAJE,estado nutricional,talla normal,2010-03-01,30,26,22,22,17,20,69,68,137
HUARINA,estado nutricional,talla normal,2010-03-01,22,19,15,19,27,14,64,52,116
HUAYLLAMARCA,estado nutricional,talla normal,2010-03-01,28,38,17,25,22,28,67,91,158
HUMANATA,estado nutricional,talla normal,2010-03-01,29,20,17,24,12,10,58,54,112
ICHOCA,estado nutricional,talla normal,2010-03-01,15,16,9,9,7,10,31,35,66
ICLA,estado nutricional,talla normal,2010-03-01,54,55,46,56,156,159,256,270,526
INCAHUASI,estado nutricional,talla normal,2010-03-01,95,79,42,45,79,95,216,219,435
INGAVI (HUMAITA),estado nutricional,talla normal,2010-03-01,1,5,1,3,1,1,3,9,12
INQUISIVI,estado nutricional,talla normal,2010-03-01,57,50,32,26,31,36,120,112,232
IRUPANA (VILLA DE LANZA),estado nutricional,talla normal,2010-03-01,99,85,88,79,125,141,312,305,617
IXIAMAS,estado nutricional,talla normal,2010-03-01,95,86,47,60,41,50,183,196,379
JESUS DE MACHACA,estado nutricional,talla normal,2010-03-01,74,78,64,65,71,82,209,225,434
LA ASUNTA,estado nutricional,talla normal,2010-03-01,202,177,133,138,80,93,415,408,823
LA GUARDIA,estado nutricional,talla normal,2010-03-01,735,692,378,398,483,492,1596,1582,3178
LA PAZ,estado nutricional,talla normal,2010-03-01,4203,4073,2620,2386,2850,2761,9673,9220,18893
LA RIVERA,estado nutricional,talla normal,2010-03-01,2,0,0,0,1,1,3,1,4
LAGUNILLAS,estado nutricional,talla normal,2010-03-01,45,42,63,29,106,107,214,178,392
LAJA,estado nutricional,talla normal,2010-03-01,125,97,76,97,54,52,255,246,501
LAS CARRERAS,estado nutricional,talla normal,2010-03-01,44,28,33,27,84,72,161,127,288
LICOMA PAMPA,estado nutricional,talla normal,2010-03-01,24,23,13,18,20,31,57,72,129
LLALLAGUA,estado nutricional,talla normal,2010-03-01,316,289,174,184,104,90,594,563,1157
LLICA,estado nutricional,talla normal,2010-03-01,33,52,28,20,26,30,87,102,189
LURIBAY,estado nutricional,talla normal,2010-03-01,64,42,32,47,35,66,131,155,286
MACHACAMARCA,estado nutricional,talla normal,2010-03-01,45,40,25,39,23,25,93,104,197
MACHARETI,estado nutricional,talla normal,2010-03-01,57,51,76,58,137,115,270,224,494
MAGDALENA,estado nutricional,talla normal,2010-03-01,88,78,42,36,66,66,196,180,376
MAIRANA,estado nutricional,talla normal,2010-03-01,85,77,37,48,59,66,181,191,372
MALLA,estado nutricional,talla normal,2010-03-01,20,16,6,19,16,8,42,43,85
MAPIRI,estado nutricional,talla normal,2010-03-01,57,54,58,36,123,99,238,189,427
MECAPACA,estado nutricional,talla normal,2010-03-01,49,67,34,33,22,20,105,120,225
MINEROS,estado nutricional,talla normal,2010-03-01,176,156,160,134,147,123,483,413,896
MIZQUE,estado nutricional,talla normal,2010-03-01,144,147,102,89,99,105,345,341,686
MOCOMOCO,estado nutricional,talla normal,2010-03-01,71,75,62,47,51,56,184,178,362
MOJINETE,estado nutricional,talla normal,2010-03-01,0,3,3,2,2,3,5,8,13
MOJOCOYA,estado nutricional,talla normal,2010-03-01,50,67,36,42,97,96,183,205,388
MONTEAGUDO,estado nutricional,talla normal,2010-03-01,207,236,175,180,289,280,671,696,1367
MONTERO,estado nutricional,talla normal,2010-03-01,938,907,590,572,582,565,2110,2044,4154
MORO MORO,estado nutricional,talla normal,2010-03-01,18,27,15,12,26,18,59,57,116
MOROCHATA,estado nutricional,talla normal,2010-03-01,105,94,66,50,27,44,198,188,386
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla normal,2010-03-01,10,12,8,3,5,6,23,21,44
NAZACARA DE PACAJES,estado nutricional,talla normal,2010-03-01,4,4,0,0,3,1,7,5,12
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla normal,2010-03-01,8,14,13,11,10,11,31,36,67
OCURI,estado nutricional,talla normal,2010-03-01,151,139,97,102,62,70,310,311,621
OKINAWA,estado nutricional,talla normal,2010-03-01,98,84,67,66,78,67,243,217,460
OMEREQUE,estado nutricional,talla normal,2010-03-01,26,24,15,172,19,32,60,228,288
ORURO,estado nutricional,talla normal,2010-03-01,1752,1833,1188,1216,779,799,3719,3848,7567
PADCAYA,estado nutricional,talla normal,2010-03-01,196,158,167,157,183,175,546,490,1036
PADILLA,estado nutricional,talla normal,2010-03-01,80,75,62,60,155,199,297,334,631
PAILON,estado nutricional,talla normal,2010-03-01,183,151,104,93,157,118,444,362,806
PALCA,estado nutricional,talla normal,2010-03-01,79,61,34,33,29,44,142,138,280
PALOS BLANCOS,estado nutricional,talla normal,2010-03-01,189,130,131,99,140,137,460,366,826
PAMPA AULLAGAS,estado nutricional,talla normal,2010-03-01,19,18,13,21,14,18,46,57,103
PAMPA GRANDE,estado nutricional,talla normal,2010-03-01,72,51,22,42,29,38,123,131,254
PAPEL PAMPA,estado nutricional,talla normal,2010-03-01,26,27,8,15,12,8,46,50,96
PASORAPA,estado nutricional,talla normal,2010-03-01,12,10,23,14,46,49,81,73,154
PATACAMAYA,estado nutricional,talla normal,2010-03-01,164,162,104,73,45,42,313,277,590
PAZÑA,estado nutricional,talla normal,2010-03-01,40,19,17,32,33,32,90,83,173
PELECHUCO,estado nutricional,talla normal,2010-03-01,33,33,26,23,18,21,77,77,154
POCOATA,estado nutricional,talla normal,2010-03-01,150,173,126,119,77,102,353,394,747
POCONA,estado nutricional,talla normal,2010-03-01,132,52,68,54,26,30,226,136,362
POJO (CBBA),estado nutricional,talla normal,2010-03-01,140,113,80,82,106,100,326,295,621
POOPO,estado nutricional,talla normal,2010-03-01,5,0,5,5,2,5,12,10,22
PORCO,estado nutricional,talla normal,2010-03-01,79,83,41,36,46,48,166,167,333
POROMA,estado nutricional,talla normal,2010-03-01,120,132,80,94,127,111,327,337,664
PORONGO,estado nutricional,talla normal,2010-03-01,83,72,54,68,105,87,242,227,469
PORTACHUELO,estado nutricional,talla normal,2010-03-01,115,115,77,74,114,119,306,308,614
PORVENIR,estado nutricional,talla normal,2010-03-01,61,57,40,39,62,63,163,159,322
POSTRER VALLE,estado nutricional,talla normal,2010-03-01,10,10,7,6,13,15,30,31,61
POTOSI,estado nutricional,talla normal,2010-03-01,1322,1231,726,731,548,544,2596,2506,5102
PRESTO,estado nutricional,talla normal,2010-03-01,77,66,47,59,84,90,208,215,423
PUCARA,estado nutricional,talla normal,2010-03-01,10,14,5,14,14,7,29,35,64
PUCARANI,estado nutricional,talla normal,2010-03-01,228,203,154,191,93,80,475,474,949
PUERTO ACOSTA,estado nutricional,talla normal,2010-03-01,25,19,28,21,22,26,75,66,141
PUERTO CARABUCO,estado nutricional,talla normal,2010-03-01,67,50,46,47,76,53,189,150,339
PUERTO GONZALO MORENO,estado nutricional,talla normal,2010-03-01,45,48,39,36,52,53,136,137,273
PUERTO PEREZ,estado nutricional,talla normal,2010-03-01,27,35,31,32,37,46,95,113,208
PUERTO QUIJARRO,estado nutricional,talla normal,2010-03-01,122,95,61,40,7,10,190,145,335
PUERTO RICO,estado nutricional,talla normal,2010-03-01,37,59,46,34,36,42,119,135,254
PUERTO SILES,estado nutricional,talla normal,2010-03-01,2,14,6,10,25,20,33,44,77
PUERTO SUAREZ,estado nutricional,talla normal,2010-03-01,116,123,36,46,37,33,189,202,391
PUERTO VILLARROEL,estado nutricional,talla normal,2010-03-01,596,491,365,255,407,357,1368,1103,2471
PUNA,estado nutricional,talla normal,2010-03-01,2,1,0,1,0,1,2,3,5
PUNATA,estado nutricional,talla normal,2010-03-01,324,315,176,155,129,118,629,588,1217
QUIABAYA,estado nutricional,talla normal,2010-03-01,9,10,5,3,23,10,37,23,60
QUILLACOLLO,estado nutricional,talla normal,2010-03-01,721,701,430,419,270,244,1421,1364,2785
QUIME,estado nutricional,talla normal,2010-03-01,77,63,40,36,28,38,145,137,282
QUIRUSILLAS,estado nutricional,talla normal,2010-03-01,12,7,13,11,14,15,39,33,72
RAVELO,estado nutricional,talla normal,2010-03-01,142,134,74,81,150,117,366,332,698
REYES,estado nutricional,talla normal,2010-03-01,99,135,85,84,97,111,281,330,611
RIBERALTA,estado nutricional,talla normal,2010-03-01,1232,1130,782,860,676,634,2690,2624,5314
ROBORE,estado nutricional,talla normal,2010-03-01,88,95,111,98,74,70,273,263,536
RURRENABAQUE,estado nutricional,talla normal,2010-03-01,122,119,71,71,56,52,249,242,491
SABAYA,estado nutricional,talla normal,2010-03-01,18,18,15,14,14,16,47,48,95
SACABA,estado nutricional,talla normal,2010-03-01,999,872,597,577,414,419,2010,1868,3878
SACABAMBA,estado nutricional,talla normal,2010-03-01,27,28,14,18,27,28,68,74,142
SACACA,estado nutricional,talla normal,2010-03-01,101,133,84,93,105,122,290,348,638
SAIPINA,estado nutricional,talla normal,2010-03-01,49,40,20,24,43,21,112,85,197
SALINAS DE GARCI MENDOZA,estado nutricional,talla normal,2010-03-01,74,57,60,71,89,76,223,204,427
SAMAIPATA,estado nutricional,talla normal,2010-03-01,76,51,45,32,52,29,173,112,285
SAN AGUSTIN,estado nutricional,talla normal,2010-03-01,8,11,8,5,10,14,26,30,56
SAN ANDRES,estado nutricional,talla normal,2010-03-01,77,73,51,60,72,74,200,207,407
SAN ANDRES DE MACHACA,estado nutricional,talla normal,2010-03-01,17,20,8,17,13,18,38,55,93
SAN ANTONIO DE ESMORUCO,estado nutricional,talla normal,2010-03-01,6,6,7,8,6,9,19,23,42
SAN BENITO,estado nutricional,talla normal,2010-03-01,135,142,128,106,66,92,329,340,669
SAN BORJA,estado nutricional,talla normal,2010-03-01,403,397,191,221,296,273,890,891,1781
SAN BUENA VENTURA,estado nutricional,talla normal,2010-03-01,106,78,40,43,76,81,222,202,424
SAN CARLOS,estado nutricional,talla normal,2010-03-01,105,111,73,95,92,59,270,265,535
SAN IGNACIO,estado nutricional,talla normal,2010-03-01,61,65,53,52,92,67,206,184,390
SAN IGNACIO DE VELASCO,estado nutricional,talla normal,2010-03-01,667,577,366,369,548,513,1581,1459,3040
SAN JAVIER(BNI),estado nutricional,talla normal,2010-03-01,11,16,16,12,29,18,56,46,102
SAN JAVIER(STC),estado nutricional,talla normal,2010-03-01,111,93,52,30,68,67,231,190,421
SAN JOAQUIN,estado nutricional,talla normal,2010-03-01,29,31,19,32,27,32,75,95,170
SAN JOSE DE CHIQUITOS,estado nutricional,talla normal,2010-03-01,108,117,67,94,92,103,267,314,581
SAN JUAN DE YAPACANI,estado nutricional,talla normal,2010-03-01,59,63,58,41,73,56,190,160,350
SAN JULIAN,estado nutricional,talla normal,2010-03-01,121,111,74,67,71,77,266,255,521
SAN LORENZO(PND),estado nutricional,talla normal,2010-03-01,38,27,18,15,32,24,88,66,154
SAN LORENZO(TJA),estado nutricional,talla normal,2010-03-01,235,166,213,116,142,136,590,418,1008
SAN LUCAS,estado nutricional,talla normal,2010-03-01,287,316,182,206,520,445,989,967,1956
SAN MATIAS,estado nutricional,talla normal,2010-03-01,0,2,1,3,2,2,3,7,10
SAN MIGUEL DE VELASCO,estado nutricional,talla normal,2010-03-01,117,126,79,77,164,128,360,331,691
SAN PABLO DE LIPEZ,estado nutricional,talla normal,2010-03-01,21,15,11,14,19,14,51,43,94
SAN PEDRO,estado nutricional,talla normal,2010-03-01,134,137,113,96,137,145,384,378,762
SAN PEDRO DE BUENA VISTA,estado nutricional,talla normal,2010-03-01,146,160,96,111,92,83,334,354,688
SAN PEDRO DE CURAHUARA,estado nutricional,talla normal,2010-03-01,24,22,19,21,21,18,64,61,125
SAN PEDRO DE QUEMES,estado nutricional,talla normal,2010-03-01,4,2,2,3,2,2,8,7,15
SAN PEDRO DE TIQUINA,estado nutricional,talla normal,2010-03-01,21,29,26,24,29,35,76,88,164
SAN PEDRO(PND),estado nutricional,talla normal,2010-03-01,6,4,4,4,9,7,19,15,34
SAN RAFAEL,estado nutricional,talla normal,2010-03-01,50,57,42,38,59,44,151,139,290
SAN RAMON BENI,estado nutricional,talla normal,2010-03-01,30,21,19,12,30,21,79,54,133
SANTA ANA,estado nutricional,talla normal,2010-03-01,205,215,134,79,60,57,399,351,750
SANTA CRUZ DE LA SIERRA,estado nutricional,talla normal,2010-03-01,5353,4870,2909,2679,2557,2464,10819,10013,20832
SANTA ROSA,estado nutricional,talla normal,2010-03-01,61,80,33,38,49,56,143,174,317
SANTA ROSA DEL SARA,estado nutricional,talla normal,2010-03-01,198,213,160,132,192,240,550,585,1135
SANTIAGO DE CALLAPA,estado nutricional,talla normal,2010-03-01,26,27,24,28,8,10,58,65,123
SANTIAGO DE HUARI,estado nutricional,talla normal,2010-03-01,48,50,48,50,77,65,173,165,338
SANTIAGO DE HUATA,estado nutricional,talla normal,2010-03-01,29,25,18,14,34,28,81,67,148
SANTIAGO DE MACHACA,estado nutricional,talla normal,2010-03-01,20,29,10,16,14,17,44,62,106
SANTIVAÑES,estado nutricional,talla normal,2010-03-01,9,6,10,12,16,9,35,27,62
SANTUARIO DE QUILLACAS,estado nutricional,talla normal,2010-03-01,18,17,7,20,18,15,43,52,95
SAPAHAQUI,estado nutricional,talla normal,2010-03-01,47,35,27,36,33,51,107,122,229
SENA,estado nutricional,talla normal,2010-03-01,27,32,22,16,8,19,57,67,124
SHINAOTA,estado nutricional,talla normal,2010-03-01,413,357,280,227,315,281,1008,865,1873
SICA SICA (VILLA AROMA),estado nutricional,talla normal,2010-03-01,140,149,88,99,122,82,350,330,680
SICAYA,estado nutricional,talla normal,2010-03-01,19,9,4,7,6,3,29,19,48
SIPE SIPE,estado nutricional,talla normal,2010-03-01,329,335,158,144,151,144,638,623,1261
SOPACHUY,estado nutricional,talla normal,2010-03-01,50,57,48,53,72,65,170,175,345
SORACACHI,estado nutricional,talla normal,2010-03-01,95,106,67,89,99,88,261,283,544
SORATA,estado nutricional,talla normal,2010-03-01,133,106,91,75,106,105,330,286,616
SUCRE,estado nutricional,talla normal,2010-03-01,1931,1882,1314,1232,1577,1571,4822,4685,9507
TACACHI,estado nutricional,talla normal,2010-03-01,5,3,3,3,6,4,14,10,24
TACACOMA,estado nutricional,talla normal,2010-03-01,60,41,30,31,32,37,122,109,231
TACOBAMBA,estado nutricional,talla normal,2010-03-01,75,61,56,32,31,35,162,128,290
TACOPAYA,estado nutricional,talla normal,2010-03-01,69,71,51,44,69,74,189,189,378
TAHUA,estado nutricional,talla normal,2010-03-01,8,8,6,4,7,5,21,17,38
TAPACARI,estado nutricional,talla normal,2010-03-01,167,179,99,124,98,87,364,390,754
TARABUCO,estado nutricional,talla normal,2010-03-01,165,148,105,97,226,221,496,466,962
TARACO,estado nutricional,talla normal,2010-03-01,30,28,33,23,17,29,80,80,160
TARATA,estado nutricional,talla normal,2010-03-01,105,95,61,52,34,33,200,180,380
TARIJA,estado nutricional,talla normal,2010-03-01,1452,1327,995,929,728,603,3175,2859,6034
TARVITA,estado nutricional,talla normal,2010-03-01,128,116,93,95,176,183,397,394,791
TEOPONTE,estado nutricional,talla normal,2010-03-01,103,61,53,63,72,70,228,194,422
TIAWANACU,estado nutricional,talla normal,2010-03-01,88,80,56,59,29,25,173,164,337
TINGUIPAYA,estado nutricional,talla normal,2010-03-01,99,111,63,58,55,71,217,240,457
TIPUANI,estado nutricional,talla normal,2010-03-01,85,85,43,44,49,52,177,181,358
TIQUIPAYA,estado nutricional,talla normal,2010-03-01,537,473,331,328,432,419,1300,1220,2520
TIRAQUE (CBBA),estado nutricional,talla normal,2010-03-01,161,149,123,124,99,73,383,346,729
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla normal,2010-03-01,2,7,6,5,6,10,14,22,36
TOCO,estado nutricional,talla normal,2010-03-01,41,45,29,38,31,14,101,97,198
TODOS SANTOS,estado nutricional,talla normal,2010-03-01,1,0,0,0,0,0,1,0,1
TOLATA,estado nutricional,talla normal,2010-03-01,56,51,45,43,32,33,133,127,260
TOLEDO,estado nutricional,talla normal,2010-03-01,51,31,32,27,45,34,128,92,220
TOMAVE,estado nutricional,talla normal,2010-03-01,56,62,38,37,29,25,123,124,247
TOMINA,estado nutricional,talla normal,2010-03-01,86,69,52,70,141,136,279,275,554
TORO TORO,estado nutricional,talla normal,2010-03-01,72,68,37,33,55,57,164,158,322
TOTORA(CBBA),estado nutricional,talla normal,2010-03-01,9,14,5,9,9,10,23,33,56
TOTORA(ORR),estado nutricional,talla normal,2010-03-01,33,37,16,23,25,27,74,87,161
TRIGAL,estado nutricional,talla normal,2010-03-01,14,8,21,14,15,12,50,34,84
TRINIDAD,estado nutricional,talla normal,2010-03-01,243,230,166,124,174,157,583,511,1094
TUPIZA,estado nutricional,talla normal,2010-03-01,293,289,214,218,382,352,889,859,1748
TURCO,estado nutricional,talla normal,2010-03-01,55,50,29,34,18,20,102,104,206
UMALA,estado nutricional,talla normal,2010-03-01,62,36,52,39,48,39,162,114,276
UNCIA,estado nutricional,talla normal,2010-03-01,123,114,64,79,81,68,268,261,529
URIONDO (A. CONCEPCION),estado nutricional,talla normal,2010-03-01,157,131,113,112,139,124,409,367,776
UYUNI,estado nutricional,talla normal,2010-03-01,198,211,126,135,87,81,411,427,838
VACAS,estado nutricional,talla normal,2010-03-01,50,58,39,26,43,50,132,134,266
VALLEGRANDE,estado nutricional,talla normal,2010-03-01,113,93,68,60,90,58,271,211,482
VIACHA,estado nutricional,talla normal,2010-03-01,332,295,194,199,147,158,673,652,1325
VILA VILA,estado nutricional,talla normal,2010-03-01,13,18,8,12,14,17,35,47,82
VILLA CHARCAS,estado nutricional,talla normal,2010-03-01,119,101,69,76,111,97,299,274,573
VILLA MONTES,estado nutricional,talla normal,2010-03-01,324,341,238,228,210,191,772,760,1532
VILLA NUEVA (LOMA ALTA),estado nutricional,talla normal,2010-03-01,14,19,18,26,26,31,58,76,134
VILLA RIVERO,estado nutricional,talla normal,2010-03-01,61,45,60,35,20,21,141,101,242
VILLA SERRANO,estado nutricional,talla normal,2010-03-01,94,73,77,54,102,129,273,256,529
VILLA TUNARI,estado nutricional,talla normal,2010-03-01,592,545,450,358,510,499,1552,1402,2954
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla normal,2010-03-01,86,83,58,65,158,158,302,306,608
VILLAZON,estado nutricional,talla normal,2010-03-01,316,300,246,249,165,172,727,721,1448
VINTO,estado nutricional,talla normal,2010-03-01,319,314,176,299,121,89,616,702,1318
VITICHI,estado nutricional,talla normal,2010-03-01,20,20,13,7,17,11,50,38,88
WALDO BALLIVIAN,estado nutricional,talla normal,2010-03-01,11,18,10,7,3,7,24,32,56
WARNES,estado nutricional,talla normal,2010-03-01,220,194,135,131,142,140,497,465,962
YACO,estado nutricional,talla normal,2010-03-01,58,52,37,30,42,61,137,143,280
YACUIBA,estado nutricional,talla normal,2010-03-01,731,683,551,449,403,328,1685,1460,3145
YAMPARAEZ,estado nutricional,talla normal,2010-03-01,52,62,28,41,101,108,181,211,392
YANACACHI,estado nutricional,talla normal,2010-03-01,31,33,13,27,21,18,65,78,143
YAPACANI,estado nutricional,talla normal,2010-03-01,443,435,273,263,253,246,969,944,1913
YOCALLA,estado nutricional,talla normal,2010-03-01,44,49,24,36,24,24,92,109,201
YOTALA,estado nutricional,talla normal,2010-03-01,69,59,37,59,107,106,213,224,437
YUNCHARA,estado nutricional,talla normal,2010-03-01,60,31,43,36,69,82,172,149,321
ZUDAÑEZ,estado nutricional,talla normal,2010-03-01,53,61,56,45,105,93,214,199,413
ACACIO,estado nutricional,talla normal,2010-04-01,49,49,21,34,29,28,99,111,210
ACHACACHI,estado nutricional,talla normal,2010-04-01,233,251,175,163,185,180,593,594,1187
ACHOCALLA,estado nutricional,talla normal,2010-04-01,66,39,49,34,29,58,144,131,275
AIQUILE,estado nutricional,talla normal,2010-04-01,190,170,132,128,139,148,461,446,907
ALALAY,estado nutricional,talla normal,2010-04-01,25,12,25,12,13,17,63,41,104
ALCALA,estado nutricional,talla normal,2010-04-01,18,16,26,15,48,63,92,94,186
ALTO BENI,estado nutricional,talla normal,2010-04-01,79,72,74,46,59,72,212,190,402
ANCORAIMES,estado nutricional,talla normal,2010-04-01,71,53,31,41,38,40,140,134,274
ANDAMARCA,estado nutricional,talla normal,2010-04-01,19,24,20,18,62,44,101,86,187
ANTEQUERA,estado nutricional,talla normal,2010-04-01,16,33,18,17,12,16,46,66,112
ANZALDO,estado nutricional,talla normal,2010-04-01,64,39,39,53,31,31,134,123,257
APOLO,estado nutricional,talla normal,2010-04-01,124,132,103,77,157,133,384,342,726
ARAMPAMPA,estado nutricional,talla normal,2010-04-01,29,26,19,28,45,37,93,91,184
ARANI,estado nutricional,talla normal,2010-04-01,100,85,114,57,68,69,282,211,493
ARBIETO,estado nutricional,talla normal,2010-04-01,61,55,27,38,65,58,153,151,304
ARQUE,estado nutricional,talla normal,2010-04-01,117,91,82,66,97,69,296,226,522
ASCENCION DE GUARAYOS,estado nutricional,talla normal,2010-04-01,1276,152,141,152,312,300,1729,604,2333
ATOCHA,estado nutricional,talla normal,2010-04-01,93,95,88,81,87,96,268,272,540
AUCAPATA,estado nutricional,talla normal,2010-04-01,33,25,10,12,9,15,52,52,104
AYATA,estado nutricional,talla normal,2010-04-01,64,58,48,49,38,39,150,146,296
AYO AYO,estado nutricional,talla normal,2010-04-01,61,47,38,36,19,14,118,97,215
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla normal,2010-04-01,184,181,129,118,128,134,441,433,874
AZURDUY,estado nutricional,talla normal,2010-04-01,62,80,62,53,118,124,242,257,499
BATALLAS,estado nutricional,talla normal,2010-04-01,119,159,82,89,77,81,278,329,607
BAURES,estado nutricional,talla normal,2010-04-01,32,34,18,30,31,40,81,104,185
BELEN DE ANDAMARCA,estado nutricional,talla normal,2010-04-01,9,10,3,4,16,13,28,27,55
BELEN DE URMIRI,estado nutricional,talla normal,2010-04-01,15,13,11,11,4,4,30,28,58
BELLA FLOR,estado nutricional,talla normal,2010-04-01,6,19,1,10,9,14,16,43,59
BERMEJO,estado nutricional,talla normal,2010-04-01,196,210,170,187,91,87,457,484,941
BETANZOS,estado nutricional,talla normal,2010-04-01,239,247,166,152,187,192,592,591,1183
BOLIVAR,estado nutricional,talla normal,2010-04-01,23,26,23,27,21,16,67,69,136
BOLPEBRA,estado nutricional,talla normal,2010-04-01,14,20,12,10,20,19,46,49,95
BOYUIBE,estado nutricional,talla normal,2010-04-01,30,27,21,24,44,41,95,92,187
BUENA VISTA,estado nutricional,talla normal,2010-04-01,154,129,104,119,177,143,435,391,826
CABEZAS,estado nutricional,talla normal,2010-04-01,118,99,100,77,162,124,380,300,680
CAIROMA,estado nutricional,talla normal,2010-04-01,57,47,32,40,82,75,171,162,333
"CAIZA ""D""",estado nutricional,talla normal,2010-04-01,61,48,34,55,30,34,125,137,262
CAJUATA,estado nutricional,talla normal,2010-04-01,62,44,32,26,35,33,129,103,232
CALACOTO,estado nutricional,talla normal,2010-04-01,23,34,29,18,20,32,72,84,156
CALAMARCA,estado nutricional,talla normal,2010-04-01,85,79,47,68,41,60,173,207,380
CAMARGO,estado nutricional,talla normal,2010-04-01,142,122,88,83,139,143,369,348,717
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla normal,2010-04-01,42,18,18,16,44,48,104,82,186
CAMIRI,estado nutricional,talla normal,2010-04-01,334,305,186,206,331,340,851,851,1702
CAPINOTA,estado nutricional,talla normal,2010-04-01,185,158,130,86,120,84,435,328,763
CAQUIAVIRI,estado nutricional,talla normal,2010-04-01,55,40,28,26,40,33,123,99,222
CARACOLLO,estado nutricional,talla normal,2010-04-01,149,190,109,142,90,114,348,446,794
CARANAVI,estado nutricional,talla normal,2010-04-01,417,410,277,222,253,240,947,872,1819
CARANGAS,estado nutricional,talla normal,2010-04-01,0,0,2,0,4,0,6,0,6
CARAPARI,estado nutricional,talla normal,2010-04-01,138,134,108,108,108,81,354,323,677
CARIPUYO,estado nutricional,talla normal,2010-04-01,53,47,29,34,40,38,122,119,241
CARMEN RIVERO TORREZ,estado nutricional,talla normal,2010-04-01,28,18,18,16,24,23,70,57,127
CATACORA,estado nutricional,talla normal,2010-04-01,4,1,2,0,10,3,16,4,20
CHACARILLA,estado nutricional,talla normal,2010-04-01,8,12,11,5,5,5,24,22,46
CHALLAPATA,estado nutricional,talla normal,2010-04-01,208,216,147,136,98,105,453,457,910
CHAQUI,estado nutricional,talla normal,2010-04-01,50,62,29,33,34,26,113,121,234
CHARAGUA,estado nutricional,talla normal,2010-04-01,231,184,145,154,274,254,650,592,1242
CHARAÑA,estado nutricional,talla normal,2010-04-01,13,12,14,10,12,7,39,29,68
CHAYANTA,estado nutricional,talla normal,2010-04-01,82,80,51,52,42,41,175,173,348
CHIMORE,estado nutricional,talla normal,2010-04-01,53,57,64,64,80,84,197,205,402
CHIPAYA,estado nutricional,talla normal,2010-04-01,17,15,8,9,17,13,42,37,79
CHOQUE COTA,estado nutricional,talla normal,2010-04-01,9,9,8,12,15,8,32,29,61
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla normal,2010-04-01,69,70,49,40,56,43,174,153,327
CHUMA,estado nutricional,talla normal,2010-04-01,70,63,37,30,41,49,148,142,290
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla normal,2010-04-01,38,48,17,20,15,9,70,77,147
CKOCHAS,estado nutricional,talla normal,2010-04-01,19,13,14,11,4,15,37,39,76
CLIZA,estado nutricional,talla normal,2010-04-01,257,185,121,110,149,148,527,443,970
COBIJA,estado nutricional,talla normal,2010-04-01,488,436,282,280,239,219,1009,935,1944
COCAPATA,estado nutricional,talla normal,2010-04-01,121,137,83,95,115,101,319,333,652
COCHABAMBA,estado nutricional,talla normal,2010-04-01,2787,2386,1658,1532,1322,1167,5767,5085,10852
COIPASA,estado nutricional,talla normal,2010-04-01,6,6,8,7,1,5,15,18,33
COLCAPIRHUA,estado nutricional,talla normal,2010-04-01,332,292,223,189,253,224,808,705,1513
"COLCHA ""K""",estado nutricional,talla normal,2010-04-01,47,48,33,49,40,40,120,137,257
COLLANA,estado nutricional,talla normal,2010-04-01,15,11,6,17,5,20,26,48,74
COLOMI,estado nutricional,talla normal,2010-04-01,217,168,111,120,72,76,400,364,764
COLPA BELGICA,estado nutricional,talla normal,2010-04-01,37,47,18,17,17,28,72,92,164
COLQUECHACA,estado nutricional,talla normal,2010-04-01,261,263,193,203,71,94,525,560,1085
COLQUENCHA,estado nutricional,talla normal,2010-04-01,57,60,42,44,43,49,142,153,295
COLQUIRI,estado nutricional,talla normal,2010-04-01,125,129,97,65,73,117,295,311,606
COMANCHE,estado nutricional,talla normal,2010-04-01,6,159,4,13,11,10,21,182,203
COMARAPA,estado nutricional,talla normal,2010-04-01,117,115,58,79,69,56,244,250,494
COMBAYA,estado nutricional,talla normal,2010-04-01,18,19,14,14,18,18,50,51,101
COPACABANA,estado nutricional,talla normal,2010-04-01,90,69,51,38,65,53,206,160,366
CORIPATA,estado nutricional,talla normal,2010-04-01,97,93,72,62,80,89,249,244,493
CORO CORO,estado nutricional,talla normal,2010-04-01,65,75,46,48,36,51,147,174,321
COROICO,estado nutricional,talla normal,2010-04-01,103,90,70,71,57,80,230,241,471
CORQUE,estado nutricional,talla normal,2010-04-01,36,51,27,27,38,62,101,140,241
COTAGAITA,estado nutricional,talla normal,2010-04-01,165,143,127,140,161,173,453,456,909
