,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,1,1,1,2
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,18,25,18,25,43
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,7,6,7,6,13
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,0,2,0,2
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,7,6,7,6,13
VILLA CHARCAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,8,5,8,5,13
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,5,2,5,7
VILLA SERRANO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,2,2,2,4
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,28,18,28,18,46
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,11,10,11,10,21
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,7,4,7,4,11
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,21,22,21,22,43
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,13,9,13,9,22
YOTALA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,2,0,2,2
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,1,3,1,4
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,2,3,2,5
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,18,7,18,7,25
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,7,2,7,2,9
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,2,0,2,0,2
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,4,2,4,2,6
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,6,2,6,2,8
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,2,1,2,3
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,7,0,7,0,7
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,0,1,0,1
CHAYANTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,20,11,20,11,31
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,4,3,4,3,7
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,50,22,50,22,72
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,1,3,1,4
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,4,0,4,4
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,2,0,2,0,2
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,0,1,0,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,1,1,1,2
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,56,42,56,42,98
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,4,6,4,6,10
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,2,0,2,2
ESCOMA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,1,1,1,2
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,20,12,20,12,32
GRAL. J.J. PEREZ (CHARAZANI),diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,1,1,1,2
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,11,8,11,8,19
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,13,11,13,11,24
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,6,7,6,7,13
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,10,11,10,11,21
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,55,61,55,61,116
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,4,3,4,7
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,6,4,6,4,10
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,76,53,76,53,129
OCURI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,2,1,2,3
OKINAWA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,2,2,2,2,4
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,19,10,19,10,29
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,5,1,5,1,6
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,1,1,1,2
PORONGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,13,14,13,14,27
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,25,10,25,10,35
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,7,2,7,2,9
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,2,4,2,4,6
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,1,3,1,4
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,5,0,5,5
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,6,10,6,10,16
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,1,1,1,2
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,15,7,15,7,22
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,4,1,4,5
SACACA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,0,1,0,1
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,10,9,10,9,19
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,4,3,4,3,7
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,8,10,8,10,18
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,2,0,2,2
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,20,32,20,32,52
SAN PABLO DE LIPEZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,2,0,2,0,2
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,5,4,5,4,9
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,1,1,1,2
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,20,18,20,18,38
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,276,218,276,218,494
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,0,1,0,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,2,3,2,5
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,8,16,8,16,24
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,23,23,23,23,46
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,0,1,0,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,14,18,14,18,32
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,0,1,0,1
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,1,1,1,2
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,7,7,7,7,14
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,2,3,2,5
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,44,34,44,34,78
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,2,1,2,1,3
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,4,2,4,2,6
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,1,3,1,4
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,5,1,5,1,6
VILLA SERRANO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,2,3,2,3,5
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,20,12,20,12,32
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,3,4,3,4,7
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,12,4,12,4,16
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,1,2,1,2,3
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,6,4,6,4,10
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,25,20,25,20,45
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-04-01,13,8,13,8,21
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,1,2,1,3
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,1,0,1,1
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,1,4,1,5
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,7,13,7,13,20
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,3,4,3,7
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,1,1,1,2
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,6,3,6,3,9
CAMATAQUI (C. VILLA ABECIA),diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,3,2,3,5
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,5,3,5,3,8
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,1,3,1,4
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,7,1,7,8
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,4,4,4,8
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,0,4,0,4
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,6,3,6,9
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,43,31,43,31,74
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,3,0,3,3
COLOMI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,1,0,1,1
COLQUIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,1,1,1,2
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,2,1,2,3
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,0,3,0,3
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,2,4,2,6
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,38,23,38,23,61
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,2,3,2,5
EL VILLAR,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
EXALTACION,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,9,12,9,12,21
GENERAL SAAVEDRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,1,4,1,5
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,7,4,7,11
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,3,3,3,6
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,1,3,1,4
INCAHUASI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,20,14,20,14,34
IRUPANA (VILLA DE LANZA),diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,4,3,4,7
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,59,62,59,62,121
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,1,0,1,1
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
MINEROS,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,2,3,2,5
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,1,1,1,2
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,51,46,51,46,97
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,16,8,16,8,24
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,3,2,3,5
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,0,2,0,2
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,14,14,14,14,28
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,30,15,30,15,45
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,8,9,8,9,17
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,5,2,5,2,7
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,5,2,5,2,7
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,3,0,3,3
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,1,3,1,4
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,0,2,0,2
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,2,0,2,2
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,16,10,16,10,26
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,4,2,4,6
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,5,5,5,5,10
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,8,5,8,5,13
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,7,3,7,10
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,15,21,15,21,36
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,37,28,37,28,65
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,1,2,1,3
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,4,4,4,4,8
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,0,2,0,2
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,177,144,177,144,321
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,1,1,1,2
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,15,4,15,4,19
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,22,20,22,20,42
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,1,0,1,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,66,50,66,50,116
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,12,23,12,23,35
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,1,0,1,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,5,2,5,2,7
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,0,2,0,2
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,29,22,29,22,51
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,3,4,3,4,7
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,0,1,0,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,2,1,2,1,3
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,1,1,1,1,2
VILLA SERRANO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,5,4,5,4,9
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,13,8,13,8,21
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,8,6,8,6,14
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,9,9,9,9,18
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,6,0,6,0,6
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,18,10,18,10,28
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,26,17,26,17,43
YOTALA,diagnostico de egreso,diarreas en menores de 5 anos,2010-05-01,0,1,0,1,1
ACHACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,17,9,17,9,26
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,3,2,3,5
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,5,2,5,2,7
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,1,2,1,3
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,0,1,0,1
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,3,2,3,5
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,41,36,41,36,77
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,3,2,3,5
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,4,2,4,2,6
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,8,3,8,3,11
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,4,3,4,3,7
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,6,1,6,1,7
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,4,2,4,2,6
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,0,2,0,2
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,4,2,4,6
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,69,43,69,43,112
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,0,2,0,2
COLQUECHACA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,1,0,1,1
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,1,1,1,2
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,0,1,0,1
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,6,2,6,8
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,3,4,3,4,7
CUATRO CAÑADAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,0,1,0,1
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,3,1,3,1,4
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,56,54,56,54,110
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,5,2,5,7
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,2,1,2,3
ENTRE RIOS TRJ,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,0,1,0,1
EXALTACION,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,0,2,0,2
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,23,15,23,15,38
GENERAL SAAVEDRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,10,13,10,13,23
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,1,1,1,2
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,15,9,15,9,24
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,1,0,1,1
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,1,0,1,1
INCAHUASI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,12,10,12,10,22
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,3,0,3,3
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,16,14,16,14,30
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,65,55,65,55,120
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,0,1,0,1
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,4,3,4,3,7
LORETO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,3,1,3,4
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,3,2,3,5
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,0,1,0,1
MOJOCOYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,1,1,1,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,3,1,3,4
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,115,83,115,83,198
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,15,16,15,16,31
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,2,2,2,4
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,3,1,3,1,4
PORONGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,1,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,24,20,24,20,44
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,38,26,38,26,64
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,1,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,4,6,4,6,10
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,10,4,10,4,14
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,6,5,6,5,11
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,16,17,16,17,33
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,3,0,3,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,7,4,7,4,11
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,7,3,7,3,10
SACACA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,1,0,1,1
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,5,5,5,5,10
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,6,1,6,1,7
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,8,6,8,6,14
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,37,47,37,47,84
SAN LORENZO(PND),diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,4,6,4,6,10
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,12,13,12,13,25
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,5,12,5,12,17
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,2,0,2,2
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,216,182,216,182,398
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,12,2,12,2,14
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,97,41,97,41,138
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,1,2,1,3
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,108,66,108,66,174
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,9,10,9,10,19
