,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,28,50,28,50,78
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,56,42,56,42,98
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,0,1,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,8,8,8,8,16
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,14,8,14,8,22
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,3,5,3,5,8
REYES,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,0,1,0,1
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,36,26,36,26,62
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,7,5,7,5,12
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,7,5,7,5,12
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,36,47,36,47,83
SACACA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,0,3,0,3,3
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,0,2,0,2
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,6,3,6,3,9
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,3,5,3,5,8
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,34,25,34,25,59
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,1,2,1,3
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,4,9,4,9,13
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,3,1,3,4
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,4,1,4,1,5
SAN PABLO DE LIPEZ,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,3,1,3,1,4
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,3,2,3,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,633,374,633,374,1007
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,0,1,0,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,1,1,1,2
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,4,11,4,11,15
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,0,1,0,1,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,130,123,130,123,253
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,6,3,6,3,9
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,772,1015,772,1015,1787
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,1,2,1,3
TIPUANI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,0,1,0,1,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,12,8,12,8,20
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,57,56,57,56,113
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,28,14,28,14,42
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,0,2,0,2,2
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,6,4,6,4,10
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,7,6,7,6,13
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,13,11,13,11,24
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,35,23,35,23,58
VINTO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,2,1,2,3
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,21,0,21,0,21
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,39,36,39,36,75
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,3,2,3,2,5
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,4,0,4,0,4
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,17,7,17,7,24
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,0,1,0,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,101,94,101,94,195
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,2,3,2,3,5
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,21,9,21,9,30
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,27,20,27,20,47
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,2,10,2,10,12
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,5,2,5,2,7
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,5,3,5,3,8
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-05-01,5,6,5,6,11
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,0,1,0,1,1
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,12,19,12,19,31
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,140,147,140,147,287
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,3,7,3,7,10
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,3,1,3,1,4
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,1,1,1,2
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,29,16,29,16,45
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,115,149,115,149,264
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,0,1,0,1
GENERAL SAAVEDRA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,0,1,0,1
GUANAY,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,0,3,0,3,3
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,12,14,12,14,26
HUACARETA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,0,1,0,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,7,2,7,2,9
INCAHUASI,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,114,92,114,92,206
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,505,594,505,594,1099
LAGUNILLAS,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,2,0,2,0,2
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,13,14,13,14,27
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,11,7,11,7,18
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,56,53,56,53,109
OCURI,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,0,1,0,1,1
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,26,17,26,17,43
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,5,6,5,6,11
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,2,1,2,1,3
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,58,62,58,62,120
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,65,39,65,39,104
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,1,1,1,2
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,6,5,6,5,11
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,12,13,12,13,25
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,6,4,6,4,10
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,1,1,1,2
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,24,45,24,45,69
SAMAIPATA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,2,1,2,1,3
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,3,2,3,2,5
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,8,4,8,4,12
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,31,29,31,29,60
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,2,1,2,3
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,2,1,2,3
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,3,3,3,3,6
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,3,1,3,4
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,532,252,532,252,784
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,5,1,5,1,6
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,1,1,1,2
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,107,87,107,87,194
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,5,4,5,4,9
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,63,57,63,57,120
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,1,1,1,2
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,8,8,8,8,16
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,1,1,1,1,2
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,67,56,67,56,123
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,19,17,19,17,36
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,0,4,0,4,4
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,2,4,2,4,6
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,7,5,7,5,12
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,14,5,14,5,19
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,25,73,25,73,98
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,7,2,7,2,9
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,36,44,36,44,80
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,7,8,7,8,15
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-05-01,3,5,3,5,8
ACHACACHI,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,106,95,106,95,201
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,6,2,6,8
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,14,11,14,11,25
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
AZURDUY,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,3,3,3,3,6
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,181,155,181,155,336
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,5,0,5,0,5
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,13,19,13,19,32
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,14,16,14,16,30
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,4,4,4,4,8
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,4,2,4,6
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,0,2,0,2
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,6,9,6,9,15
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,256,220,256,220,476
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,4,3,4,3,7
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,1,1,1,1,2
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,5,0,5,0,5
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,3,0,3,0,3
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,11,7,11,7,18
CUATRO CAÑADAS,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,0,2,0,2
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,113,116,113,116,229
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2010-06-01,18,21,18,21,39
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,2,0,2,2
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,28,22,28,22,50
GENERAL SAAVEDRA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,1,2,1,3
GUANAY,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,19,19,19,19,38
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,1,2,1,3
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,1,1,1,1,2
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,395,410,395,410,805
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,19,17,19,17,36
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,4,1,4,1,5
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,6,9,6,9,15
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,54,56,54,56,110
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,27,27,27,27,54
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,6,5,6,5,11
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,74,77,74,77,151
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,53,47,53,47,100
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,8,4,8,4,12
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,15,5,15,5,20
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,8,8,8,8,16
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,31,22,31,22,53
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,4,2,4,2,6
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,13,5,13,5,18
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,29,12,29,12,41
SAN ANDRES,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,1,0,1,0,1
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,4,2,4,2,6
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,6,3,6,3,9
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,29,18,29,18,47
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,6,6,6,6,12
SAN LORENZO(PND),diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,3,1,3,1,4
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,1,2,1,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,2,0,2,2
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,4,4,4,4,8
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,644,331,644,331,975
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,6,4,6,4,10
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,1,0,1,0,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,124,93,124,93,217
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,41,46,41,46,87
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,6,6,6,6,12
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,1,0,1,0,1
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2010-06-01,1,0,1,0,1
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,92,75,92,75,167
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,2,3,2,3,5
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,0,1,0,1,1
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,1,0,1,0,1
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,4,7,4,7,11
VILLA SERRANO,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,6,8,6,8,14
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,33,23,33,23,56
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,30,19,30,19,49
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,10,8,10,8,18
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,39,30,39,30,69
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,33,22,33,22,55
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-06-01,1,0,1,0,1
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,10,16,10,16,26
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,17,11,17,11,28
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,2,3,2,5
AZURDUY,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,2,4,2,4,6
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,302,277,302,277,579
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,0,3,0,3,3
BOYUIBE,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,0,1,0,1
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,11,12,11,12,23
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,23,11,23,11,34
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,12,8,12,8,20
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,4,7,4,7,11
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,2,1,2,1,3
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,7,5,7,5,12
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-07-01,2,4,2,4,6
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,11,9,11,9,20
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,224,258,224,258,482
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,10,4,10,4,14
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,2,3,2,5
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,11,8,11,8,19
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,2,3,2,5
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,9,8,9,8,17
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,117,104,117,104,221
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2010-07-01,6,11,6,11,17
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,31,18,31,18,49
GUANAY,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,1,1,1,2
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,10,8,10,8,18
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,0,1,0,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,2,3,2,5
INQUISIVI,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,0,1,0,1
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,0,1,0,1,1
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,0,1,0,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,388,475,388,475,863
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,26,17,26,17,43
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,2,2,2,2,4
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,6,7,6,7,13
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,70,57,70,57,127
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,29,44,29,44,73
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,4,3,4,7
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,2,1,2,3
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,62,63,62,63,125
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,55,45,55,45,100
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,15,4,15,4,19
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,18,23,18,23,41
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,11,4,11,4,15
QUIME,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,1,3,1,4
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,10,20,10,20,30
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,4,6,4,6,10
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,17,20,17,20,37
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,4,2,4,2,6
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,27,21,27,21,48
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,4,8,4,8,12
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,8,6,8,6,14
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,0,1,0,1,1
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,6,6,6,6,12
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,3,1,3,4
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,454,260,454,260,714
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,4,1,4,5
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,0,1,0,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,130,82,130,82,212
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,49,35,49,35,84
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,0,3,0,3
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,5,4,5,4,9
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,0,1,0,1
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,46,42,46,42,88
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,20,21,20,21,41
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,1,3,1,4
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,1,5,1,5,6
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,11,6,11,6,17
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,16,10,16,10,26
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,5,3,5,3,8
VINTO,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,3,0,3,0,3
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,6,7,6,7,13
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,25,28,25,28,53
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,2,0,2,0,2
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-07-01,2,4,2,4,6
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,3,1,3,4
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,13,10,13,10,23
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,1,0,1,1
AZURDUY,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,4,0,4,0,4
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,223,224,223,224,447
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,1,1,1,2
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,18,18,18,18,36
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,23,15,23,15,38
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,5,5,5,5,10
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,1,1,1,2
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,5,2,5,2,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-08-01,4,3,4,3,7
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,1,0,1,1
