,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,59,43,59,43,102
SANTA ROSA DEL SARA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,19,23,19,23,42
SOPACHUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,82,71,82,71,153
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,21,36,21,36,57
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
TIPUANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,12,7,12,7,19
TOMINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,2,0,2,2
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,3,4,3,4,7
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,9,4,9,4,13
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,2,1,2,3
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,2,2,2,2,4
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,7,10,7,10,17
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,22,13,22,13,35
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,5,6,5,6,11
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,5,4,5,4,9
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,3,7,3,7,10
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,26,18,26,18,44
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,11,6,11,6,17
APOLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,7,4,7,4,11
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,4,2,4,2,6
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,5,0,5,0,5
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,17,1,17,1,18
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,3,0,3,0,3
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,4,1,4,5
CAMATAQUI (C. VILLA ABECIA),diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,11,3,11,3,14
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,9,7,9,7,16
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,1,1,1,2
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,2,2,2,4
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,1,2,1,3
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,3,2,3,2,5
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,1,1,1,2
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,136,63,136,63,199
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,4,1,4,5
COLQUIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,2,0,2,2
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,3,2,3,5
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,0,1,0,1
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,6,10,6,10,16
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,54,38,54,38,92
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,0,2,0,2
ESCOMA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,1,1,1,2
GUANAY,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,13,13,13,13,26
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,1,2,1,3
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,4,2,4,2,6
INCAHUASI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,4,1,4,1,5
IRUPANA (VILLA DE LANZA),diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,3,3,3,3,6
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,91,62,91,62,153
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,3,2,3,2,5
MACHARETI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,0,2,0,2
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,0,1,0,1
MINEROS,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,5,1,5,6
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,5,3,5,3,8
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,24,28,24,28,52
NACEBE (SANTA ROSA DEL ABUNA),diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,0,1,0,1
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,23,19,23,19,42
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,7,6,7,6,13
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,1,1,1,2
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,0,2,0,2
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,5,6,5,6,11
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,23,10,23,10,33
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,0,1,0,1
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,5,6,5,6,11
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,12,3,12,3,15
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,2,0,2,2
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,10,0,10,10
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,3,0,3,0,3
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,12,10,12,10,22
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,2,2,2,4
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,1,1,1,2
SAN ANDRES,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,8,3,8,3,11
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,18,14,18,14,32
SAN JOAQUIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,2,2,2,4
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,3,3,3,3,6
SAN RAFAEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,5,4,5,4,9
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,144,122,144,122,266
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,8,3,8,3,11
SOPACHUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,1,1,1,2
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,50,56,50,56,106
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,2,2,2,4
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,22,32,22,32,54
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,6,2,6,2,8
TIPUANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,2,2,2,4
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,4,2,4,2,6
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,5,3,5,3,8
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,11,7,11,7,18
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,0,1,0,1
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,1,2,1,2,3
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,13,2,13,2,15
VILLA SERRANO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,2,2,2,2,4
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,5,3,5,3,8
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,9,5,9,5,14
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,9,10,9,10,19
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,10,7,10,7,17
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,17,16,17,16,33
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,37,25,37,25,62
ZUDAÑEZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-05-01,0,1,0,1,1
ACHACACHI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,4,2,4,6
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,2,0,2,2
ALCALA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,11,4,11,4,15
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,1,4,1,5
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,7,5,7,5,12
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,10,14,10,14,24
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,2,2,2,4
BUENA VISTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,1,2,1,3
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,2,3,2,5
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,7,4,7,4,11
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,2,1,2,3
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,1,1,1,2
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,1,3,1,4
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,9,4,9,13
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,65,55,65,55,120
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,1,1,1,2
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
COPACABANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,1,0,1,1
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,0,2,0,2
COTAGAITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
CUATRO CAÑADAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,0,2,0,2
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,33,21,33,21,54
EL PUENTE(TJA),diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,1,0,1,1
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,1,2,1,3
ENTRE RIOS TRJ,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,1,1,1,2
ESCOMA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
GENERAL SAAVEDRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,1,3,1,4
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,8,11,8,11,19
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,1,2,1,3
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,3,3,3,6
INCAHUASI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,1,4,1,5
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,6,12,6,12,18
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,57,48,57,48,105
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,9,5,9,5,14
LORETO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,0,2,0,2
MIZQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,3,4,3,7
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,58,35,58,35,93
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,13,12,13,12,25
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,0,3,0,3
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,2,1,2,3
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
POCOATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,0,4,0,4
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,5,3,5,3,8
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,13,10,13,10,23
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,3,0,3,3
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,2,4,2,6
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,9,5,9,5,14
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,5,4,5,4,9
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,19,24,19,24,43
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,4,3,4,7
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,2,2,2,4
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,6,1,6,1,7
SACABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,1,0,1,1
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,2,2,2,4
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,1,0,1,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,3,2,3,5
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,14,8,14,8,22
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,7,3,7,3,10
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,2,1,2,3
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,5,4,5,9
SAN PEDRO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,1,1,1,2
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,5,0,5,5
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,1,1,1,2
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,70,40,70,40,110
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,3,3,3,6
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,41,23,41,23,64
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,3,4,3,7
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,14,24,14,24,38
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,3,2,3,5
TIPUANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,2,4,2,4,6
TOMINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,8,5,8,5,13
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,2,3,2,5
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,1,1,1,2
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,3,1,3,4
VIACHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,0,1,0,1,1
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,3,4,3,4,7
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,8,1,8,1,9
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,8,1,8,1,9
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,4,9,4,9,13
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,21,26,21,26,47
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,22,11,22,11,33
ZUDAÑEZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-06-01,1,0,1,0,1
ACHACACHI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,8,2,8,10
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,3,0,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,5,2,5,7
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,5,1,5,1,6
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,7,0,7,0,7
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,22,18,22,18,40
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,5,2,5,2,7
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,1,2,1,3
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,5,2,5,2,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,1,2,1,3
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,1,1,1,2
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,7,12,7,12,19
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,57,35,57,35,92
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,0,2,0,2
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,1,0,1,1
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,1,0,1,1
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,2,2,2,4
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,2,0,2,2
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,38,29,38,29,67
EL PUENTE(TJA),diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,2,1,2,3
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,1,1,1,2
ENTRE RIOS TRJ,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,3,1,3,4
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,7,4,7,4,11
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,8,15,8,15,23
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,1,1,1,2
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,2,1,2,3
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,3,12,3,12,15
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,28,23,28,23,51
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
MACHARETI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,1,0,1,1
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,2,0,2,2
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,7,10,7,10,17
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,22,11,22,11,33
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,7,10,7,10,17
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,2,1,2,3
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,6,3,6,3,9
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,8,5,8,5,13
PRESTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,29,0,29,29
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,3,1,3,1,4
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,8,0,8,0,8
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,5,1,5,1,6
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,5,6,5,6,11
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,23,20,23,20,43
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,3,1,3,1,4
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,3,4,3,4,7
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,4,2,4,2,6
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,0,2,0,2
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,7,2,7,2,9
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,7,8,7,8,15
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,6,3,6,3,9
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,2,1,2,3
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,5,6,5,6,11
SAN PEDRO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,47,38,47,38,85
SAN RAFAEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,1,0,1,1
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,9,13,9,13,22
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,1,1,1,2
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,95,74,95,74,169
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,0,2,0,2
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,32,25,32,25,57
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,2,1,2,3
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,18,9,18,9,27
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,0,2,0,2
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
TOMINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
