,group,variable,month,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTALES
CARIPUYO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,1,4,0,10
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,2,0,0,5
CATACORA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,0,2,2
CHACARILLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,1,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,30,31,31,31,123
CHAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,1,0,2
CHARAGUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,4,24,13,45
CHAYANTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,2,1,1,5
CHIMORE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,15,2,0,20
CHIPAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,2,1,3
CHOQUE COTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,0,1,1
CHUA COCANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,2,4,7
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,9,2,0,18
CHUMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,5,1,2,12
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,1,12,12,28
CKOCHAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,3,4,11,19
CLIZA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,11,9,6,30
COBIJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,36,31,59,58,184
COCAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,11,20,13,51
COCHABAMBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,160,165,91,117,533
COLCAPIRHUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,28,21,12,16,77
"COLCHA ""K""",vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,2,1,3,8
COLOMI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,16,9,38,28,91
COLPA BELGICA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,3,0,3,9
COLQUECHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,2,6,7,17
COLQUIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,3,9,3,15
COMANCHE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,1,0,0,2
COMARAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,7,0,1,11
COMBAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,3,1,4
CONCEPCION,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,8,3,9,27
COPACABANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,4,2,2,10
CORIPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,6,4,4,4,18
CORO CORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,1,2,4
COROICO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,3,8,9,27
CORQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,3,7,7,20
COTAGAITA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,8,5,5,7,25
COTOCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,19,35,79,65,198
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,9,8,3,3,23
CUCHUMUELA (V. G. VILLARROEL),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,7,3,11
CUEVO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,2,0,4,8
CULPINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,6,2,1,2,11
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,3,4,2,12
CURVA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,2,3,1,7
DESAGUADERO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,3,4,6,13
EL ALTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,176,189,185,162,712
EL CHORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,0,0,1
EL PUENTE(STC),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,13,16,11,45
EL PUENTE(TJA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,5,1,1,9
EL TORNO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,28,22,17,20,87
EL VILLAR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,2,0,1,6
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,18,13,5,7,43
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,25,29,25,17,96
ESCARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,1,2,3
EUCALIPTUS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,1,2,2,7
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,1,0,1,5
EXALTACION,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,8,5,2,22
FILADELFIA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,6,2,2,2,12
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,4,0,0,7
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,3,1,2,9
GUANAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,10,4,9,7,30
GUAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,0,0,1,3
GUAYARAMERIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,11,17,6,8,42
GUTIERREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,1,2,4
HUACARETA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,5,2,1,10
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,1,0,0,2
HUANUNI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,4,20,13,42
HUARACAJE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,1,1,0,4
HUARINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,0,1,2,5
HUATAJATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,0,1,2
HUAYLLAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,2,0,1,4
HUMANATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,1,3,5
ICHOCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,0,1,2
ICLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,1,0,4,7
INCAHUASI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,5,6,8,23
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,3,2,3,9
INQUISIVI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,2,2,1,5
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,5,4,6,20
IXIAMAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,2,5,3,11
JESUS DE MACHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,9,8,10,6,33
LA ASUNTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,17,15,6,4,42
LA GUARDIA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,43,51,69,77,240
LA PAZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,242,228,289,249,1008
LA RIVERA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,1,0,2
LAGUNILLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,1,8,3,14
LAJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,1,4,2,11
LAS CARRERAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,0,1,0,3
LICOMA PAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,2,2,5
LLALLAGUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,16,12,35,26,89
LORETO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,4,2,6
LURIBAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,1,0,1,3
MACHACAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,2,1,4,7
MACHARETI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,3,1,2,9
MAGDALENA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,22,19,0,0,41
MAIRANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,2,1,0,6
MALLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,0,1,1
MAPIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,8,8,4,4,24
MECAPACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,2,4,2,11
MINEROS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,16,0,1,22
MIZQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,2,16,21,44
MOCOMOCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,2,5,3,12
MOJINETE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,0,0,1
MOJOCOYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,1,3,3,9
MONTEAGUDO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,22,21,13,7,63
MONTERO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,63,75,45,37,220
MORO MORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,1,1,3,7
MOROCHATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,2,11,7,21
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,1,6,1,9
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,0,0,1
OCURI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,1,1,1,5
OKINAWA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,3,4,7,18
OMEREQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,2,3,8,14
ORURO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,75,89,388,364,916
PADCAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,9,7,0,0,16
PADILLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,6,0,2,12
PAILON,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,13,12,4,8,37
PALCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,8,8,4,27
PALOS BLANCOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,13,11,8,6,38
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,2,4,2,8
PAMPA GRANDE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,9,9,12,2,32
PAPEL PAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,0,1,2
PASORAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,2,8,6,16
PATACAMAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,2,2,1,8
PAZÑA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,1,4,2,14
PELECHUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,4,6,2,17
POCOATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,3,5,2,10
POCONA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,1,8,10,19
POJO (CBBA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,2,9,4,17
POOPO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,6,7,3,19
PORCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,1,0,0,4
POROMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,6,3,3,19
PORONGO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,4,1,3,12
PORTACHUELO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,15,13,8,14,50
PORVENIR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,1,6,11,18
POSTRER VALLE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,1,2,3,6
POTOSI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,59,82,71,49,261
PRESTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,7,6,5,25
PUCARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,1,0,0,1
PUCARANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,6,8,17,13,44
PUERTO ACOSTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,10,9,19
PUERTO CARABUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,3,4,1,10
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,3,0,1,9
PUERTO PEREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,1,12,2,18
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,2,0,0,4
PUERTO RICO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,6,1,5,4,16
PUERTO SUAREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,7,1,0,12
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,40,25,45,25,135
PUNA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,4,2,7,17
PUNATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,6,11,1,2,20
QUIABAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,1,2,0,5
QUILLACOLLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,33,33,51,54,171
QUIME,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,3,5,2,12
QUIRUSILLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,1,0,0,2
RAVELO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,3,6,5,16
REYES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,4,7,1,16
RIBERALTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,29,32,30,30,121
ROBORE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,1,1,1,7
RURRENABAQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,14,4,9,31
SABAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,1,0,1
SACABA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,52,40,68,72,232
SACABAMBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,1,6,2,12
SACACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,6,2,4,5,17
SAIPINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,0,0,1
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,5,5,4,21
SAMAIPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,11,6,4,6,27
SAN ANDRES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,7,4,7,25
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,1,2,3
SAN ANTONIO DE ESMORUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,1,0,2
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,0,3,4,9
SAN BENITO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,3,1,0,6
SAN BORJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,22,10,15,22,69
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,2,2,6,15
SAN CARLOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,16,12,0,0,28
SAN IGNACIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,13,7,2,0,22
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,38,31,5,8,82
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,0,3,6,11
SAN JAVIER(STC),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,8,4,3,0,15
SAN JOAQUIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,8,0,0,13
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,6,20,24,54
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,5,5,9,11,30
SAN JULIAN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,15,22,15,13,65
SAN LORENZO(PND),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,5,8,5,20
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,2,10,5,20
SAN LUCAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,10,13,8,9,40
SAN MATIAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,4,7,0,1,12
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,9,6,8,9,32
SAN PEDRO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,7,5,10,7,29
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,3,6,10,21
SAN PEDRO DE CURAHUARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,3,1,0,6
SAN PEDRO DE QUEMES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,1,1,2
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,2,1,4
SAN RAFAEL,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,3,0,0,5
SAN RAMON BENI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,4,3,17,26
SAN RAMON SCZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,6,7,0,0,13
SANTA ANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,3,5,1,11
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,572,545,358,398,1873
SANTA ROSA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,0,2,3,5
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,11,6,11,5,33
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,0,1,1,4
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,9,10,20
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,2,5,4,13
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,1,0,2
SANTIVAÑES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,1,0,0,4
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,0,5,7,13
SAPAHAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,3,4,2,1,10
SENA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,2,2,15,16,35
SHINAOTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,12,9,0,1,22
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,1,2,6,5,14
SICAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,0,3,2,4,9
SIPE SIPE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis (2do. refuerzo),2016-04-01,13,20,6,7,46
