,group,variable,month,L 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,L 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
SAN PEDRO DE CURAHUARA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,9,8,9,8,17
SAN PEDRO DE TIQUINA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,1,21,1,21,22
SAN RAFAEL,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,1,10,1,10,11
SAN RAMON BENI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,2,4,2,4,6
SAN RAMON SCZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,11,11,11,11,22
SANTA ANA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,22,26,22,26,48
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,2608,1816,2608,1816,4424
SANTA ROSA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,47,51,47,51,98
SANTA ROSA DEL SARA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,26,87,26,87,113
SANTIAGO DE CALLAPA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,0,3,0,3,3
SANTIAGO DE HUARI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,3,7,3,7,10
SANTIAGO DE HUATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,6,2,6,2,8
SANTIAGO DE MACHACA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,0,2,0,2,2
SANTIVAÑES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,5,35,5,35,40
SANTUARIO DE QUILLACAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,5,14,5,14,19
SAPAHAQUI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,3,3,3,3,6
SENA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,7,26,7,26,33
SHINAOTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,9,202,9,202,211
SICA SICA (VILLA AROMA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,19,14,19,14,33
SIPE SIPE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,44,177,44,177,221
SOPACHUY,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,4,4,4,4,8
SORACACHI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,9,15,9,15,24
SORATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,9,19,9,19,28
SUCRE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,463,520,463,520,983
TACACHI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,0,2,0,2,2
TACACOMA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,3,0,3,0,3
TACOBAMBA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,17,10,17,10,27
TACOPAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,6,8,6,8,14
TAHUA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,3,0,3,0,3
TAPACARI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,50,34,50,34,84
TARABUCO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,2,12,2,12,14
TARACO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,2,28,2,28,30
TARATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,12,8,12,8,20
TARIJA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,503,239,503,239,742
TARVITA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,7,24,7,24,31
TEOPONTE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,17,26,17,26,43
TIAWANACU,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,16,69,16,69,85
TINGUIPAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,28,39,28,39,67
TIPUANI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,20,0,20,0,20
TIQUIPAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,71,35,71,35,106
TIRAQUE (CBBA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,41,16,41,16,57
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,2,0,2,0,2
TOCO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,1,152,1,152,153
TOLATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,2,297,2,297,299
TOLEDO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,1,17,1,17,18
TOMAVE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,13,0,13,0,13
TOMINA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,1,4,1,4,5
TORO TORO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,11,0,11,0,11
TOTORA(CBBA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,28,23,28,23,51
TOTORA(ORR),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,1,0,1,0,1
TRIGAL,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,292,8,292,8,300
TUPIZA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,111,47,111,47,158
TURCO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,3,9,3,9,12
UMALA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,4,8,4,8,12
UNCIA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,5,22,5,22,27
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,19,0,19,0,19
URUBICHA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,12,14,12,14,26
UYUNI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,13,0,13,0,13
VACAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,13,125,13,125,138
VALLEGRANDE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,22,1,22,1,23
VIACHA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,104,71,104,71,175
VILA VILA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,3,2,3,2,5
VILLA CHARCAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,31,58,31,58,89
VILLA MONTES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,59,35,59,35,94
VILLA NUEVA (LOMA ALTA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,5,0,5,0,5
VILLA RIVERO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,20,35,20,35,55
VILLA SERRANO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,6,6,6,6,12
VILLA TUNARI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,121,498,121,498,619
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,19,38,19,38,57
VILLAZON,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,54,7,54,7,61
VINTO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,124,27,124,27,151
VITICHI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,8,0,8,0,8
WALDO BALLIVIAN,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,6,1,6,1,7
WARNES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,135,498,135,498,633
YACO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,6,9,6,9,15
YACUIBA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,223,7,223,7,230
YAMPARAEZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,1,19,1,19,20
YANACACHI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,4,0,4,0,4
YAPACANI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,13,113,13,113,126
YOCALLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,14,58,14,58,72
YOTALA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,2,4,2,4,6
YUNCHARA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,4,12,4,12,16
ZUDAÑEZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-03-01,2,21,2,21,23
ACACIO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,3,0,3,0,3
ACHACACHI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,48,159,48,159,207
ACHOCALLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,4,190,4,190,194
AIQUILE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,9,549,9,549,558
ALALAY,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,0,19,0,19,19
ALCALA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,0,2,0,2
ALTO BENI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,6,72,6,72,78
ANCORAIMES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,16,46,16,46,62
ANDAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,4,4,4,4,8
ANTEQUERA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,3,2,3,2,5
ANZALDO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,8,21,8,21,29
APOLO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,24,40,24,40,64
ARAMPAMPA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,7,9,7,9,16
ARANI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,11,81,11,81,92
ARBIETO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,11,28,11,28,39
ARQUE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,15,9,15,9,24
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,50,136,50,136,186
ATOCHA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,6,0,6,0,6
AUCAPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,0,21,0,21,21
AYATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,5,2,5,2,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,12,349,12,349,361
AZURDUY,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,27,20,27,20,47
BATALLAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,11,222,11,222,233
BAURES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,13,2,13,15
BELEN DE URMIRI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,5,0,5,0,5
BELLA FLOR,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,2,2,2,4
BERMEJO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,60,762,60,762,822
BETANZOS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,23,19,23,19,42
BOLIVAR,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,9,7,9,7,16
BOLPEBRA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,0,2,0,2
BOYUIBE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,5,6,5,6,11
BUENA VISTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,8,37,8,37,45
CABEZAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,34,38,34,38,72
CAIROMA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,3,1,3,4
"CAIZA ""D""",otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,5,0,5,0,5
CAJUATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,8,0,8,0,8
CALACOTO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,10,50,10,50,60
CALAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,15,3,15,3,18
CAMARGO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,17,234,17,234,251
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,24,36,24,36,60
CAMIRI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,35,12,35,12,47
CAPINOTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,24,172,24,172,196
CAQUIAVIRI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,11,7,11,7,18
CARACOLLO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,0,23,0,23,23
CARANAVI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,92,124,92,124,216
CARAPARI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,27,8,27,8,35
CARIPUYO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,1,1,1,2
CARMEN RIVERO TORREZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,3,9,3,9,12
CATACORA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,0,2,0,2,2
CHALLAPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,12,2,12,2,14
CHAQUI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,6,2,6,2,8
CHARAGUA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,27,199,27,199,226
CHARAÑA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,3,0,3,0,3
CHAYANTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,8,2,8,10
CHIMORE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,26,138,26,138,164
CHIPAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,4,5,4,5,9
CHOQUE COTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,7,25,7,25,32
CHUMA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,26,38,26,38,64
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,6,3,6,3,9
CKOCHAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,3,0,3,0,3
CLIZA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,15,33,15,33,48
COBIJA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,23,19,23,19,42
COCAPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,10,13,10,13,23
COCHABAMBA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,551,484,551,484,1035
COLCAPIRHUA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,17,32,17,32,49
"COLCHA ""K""",otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,21,0,21,0,21
COLLANA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,0,2,0,2,2
COLOMI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,43,4,43,4,47
COLPA BELGICA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,1,1,1,2
COLQUECHACA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,20,3,20,3,23
COLQUENCHA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,9,0,9,0,9
COLQUIRI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,23,45,23,45,68
COMANCHE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,0,2,0,2
COMARAPA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,15,32,15,32,47
CONCEPCION,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,0,2,0,2
COPACABANA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,7,2,7,9
CORIPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,20,25,20,25,45
CORO CORO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,13,22,13,22,35
COROICO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,4,17,4,17,21
CORQUE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,4,1,4,5
COTAGAITA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,26,9,26,9,35
COTOCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,36,59,36,59,95
CRUZ DE MACHACAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,0,7,0,7,7
CUATRO CAÑADAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,24,2,24,2,26
CUEVO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,7,5,7,5,12
CULPINA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,31,182,31,182,213
CURAHUARA DE CARANGAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,5,1,5,1,6
CURVA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,0,2,0,2,2
DESAGUADERO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,8,21,8,21,29
EL ALTO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,413,374,413,374,787
EL CHORO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,25,1,25,26
EL PUENTE(STC),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,10,19,10,19,29
EL PUENTE(TJA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,10,95,10,95,105
EL TORNO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,70,214,70,214,284
EL VILLAR,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,8,8,8,8,16
ENTRE RIOS TRJ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,9,19,9,19,28
ENTRE RIOS CBBA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,74,81,74,81,155
ESCARA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,0,1,0,1
ESCOMA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,12,4,12,4,16
EUCALIPTUS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,4,2,4,2,6
EXALTACION,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,16,41,16,41,57
FILADELFIA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,0,6,0,6,6
GENERAL SAAVEDRA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,9,14,9,14,23
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,5,4,5,4,9
GUANAY,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,24,13,24,13,37
GUAQUI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,4,10,4,10,14
GUAYARAMERIN,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,40,19,40,19,59
GUTIERREZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,6,34,6,34,40
HUACARETA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,6,11,6,11,17
HUACHACALLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,1,0,1,0,1
HUANUNI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,33,105,33,105,138
HUARACAJE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,0,2,0,2
HUARINA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,5,1,5,1,6
HUAYLLAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,3,0,3,0,3
HUMANATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,7,2,7,2,9
ICHOCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,2,13,2,13,15
ICLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,11,3,11,3,14
INCAHUASI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,20,19,20,19,39
INQUISIVI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,4,109,4,109,113
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,4,114,4,114,118
IXIAMAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,8,5,8,5,13
JESUS DE MACHACA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,6,8,6,8,14
LA ASUNTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,55,101,55,101,156
LA GUARDIA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-04-01,38,200,38,200,238
