,group,variable,month,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
CORIPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,69,0,69,69
COROICO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,29,0,29,29
CORQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,9,0,9,9
COTOCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,497,0,497,497
EL ALTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,129,182,129,182,311
EL PUENTE(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,236,91,236,91,327
EL TORNO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,20,690,20,690,710
ESCOMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,7,0,7,7
EUREKA (SANTOS MERCADO),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,49,0,49,49
FERNANDEZ ALONSO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,6,31,6,31,37
GENERAL SAAVEDRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,108,0,108,0,108
GUTIERREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,1105,0,1105,1105
IXIAMAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,10,0,10,10
LA ASUNTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,10,84,10,84,94
LA GUARDIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,3874,0,3874,3874
LA PAZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,41,0,41,0,41
LAGUNILLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,776,925,776,925,1701
MACHARETI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,70,0,70,70
MIZQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,2,12,2,12,14
MONTERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,150,758,150,758,908
MORO MORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,27,20,27,20,47
MOROCHATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,153,0,153,153
OCURI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,60,0,60,60
OKINAWA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,842,0,842,842
OMEREQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,165,0,165,165
ORURO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,330,0,330,330
PAILON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,4,1326,4,1326,1330
PALOS BLANCOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,108,0,108,108
PAPEL PAMPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,9,0,9,9
PATACAMAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,120,0,120,120
POJO (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,36,0,36,36
PUERTO ACOSTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,2,0,2,0,2
PUERTO CARABUCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,10,0,10,10
PUERTO VILLARROEL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,10,0,10,0,10
PUNATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,15,0,15,15
QUILLACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,250,560,250,560,810
ROBORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,1100,0,1100,1100
SACABA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,175,229,175,229,404
SAN BENITO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,10,9,10,9,19
SAN CARLOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,192,717,192,717,909
SAN IGNACIO DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,307,3030,307,3030,3337
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,840,0,840,840
SAN JULIAN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,140,0,140,140
SAN LUCAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,20,0,20,20
SAN MATIAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,100,0,100,100
SAN MIGUEL DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,11,0,11,11
SAN PEDRO(PND),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,17,0,17,17
SAN RAFAEL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,277,0,277,277
SAN RAMON SCZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,20,0,20,0,20
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,3960,6349,3960,6349,10309
SANTA ROSA DEL SARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,8,0,8,0,8
SANTIVAÑES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,1,72,1,72,73
SAPAHAQUI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,61,0,61,61
SENA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,175,0,175,175
SHINAOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,19,0,19,19
SICA SICA (VILLA AROMA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,7,54,7,54,61
SICAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,8,0,8,8
SIPE SIPE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,45,28,45,28,73
TACACOMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,6,16,6,16,22
TAPACARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,226,0,226,226
TARATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,9,1,9,1,10
TIQUIPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,11,150,11,150,161
TOCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,10,0,10,10
TOLATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,15,106,15,106,121
TOLEDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,5,10,5,10,15
TOTORA(CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,32,273,32,273,305
UMALA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,53,47,53,47,100
URUBICHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,156,200,156,200,356
VACAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,18,58,18,58,76
VIACHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,67,0,67,67
VILA VILA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,2,39,2,39,41
VILLA MONTES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,157,0,157,157
VILLA TUNARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,100,148,100,148,248
VINTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,31,596,31,596,627
WARNES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,18,333,18,333,351
YAMPARAEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,90,579,90,579,669
ZUDAÑEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-05-01,0,30,0,30,30
ACACIO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,856,0,856,856
ACHACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,95,9461,95,9461,9556
ACHOCALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,240,749,240,749,989
AIQUILE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,59,2048,59,2048,2107
ALALAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,249,0,249,249
ALCALA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,32,1157,32,1157,1189
ALTO BENI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,358,1033,358,1033,1391
ANCORAIMES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1651,0,1651,1651
ANDAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,30,306,30,306,336
ANTEQUERA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,75,240,75,240,315
ANZALDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,123,387,123,387,510
APOLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1347,0,1347,1347
ARAMPAMPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,774,0,774,774
ARANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,900,0,900,900
ARBIETO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,300,4301,300,4301,4601
ARQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,920,0,920,920
ASCENCION DE GUARAYOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,100,106,100,106,206
ATOCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1107,0,1107,1107
AUCAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,24,562,24,562,586
AYATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,718,0,718,718
AYO AYO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,25,763,25,763,788
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,14,1546,14,1546,1560
AZURDUY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,203,189,203,189,392
BATALLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,15,3063,15,3063,3078
BELEN DE ANDAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,15,25,15,25,40
BELEN DE URMIRI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,60,245,60,245,305
BELLA FLOR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,90,0,90,90
BERMEJO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,167,12162,167,12162,12329
BETANZOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,421,7172,421,7172,7593
BOLIVAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,6,851,6,851,857
BOLPEBRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,325,0,325,325
BOYUIBE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,69,0,69,69
CABEZAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,19,1743,19,1743,1762
CAIROMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,220,996,220,996,1216
"CAIZA ""D""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,80,2048,80,2048,2128
CAJUATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1160,0,1160,1160
CALACOTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1047,0,1047,1047
CALAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,2,2042,2,2042,2044
CAMARGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,891,0,891,891
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,362,0,362,362
CAMIRI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,4434,0,4434,4434
CAPINOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,16,3719,16,3719,3735
CAQUIAVIRI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,10,1890,10,1890,1900
CARACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,8,1184,8,1184,1192
CARANAVI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,50,5671,50,5671,5721
CARANGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,25,0,25,25
CARAPARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,1554,759,1554,759,2313
CARIPUYO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,19,1713,19,1713,1732
CHACARILLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,356,0,356,356
CHALLAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,5578,0,5578,5578
CHAQUI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,2143,0,2143,2143
CHARAÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,275,0,275,275
CHAYANTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,80,976,80,976,1056
CHIMORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,7,2794,7,2794,2801
CHOQUE COTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,160,0,160,160
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,12,1804,12,1804,1816
CHUMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,10,768,10,768,778
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,299,0,299,299
CKOCHAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,160,3193,160,3193,3353
CLIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,6,7320,6,7320,7326
COBIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,95,7169,95,7169,7264
COCAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,198,3855,198,3855,4053
COCHABAMBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,1841,200537,1841,200537,202378
COIPASA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,8,24,8,24,32
COLCAPIRHUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,1424,13247,1424,13247,14671
"COLCHA ""K""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,83,746,83,746,829
COLLANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,461,0,461,461
COLOMI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,34,4585,34,4585,4619
COLPA BELGICA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,20,1386,20,1386,1406
COLQUECHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,249,3293,249,3293,3542
COLQUENCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1450,0,1450,1450
COLQUIRI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,2998,0,2998,2998
COMANCHE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,50,708,50,708,758
COMARAPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,35,3375,35,3375,3410
COMBAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,376,0,376,376
CONCEPCION,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1121,0,1121,1121
COPACABANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,115,925,115,925,1040
CORIPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,88,1599,88,1599,1687
CORO CORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,3100,0,3100,3100
COROICO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,72,1397,72,1397,1469
CORQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,31,571,31,571,602
COTAGAITA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,187,5296,187,5296,5483
COTOCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,723,10226,723,10226,10949
CRUZ DE MACHACAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,90,0,90,90
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,121,0,121,121
CULPINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,30,125,30,125,155
CURAHUARA DE CARANGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,24,362,24,362,386
CURVA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,3,206,3,206,209
DESAGUADERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,25,155,25,155,180
EL ALTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,12401,221035,12401,221035,233436
EL CHORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,240,1140,240,1140,1380
EL PUENTE(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,404,415,404,415,819
EL PUENTE(TJA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,45,0,45,45
EL TORNO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,1750,12010,1750,12010,13760
EL VILLAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,289,850,289,850,1139
ENTRE RIOS TRJ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,10,1550,10,1550,1560
ENTRE RIOS CBBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,238,4364,238,4364,4602
ESCARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,23,0,23,23
ESCOMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1167,0,1167,1167
ESMERALDA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,20,0,20,20
EUCALIPTUS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,24,758,24,758,782
EUREKA (SANTOS MERCADO),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,129,0,129,129
FERNANDEZ ALONSO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,397,1734,397,1734,2131
FILADELFIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,663,0,663,663
GENERAL SAAVEDRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,510,3849,510,3849,4359
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,29,179,29,179,208
GUAQUI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1655,0,1655,1655
GUAYARAMERIN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,45,5158,45,5158,5203
GUTIERREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,13,344,13,344,357
HUACARETA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,293,1600,293,1600,1893
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,254,0,254,254
HUACHACALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,15,122,15,122,137
HUANUNI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,6457,0,6457,6457
HUARINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,395,1046,395,1046,1441
HUAYLLAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,3,936,3,936,939
HUMANATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1479,0,1479,1479
ICHOCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1310,0,1310,1310
ICLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,487,455,487,455,942
INCAHUASI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,119,253,119,253,372
INQUISIVI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,1830,0,1830,1830
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,73,1579,73,1579,1652
IXIAMAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,50,705,50,705,755
JESUS DE MACHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,356,2493,356,2493,2849
LA ASUNTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,133,2994,133,2994,3127
LA GUARDIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,14455,0,14455,14455
LA PAZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,10163,139579,10163,139579,149742
LA RIVERA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,30,0,30,30
LAGUNILLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,76,507,76,507,583
LAJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,35,3528,35,3528,3563
LAS CARRERAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,626,0,626,626
LICOMA PAMPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,382,0,382,382
LLALLAGUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,67,0,67,67
LORETO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,5,1,5,1,6
LURIBAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,60,650,60,650,710
MACHACAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,940,0,940,940
MACHARETI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,96,929,96,929,1025
MAGDALENA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,917,0,917,917
MALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,45,317,45,317,362
MAPIRI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,488,1105,488,1105,1593
MECAPACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,627,1710,627,1710,2337
MINEROS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,145,3269,145,3269,3414
MIZQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,135,3778,135,3778,3913
MOCOMOCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,2348,0,2348,2348
MOJINETE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,124,0,124,124
MOJOCOYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,129,1299,129,1299,1428
MONTEAGUDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,843,2744,843,2744,3587
MONTERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,4657,13825,4657,13825,18482
MORO MORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,845,0,845,845
MOROCHATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,78,2355,78,2355,2433
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,246,0,246,246
NAZACARA DE PACAJES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,115,0,115,115
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,342,0,342,342
OCURI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,973,0,973,973
OKINAWA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,2799,0,2799,2799
OMEREQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,5,1022,5,1022,1027
ORURO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,21333,46925,21333,46925,68258
PADCAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,406,3849,406,3849,4255
PADILLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,472,1567,472,1567,2039
PAILON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,5,20,5,20,25
PALCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,970,0,970,970
PALOS BLANCOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,86,1622,86,1622,1708
PAMPA AULLAGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,94,371,94,371,465
PAMPA GRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,455,0,455,455
PAPEL PAMPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,15,1385,15,1385,1400
PASORAPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,218,124,218,124,342
PATACAMAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,79,3390,79,3390,3469
PAZÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,147,893,147,893,1040
PELECHUCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,706,0,706,706
POCOATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,100,396,100,396,496
POCONA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,78,1900,78,1900,1978
POJO (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,215,1158,215,1158,1373
POOPO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,42,607,42,607,649
PORCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,442,954,442,954,1396
POROMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,319,2269,319,2269,2588
PORONGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,63,2649,63,2649,2712
PORTACHUELO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,5,0,5,0,5
PORVENIR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,0,748,0,748,748
POSTRER VALLE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,370,0,370,0,370
POTOSI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-06-01,6561,34456,6561,34456,41017
