,group,variable,month,L 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,L 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
AUCAPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,7,0,7,0,7
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,18,0,18,0,18
BOLIVAR,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,0,13,0,13,13
BUENA VISTA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,1,0,1,0,1
CAMIRI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,19,0,19,0,19
CAPINOTA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,16,0,16,0,16
CARIPUYO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,25,1,25,1,26
CHALLAPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,3,0,3,0,3
CHUMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,10,0,10,0,10
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,4,0,4,0,4
COBIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,11,0,11,0,11
COCHABAMBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,86,0,86,0,86
COLPA BELGICA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,19,0,19,0,19
COTOCA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,39,0,39,0,39
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,26,0,26,0,26
EL PUENTE(TJA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,2,0,2,0,2
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,4,0,4,0,4
ENTRE RIOS TRJ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,10,0,10,0,10
FILADELFIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,1,0,1,0,1
HUANUNI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,4,0,4,0,4
LA GUARDIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,120,0,120,0,120
LAS CARRERAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,11,0,11,0,11
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,0,1,0,1,1
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,92,0,92,0,92
PAILON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,3,0,3,0,3
PASORAPA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,2,0,2,0,2
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,36,0,36,0,36
PUERTO GONZALO MORENO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,41,0,41,0,41
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,4,0,4,0,4
SAN JULIAN,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,48,0,48,0,48
SANTA ROSA DEL SARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,6,0,6,0,6
SANTIVAÑES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,8,0,8,0,8
SENA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,9,0,9,0,9
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,19,0,19,0,19
TACOPAYA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,24,0,24,0,24
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,66,0,66,0,66
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,63,0,63,0,63
VACAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,13,0,13,0,13
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,32,0,32,0,32
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,1,0,1,0,1
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,20,0,20,0,20
ARQUE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
CABEZAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,9,0,9,0,9
"CAIZA ""D""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,5,0,5,0,5
CALAMARCA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,10,0,10,0,10
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,20,0,20,0,20
CHALLAPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,11,0,11,0,11
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,12,0,12,0,12
COBIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,6,2,6,2,8
CURVA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,5,0,5,0,5
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,12,69,12,69,81
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,3,0,3,0,3
ESCOMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
GUTIERREZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,29,0,29,0,29
HUANUNI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,2,0,2,0,2
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,96,0,96,0,96
MAGDALENA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,31,0,31,0,31
PATACAMAYA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,27,0,27,0,27
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,10,30,10,30,40
PUCARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,2,0,2,0,2
PUNATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,140,0,140,0,140
SAMAIPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,6,0,6,0,6
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,12,0,12,0,12
SAN IGNACIO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,2,0,2,0,2
SAN LORENZO(PND),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
SANTA ANA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,27,0,27,0,27
SANTA ROSA DEL SARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,5,0,5,0,5
SANTIAGO DE HUARI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,3,0,3,0,3
SANTIVAÑES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,31,0,31,0,31
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,15,0,15,0,15
TOCO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,35,0,35,0,35
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,4,0,4,0,4
VACAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,11,0,11,0,11
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,4,3,4,3,7
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,4,0,4,0,4
WARNES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,3,0,3,0,3
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,27,12,27,12,39
YAPACANI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-09-01,30,0,30,0,30
ACHACACHI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,62,0,62,0,62
ARBIETO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,3,0,3,0,3
ATOCHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,14,1,14,1,15
"CAIZA ""D""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,1,0,1,0,1
CAMARGO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,1,0,1,0,1
CAMIRI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,4,0,4,0,4
CHALLAPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,5,0,5,0,5
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,6,0,6,0,6
COBIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,10,0,10,0,10
COLQUENCHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,10,0,10,0,10
COTAGAITA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,2,0,2,0,2
COTOCA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,2,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,38,2,38,2,40
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,33,74,33,74,107
EL PUENTE(TJA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,1,0,1,0,1
ESCOMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,1,0,1,0,1
HUACARETA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,0,1,0,1,1
ICLA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,25,0,25,0,25
LA GUARDIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,3,0,3,0,3
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,180,4,180,4,184
LAS CARRERAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,1,0,1,0,1
MONTERO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,78,0,78,0,78
OCURI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,5,0,5,0,5
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,61,0,61,0,61
PAILON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,4,0,4,0,4
POROMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,12,0,12,0,12
PORTACHUELO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,5,0,5,0,5
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,58,3,58,3,61
PUCARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,2,0,2,0,2
PUERTO ACOSTA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,4,0,4,0,4
PUNATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,30,0,30,0,30
ROBORE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,0,3,0,3,3
SAMAIPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,4,0,4,0,4
SAN IGNACIO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,2,0,2,0,2
SAN JOAQUIN,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,60,0,60,0,60
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,11,0,11,0,11
SANTIAGO DE HUATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,5,0,5,0,5
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,97,0,97,0,97
TACOPAYA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,4,0,4,0,4
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,119,0,119,0,119
TIRAQUE (CBBA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,3,0,3,0,3
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,37,3,37,3,40
VACAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,3,0,3,0,3
VALLEGRANDE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,2,0,2,0,2
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,4,1,4,1,5
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,2,0,2,0,2
WARNES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,9,0,9,0,9
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,19,0,19,0,19
YAPACANI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-10-01,5,0,5,0,5
ACHACACHI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
ATOCHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,7,0,7,0,7
CABEZAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,2,15,2,15,17
"CAIZA ""D""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,6,0,6,0,6
CAMIRI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,9,0,9,0,9
CAPINOTA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,3,0,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,0,3,0,3,3
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,18,0,18,0,18
COBIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,0,5,0,5,5
COTAGAITA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,62,6,62,6,68
ESCOMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
FILADELFIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,88,6,88,6,94
MONTEAGUDO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,13,0,13,0,13
MONTERO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,19,0,19,0,19
OCURI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,7,0,7,0,7
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,82,0,82,0,82
PAILON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,2,0,2,0,2
POROMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,8,0,8,0,8
PORTACHUELO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,4,1,4,1,5
PUNATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,18,0,18,0,18
ROBORE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,4,0,4,0,4
SAN IGNACIO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,2,0,2,0,2
SAN JOAQUIN,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,60,0,60,0,60
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,3,0,3,0,3
SAN LORENZO(PND),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,7,0,7,0,7
SAN LORENZO(TJA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,3,0,3,0,3
SAN RAMON BENI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
SANTA ANA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,4,0,4,0,4
SANTIAGO DE HUATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,9,0,9,0,9
SANTIVAÑES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,1,0,1,0,1
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,3,0,3,0,3
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,15,0,15,0,15
TRIGAL,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,12,0,12,0,12
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,7,19,7,19,26
VALLEGRANDE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,0,10,0,10,10
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,8,0,8,0,8
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,0,1,0,1,1
VILLA SERRANO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,9,5,9,5,14
WARNES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,2,0,2,0,2
YUNCHARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-11-01,2,0,2,0,2
ARBIETO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,5,0,5,0,5
ATOCHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,2,1,2,3
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,5,0,5,0,5
BUENA VISTA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
CABEZAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,2,0,2,0,2
CALACOTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,8,0,8,0,8
CAMIRI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,6,0,6,0,6
CHALLAPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,4,0,4,0,4
"COLCHA ""K""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
COMARAPA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,6,0,6,0,6
CORIPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
CORO CORO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
COROICO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,6,0,6,0,6
CULPINA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,8,0,8,0,8
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,83,1,83,1,84
ESCOMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,2,0,2,0,2
GUAYARAMERIN,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,0,149,0,149,149
HUANUNI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,7,0,7,0,7
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,75,40,75,40,115
MONTERO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,3,0,3,0,3
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,153,0,153,0,153
PAILON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,8,0,8,0,8
POROMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,0,3,0,3,3
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,3,0,3,0,3
QUIABAYA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,5,0,5,0,5
