,group,variable,month,L 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,L 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
COLQUIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,14,25,14,25,39
COMANCHE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,0,2,0,2
COMARAPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,3,11,3,14
COMBAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,3,0,3,3
CONCEPCION,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,30,20,30,20,50
COPACABANA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,20,8,20,8,28
CORIPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,1,4,1,5
CORO CORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,8,2,8,10
COROICO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,6,3,6,3,9
CORQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,3,4,3,7
COTAGAITA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,16,11,16,11,27
COTOCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,48,46,48,46,94
CUATRO CAÑADAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,14,20,14,20,34
CUEVO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,17,10,17,27
CULPINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,12,18,12,18,30
CURAHUARA DE CARANGAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,2,4,2,6
CURVA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,1,0,1,1
DESAGUADERO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,8,8,8,8,16
EL ALTO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1061,244,1061,244,1305
EL CHORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,0,11,0,11
EL PUENTE(STC),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,18,32,18,32,50
EL PUENTE(TJA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,14,0,14,0,14
EL TORNO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,82,56,82,56,138
ENTRE RIOS TRJ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,31,11,31,11,42
ENTRE RIOS CBBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,59,18,59,18,77
ESCOMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,8,1,8,9
EUCALIPTUS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,0,3,0,3
EUREKA (SANTOS MERCADO),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,13,4,13,17
EXALTACION,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,2,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,13,7,13,7,20
FILADELFIA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,3,0,3,3
GENERAL SAAVEDRA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,12,10,12,10,22
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,10,3,10,13
GUANAY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,28,22,28,22,50
GUAQUI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,13,3,13,16
GUAYARAMERIN,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,58,101,58,101,159
GUTIERREZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,25,3,25,28
HUACARETA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,2,2,2,4
HUANUNI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,18,13,18,13,31
HUARACAJE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,8,0,8,0,8
HUARINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,2,1,2,3
HUAYLLAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,1,1,1,2
HUMANATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,37,2,37,39
ICHOCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,4,3,4,7
ICLA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,2,2,2,4
INCAHUASI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,17,2,17,2,19
INGAVI (HUMAITA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,5,0,5,5
INQUISIVI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,18,4,18,22
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,3,3,3,6
IXIAMAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,9,0,9,0,9
JESUS DE MACHACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,40,10,40,50
LA ASUNTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,28,55,28,55,83
LA GUARDIA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,36,131,36,131,167
LA PAZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,829,272,829,272,1101
LAGUNILLAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,31,16,31,16,47
LAJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,9,8,9,8,17
LAS CARRERAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,4,0,4,4
LICOMA PAMPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,1,5,1,6
LLALLAGUA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,67,1,67,1,68
LLICA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,0,1,0,1
LORETO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,6,5,6,11
LURIBAY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,20,2,20,22
MACHACAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,7,2,7,2,9
MACHARETI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,1,2,1,3
MAGDALENA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,23,7,23,7,30
MAIRANA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,8,5,8,13
MAPIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,24,14,24,14,38
MECAPACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,33,3,33,36
MINEROS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,42,0,42,0,42
MIZQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,28,47,28,47,75
MOCOMOCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,14,10,14,24
MOJOCOYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,21,0,21,21
MONTEAGUDO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,16,42,16,42,58
MONTERO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,197,508,197,508,705
MORO MORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,12,2,12,14
MOROCHATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,21,10,21,31
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,4,0,4,4
NAZACARA DE PACAJES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,9,0,9,0,9
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,3,2,3,5
OCURI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,11,5,11,16
OKINAWA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,20,42,20,42,62
OMEREQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,6,4,6,4,10
ORURO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,315,30,315,30,345
PADCAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,9,11,9,20
PADILLA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,1,5,1,6
PAILON,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,12,194,12,194,206
PALCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,12,27,12,27,39
PALOS BLANCOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,32,81,32,81,113
PAMPA GRANDE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,7,11,7,11,18
PAPEL PAMPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,7,4,7,11
PASORAPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,6,11,6,11,17
PATACAMAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,16,5,16,5,21
PAZÑA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,1,5,1,6
PELECHUCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,3,11,3,14
POCOATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,16,26,16,26,42
POCONA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,25,11,25,36
POJO (CBBA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,16,21,16,21,37
POOPO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,4,0,4,4
PORCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,2,3,2,5
POROMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,17,38,17,38,55
PORONGO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,9,10,9,10,19
PORTACHUELO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,25,10,25,10,35
POSTRER VALLE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,1,0,1,1
POTOSI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,276,26,276,26,302
PRESTO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,13,0,13,13
PUCARA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,1,1,1,2
PUCARANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,28,21,28,21,49
PUERTO ACOSTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,73,11,73,84
PUERTO CARABUCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,8,138,8,138,146
PUERTO GONZALO MORENO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,6,4,6,4,10
PUERTO PEREZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,26,0,26,26
PUERTO QUIJARRO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,6,14,6,14,20
PUERTO RICO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,8,9,8,9,17
PUERTO SILES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,3,0,3,3
PUERTO SUAREZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,17,0,17,0,17
PUERTO VILLARROEL,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,77,97,77,97,174
PUNA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,28,53,28,53,81
PUNATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,51,14,51,14,65
QUIABAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,1,1,1,2
QUILLACOLLO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,33,114,33,114,147
QUIME,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,6,6,6,6,12
RAVELO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,9,15,9,15,24
REYES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,21,5,21,26
RIBERALTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,176,21,176,21,197
ROBORE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,50,11,50,61
RURRENABAQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,22,9,22,9,31
SABAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,0,2,0,2
SACABA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,86,890,86,890,976
SACABAMBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,4,2,4,6
SACACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,14,15,14,15,29
SAIPINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,31,2,31,33
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,2,5,2,7
SAMAIPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,12,52,12,52,64
SAN ANDRES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,17,9,17,9,26
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,3,3,3,6
SAN BENITO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,6,9,6,9,15
SAN BORJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,42,138,42,138,180
SAN BUENA VENTURA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,12,29,12,29,41
SAN CARLOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,30,4,30,4,34
SAN IGNACIO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,30,36,30,36,66
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,105,42,105,42,147
SAN JAVIER(BNI),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,2,0,2,2
SAN JAVIER(STC),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,7,69,7,69,76
SAN JOAQUIN,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,6,29,6,29,35
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,41,5,41,46
SAN JULIAN,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,53,104,53,104,157
SAN LORENZO(PND),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,13,0,13,13
SAN LORENZO(TJA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,19,4,19,4,23
SAN LUCAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,17,23,17,23,40
SAN MATIAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,12,21,12,21,33
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,11,10,11,21
SAN PABLO DE LIPEZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,4,0,4,4
SAN PEDRO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,9,29,9,29,38
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,16,22,16,22,38
SAN PEDRO DE CURAHUARA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,6,1,6,7
SAN PEDRO DE QUEMES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,3,2,3,5
SAN PEDRO DE TIQUINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,5,2,5,7
SAN RAFAEL,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,7,0,7,7
SAN RAMON BENI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,2,5,2,7
SAN RAMON SCZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,0,5,0,5
SANTA ANA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,16,10,16,26
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1728,1274,1728,1274,3002
SANTA ROSA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,15,32,15,32,47
SANTA ROSA DEL SARA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,16,22,16,22,38
SANTIAGO DE CALLAPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,2,0,2,2
SANTIAGO DE HUARI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,3,2,3,5
SANTIAGO DE HUATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,8,0,8,8
SANTIAGO DE MACHACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,8,4,8,12
SANTIVAÑES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,39,2,39,41
SANTUARIO DE QUILLACAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,1,4,1,5
SAPAHAQUI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,5,0,5,0,5
SENA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,4,3,4,7
SHINAOTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,9,173,9,173,182
SICA SICA (VILLA AROMA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,9,11,9,20
SIPE SIPE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,26,39,26,39,65
SOPACHUY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,3,0,3,3
SORACACHI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,7,11,7,11,18
SORATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,16,4,16,20
SUCRE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,193,242,193,242,435
TACACHI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,0,1,0,1
TACACOMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,1,1,1,2
TACOBAMBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,0,4,0,4
TACOPAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,0,4,0,4
TAPACARI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,24,43,24,43,67
TARABUCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,1,0,1,1
TARACO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,0,4,0,4
TARATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,6,11,6,17
TARIJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,362,128,362,128,490
TARVITA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,20,17,20,17,37
TEOPONTE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,13,2,13,15
TIAWANACU,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,9,10,9,19
TINGUIPAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,15,8,15,8,23
TIPUANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,11,0,11,0,11
TIQUIPAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,44,11,44,11,55
TIRAQUE (CBBA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,45,90,45,90,135
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,3,1,3,1,4
TOCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,43,0,43,43
TOLATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,5,10,5,15
TOLEDO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,6,2,6,8
TOMAVE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,3,4,3,7
TOMINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,0,1,0,1
TORO TORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,10,0,10,0,10
TOTORA(CBBA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,22,18,22,18,40
TOTORA(ORR),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,2,0,2,0,2
TRIGAL,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,1,1,1,1,2
TRINIDAD,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,206,5,206,5,211
TUPIZA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,48,18,48,18,66
TURCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,0,8,0,8,8
UMALA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,4,4,4,8
UNCIA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,7,7,7,7,14
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-03-01,4,0,4,0,4
