,group,variable,month,L 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,L 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
COPACABANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,1,0,1,0,1
COTOCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,72,15,72,15,87
DESAGUADERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,6,0,6,0,6
EL ALTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,681,0,681,0,681
EL TORNO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,72,10,72,10,82
FERNANDEZ ALONSO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,5,0,5,0,5
HUACHACALLA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,3,0,3,0,3
HUANUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,262,0,262,0,262
LA PAZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,644,0,644,0,644
LAJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,2,0,2,0,2
MAIRANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,9,0,9,0,9
MAPIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,1,0,1,0,1
MINEROS,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,14,0,14,0,14
MONTERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,145,0,145,0,145
OKINAWA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,5,0,5,0,5
ORURO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,10,0,10,0,10
PAILON,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,2,0,2,0,2
PALOS BLANCOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,8,0,8,0,8
PORONGO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,7,0,7,0,7
PORTACHUELO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,5,0,5,0,5
POTOSI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,84,0,84,0,84
PUCARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,2,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,6,0,6,0,6
PUERTO VILLARROEL,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,4,0,4,0,4
QUILLACOLLO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,10,0,10,0,10
QUIRUSILLAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,0,5,0,5,5
SACABA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,11,0,11,0,11
SAIPINA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,7,0,7,0,7
SAMAIPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,6,0,6,0,6
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,5,0,5,0,5
SAN JULIAN,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,25,0,25,0,25
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,0,8,0,8,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,2849,0,2849,0,2849
SANTIAGO DE MACHACA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,0,7,0,7,7
SORACACHI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,10,0,10,0,10
SORATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,9,0,9,0,9
SUCRE,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,285,0,285,0,285
TARIJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,185,0,185,0,185
TEOPONTE,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,1,0,1,0,1
TIPUANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,7,0,7,0,7
TIQUIPAYA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,6,0,6,0,6
TOTORA(CBBA),otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,7,1,7,1,8
TUPIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,25,0,25,0,25
VALLEGRANDE,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,33,0,33,0,33
VIACHA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,26,25,26,25,51
VILLA MONTES,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,32,0,32,0,32
VILLAZON,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,1,0,1,0,1
VINTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,1,0,1,0,1
WARNES,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,233,0,233,0,233
YACUIBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,65,0,65,0,65
YAPACANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,19,0,19,0,19
ACHACACHI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,8,0,8,0,8
AIQUILE,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
ANTEQUERA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
ARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,4,0,4,0,4
ARQUE,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,5,0,5,0,5
BERMEJO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,11,0,11,0,11
BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,12,0,12,0,12
CAMIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,21,0,21,0,21
CAPINOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,19,0,19,0,19
CARANAVI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,54,0,54,0,54
CARAPARI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,2,0,2,0,2
CARMEN RIVERO TORREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,4,0,4,0,4
CHALLAPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,4,0,4,0,4
COBIJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,7,0,7,0,7
COCHABAMBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,369,0,369,0,369
COLCAPIRHUA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,3,0,3,0,3
COLPA BELGICA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,151,0,151,0,151
COPACABANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
CORO CORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,0,18,0,18,18
COTOCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,190,38,190,38,228
CUATRO CAÑADAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,7,0,7,0,7
EL ALTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,726,0,726,0,726
EL TORNO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,84,0,84,0,84
ENTRE RIOS TRJ,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,2,0,2,0,2
HUACHACALLA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,3,0,3,0,3
JESUS DE MACHACA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,0,11,0,11,11
LA GUARDIA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,370,1,370,1,371
LA PAZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,729,0,729,0,729
LORETO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
MAIRANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,21,0,21,0,21
MINEROS,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,14,0,14,0,14
MONTERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,150,0,150,0,150
MORO MORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,2,0,2,0,2
OCURI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,0,3,0,3,3
OMEREQUE,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,0,2,0,2,2
ORURO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,8,0,8,0,8
PAILON,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,3,0,3,0,3
PAMPA GRANDE,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,5,0,5,0,5
PORCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,10,0,10,0,10
PORONGO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,38,0,38,0,38
PORTACHUELO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,5,0,5,0,5
POTOSI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,189,0,189,0,189
PUCARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,3,0,3,0,3
PUERTO QUIJARRO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,1,1,1,2
PUERTO SUAREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,2,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,5,0,5,0,5
QUILLACOLLO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,2,0,2,0,2
QUIRUSILLAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,4,0,4,0,4
SACABA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,3,0,3,0,3
SAIPINA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,2,0,2,0,2
SAMAIPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,8,0,8,0,8
SAN BENITO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,4,0,4,0,4
SAN BUENA VENTURA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,26,0,26,0,26
SAN IGNACIO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,14,0,14,0,14
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,6,0,6,0,6
SAN JULIAN,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,25,0,25,0,25
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,0,9,0,9,9
SAN PEDRO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,0,3,0,3,3
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,3827,0,3827,0,3827
SANTA ROSA DEL SARA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,15,0,15,0,15
SANTIVAÑES,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
SHINAOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,5,0,5,0,5
SORACACHI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,2,0,2,0,2
SUCRE,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,135,0,135,0,135
TARATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
TARIJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,329,0,329,0,329
TIAWANACU,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,0,1,0,1,1
TIQUIPAYA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
TORO TORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,32,0,32,0,32
TRIGAL,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,1,0,1,0,1
TUPIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,16,0,16,0,16
UYUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,124,0,124,0,124
VALLEGRANDE,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,23,0,23,0,23
VIACHA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,4,5,4,5,9
VILLA MONTES,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,37,0,37,0,37
VILLAZON,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,11,0,11,0,11
WARNES,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,311,0,311,0,311
YACUIBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,79,0,79,0,79
YAPACANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-06-01,14,0,14,0,14
AIQUILE,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,17,0,17,0,17
BERMEJO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,11,0,11,0,11
BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,5,0,5,0,5
CAMIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,13,0,13,0,13
CARANAVI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,10,0,10,0,10
CARAPARI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,9,0,9,0,9
CHIMORE,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,10,0,10,0,10
CLIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,486,2,486,2,488
COLOMI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
COMARAPA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,7,0,7,0,7
CONCEPCION,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
COPACABANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
COTOCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,116,35,116,35,151
CUATRO CAÑADAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,14,0,14,0,14
CUEVO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,633,0,633,0,633
EL TORNO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,69,0,69,0,69
ENTRE RIOS TRJ,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,4,0,4,0,4
FERNANDEZ ALONSO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,10,0,10,0,10
HUANUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,4,0,4,0,4
JESUS DE MACHACA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,189,4,189,4,193
LA PAZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,739,0,739,0,739
MAIRANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
MIZQUE,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,4,0,4,0,4
MONTERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,147,0,147,0,147
MORO MORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
ORURO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,6,0,6,0,6
PAILON,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
PALOS BLANCOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,7,0,7,0,7
PORONGO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,105,0,105,0,105
PORTACHUELO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,10,0,10,0,10
POTOSI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,228,0,228,0,228
PUCARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,8,0,8,0,8
PUNATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,3,0,3,0,3
QUIRUSILLAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,10,0,10,0,10
RAVELO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,0,7,0,7,7
SACABA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,6,0,6,0,6
SAIPINA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
SAMAIPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,16,0,16,0,16
SAN BENITO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,13,0,13,0,13
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,45,0,45,0,45
SAN JULIAN,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,35,0,35,0,35
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,0,3,0,3,3
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,10,0,10,0,10
SAN RAMON SCZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2951,0,2951,0,2951
SANTA ROSA DEL SARA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,25,0,25,0,25
SUCRE,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,520,0,520,0,520
TARIJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,217,0,217,0,217
TIPUANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,30,0,30,0,30
TIQUIPAYA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,3,0,3,0,3
TOLATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
TORO TORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,36,0,36,0,36
TRIGAL,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,0,3,0,3,3
TUPIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,28,0,28,0,28
UYUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,18,0,18,0,18
VALLEGRANDE,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,14,0,14,0,14
VIACHA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,22,20,22,20,42
VILLA MONTES,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,25,0,25,0,25
VILLA SERRANO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,1,0,1,0,1
VILLAZON,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,9,0,9,0,9
VINTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,2,0,2,0,2
WARNES,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,155,0,155,0,155
YACUIBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-07-01,122,0,122,0,122
ACHACACHI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,12,0,12,0,12
AIQUILE,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,1,0,1,0,1
ANCORAIMES,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,10,0,10,0,10
ARQUE,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,4,8,4,8,12
BERMEJO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,7,6,7,6,13
BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,5,0,5,0,5
CAMIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,16,0,16,0,16
CAPINOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,5,0,5,0,5
CARANAVI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,14,0,14,0,14
CHALLAPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,5,0,5,0,5
CHARAGUA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,8,8,8,8,16
CHIMORE,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,25,0,25,0,25
CKOCHAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,0,20,0,20,20
CLIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,3,0,3,0,3
COCHABAMBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,387,0,387,0,387
COLCAPIRHUA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,4,0,4,0,4
COMARAPA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,7,0,7,0,7
COPACABANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,2,0,2,0,2
COTOCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,142,104,142,104,246
CUATRO CAÑADAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,38,0,38,0,38
EL ALTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,684,0,684,0,684
EL TORNO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,173,2,173,2,175
ENTRE RIOS TRJ,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,5,0,5,0,5
HUACHACALLA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,1,0,1,0,1
HUANUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,4,0,4,0,4
JESUS DE MACHACA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,0,1,0,1,1
LA GUARDIA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,296,9,296,9,305
LA PAZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,703,0,703,0,703
MAIRANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,21,0,21,0,21
MAPIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,7,0,7,0,7
MINEROS,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,28,0,28,0,28
MIZQUE,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,4,0,4,0,4
MONTERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,172,0,172,0,172
ORURO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,2,0,2,0,2
PAILON,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,2,0,2,0,2
PORCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,10,0,10,0,10
PORONGO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,19,0,19,0,19
PORTACHUELO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,15,0,15,0,15
POTOSI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,140,0,140,0,140
PUCARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,3,0,3,0,3
PUERTO QUIJARRO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,4,0,4,0,4
PUERTO VILLARROEL,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,3,0,3,0,3
PUNA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,10,0,10,0,10
SABAYA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,0,1,0,1,1
SACABA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,12,0,12,0,12
SAIPINA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,4,0,4,0,4
SAMAIPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,24,0,24,0,24
SAN BENITO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,0,20,0,20,20
SAN BUENA VENTURA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,16,0,16,0,16
SAN IGNACIO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,11,0,11,0,11
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,268,0,268,0,268
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,0,1,0,1,1
SAN RAMON SCZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,20,0,20,0,20
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,2542,0,2542,0,2542
SANTIVAÑES,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,1,0,1,0,1
SUCRE,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,1011,0,1011,0,1011
TARATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,2,11,2,11,13
TARIJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,284,0,284,0,284
TIAWANACU,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,0,8,0,8,8
TIPUANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,27,0,27,0,27
TIQUIPAYA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,2,0,2,0,2
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,2,0,2,0,2
TORO TORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,16,0,16,0,16
TUPIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,4,0,4,0,4
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,1,0,1,0,1
UYUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-08-01,6,0,6,0,6
