,group,variable,month,L 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,L 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
IXIAMAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,3,0,3,3
LA ASUNTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,2,3,2,5
LA GUARDIA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,38,24,38,24,62
LA PAZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,90,24,90,24,114
LAGUNILLAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,1,0,1,1
LAJA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,7,0,7,7
LAS CARRERAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,1,3,1,4
LLALLAGUA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,8,0,8,0,8
LURIBAY,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
MACHARETI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,38,1,38,39
MAIRANA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
MAPIRI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
MECAPACA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
MINEROS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,2,1,2,3
MOCOMOCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,42,0,42,42
MOJOCOYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,0,2,0,2
MONTEAGUDO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,5,103,5,103,108
MONTERO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,421,510,421,510,931
MORO MORO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,0,3,0,3
MOROCHATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
OMEREQUE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,27,1,27,28
ORURO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,21,1,21,1,22
PADCAYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,14,14,14,14,28
PADILLA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,0,3,0,3
PAILON,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,25,1,25,26
PALOS BLANCOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,4,5,4,5,9
PAMPA GRANDE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,2,2,2,4
PASORAPA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,2,0,2,2
PATACAMAYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
PELECHUCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,3,2,3,5
POCOATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,0,2,0,2
POCONA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,20,2,20,22
POOPO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
POROMA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,15,0,15,15
PORONGO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,3,2,3,5
PORVENIR,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,1,0,1,1
POTOSI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,5,0,5,0,5
PUCARANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,4,79,4,79,83
PUERTO QUIJARRO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,7,6,7,6,13
PUERTO RICO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
PUERTO SILES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,1,3,1,4
PUERTO VILLARROEL,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,7,13,7,13,20
PUNA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,3,0,3,3
PUNATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,11,4,11,4,15
QUILLACOLLO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,8,24,8,24,32
QUIME,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,0,2,0,2
REYES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,1,0,1,1
SACABA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,23,73,23,73,96
SACABAMBA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,4,0,4,4
SACACA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
SAIPINA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,1,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,3,3,3,6
SAMAIPATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,1,2,1,3
SAN ANDRES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,2,3,2,5
SAN BENITO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,3,2,3,5
SAN BORJA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,6,12,6,12,18
SAN BUENA VENTURA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,1,1,1,2
SAN CARLOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,10,10,10,10,20
SAN IGNACIO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,7,2,7,9
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,24,4,24,4,28
SAN JAVIER(BNI),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
SAN JAVIER(STC),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,5,0,5,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,63,0,63,63
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,85,0,85,85
SAN JULIAN,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,6,3,6,9
SAN LORENZO(TJA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,1,2,1,3
SAN LUCAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,87,15,87,15,102
SAN MATIAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,8,13,8,13,21
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,7,110,7,110,117
SAN PEDRO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,1,0,1,1
SAN RAFAEL,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,44,3,44,47
SAN RAMON SCZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,271,280,271,280,551
SANTA ROSA DEL SARA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,7,4,7,4,11
SANTIVAÑES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,21,1,21,22
SAPAHAQUI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
SHINAOTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,9,1,9,10
SICAYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,2,0,2,2
SIPE SIPE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,2,2,2,4
SORACACHI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,0,1,0,1
SORATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,8,0,8,8
SUCRE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,37,27,37,27,64
TACACOMA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,2,1,2,3
TAPACARI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,2,1,2,3
TARABUCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,16,5,16,5,21
TARATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,7,57,7,57,64
TARIJA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,32,5,32,5,37
TARVITA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,6,0,6,6
TIAWANACU,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,1,0,1,1
TIQUIPAYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,11,29,11,29,40
TIRAQUE (CBBA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,1,0,1,1
TOCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,14,0,14,14
TOLATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,3,0,3,3
TOLEDO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,1,1,1,2
TOMINA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,20,1,20,1,21
TOTORA(CBBA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,4,6,4,6,10
TRIGAL,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,7,1,7,8
TRINIDAD,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,4,1,4,1,5
TUPIZA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,1,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,0,2,0,2
URUBICHA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,12,0,12,0,12
VACAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,3,1,3,4
VALLEGRANDE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,147,0,147,147
VIACHA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,12,1,12,1,13
VILA VILA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,4,0,4,4
VILLA CHARCAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,2,5,2,5,7
VILLA MONTES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,7,1,7,8
VILLA SERRANO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,3,7,3,7,10
VILLA TUNARI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,19,9,19,9,28
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,1,14,1,14,15
VILLAZON,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,7,1,7,1,8
VINTO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,10,1,10,1,11
WARNES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,16,2,16,2,18
YACUIBA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,8,43,8,43,51
YAMPARAEZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,4,3,4,3,7
YAPACANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,8,74,8,74,82
YOTALA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,12,0,12,12
ZUDAÑEZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-04-01,0,16,0,16,16
ACHACACHI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,1,0,1,1
AIQUILE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,0,1,0,1
ALALAY,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,3,0,3,3
ALCALA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,3,0,3,0,3
ALTO BENI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,0,2,0,2
ANCORAIMES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,0,1,0,1
ANDAMARCA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,6,0,6,6
ANTEQUERA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,0,2,0,2
ANZALDO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,4,0,4,4
APOLO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,2,0,2,2
ARAMPAMPA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,0,1,0,1
ARANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,5,1,5,6
ARBIETO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,5,6,5,6,11
ARQUE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,1,2,1,3
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,7,0,7,0,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,7,1,7,8
BATALLAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,4,1,4,5
BERMEJO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,9,102,9,102,111
BETANZOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,93,1,93,94
BOLIVAR,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,1,2,1,3
BOYUIBE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,17,0,17,0,17
BUENA VISTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,7,1,7,1,8
CABEZAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,2,1,2,3
"CAIZA ""D""",otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,2,0,2,2
CAJUATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,5,0,5,0,5
CALAMARCA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,1,0,1,1
CAMARGO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,5,0,5,0,5
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,3,2,3,2,5
CAMIRI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,6,2,6,8
CAPINOTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,4,0,4,0,4
CARACOLLO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,13,2,13,15
CARANAVI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,10,65,10,65,75
CARAPARI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,7,0,7,0,7
CARIPUYO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,6,0,6,6
CHALLAPATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,7,4,7,4,11
CHARAGUA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,23,2,23,25
CHIMORE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,4,4,4,4,8
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,3,0,3,3
CLIZA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,14,84,14,84,98
COBIJA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,15,6,15,6,21
COCHABAMBA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,133,68,133,68,201
COLCAPIRHUA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,9,6,9,6,15
"COLCHA ""K""",otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,4,1,4,1,5
COLOMI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,6,5,6,5,11
COLPA BELGICA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,0,2,0,2
COLQUECHACA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,2,0,2,2
COLQUIRI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,1,0,1,1
COMARAPA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,12,24,12,24,36
COMBAYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,2,0,2,2
CONCEPCION,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,3,1,3,1,4
COPACABANA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,10,0,10,10
CORIPATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,0,1,0,1
CORO CORO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,1,1,1,2
COROICO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,1,2,1,3
CORQUE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,1,1,1,2
COTAGAITA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,8,24,8,24,32
COTOCA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,30,142,30,142,172
CUATRO CAÑADAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,2,1,2,3
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,0,1,0,1
CUEVO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,5,1,5,6
CULPINA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,1,0,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,1,0,1,1
CURVA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,26,0,26,26
DESAGUADERO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,0,2,0,2
EL ALTO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,273,231,273,231,504
EL PUENTE(STC),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,0,1,0,1
EL PUENTE(TJA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,8,16,8,16,24
EL TORNO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,26,108,26,108,134
EL VILLAR,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,4,2,4,6
ENTRE RIOS TRJ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,6,102,6,102,108
ENTRE RIOS CBBA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,14,4,14,4,18
ESCOMA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,1,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,116,1,116,117
FILADELFIA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,4,2,4,2,6
GUANAY,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,5,0,5,5
GUAQUI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,3,1,3,1,4
GUAYARAMERIN,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,4,1,4,5
GUTIERREZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,4,15,4,15,19
HUACARETA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,3,10,3,10,13
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,4,26,4,26,30
HUANUNI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,2,8,2,8,10
ICLA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,1,0,1,1
INCAHUASI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,9,0,9,9
INQUISIVI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,1,13,1,13,14
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,10,0,10,10
JESUS DE MACHACA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,0,45,0,45,45
LA ASUNTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,8,0,8,0,8
LA GUARDIA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-05-01,37,20,37,20,57
