,group,variable,month,L 21.8 TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,L 21.8 TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
VILLAZON,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,16,0,16,0,16
WARNES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
ARBIETO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,2,0,2,0,2
ATOCHA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,7,2,7,2,9
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,4,0,4,0,4
CAMARGO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,2,0,2,0,2
COBIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,2,0,2,0,2
"COLCHA ""K""",otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,3,0,3,0,3
COROICO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,1,0,1,0,1
CULPINA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,9,0,9,0,9
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,3,0,3,0,3
HUANUNI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,0,1,0,1,1
INQUISIVI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,20,0,20,0,20
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,18,0,18,0,18
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,4,0,4,0,4
PAILON,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,6,0,6,0,6
PASORAPA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,2,0,2,0,2
POROMA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,1,0,1,0,1
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,12,0,12,0,12
ROBORE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,2,2,2,2,4
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,63,0,63,0,63
SANTIAGO DE HUARI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,1,1,1,1,2
SUCRE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,11,0,11,0,11
TOCO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,2,0,2,0,2
TRINIDAD,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,19,0,19,0,19
VILLAZON,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,18,0,18,0,18
WARNES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-12-01,5,0,5,0,5
