municipality,group,variable,month,Número de condones entregados,Número de condones entregados1,Número de condones entregados2,Número de condones entregados3,Número de condones entregados4,TOTAL
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,132,24,0,180
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,30,0,0,30
INGAVI (HUMAITA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,36,0,0,36
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,60,48,0,108
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,120,36,12,168
IXIAMAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,48,0,0,60
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,60,12,0,72
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,252,60,0,348
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,60,444,60,0,564
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,12,837,8693,5822,240,15604
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,72,0,0,72
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,216,48,0,300
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,72,0,0,72
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,0,12,0,12
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,168,288,132,0,588
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,0,0,48
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,2,41,15,0,58
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,60,36,0,96
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,24,12,0,36
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,12,12,0,36
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,60,24,24,0,108
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,48,0,0,84
MALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,0,12,0,24
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,48,96,0,0,144
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,96,24,0,144
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,277,48,0,361
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,24,12,0,60
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,0,36,0,48
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,48,192,72,12,324
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,146,1012,132,36,1326
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,24,24,0,72
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,24,12,0,48
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,0,0,12,24
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,84,36,0,144
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,36,12,0,48
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,84,36,0,132
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,1218,8435,1953,0,11606
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,96,358,135,0,589
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,36,36,0,84
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,84,158,38,0,280
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,144,24,0,180
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,84,168,132,12,396
PAMPA AULLAGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,24,12,0,36
PAMPA GRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,12,0,24
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,36,0,0,36
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,24,12,0,48
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,12,12,108,12,0,144
PELECHUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,120,48,0,192
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,72,168,108,12,360
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,156,72,0,264
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,12,12,96,60,0,180
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,12,0,60
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,84,12,0,120
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,96,12,0,120
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,48,0,96
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,24,12,0,36
POSTRER VALLE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,60,0,0,72
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,96,804,600,0,1500
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,60,36,0,96
PUCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,84,36,0,144
PUERTO ACOSTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,0,12,0,12
PUERTO CARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,24,36,0,60
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,12,12,144,24,0,192
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,216,324,30,0,570
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,12,0,0,24
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,72,468,120,12,672
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,108,36,0,168
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,60,300,84,0,444
QUIABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,0,12,0,12
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,38,384,12,0,434
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,108,12,0,120
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,60,0,0,60
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,48,144,84,0,276
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,12,222,629,279,0,1142
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,108,12,0,120
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,48,96,12,0,156
SABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,12,0,60
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,72,1164,336,12,1584
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,0,0,48
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,12,0,0,24
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,96,48,0,156
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,180,12,0,192
SAN AGUSTIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,0,12,0,48
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,0,24,0,24
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,48,0,0,60
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,108,12,0,132
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,120,24,0,144
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,0,12,0,12
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,48,120,48,0,216
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,24,48,216,48,0,336
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,168,48,0,216
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,48,60,0,120
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,96,36,0,168
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,60,0,0,84
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,84,48,0,144
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,52,144,52,0,248
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,96,156,60,0,312
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,24,0,0,36
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,108,24,0,144
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,108,36,0,144
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,120,36,0,180
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,0,12,0,12
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,24,0,0,24
SAN RAFAEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,132,12,12,168
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,60,363,24,12,0,459
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,58,931,3583,370,0,4942
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,12,12,36
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,60,180,24,0,264
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,72,36,0,108
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,24,0,0,24
SANTIVAÑES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,96,36,0,132
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,72,0,0,84
SAPAHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,0,0,48
SENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,24,0,0,48
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,34,24,0,58
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,60,24,0,84
SICAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,12,0,60
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,84,36,0,132
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,24,36,0,96
SORACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,108,60,0,204
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,24,0,0,24
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,1323,4025,1080,48,6476
TACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,36,12,0,48
TACACOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,72,12,0,108
TACOBAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,0,0,48
TACOPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,24,36,0,60
TAHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,12,0,0,24
TAPACARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,60,36,0,108
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,48,12,0,72
TARACO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,12,0,0,24
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,12,180,669,252,0,1113
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,72,48,0,132
TEOPONTE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,12,0,60
TIAWANACU,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,48,48,0,132
TINGUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,12,24,0,72
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,216,24,0,252
TIRAQUE (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,48,132,24,0,204
TITO YUPANQUI (PARQUIPUJIO),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,0,24,0,24
TOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,24,12,0,48
TODOS SANTOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,0,0,12
TOLATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,72,0,12,84
TOLEDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,12,0,60
TOMAVE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,48,24,0,96
TOMINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,48,84,84,0,216
TORO TORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,120,60,0,204
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,101,29,0,154
TOTORA(ORR),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,60,0,0,60
TRIGAL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,0,0,48
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,461,1331,603,45,2440
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,36,60,384,156,24,660
TURCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,13,12,0,25
UMALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,12,12,0,24
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,192,12,0,216
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,100,92,0,216
URUBICHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,36,24,0,60
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,108,36,0,144
VACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,36,12,0,48
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,181,24,0,241
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,72,348,144,0,564
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,72,12,0,96
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,120,198,224,24,566
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,36,12,0,48
VILLA RIVERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,0,0,48
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,24,24,0,60
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,84,699,156,12,951
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,72,110,0,194
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,48,384,144,0,576
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,60,324,24,0,408
VITICHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,36,24,0,84
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,24,75,24,0,123
YACO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,12,0,24,12,0,48
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,523,114,3,652
YAMPARAEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,0,0,0,12
YANACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,36,0,0,36
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,60,324,24,0,408
YOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,0,48,24,0,72
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,18,64,0,0,82
YUNCHARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,12,119,39,12,182
ZUDAÑEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-03-01,0,36,48,48,0,132
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,12,12,12,0,36
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,45,36,0,81
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,24,144,12,12,192
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,58,156,35,12,261
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,12,72,12,12,108
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,12,96,24,0,132
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,24,0,12,0,36
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,12,12,0,0,24
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,12,84,24,0,120
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,36,0,0,36
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,12,132,48,0,192
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,12,0,0,12
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,0,24,0,24
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,132,12,0,144
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,60,36,0,96
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,12,12,0,0,24
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,228,12,0,240
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,36,0,0,36
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,24,12,0,36
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,84,204,84,12,384
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,48,36,0,84
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,60,0,0,60
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,15,0,0,0,15
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-04-01,0,0,0,12,0,12
