,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES PRIMERA,MENORES DE 6 MESES PRIMERA,TOTALES,TOTALES,TOTALES
ALTO BENI,consulta externa,menores de 6 meses,2024-04-01,38,38,1,1,0,0,76,2,78
ANCORAIMES,consulta externa,menores de 6 meses,2024-04-01,11,11,4,4,3,1,22,8,30
ANDAMARCA,consulta externa,menores de 6 meses,2024-04-01,7,3,0,0,0,0,10,0,10
ANTEQUERA,consulta externa,menores de 6 meses,2024-04-01,5,3,0,0,0,0,8,0,8
ANZALDO,consulta externa,menores de 6 meses,2024-04-01,4,11,3,0,0,0,15,3,18
APOLO,consulta externa,menores de 6 meses,2024-04-01,51,51,35,24,2,4,102,59,161
ARAMPAMPA,consulta externa,menores de 6 meses,2024-04-01,3,3,0,0,0,0,6,0,6
ARANI,consulta externa,menores de 6 meses,2024-04-01,8,11,1,0,1,1,19,1,20
ARBIETO,consulta externa,menores de 6 meses,2024-04-01,91,76,9,11,5,3,167,20,187
ARQUE,consulta externa,menores de 6 meses,2024-04-01,28,25,0,0,0,0,53,0,53
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2024-04-01,34,53,3,2,9,11,87,5,92
ATOCHA,consulta externa,menores de 6 meses,2024-04-01,41,52,0,3,2,3,93,3,96
AUCAPATA,consulta externa,menores de 6 meses,2024-04-01,12,8,1,0,6,1,20,1,21
AYATA,consulta externa,menores de 6 meses,2024-04-01,14,13,0,2,3,1,27,2,29
AYO AYO,consulta externa,menores de 6 meses,2024-04-01,18,11,5,2,0,0,29,7,36
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2024-04-01,43,44,4,2,4,4,87,6,93
AZURDUY,consulta externa,menores de 6 meses,2024-04-01,24,30,11,6,0,0,54,17,71
BATALLAS,consulta externa,menores de 6 meses,2024-04-01,18,12,8,3,0,0,30,11,41
BAURES,consulta externa,menores de 6 meses,2024-04-01,5,5,0,0,0,0,10,0,10
BELEN DE URMIRI,consulta externa,menores de 6 meses,2024-04-01,0,3,0,0,0,1,3,0,3
BELLA FLOR,consulta externa,menores de 6 meses,2024-04-01,7,6,2,4,1,0,13,6,19
BERMEJO,consulta externa,menores de 6 meses,2024-04-01,203,146,29,29,2,3,349,58,407
BETANZOS,consulta externa,menores de 6 meses,2024-04-01,30,25,2,2,0,0,55,4,59
BOLIVAR,consulta externa,menores de 6 meses,2024-04-01,3,11,3,1,0,0,14,4,18
BOLPEBRA,consulta externa,menores de 6 meses,2024-04-01,3,2,0,0,0,0,5,0,5
BOYUIBE,consulta externa,menores de 6 meses,2024-04-01,5,5,0,0,0,0,10,0,10
BUENA VISTA,consulta externa,menores de 6 meses,2024-04-01,12,3,0,0,1,0,15,0,15
CABEZAS,consulta externa,menores de 6 meses,2024-04-01,55,57,1,0,8,3,112,1,113
CAIROMA,consulta externa,menores de 6 meses,2024-04-01,23,15,0,0,4,1,38,0,38
"CAIZA ""D""",consulta externa,menores de 6 meses,2024-04-01,21,23,0,0,0,0,44,0,44
CAJUATA,consulta externa,menores de 6 meses,2024-04-01,27,28,4,1,10,4,55,5,60
CALACOTO,consulta externa,menores de 6 meses,2024-04-01,9,9,0,0,0,0,18,0,18
CALAMARCA,consulta externa,menores de 6 meses,2024-04-01,12,17,0,0,0,0,29,0,29
CAMARGO,consulta externa,menores de 6 meses,2024-04-01,47,53,12,10,0,1,100,22,122
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 6 meses,2024-04-01,4,3,0,0,0,0,7,0,7
CAMIRI,consulta externa,menores de 6 meses,2024-04-01,41,25,7,5,3,0,66,12,78
CAPINOTA,consulta externa,menores de 6 meses,2024-04-01,51,50,19,15,0,0,101,34,135
CAQUIAVIRI,consulta externa,menores de 6 meses,2024-04-01,19,23,3,0,1,0,42,3,45
CARACOLLO,consulta externa,menores de 6 meses,2024-04-01,65,64,4,14,10,16,129,18,147
CARANAVI,consulta externa,menores de 6 meses,2024-04-01,153,158,8,15,1,1,311,23,334
CARAPARI,consulta externa,menores de 6 meses,2024-04-01,52,45,5,4,3,2,97,9,106
CARIPUYO,consulta externa,menores de 6 meses,2024-04-01,9,2,0,0,0,0,11,0,11
CARMEN RIVERO TORREZ,consulta externa,menores de 6 meses,2024-04-01,9,6,2,0,2,1,15,2,17
CATACORA,consulta externa,menores de 6 meses,2024-04-01,3,5,2,1,0,0,8,3,11
CHACARILLA,consulta externa,menores de 6 meses,2024-04-01,2,2,0,0,0,0,4,0,4
CHALLAPATA,consulta externa,menores de 6 meses,2024-04-01,85,102,7,6,19,30,187,13,200
CHAQUI,consulta externa,menores de 6 meses,2024-04-01,8,7,0,0,0,0,15,0,15
CHARAGUA,consulta externa,menores de 6 meses,2024-04-01,61,74,4,20,0,0,135,24,159
CHARAÑA,consulta externa,menores de 6 meses,2024-04-01,2,1,1,4,0,0,3,5,8
CHAYANTA,consulta externa,menores de 6 meses,2024-04-01,29,27,3,2,5,5,56,5,61
CHIMORE,consulta externa,menores de 6 meses,2024-04-01,102,110,33,44,5,3,212,77,289
CHIPAYA,consulta externa,menores de 6 meses,2024-04-01,0,2,0,1,0,0,2,1,3
CHOQUE COTA,consulta externa,menores de 6 meses,2024-04-01,2,0,0,0,0,0,2,0,2
CHUA COCANI,consulta externa,menores de 6 meses,2024-04-01,8,0,7,5,0,0,8,12,20
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 6 meses,2024-04-01,25,31,7,5,5,10,56,12,68
CHUMA,consulta externa,menores de 6 meses,2024-04-01,14,17,0,3,3,5,31,3,34
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,menores de 6 meses,2024-04-01,12,11,1,0,0,0,23,1,24
CKOCHAS,consulta externa,menores de 6 meses,2024-04-01,17,18,0,0,4,2,35,0,35
CLIZA,consulta externa,menores de 6 meses,2024-04-01,80,82,44,37,0,0,162,81,243
COBIJA,consulta externa,menores de 6 meses,2024-04-01,206,181,80,57,1,3,387,137,524
COCAPATA,consulta externa,menores de 6 meses,2024-04-01,65,66,2,2,6,1,131,4,135
COCHABAMBA,consulta externa,menores de 6 meses,2024-04-01,2276,2066,1084,1005,157,145,4342,2089,6431
COLCAPIRHUA,consulta externa,menores de 6 meses,2024-04-01,119,108,57,53,0,0,227,110,337
"COLCHA ""K""",consulta externa,menores de 6 meses,2024-04-01,19,31,6,5,3,1,50,11,61
COLLANA,consulta externa,menores de 6 meses,2024-04-01,8,7,0,2,0,0,15,2,17
COLOMI,consulta externa,menores de 6 meses,2024-04-01,47,43,5,7,15,10,90,12,102
COLPA BELGICA,consulta externa,menores de 6 meses,2024-04-01,13,14,2,0,0,0,27,2,29
COLQUECHACA,consulta externa,menores de 6 meses,2024-04-01,19,19,0,0,0,0,38,0,38
COLQUENCHA,consulta externa,menores de 6 meses,2024-04-01,21,22,5,15,0,0,43,20,63
COLQUIRI,consulta externa,menores de 6 meses,2024-04-01,49,37,15,12,11,8,86,27,113
COMANCHE,consulta externa,menores de 6 meses,2024-04-01,6,5,0,0,0,0,11,0,11
COMARAPA,consulta externa,menores de 6 meses,2024-04-01,46,38,11,15,1,3,84,26,110
COMBAYA,consulta externa,menores de 6 meses,2024-04-01,0,2,0,0,0,0,2,0,2
CONCEPCION,consulta externa,menores de 6 meses,2024-04-01,35,41,8,7,2,2,76,15,91
COPACABANA,consulta externa,menores de 6 meses,2024-04-01,15,9,2,1,0,0,24,3,27
CORIPATA,consulta externa,menores de 6 meses,2024-04-01,40,48,3,2,3,3,88,5,93
CORO CORO,consulta externa,menores de 6 meses,2024-04-01,23,15,1,0,0,0,38,1,39
COROICO,consulta externa,menores de 6 meses,2024-04-01,52,52,16,15,17,14,104,31,135
CORQUE,consulta externa,menores de 6 meses,2024-04-01,7,6,2,3,0,1,13,5,18
COTAGAITA,consulta externa,menores de 6 meses,2024-04-01,23,24,2,2,5,7,47,4,51
COTOCA,consulta externa,menores de 6 meses,2024-04-01,133,115,10,8,28,14,248,18,266
CRUZ DE MACHACAMARCA,consulta externa,menores de 6 meses,2024-04-01,0,2,0,0,0,0,2,0,2
CUATRO CAÑADAS,consulta externa,menores de 6 meses,2024-04-01,46,38,12,11,0,0,84,23,107
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 6 meses,2024-04-01,5,5,0,1,0,0,10,1,11
CUEVO,consulta externa,menores de 6 meses,2024-04-01,10,6,4,8,0,0,16,12,28
CULPINA,consulta externa,menores de 6 meses,2024-04-01,26,15,0,0,2,0,41,0,41
CURAHUARA DE CARANGAS,consulta externa,menores de 6 meses,2024-04-01,4,2,0,0,2,2,6,0,6
CURVA,consulta externa,menores de 6 meses,2024-04-01,3,2,0,0,2,2,5,0,5
DESAGUADERO,consulta externa,menores de 6 meses,2024-04-01,8,11,3,3,0,0,19,6,25
EL ALTO,consulta externa,menores de 6 meses,2024-04-01,2890,2640,930,908,459,432,5530,1838,7368
EL CHORO,consulta externa,menores de 6 meses,2024-04-01,1,3,0,0,0,2,4,0,4
EL PUENTE(STC),consulta externa,menores de 6 meses,2024-04-01,8,16,1,0,0,1,24,1,25
EL PUENTE(TJA),consulta externa,menores de 6 meses,2024-04-01,21,31,1,1,8,15,52,2,54
EL TORNO,consulta externa,menores de 6 meses,2024-04-01,146,174,224,192,0,0,320,416,736
EL VILLAR,consulta externa,menores de 6 meses,2024-04-01,5,6,0,0,0,0,11,0,11
ENTRE RIOS TRJ,consulta externa,menores de 6 meses,2024-04-01,43,31,2,0,0,0,74,2,76
ENTRE RIOS CBBA,consulta externa,menores de 6 meses,2024-04-01,159,173,8,8,2,0,332,16,348
ESCOMA,consulta externa,menores de 6 meses,2024-04-01,9,9,0,0,0,0,18,0,18
EUCALIPTUS,consulta externa,menores de 6 meses,2024-04-01,5,15,0,1,2,4,20,1,21
EUREKA (SANTOS MERCADO),consulta externa,menores de 6 meses,2024-04-01,3,4,0,0,0,0,7,0,7
EXALTACION,consulta externa,menores de 6 meses,2024-04-01,2,5,0,1,0,0,7,1,8
FERNANDEZ ALONSO,consulta externa,menores de 6 meses,2024-04-01,32,32,3,3,2,4,64,6,70
FILADELFIA,consulta externa,menores de 6 meses,2024-04-01,5,4,0,0,11,8,9,0,9
GAIOC JATUN AYLLU YURA,consulta externa,menores de 6 meses,2024-04-01,12,8,0,1,0,0,20,1,21
GENERAL SAAVEDRA,consulta externa,menores de 6 meses,2024-04-01,43,42,10,9,0,0,85,19,104
GIA-TIM,consulta externa,menores de 6 meses,2024-04-01,5,5,1,1,1,1,10,2,12
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 6 meses,2024-04-01,13,15,2,2,1,2,28,4,32
GUANAY,consulta externa,menores de 6 meses,2024-04-01,30,34,42,30,0,0,64,72,136
GUAQUI,consulta externa,menores de 6 meses,2024-04-01,12,12,1,1,3,3,24,2,26
GUAYARAMERIN,consulta externa,menores de 6 meses,2024-04-01,101,102,8,12,22,17,203,20,223
GUTIERREZ,consulta externa,menores de 6 meses,2024-04-01,32,30,2,1,0,0,62,3,65
HUACARAJE,consulta externa,menores de 6 meses,2024-04-01,1,4,3,4,0,0,5,7,12
HUACARETA,consulta externa,menores de 6 meses,2024-04-01,11,18,4,5,0,0,29,9,38
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 6 meses,2024-04-01,8,8,1,1,0,0,16,2,18
HUACHACALLA,consulta externa,menores de 6 meses,2024-04-01,1,1,2,0,0,0,2,2,4
HUANUNI,consulta externa,menores de 6 meses,2024-04-01,59,51,18,7,10,9,110,25,135
HUARINA,consulta externa,menores de 6 meses,2024-04-01,9,10,3,3,0,0,19,6,25
HUATAJATA,consulta externa,menores de 6 meses,2024-04-01,2,6,6,5,0,0,8,11,19
HUAYLLAMARCA,consulta externa,menores de 6 meses,2024-04-01,5,5,1,1,0,0,10,2,12
HUMANATA,consulta externa,menores de 6 meses,2024-04-01,2,8,3,3,1,4,10,6,16
ICHOCA,consulta externa,menores de 6 meses,2024-04-01,13,15,7,4,0,1,28,11,39
ICLA,consulta externa,menores de 6 meses,2024-04-01,15,17,1,2,0,0,32,3,35
INCAHUASI,consulta externa,menores de 6 meses,2024-04-01,43,41,0,0,8,12,84,0,84
INGAVI (HUMAITA),consulta externa,menores de 6 meses,2024-04-01,3,1,0,0,0,0,4,0,4
INQUISIVI,consulta externa,menores de 6 meses,2024-04-01,18,19,3,1,10,7,37,4,41
IRUPANA (VILLA DE LANZA),consulta externa,menores de 6 meses,2024-04-01,37,36,1,2,0,0,73,3,76
IXIAMAS,consulta externa,menores de 6 meses,2024-04-01,36,35,3,3,0,0,71,6,77
JESUS DE MACHACA,consulta externa,menores de 6 meses,2024-04-01,18,20,8,5,3,2,38,13,51
LA ASUNTA,consulta externa,menores de 6 meses,2024-04-01,104,100,9,6,45,36,204,15,219
LA GUARDIA,consulta externa,menores de 6 meses,2024-04-01,279,272,141,147,86,51,551,288,839
LA PAZ,consulta externa,menores de 6 meses,2024-04-01,2487,2355,842,832,147,114,4842,1674,6516
LA RIVERA,consulta externa,menores de 6 meses,2024-04-01,2,3,0,0,0,0,5,0,5
LAGUNILLAS,consulta externa,menores de 6 meses,2024-04-01,18,16,6,7,0,1,34,13,47
LAJA,consulta externa,menores de 6 meses,2024-04-01,34,29,6,5,0,0,63,11,74
LAS CARRERAS,consulta externa,menores de 6 meses,2024-04-01,2,4,0,0,0,0,6,0,6
LICOMA PAMPA,consulta externa,menores de 6 meses,2024-04-01,4,5,0,0,0,0,9,0,9
LLALLAGUA,consulta externa,menores de 6 meses,2024-04-01,141,134,3,5,3,2,275,8,283
LLICA,consulta externa,menores de 6 meses,2024-04-01,1,5,0,0,0,0,6,0,6
LORETO,consulta externa,menores de 6 meses,2024-04-01,4,10,7,5,0,1,14,12,26
LURIBAY,consulta externa,menores de 6 meses,2024-04-01,10,12,0,2,0,0,22,2,24
MACHACAMARCA,consulta externa,menores de 6 meses,2024-04-01,10,7,5,4,7,7,17,9,26
MACHARETI,consulta externa,menores de 6 meses,2024-04-01,10,11,0,1,2,0,21,1,22
MAGDALENA,consulta externa,menores de 6 meses,2024-04-01,10,8,0,6,7,4,18,6,24
MAIRANA,consulta externa,menores de 6 meses,2024-04-01,35,25,8,7,0,0,60,15,75
MALLA,consulta externa,menores de 6 meses,2024-04-01,2,3,0,0,0,0,5,0,5
MAPIRI,consulta externa,menores de 6 meses,2024-04-01,53,40,8,2,0,0,93,10,103
MECAPACA,consulta externa,menores de 6 meses,2024-04-01,15,9,3,4,0,0,24,7,31
MINEROS,consulta externa,menores de 6 meses,2024-04-01,30,31,2,1,0,0,61,3,64
MIZQUE,consulta externa,menores de 6 meses,2024-04-01,74,50,16,3,15,21,124,19,143
MOCOMOCO,consulta externa,menores de 6 meses,2024-04-01,21,17,4,6,0,0,38,10,48
MOJINETE,consulta externa,menores de 6 meses,2024-04-01,1,2,0,0,0,0,3,0,3
MOJOCOYA,consulta externa,menores de 6 meses,2024-04-01,9,5,1,3,0,0,14,4,18
MONTEAGUDO,consulta externa,menores de 6 meses,2024-04-01,75,57,18,9,4,1,132,27,159
MONTERO,consulta externa,menores de 6 meses,2024-04-01,821,683,177,156,121,121,1504,333,1837
MORO MORO,consulta externa,menores de 6 meses,2024-04-01,2,1,0,0,0,0,3,0,3
MOROCHATA,consulta externa,menores de 6 meses,2024-04-01,22,13,0,0,0,0,35,0,35
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 6 meses,2024-04-01,3,9,0,0,0,0,12,0,12
NAZACARA DE PACAJES,consulta externa,menores de 6 meses,2024-04-01,1,0,4,2,0,0,1,6,7
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 6 meses,2024-04-01,0,1,0,0,0,0,1,0,1
OCURI,consulta externa,menores de 6 meses,2024-04-01,19,24,0,1,1,0,43,1,44
OKINAWA,consulta externa,menores de 6 meses,2024-04-01,25,17,1,6,0,0,42,7,49
OMEREQUE,consulta externa,menores de 6 meses,2024-04-01,17,13,13,7,1,0,30,20,50
ORURO,consulta externa,menores de 6 meses,2024-04-01,999,1015,394,455,141,177,2014,849,2863
PADCAYA,consulta externa,menores de 6 meses,2024-04-01,44,38,8,4,11,5,82,12,94
PADILLA,consulta externa,menores de 6 meses,2024-04-01,26,26,3,4,0,1,52,7,59
PAILON,consulta externa,menores de 6 meses,2024-04-01,73,72,25,15,1,2,145,40,185
PALCA,consulta externa,menores de 6 meses,2024-04-01,35,55,1,0,9,5,90,1,91
PALOS BLANCOS,consulta externa,menores de 6 meses,2024-04-01,95,110,4,2,0,0,205,6,211
PAMPA AULLAGAS,consulta externa,menores de 6 meses,2024-04-01,3,3,0,0,0,0,6,0,6
PAMPA GRANDE,consulta externa,menores de 6 meses,2024-04-01,23,13,0,2,0,0,36,2,38
PAPEL PAMPA,consulta externa,menores de 6 meses,2024-04-01,5,10,2,0,0,0,15,2,17
PASORAPA,consulta externa,menores de 6 meses,2024-04-01,6,4,3,1,2,1,10,4,14
PATACAMAYA,consulta externa,menores de 6 meses,2024-04-01,46,59,9,8,1,0,105,17,122
PAZÑA,consulta externa,menores de 6 meses,2024-04-01,7,10,0,2,0,0,17,2,19
PELECHUCO,consulta externa,menores de 6 meses,2024-04-01,9,18,2,2,2,2,27,4,31
POCOATA,consulta externa,menores de 6 meses,2024-04-01,23,19,0,0,1,4,42,0,42
POCONA,consulta externa,menores de 6 meses,2024-04-01,14,8,2,0,0,0,22,2,24
POJO (CBBA),consulta externa,menores de 6 meses,2024-04-01,14,24,4,13,0,3,38,17,55
POOPO,consulta externa,menores de 6 meses,2024-04-01,16,4,1,4,0,0,20,5,25
PORCO,consulta externa,menores de 6 meses,2024-04-01,27,24,1,1,1,1,51,2,53
POROMA,consulta externa,menores de 6 meses,2024-04-01,17,17,1,1,1,1,34,2,36
PORONGO,consulta externa,menores de 6 meses,2024-04-01,19,18,9,0,2,0,37,9,46
PORTACHUELO,consulta externa,menores de 6 meses,2024-04-01,20,11,40,38,7,5,31,78,109
PORVENIR,consulta externa,menores de 6 meses,2024-04-01,8,6,1,1,0,0,14,2,16
POSTRER VALLE,consulta externa,menores de 6 meses,2024-04-01,0,0,0,1,0,0,0,1,1
POTOSI,consulta externa,menores de 6 meses,2024-04-01,1041,1057,201,199,198,196,2098,400,2498
PRESTO,consulta externa,menores de 6 meses,2024-04-01,5,8,0,0,1,2,13,0,13
PUCARANI,consulta externa,menores de 6 meses,2024-04-01,61,44,8,4,0,0,105,12,117
PUERTO ACOSTA,consulta externa,menores de 6 meses,2024-04-01,11,8,3,4,0,0,19,7,26
PUERTO CARABUCO,consulta externa,menores de 6 meses,2024-04-01,11,16,2,1,0,0,27,3,30
PUERTO GONZALO MORENO,consulta externa,menores de 6 meses,2024-04-01,34,21,13,13,10,9,55,26,81
PUERTO PEREZ,consulta externa,menores de 6 meses,2024-04-01,5,7,5,4,0,0,12,9,21
PUERTO QUIJARRO,consulta externa,menores de 6 meses,2024-04-01,71,48,5,0,3,4,119,5,124
PUERTO RICO,consulta externa,menores de 6 meses,2024-04-01,14,15,0,0,0,0,29,0,29
PUERTO SILES,consulta externa,menores de 6 meses,2024-04-01,8,4,0,0,0,0,12,0,12
PUERTO SUAREZ,consulta externa,menores de 6 meses,2024-04-01,36,28,0,2,35,30,64,2,66
PUERTO VILLARROEL,consulta externa,menores de 6 meses,2024-04-01,405,419,49,46,1,0,824,95,919
PUNA,consulta externa,menores de 6 meses,2024-04-01,14,18,0,3,4,14,32,3,35
PUNATA,consulta externa,menores de 6 meses,2024-04-01,108,113,87,80,0,0,221,167,388
QUIABAYA,consulta externa,menores de 6 meses,2024-04-01,9,5,1,0,0,0,14,1,15
QUILLACOLLO,consulta externa,menores de 6 meses,2024-04-01,497,508,174,200,12,9,1005,374,1379
QUIME,consulta externa,menores de 6 meses,2024-04-01,14,6,1,2,4,2,20,3,23
QUIRUSILLAS,consulta externa,menores de 6 meses,2024-04-01,3,4,4,1,0,0,7,5,12
RAQAYPAMPA(ETA),consulta externa,menores de 6 meses,2024-04-01,16,3,3,2,7,1,19,5,24
RAVELO,consulta externa,menores de 6 meses,2024-04-01,18,16,0,0,0,0,34,0,34
REYES,consulta externa,menores de 6 meses,2024-04-01,22,17,4,4,0,0,39,8,47
RIBERALTA,consulta externa,menores de 6 meses,2024-04-01,438,432,57,84,57,51,870,141,1011
ROBORE,consulta externa,menores de 6 meses,2024-04-01,17,20,3,3,11,9,37,6,43
RURRENABAQUE,consulta externa,menores de 6 meses,2024-04-01,45,33,6,1,6,4,78,7,85
SABAYA,consulta externa,menores de 6 meses,2024-04-01,5,4,1,2,0,0,9,3,12
SACABA,consulta externa,menores de 6 meses,2024-04-01,728,681,143,148,258,238,1409,291,1700
SACABAMBA,consulta externa,menores de 6 meses,2024-04-01,5,5,0,3,1,0,10,3,13
SACACA,consulta externa,menores de 6 meses,2024-04-01,31,28,0,1,0,0,59,1,60
SAIPINA,consulta externa,menores de 6 meses,2024-04-01,9,9,5,0,0,0,18,5,23
SALINAS DE GARCI MENDOZA,consulta externa,menores de 6 meses,2024-04-01,6,10,0,1,3,1,16,1,17
SAMAIPATA,consulta externa,menores de 6 meses,2024-04-01,10,10,10,15,0,0,20,25,45
SAN AGUSTIN,consulta externa,menores de 6 meses,2024-04-01,2,3,0,0,0,0,5,0,5
SAN ANDRES,consulta externa,menores de 6 meses,2024-04-01,30,31,7,4,1,1,61,11,72
SAN ANDRES DE MACHACA,consulta externa,menores de 6 meses,2024-04-01,4,6,5,4,0,0,10,9,19
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 6 meses,2024-04-01,2,1,1,0,0,0,3,1,4
SAN ANTONIO DE LOMERIO,consulta externa,menores de 6 meses,2024-04-01,6,5,0,0,0,0,11,0,11
SAN BENITO,consulta externa,menores de 6 meses,2024-04-01,28,26,12,6,0,0,54,18,72
SAN BORJA,consulta externa,menores de 6 meses,2024-04-01,91,81,37,27,28,27,172,64,236
SAN BUENA VENTURA,consulta externa,menores de 6 meses,2024-04-01,25,16,0,1,0,0,41,1,42
SAN CARLOS,consulta externa,menores de 6 meses,2024-04-01,32,35,1,3,1,2,67,4,71
SAN IGNACIO,consulta externa,menores de 6 meses,2024-04-01,62,67,1,2,6,7,129,3,132
SAN IGNACIO DE VELASCO,consulta externa,menores de 6 meses,2024-04-01,80,79,10,6,2,3,159,16,175
SAN JAVIER(BNI),consulta externa,menores de 6 meses,2024-04-01,7,4,1,4,1,0,11,5,16
SAN JAVIER(STC),consulta externa,menores de 6 meses,2024-04-01,20,18,0,0,0,0,38,0,38
SAN JOAQUIN,consulta externa,menores de 6 meses,2024-04-01,22,24,2,4,0,0,46,6,52
SAN JOSE DE CHIQUITOS,consulta externa,menores de 6 meses,2024-04-01,17,18,0,0,1,2,35,0,35
SAN JUAN DE YAPACANI,consulta externa,menores de 6 meses,2024-04-01,10,12,1,0,1,0,22,1,23
SAN JULIAN,consulta externa,menores de 6 meses,2024-04-01,131,156,11,24,3,4,287,35,322
SAN LORENZO(PND),consulta externa,menores de 6 meses,2024-04-01,14,32,0,2,1,2,46,2,48
SAN LORENZO(TJA),consulta externa,menores de 6 meses,2024-04-01,74,67,7,4,0,0,141,11,152
SAN LUCAS,consulta externa,menores de 6 meses,2024-04-01,53,55,5,2,7,2,108,7,115
SAN MATIAS,consulta externa,menores de 6 meses,2024-04-01,23,19,1,3,1,1,42,4,46
SAN MIGUEL DE VELASCO,consulta externa,menores de 6 meses,2024-04-01,20,15,2,1,0,0,35,3,38
SAN PABLO DE LIPEZ,consulta externa,menores de 6 meses,2024-04-01,2,4,0,0,1,0,6,0,6
SAN PEDRO,consulta externa,menores de 6 meses,2024-04-01,70,63,8,5,0,0,133,13,146
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 6 meses,2024-04-01,17,18,0,0,6,8,35,0,35
SAN PEDRO DE CURAHUARA,consulta externa,menores de 6 meses,2024-04-01,11,8,0,1,0,0,19,1,20
SAN PEDRO DE MACHA,consulta externa,menores de 6 meses,2024-04-01,17,19,0,0,2,2,36,0,36
SAN PEDRO DE QUEMES,consulta externa,menores de 6 meses,2024-04-01,0,2,0,0,0,0,2,0,2
SAN PEDRO DE TIQUINA,consulta externa,menores de 6 meses,2024-04-01,2,5,9,4,0,0,7,13,20
SAN PEDRO(PND),consulta externa,menores de 6 meses,2024-04-01,4,6,0,0,0,0,10,0,10
SAN RAFAEL,consulta externa,menores de 6 meses,2024-04-01,13,35,13,14,0,0,48,27,75
SAN RAMON BENI,consulta externa,menores de 6 meses,2024-04-01,19,9,0,0,0,0,28,0,28
SAN RAMON SCZ,consulta externa,menores de 6 meses,2024-04-01,30,19,2,0,0,0,49,2,51
SANTA ANA,consulta externa,menores de 6 meses,2024-04-01,44,40,42,41,0,0,84,83,167
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 6 meses,2024-04-01,4713,4455,1885,1856,697,726,9168,3741,12909
SANTA ROSA,consulta externa,menores de 6 meses,2024-04-01,35,8,0,0,5,1,43,0,43
SANTA ROSA DEL SARA,consulta externa,menores de 6 meses,2024-04-01,31,34,3,0,1,1,65,3,68
SANTIAGO DE CALLAPA,consulta externa,menores de 6 meses,2024-04-01,6,5,1,2,0,0,11,3,14
SANTIAGO DE HUARI,consulta externa,menores de 6 meses,2024-04-01,8,13,2,2,0,0,21,4,25
SANTIAGO DE HUATA,consulta externa,menores de 6 meses,2024-04-01,2,2,0,0,1,2,4,0,4
SANTIAGO DE MACHACA,consulta externa,menores de 6 meses,2024-04-01,3,3,0,0,0,0,6,0,6
SANTIVAÑES,consulta externa,menores de 6 meses,2024-04-01,15,12,1,0,0,0,27,1,28
SANTUARIO DE QUILLACAS,consulta externa,menores de 6 meses,2024-04-01,5,5,0,0,5,6,10,0,10
SAPAHAQUI,consulta externa,menores de 6 meses,2024-04-01,22,19,2,1,11,8,41,3,44
SENA,consulta externa,menores de 6 meses,2024-04-01,21,11,0,0,0,0,32,0,32
SHINAOTA,consulta externa,menores de 6 meses,2024-04-01,126,120,4,7,22,35,246,11,257
SICA SICA (VILLA AROMA),consulta externa,menores de 6 meses,2024-04-01,24,14,4,0,6,2,38,4,42
SICAYA,consulta externa,menores de 6 meses,2024-04-01,9,10,3,4,0,0,19,7,26
SIPE SIPE,consulta externa,menores de 6 meses,2024-04-01,137,141,81,71,0,0,278,152,430
SOPACHUY,consulta externa,menores de 6 meses,2024-04-01,30,11,3,0,0,0,41,3,44
SORACACHI,consulta externa,menores de 6 meses,2024-04-01,8,11,0,0,0,0,19,0,19
SORATA,consulta externa,menores de 6 meses,2024-04-01,43,35,7,3,0,0,78,10,88
SUCRE,consulta externa,menores de 6 meses,2024-04-01,1168,986,217,205,2,3,2154,422,2576
TACACHI,consulta externa,menores de 6 meses,2024-04-01,1,3,0,0,0,0,4,0,4
TACACOMA,consulta externa,menores de 6 meses,2024-04-01,16,18,1,0,0,0,34,1,35
TACOBAMBA,consulta externa,menores de 6 meses,2024-04-01,12,12,0,0,0,0,24,0,24
TACOPAYA,consulta externa,menores de 6 meses,2024-04-01,6,17,1,2,0,0,23,3,26
TAHUA,consulta externa,menores de 6 meses,2024-04-01,1,2,0,0,0,0,3,0,3
TAPACARI,consulta externa,menores de 6 meses,2024-04-01,36,27,1,2,0,0,63,3,66
TARABUCO,consulta externa,menores de 6 meses,2024-04-01,35,32,0,0,0,0,67,0,67
TARACO,consulta externa,menores de 6 meses,2024-04-01,10,10,0,1,0,0,20,1,21
TARATA,consulta externa,menores de 6 meses,2024-04-01,12,28,0,4,0,0,40,4,44
TARIJA,consulta externa,menores de 6 meses,2024-04-01,860,941,339,326,55,67,1801,665,2466
