,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,TOTALES,TOTALES,TOTALES
MOJINETE,consulta externa,personas de 60 anos y mas,2024-03-01,28,31,7,8,0,0,59,15,74
MOJOCOYA,consulta externa,personas de 60 anos y mas,2024-03-01,206,274,20,25,0,0,480,45,525
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2024-03-01,824,1092,285,400,46,41,1916,685,2601
MONTERO,consulta externa,personas de 60 anos y mas,2024-03-01,2595,2678,1087,1336,84,62,5273,2423,7696
MORO MORO,consulta externa,personas de 60 anos y mas,2024-03-01,28,47,40,72,0,0,75,112,187
MOROCHATA,consulta externa,personas de 60 anos y mas,2024-03-01,216,267,6,7,0,0,483,13,496
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2024-03-01,30,24,12,3,0,0,54,15,69
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2024-03-01,17,15,0,0,0,0,32,0,32
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2024-03-01,44,31,17,8,0,0,75,25,100
OCURI,consulta externa,personas de 60 anos y mas,2024-03-01,539,583,1,15,0,0,1122,16,1138
OKINAWA,consulta externa,personas de 60 anos y mas,2024-03-01,189,183,86,100,0,0,372,186,558
OMEREQUE,consulta externa,personas de 60 anos y mas,2024-03-01,159,162,42,57,0,0,321,99,420
ORURO,consulta externa,personas de 60 anos y mas,2024-03-01,6981,8297,3996,4787,380,557,15278,8783,24061
PADCAYA,consulta externa,personas de 60 anos y mas,2024-03-01,495,636,167,199,168,242,1131,366,1497
PADILLA,consulta externa,personas de 60 anos y mas,2024-03-01,283,368,87,160,0,0,651,247,898
PAILON,consulta externa,personas de 60 anos y mas,2024-03-01,413,411,227,234,0,0,824,461,1285
PALCA,consulta externa,personas de 60 anos y mas,2024-03-01,428,387,19,12,84,84,815,31,846
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2024-03-01,490,375,94,103,0,0,865,197,1062
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2024-03-01,82,102,1,3,0,0,184,4,188
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2024-03-01,61,103,45,73,0,0,164,118,282
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2024-03-01,183,172,24,37,20,28,355,61,416
PASORAPA,consulta externa,personas de 60 anos y mas,2024-03-01,111,110,80,29,2,4,221,109,330
PATACAMAYA,consulta externa,personas de 60 anos y mas,2024-03-01,381,327,103,124,0,0,708,227,935
PAZÑA,consulta externa,personas de 60 anos y mas,2024-03-01,121,132,8,17,34,30,253,25,278
PELECHUCO,consulta externa,personas de 60 anos y mas,2024-03-01,106,92,6,9,6,10,198,15,213
POCOATA,consulta externa,personas de 60 anos y mas,2024-03-01,1022,1378,6,11,0,0,2400,17,2417
POCONA,consulta externa,personas de 60 anos y mas,2024-03-01,521,684,8,7,0,1,1205,15,1220
POJO (CBBA),consulta externa,personas de 60 anos y mas,2024-03-01,220,222,50,40,0,0,442,90,532
POOPO,consulta externa,personas de 60 anos y mas,2024-03-01,162,182,32,38,0,0,344,70,414
PORCO,consulta externa,personas de 60 anos y mas,2024-03-01,62,101,0,1,28,44,163,1,164
POROMA,consulta externa,personas de 60 anos y mas,2024-03-01,469,549,42,61,14,34,1018,103,1121
PORONGO,consulta externa,personas de 60 anos y mas,2024-03-01,280,216,143,119,0,0,496,262,758
PORTACHUELO,consulta externa,personas de 60 anos y mas,2024-03-01,93,69,156,182,18,9,162,338,500
PORVENIR,consulta externa,personas de 60 anos y mas,2024-03-01,124,83,37,42,0,0,207,79,286
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2024-03-01,33,45,15,24,0,0,78,39,117
POTOSI,consulta externa,personas de 60 anos y mas,2024-03-01,4494,5423,1862,2522,320,405,9917,4384,14301
PRESTO,consulta externa,personas de 60 anos y mas,2024-03-01,304,367,28,52,0,0,671,80,751
PUCARA,consulta externa,personas de 60 anos y mas,2024-03-01,53,51,40,56,0,0,104,96,200
PUCARANI,consulta externa,personas de 60 anos y mas,2024-03-01,588,652,151,188,0,0,1240,339,1579
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2024-03-01,347,309,45,51,0,66,656,96,752
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2024-03-01,370,364,64,75,0,0,734,139,873
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2024-03-01,104,90,74,32,20,15,194,106,300
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2024-03-01,225,221,35,57,0,0,446,92,538
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2024-03-01,153,178,27,26,66,79,331,53,384
PUERTO RICO,consulta externa,personas de 60 anos y mas,2024-03-01,62,56,25,14,0,0,118,39,157
PUERTO SILES,consulta externa,personas de 60 anos y mas,2024-03-01,12,10,1,0,0,0,22,1,23
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2024-03-01,130,167,114,88,137,154,297,202,499
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2024-03-01,672,617,135,117,1,0,1289,252,1541
PUNA,consulta externa,personas de 60 anos y mas,2024-03-01,998,1454,18,24,138,195,2452,42,2494
PUNATA,consulta externa,personas de 60 anos y mas,2024-03-01,655,946,747,1026,0,0,1601,1773,3374
QUIABAYA,consulta externa,personas de 60 anos y mas,2024-03-01,63,59,18,17,0,0,122,35,157
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2024-03-01,2279,3038,1661,2255,55,60,5317,3916,9233
QUIME,consulta externa,personas de 60 anos y mas,2024-03-01,104,60,35,28,0,0,164,63,227
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2024-03-01,67,89,61,68,0,0,156,129,285
RAQAYPAMPA(ETA),consulta externa,personas de 60 anos y mas,2024-03-01,170,264,22,16,24,54,434,38,472
RAVELO,consulta externa,personas de 60 anos y mas,2024-03-01,1074,1236,8,3,0,0,2310,11,2321
REYES,consulta externa,personas de 60 anos y mas,2024-03-01,237,230,32,38,5,2,467,70,537
RIBERALTA,consulta externa,personas de 60 anos y mas,2024-03-01,1650,1822,802,1039,202,183,3472,1841,5313
ROBORE,consulta externa,personas de 60 anos y mas,2024-03-01,232,259,302,382,6,2,491,684,1175
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2024-03-01,534,440,160,168,60,55,974,328,1302
SABAYA,consulta externa,personas de 60 anos y mas,2024-03-01,117,137,50,42,3,6,254,92,346
SACABA,consulta externa,personas de 60 anos y mas,2024-03-01,1796,2551,1238,1751,852,669,4347,2989,7336
SACABAMBA,consulta externa,personas de 60 anos y mas,2024-03-01,99,129,69,85,0,0,228,154,382
SACACA,consulta externa,personas de 60 anos y mas,2024-03-01,462,630,3,2,28,37,1092,5,1097
SAIPINA,consulta externa,personas de 60 anos y mas,2024-03-01,125,151,50,66,0,0,276,116,392
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2024-03-01,381,399,55,57,49,75,780,112,892
SAMAIPATA,consulta externa,personas de 60 anos y mas,2024-03-01,261,250,80,117,0,0,511,197,708
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2024-03-01,59,98,0,0,0,0,157,0,157
SAN ANDRES,consulta externa,personas de 60 anos y mas,2024-03-01,171,125,63,47,2,0,296,110,406
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2024-03-01,151,162,77,89,0,0,313,166,479
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2024-03-01,26,27,0,1,17,13,53,1,54
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2024-03-01,94,82,10,14,0,0,176,24,200
SAN BENITO,consulta externa,personas de 60 anos y mas,2024-03-01,211,328,243,372,0,0,539,615,1154
SAN BORJA,consulta externa,personas de 60 anos y mas,2024-03-01,571,552,84,132,128,134,1123,216,1339
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2024-03-01,115,96,35,64,0,0,211,99,310
SAN CARLOS,consulta externa,personas de 60 anos y mas,2024-03-01,373,298,12,7,0,0,671,19,690
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2024-03-01,204,222,52,83,33,30,426,135,561
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2024-03-01,542,561,182,212,0,0,1103,394,1497
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2024-03-01,27,29,5,10,0,0,56,15,71
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2024-03-01,146,171,2,1,0,0,317,3,320
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2024-03-01,76,86,27,41,0,0,162,68,230
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2024-03-01,189,192,39,60,20,13,381,99,480
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2024-03-01,128,139,14,12,0,0,267,26,293
SAN JULIAN,consulta externa,personas de 60 anos y mas,2024-03-01,630,545,127,111,58,63,1175,238,1413
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2024-03-01,43,48,28,17,0,0,91,45,136
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2024-03-01,608,895,67,104,0,0,1503,171,1674
SAN LUCAS,consulta externa,personas de 60 anos y mas,2024-03-01,1074,1415,114,132,6,6,2489,246,2735
SAN MATIAS,consulta externa,personas de 60 anos y mas,2024-03-01,170,158,170,203,42,39,328,373,701
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2024-03-01,176,174,145,226,0,0,350,371,721
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2024-03-01,93,103,3,4,1,2,196,7,203
SAN PEDRO,consulta externa,personas de 60 anos y mas,2024-03-01,396,387,66,73,0,1,783,139,922
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-03-01,743,854,2,1,144,157,1597,3,1600
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2024-03-01,153,166,24,23,0,0,319,47,366
SAN PEDRO DE MACHA,consulta externa,personas de 60 anos y mas,2024-03-01,656,836,1,1,27,42,1492,2,1494
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2024-03-01,21,38,1,2,0,0,59,3,62
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2024-03-01,108,119,130,179,0,0,227,309,536
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2024-03-01,34,27,1,4,0,0,61,5,66
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2024-03-01,80,87,41,47,0,0,167,88,255
SAN RAMON BENI,consulta externa,personas de 60 anos y mas,2024-03-01,56,90,40,38,0,0,146,78,224
SAN RAMON SCZ,consulta externa,personas de 60 anos y mas,2024-03-01,111,107,18,21,0,0,218,39,257
SANTA ANA,consulta externa,personas de 60 anos y mas,2024-03-01,144,202,68,53,0,0,346,121,467
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2024-03-01,22768,30350,13239,18512,2194,2610,53118,31751,84869
SANTA ROSA,consulta externa,personas de 60 anos y mas,2024-03-01,112,126,62,72,26,16,238,134,372
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2024-03-01,406,351,31,53,64,49,757,84,841
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2024-03-01,259,261,24,19,0,0,520,43,563
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2024-03-01,385,404,22,32,6,2,789,54,843
SANTIAGO DE HUATA,consulta externa,personas de 60 anos y mas,2024-03-01,181,153,66,74,0,0,334,140,474
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2024-03-01,146,178,18,37,0,0,324,55,379
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2024-03-01,266,428,63,123,0,0,694,186,880
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2024-03-01,138,215,43,38,134,179,353,81,434
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2024-03-01,218,218,49,27,35,22,436,76,512
SENA,consulta externa,personas de 60 anos y mas,2024-03-01,83,43,9,7,0,0,126,16,142
SHINAOTA,consulta externa,personas de 60 anos y mas,2024-03-01,358,374,134,163,26,30,732,297,1029
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2024-03-01,604,633,77,100,0,0,1237,177,1414
SICAYA,consulta externa,personas de 60 anos y mas,2024-03-01,74,111,70,67,0,0,185,137,322
SIPE SIPE,consulta externa,personas de 60 anos y mas,2024-03-01,744,1103,340,411,0,0,1847,751,2598
SOPACHUY,consulta externa,personas de 60 anos y mas,2024-03-01,132,241,62,122,0,0,373,184,557
SORACACHI,consulta externa,personas de 60 anos y mas,2024-03-01,542,568,21,27,0,2,1110,48,1158
SORATA,consulta externa,personas de 60 anos y mas,2024-03-01,409,418,77,65,0,0,827,142,969
SUCRE,consulta externa,personas de 60 anos y mas,2024-03-01,7574,10351,3753,5593,70,28,17925,9346,27271
TACACHI,consulta externa,personas de 60 anos y mas,2024-03-01,29,51,5,8,0,0,80,13,93
TACACOMA,consulta externa,personas de 60 anos y mas,2024-03-01,158,91,30,27,0,0,249,57,306
TACOBAMBA,consulta externa,personas de 60 anos y mas,2024-03-01,290,378,0,2,0,0,668,2,670
TACOPAYA,consulta externa,personas de 60 anos y mas,2024-03-01,307,336,43,49,74,68,643,92,735
TAHUA,consulta externa,personas de 60 anos y mas,2024-03-01,64,72,1,1,0,0,136,2,138
TAPACARI,consulta externa,personas de 60 anos y mas,2024-03-01,971,1047,1,2,0,0,2018,3,2021
TARABUCO,consulta externa,personas de 60 anos y mas,2024-03-01,390,528,78,120,0,0,918,198,1116
TARACO,consulta externa,personas de 60 anos y mas,2024-03-01,174,194,90,101,0,0,368,191,559
TARATA,consulta externa,personas de 60 anos y mas,2024-03-01,179,195,98,110,0,0,374,208,582
TARIJA,consulta externa,personas de 60 anos y mas,2024-03-01,5953,7767,3371,4675,277,326,13720,8046,21766
TARVITA,consulta externa,personas de 60 anos y mas,2024-03-01,333,486,50,87,4,4,819,137,956
TEOPONTE,consulta externa,personas de 60 anos y mas,2024-03-01,115,91,21,17,0,0,206,38,244
TIAHUANACU,consulta externa,personas de 60 anos y mas,2024-03-01,293,322,105,124,0,0,615,229,844
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2024-03-01,807,924,1,2,17,27,1731,3,1734
TIPUANI,consulta externa,personas de 60 anos y mas,2024-03-01,124,63,49,28,0,0,187,77,264
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2024-03-01,797,1213,374,541,0,0,2010,915,2925
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2024-03-01,481,604,171,219,18,41,1085,390,1475
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2024-03-01,93,112,13,17,0,0,205,30,235
TOCO,consulta externa,personas de 60 anos y mas,2024-03-01,114,168,102,140,1,0,282,242,524
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2024-03-01,8,9,0,0,0,0,17,0,17
TOLATA,consulta externa,personas de 60 anos y mas,2024-03-01,107,152,100,165,0,0,259,265,524
TOLEDO,consulta externa,personas de 60 anos y mas,2024-03-01,285,334,23,35,1,1,619,58,677
TOMAVE,consulta externa,personas de 60 anos y mas,2024-03-01,301,450,7,9,0,0,751,16,767
TOMINA,consulta externa,personas de 60 anos y mas,2024-03-01,264,298,85,110,0,0,562,195,757
TORO TORO,consulta externa,personas de 60 anos y mas,2024-03-01,345,418,2,3,0,0,763,5,768
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2024-03-01,263,294,18,27,2,3,557,45,602
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2024-03-01,263,300,3,15,40,38,563,18,581
TRIGAL,consulta externa,personas de 60 anos y mas,2024-03-01,27,36,36,47,0,0,63,83,146
TRINIDAD,consulta externa,personas de 60 anos y mas,2024-03-01,2099,2487,1343,1966,1090,1496,4586,3309,7895
TUPIZA,consulta externa,personas de 60 anos y mas,2024-03-01,1006,1235,610,697,28,48,2241,1307,3548
TURCO,consulta externa,personas de 60 anos y mas,2024-03-01,239,252,23,50,0,0,491,73,564
UMALA,consulta externa,personas de 60 anos y mas,2024-03-01,193,170,109,98,0,0,363,207,570
UNCIA,consulta externa,personas de 60 anos y mas,2024-03-01,575,671,99,155,0,0,1246,254,1500
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2024-03-01,302,434,112,179,102,171,736,291,1027
URUBICHA,consulta externa,personas de 60 anos y mas,2024-03-01,133,130,2,1,4,13,263,3,266
UYUNI,consulta externa,personas de 60 anos y mas,2024-03-01,834,1009,213,226,9,9,1843,439,2282
VACAS,consulta externa,personas de 60 anos y mas,2024-03-01,295,414,52,41,0,0,709,93,802
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2024-03-01,297,338,559,828,20,41,635,1387,2022
VIACHA,consulta externa,personas de 60 anos y mas,2024-03-01,840,1120,548,727,14,20,1960,1275,3235
VILA VILA,consulta externa,personas de 60 anos y mas,2024-03-01,216,220,1,2,9,14,436,3,439
VILLA CHARCAS,consulta externa,personas de 60 anos y mas,2024-03-01,299,468,26,43,31,47,767,69,836
VILLA MONTES,consulta externa,personas de 60 anos y mas,2024-03-01,1087,1001,442,415,10,11,2088,857,2945
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2024-03-01,41,28,15,12,0,0,69,27,96
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2024-03-01,141,203,49,106,0,0,344,155,499
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2024-03-01,397,517,95,167,0,0,914,262,1176
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2024-03-01,1332,1024,249,208,34,35,2356,457,2813
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2024-03-01,191,184,65,116,0,0,375,181,556
VILLAZON,consulta externa,personas de 60 anos y mas,2024-03-01,494,744,448,700,197,289,1238,1148,2386
VINTO,consulta externa,personas de 60 anos y mas,2024-03-01,612,851,173,281,0,0,1463,454,1917
VITICHI,consulta externa,personas de 60 anos y mas,2024-03-01,333,551,3,7,37,70,884,10,894
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2024-03-01,36,34,12,10,0,0,70,22,92
WARNES,consulta externa,personas de 60 anos y mas,2024-03-01,1324,1555,520,617,9,13,2879,1137,4016
YACO,consulta externa,personas de 60 anos y mas,2024-03-01,215,184,6,5,0,0,399,11,410
YACUIBA,consulta externa,personas de 60 anos y mas,2024-03-01,2225,2791,1010,1327,313,405,5016,2337,7353
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2024-03-01,370,555,31,53,14,18,925,84,1009
YANACACHI,consulta externa,personas de 60 anos y mas,2024-03-01,157,118,20,22,0,0,275,42,317
YAPACANI,consulta externa,personas de 60 anos y mas,2024-03-01,569,612,136,372,109,91,1181,508,1689
YOCALLA,consulta externa,personas de 60 anos y mas,2024-03-01,164,213,0,6,155,192,377,6,383
YOTALA,consulta externa,personas de 60 anos y mas,2024-03-01,167,261,91,135,18,12,428,226,654
YUNCHARA,consulta externa,personas de 60 anos y mas,2024-03-01,140,195,31,62,0,0,335,93,428
YUNGUYO DE LITORAL,consulta externa,personas de 60 anos y mas,2024-03-01,17,21,0,0,0,0,38,0,38
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2024-03-01,193,204,308,360,0,0,397,668,1065
ACACIO,consulta externa,personas de 60 anos y mas,2024-04-01,303,392,0,0,0,0,695,0,695
ACHACACHI,consulta externa,personas de 60 anos y mas,2024-04-01,837,823,142,154,0,0,1660,296,1956
ACHOCALLA,consulta externa,personas de 60 anos y mas,2024-04-01,343,449,44,53,0,0,792,97,889
AIQUILE,consulta externa,personas de 60 anos y mas,2024-04-01,430,568,680,735,89,106,998,1415,2413
ALALAY,consulta externa,personas de 60 anos y mas,2024-04-01,53,65,43,72,4,3,118,115,233
ALCALA,consulta externa,personas de 60 anos y mas,2024-04-01,160,215,42,61,35,26,375,103,478
ALTO BENI,consulta externa,personas de 60 anos y mas,2024-04-01,326,224,61,61,0,0,550,122,672
ANCORAIMES,consulta externa,personas de 60 anos y mas,2024-04-01,215,190,147,179,22,22,405,326,731
ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-04-01,205,247,20,26,0,0,452,46,498
ANTEQUERA,consulta externa,personas de 60 anos y mas,2024-04-01,76,68,1,3,0,0,144,4,148
ANZALDO,consulta externa,personas de 60 anos y mas,2024-04-01,288,392,15,26,0,0,680,41,721
APOLO,consulta externa,personas de 60 anos y mas,2024-04-01,227,194,74,99,32,14,421,173,594
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2024-04-01,102,115,1,1,3,4,217,2,219
ARANI,consulta externa,personas de 60 anos y mas,2024-04-01,182,335,96,175,32,43,517,271,788
ARBIETO,consulta externa,personas de 60 anos y mas,2024-04-01,481,691,79,140,47,69,1172,219,1391
ARQUE,consulta externa,personas de 60 anos y mas,2024-04-01,243,306,4,6,0,0,549,10,559
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2024-04-01,198,169,37,30,12,25,367,67,434
ATOCHA,consulta externa,personas de 60 anos y mas,2024-04-01,160,203,148,169,8,12,363,317,680
AUCAPATA,consulta externa,personas de 60 anos y mas,2024-04-01,44,55,2,2,18,18,99,4,103
AYATA,consulta externa,personas de 60 anos y mas,2024-04-01,242,304,24,20,25,27,546,44,590
AYO AYO,consulta externa,personas de 60 anos y mas,2024-04-01,218,258,13,24,0,0,476,37,513
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2024-04-01,860,880,62,75,46,61,1740,137,1877
AZURDUY,consulta externa,personas de 60 anos y mas,2024-04-01,165,244,81,109,0,0,409,190,599
BATALLAS,consulta externa,personas de 60 anos y mas,2024-04-01,227,235,90,82,2,0,462,172,634
BAURES,consulta externa,personas de 60 anos y mas,2024-04-01,156,135,11,5,0,0,291,16,307
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-04-01,78,116,14,26,0,0,194,40,234
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2024-04-01,93,95,1,1,2,6,188,2,190
BELLA FLOR,consulta externa,personas de 60 anos y mas,2024-04-01,30,16,51,27,0,0,46,78,124
BERMEJO,consulta externa,personas de 60 anos y mas,2024-04-01,791,908,342,536,135,159,1699,878,2577
BETANZOS,consulta externa,personas de 60 anos y mas,2024-04-01,1123,1387,51,59,0,0,2510,110,2620
BOLIVAR,consulta externa,personas de 60 anos y mas,2024-04-01,150,124,39,45,0,0,274,84,358
BOLPEBRA,consulta externa,personas de 60 anos y mas,2024-04-01,33,35,7,8,0,0,68,15,83
BOYUIBE,consulta externa,personas de 60 anos y mas,2024-04-01,74,78,72,86,0,0,152,158,310
BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-04-01,137,138,38,24,4,4,275,62,337
CABEZAS,consulta externa,personas de 60 anos y mas,2024-04-01,310,376,70,123,35,29,686,193,879
CAIROMA,consulta externa,personas de 60 anos y mas,2024-04-01,217,183,18,12,58,51,400,30,430
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2024-04-01,447,727,29,46,0,0,1174,75,1249
CAJUATA,consulta externa,personas de 60 anos y mas,2024-04-01,183,131,67,59,46,23,314,126,440
CALACOTO,consulta externa,personas de 60 anos y mas,2024-04-01,257,292,14,36,0,0,549,50,599
CALAMARCA,consulta externa,personas de 60 anos y mas,2024-04-01,277,332,15,13,0,0,609,28,637
CAMARGO,consulta externa,personas de 60 anos y mas,2024-04-01,410,705,96,207,0,1,1115,303,1418
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2024-04-01,184,218,46,49,0,1,402,95,497
CAMIRI,consulta externa,personas de 60 anos y mas,2024-04-01,542,635,323,403,0,0,1177,726,1903
CAPINOTA,consulta externa,personas de 60 anos y mas,2024-04-01,576,671,121,148,0,0,1247,269,1516
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2024-04-01,429,457,22,37,0,0,886,59,945
CARACOLLO,consulta externa,personas de 60 anos y mas,2024-04-01,556,610,84,106,25,21,1166,190,1356
CARANAVI,consulta externa,personas de 60 anos y mas,2024-04-01,788,658,257,169,11,7,1446,426,1872
CARANGAS,consulta externa,personas de 60 anos y mas,2024-04-01,17,15,18,21,0,0,32,39,71
CARAPARI,consulta externa,personas de 60 anos y mas,2024-04-01,414,470,130,163,13,12,884,293,1177
CARIPUYO,consulta externa,personas de 60 anos y mas,2024-04-01,339,416,2,2,0,0,755,4,759
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2024-04-01,164,141,9,3,13,4,305,12,317
CATACORA,consulta externa,personas de 60 anos y mas,2024-04-01,38,48,2,4,0,0,86,6,92
CHACARILLA,consulta externa,personas de 60 anos y mas,2024-04-01,71,75,10,10,0,0,146,20,166
CHALLAPATA,consulta externa,personas de 60 anos y mas,2024-04-01,812,981,97,118,145,200,1793,215,2008
CHAQUI,consulta externa,personas de 60 anos y mas,2024-04-01,547,721,4,11,0,0,1268,15,1283
CHARAGUA,consulta externa,personas de 60 anos y mas,2024-04-01,680,791,91,136,0,0,1471,227,1698
CHARAÑA,consulta externa,personas de 60 anos y mas,2024-04-01,113,132,11,23,0,0,245,34,279
CHAYANTA,consulta externa,personas de 60 anos y mas,2024-04-01,263,322,26,24,109,154,585,50,635
CHIMORE,consulta externa,personas de 60 anos y mas,2024-04-01,364,346,73,78,15,15,710,151,861
CHIPAYA,consulta externa,personas de 60 anos y mas,2024-04-01,32,25,1,3,0,0,57,4,61
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2024-04-01,37,61,0,0,0,0,98,0,98
CHUA COCANI,consulta externa,personas de 60 anos y mas,2024-04-01,28,27,48,61,0,0,55,109,164
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2024-04-01,307,270,122,82,7,3,577,204,781
CHUMA,consulta externa,personas de 60 anos y mas,2024-04-01,450,456,74,69,58,47,906,143,1049
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 60 anos y mas,2024-04-01,88,126,1,28,0,0,214,29,243
CKOCHAS,consulta externa,personas de 60 anos y mas,2024-04-01,533,685,11,9,2,3,1218,20,1238
CLIZA,consulta externa,personas de 60 anos y mas,2024-04-01,298,447,401,656,0,0,745,1057,1802
COBIJA,consulta externa,personas de 60 anos y mas,2024-04-01,793,810,645,764,16,10,1603,1409,3012
COCAPATA,consulta externa,personas de 60 anos y mas,2024-04-01,451,461,7,13,19,13,912,20,932
COCHABAMBA,consulta externa,personas de 60 anos y mas,2024-04-01,16349,22891,16087,21518,1439,1645,39240,37605,76845
COIPASA,consulta externa,personas de 60 anos y mas,2024-04-01,19,34,8,5,0,0,53,13,66
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2024-04-01,596,886,421,725,0,0,1482,1146,2628
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2024-04-01,496,595,35,59,24,6,1091,94,1185
COLLANA,consulta externa,personas de 60 anos y mas,2024-04-01,77,75,17,25,0,0,152,42,194
COLOMI,consulta externa,personas de 60 anos y mas,2024-04-01,354,431,166,184,35,46,785,350,1135
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2024-04-01,110,122,69,91,6,1,232,160,392
