,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO PRIMERA,NINOS DE 6 MESES A < 1 AÑO PRIMERA,TOTALES,TOTALES,TOTALES
SAN JAVIER(BNI),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,3,1,2,6,5,4,3,7
SAN JAVIER(STC),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,16,12,2,0,0,0,28,2,30
SAN JOAQUIN,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,18,22,0,1,0,0,40,1,41
SAN JOSE DE CHIQUITOS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,20,16,1,0,0,0,36,1,37
SAN JUAN DE YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,9,7,0,0,0,0,16,0,16
SAN JULIAN,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,119,116,15,36,5,5,235,51,286
SAN LORENZO(PND),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,29,19,1,0,0,0,48,1,49
SAN LORENZO(TJA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,87,75,10,9,0,0,162,19,181
SAN LUCAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,79,41,6,4,1,2,120,10,130
SAN MATIAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,27,32,0,1,0,1,59,1,60
SAN MIGUEL DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,12,0,2,0,0,23,2,25
SAN PABLO DE LIPEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,1,0,0,0,0,4,0,4
SAN PEDRO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,38,35,3,6,7,12,73,9,82
SAN PEDRO DE BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,41,28,1,0,2,0,69,1,70
SAN PEDRO DE CURAHUARA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,11,1,1,0,0,16,2,18
SAN PEDRO DE MACHA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,22,21,0,0,0,0,43,0,43
SAN PEDRO DE QUEMES,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,0,1,0,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,4,2,3,1,0,0,6,4,10
SAN PEDRO(PND),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,3,0,0,0,0,6,0,6
SAN RAFAEL,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,20,23,17,27,0,0,43,44,87
SAN RAMON BENI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,7,8,0,0,0,0,15,0,15
SAN RAMON SCZ,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,16,8,0,0,0,0,24,0,24
SANTA ANA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,37,25,27,20,0,0,62,47,109
SANTA CRUZ DE LA SIERRA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2580,2365,814,824,320,309,4945,1638,6583
SANTA ROSA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,14,19,0,0,5,2,33,0,33
SANTA ROSA DEL SARA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,28,31,1,0,0,4,59,1,60
SANTIAGO DE CALLAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,4,5,2,3,0,0,9,5,14
SANTIAGO DE HUARI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,9,1,1,0,0,14,2,16
SANTIAGO DE HUATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,4,1,2,0,0,6,3,9
SANTIAGO DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,6,4,2,0,0,0,10,2,12
SANTIVAÑES,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,16,28,5,6,0,0,44,11,55
SANTUARIO DE QUILLACAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,1,0,0,2,1,2,0,2
SAPAHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,19,2,0,4,8,30,2,32
SENA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,22,13,1,0,0,0,35,1,36
SHINAOTA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,104,123,5,7,26,29,227,12,239
SICA SICA (VILLA AROMA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,17,9,1,1,3,4,26,2,28
SICAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,7,10,7,3,1,4,17,10,27
SIPE SIPE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,158,144,86,62,0,0,302,148,450
SOPACHUY,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,10,18,0,2,0,0,28,2,30
SORACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,7,9,0,0,1,1,16,0,16
SORATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,42,24,8,2,0,0,66,10,76
SUCRE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,694,678,97,116,2,1,1372,213,1585
TACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,4,0,1,0,0,7,1,8
TACACOMA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,24,17,2,4,0,0,41,6,47
TACOBAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,8,0,0,0,0,20,0,20
TACOPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,11,0,0,3,4,16,0,16
TAHUA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,1,0,0,0,0,0,1,0,1
TAPACARI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,36,35,6,4,0,0,71,10,81
TARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,29,31,0,1,0,0,60,1,61
TARACO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,10,9,2,3,0,0,19,5,24
TARATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,19,0,2,0,0,31,2,33
TARIJA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,514,483,296,255,36,41,997,551,1548
TARVITA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,45,26,1,2,0,7,71,3,74
TEOPONTE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,25,14,6,3,0,0,39,9,48
TIAHUANACU,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,9,4,14,7,0,0,13,21,34
TINGUIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,21,26,2,0,0,2,47,2,49
TIPUANI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,21,18,5,5,0,0,39,10,49
TIQUIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,216,235,32,45,0,0,451,77,528
TIRAQUE (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,31,20,40,27,5,0,51,67,118
TOCO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,4,3,4,0,0,15,7,22
TODOS SANTOS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,0,1,0,0,0,0,1,0,1
TOLATA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,16,10,10,5,0,0,26,15,41
TOLEDO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,5,4,0,3,0,0,9,3,12
TOMAVE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,11,0,0,0,0,23,0,23
TOMINA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,19,18,3,0,0,0,37,3,40
TORO TORO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,20,19,0,0,0,0,39,0,39
TOTORA(CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,37,43,7,9,0,0,80,16,96
TOTORA(ORR),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,4,3,0,0,1,1,7,0,7
TRIGAL,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,0,0,0,0,0,2,0,2
TRINIDAD,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,241,221,32,29,69,69,462,61,523
TUPIZA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,96,74,19,26,4,10,170,45,215
TURCO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,4,1,1,0,0,0,5,1,6
UMALA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,6,4,7,3,0,0,10,10,20
UNCIA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,34,46,1,3,0,0,80,4,84
URIONDO (A. CONCEPCION),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,49,47,7,9,13,18,96,16,112
URUBICHA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,6,0,0,10,7,9,0,9
UYUNI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,56,50,5,5,0,1,106,10,116
VACAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,18,18,2,0,0,0,36,2,38
VALLEGRANDE,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,19,12,20,23,4,0,31,43,74
VIACHA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,140,140,36,40,6,11,280,76,356
VILA VILA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,5,0,0,2,1,16,0,16
VILLA CHARCAS,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,20,19,0,0,9,7,39,0,39
VILLA MONTES,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,103,79,2,15,6,10,182,17,199
VILLA NUEVA (LOMA ALTA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,10,3,1,2,0,0,13,3,16
VILLA RIVERO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,23,16,11,18,0,0,39,29,68
VILLA SERRANO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,34,15,6,6,0,0,49,12,61
VILLA TUNARI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,436,396,61,41,43,42,832,102,934
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,8,23,4,7,0,0,31,11,42
VILLAZON,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,59,62,0,1,39,20,121,1,122
VINTO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,179,166,52,65,0,0,345,117,462
VITICHI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,8,0,0,3,2,20,0,20
WALDO BALLIVIAN,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,0,2,0,0,0,0,2,0,2
WARNES,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,254,203,32,15,0,0,457,47,504
YACO,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,16,21,6,2,0,0,37,8,45
YACUIBA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,254,263,34,34,104,103,517,68,585
YAMPARAEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,11,10,5,2,2,1,21,7,28
YANACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,8,2,0,0,0,0,10,0,10
YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,95,92,14,18,0,0,187,32,219
YOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,3,16,0,0,0,0,19,0,19
YOTALA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,12,11,2,0,0,0,23,2,25
YUNCHARA,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,10,7,25,1,0,0,17,26,43
YUNGUYO DE LITORAL,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,2,2,0,0,0,0,4,0,4
ZUDAÑEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-02-01,24,15,7,10,0,0,39,17,56
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,7,7,0,0,0,0,14,0,14
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,57,57,11,10,0,0,114,21,135
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,38,38,5,1,0,0,76,6,82
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,33,27,39,44,12,9,60,83,143
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,5,0,5,1,0,0,5,6,11
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,11,7,0,1,1,0,18,1,19
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,54,41,1,4,0,0,95,5,100
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,12,12,5,5,4,5,24,10,34
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,1,1,1,0,0,0,2,1,3
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,7,6,3,0,0,0,13,3,16
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,9,10,2,1,0,0,19,3,22
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,48,56,25,36,11,10,104,61,165
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,3,2,0,0,0,0,5,0,5
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,14,14,4,3,0,0,28,7,35
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,68,84,7,14,0,0,152,21,173
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,36,30,1,1,0,0,66,2,68
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,34,32,3,2,1,0,66,5,71
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,25,39,6,0,2,2,64,6,70
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,25,10,0,0,3,3,35,0,35
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,13,13,1,1,2,1,26,2,28
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,10,15,1,8,0,0,25,9,34
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,59,57,9,9,6,7,116,18,134
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,37,34,3,3,0,0,71,6,77
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,19,19,10,22,0,1,38,32,70
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,16,6,1,3,0,0,22,4,26
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,2,3,0,0,0,0,5,0,5
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,1,2,0,0,0,1,3,0,3
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,13,11,2,3,0,0,24,5,29
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,150,156,30,24,1,2,306,54,360
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,34,44,3,5,0,0,78,8,86
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,10,16,1,0,0,0,26,1,27
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,5,3,0,0,0,0,8,0,8
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,10,6,1,1,0,1,16,2,18
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,29,25,8,4,0,0,54,12,66
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,49,49,10,0,0,2,98,10,108
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,36,32,3,0,4,2,68,3,71
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,28,15,1,0,0,0,43,1,44
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,24,20,2,1,6,10,44,3,47
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,4,9,0,0,0,0,13,0,13
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,26,21,0,0,0,0,47,0,47
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,21,23,7,1,0,0,44,8,52
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,8,5,0,0,0,0,13,0,13
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,47,34,11,3,0,0,81,14,95
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,81,89,4,9,0,0,170,13,183
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,26,13,3,3,0,0,39,6,45
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,63,51,7,5,3,5,114,12,126
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,150,126,19,21,2,3,276,40,316
CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,3,0,0,0,0,0,3,0,3
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,52,32,7,3,1,3,84,10,94
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,4,4,0,0,0,0,8,0,8
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,8,3,0,1,3,2,11,1,12
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,4,3,1,1,0,0,7,2,9
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,7,6,0,0,0,0,13,0,13
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,48,36,11,6,8,11,84,17,101
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,9,10,0,0,0,0,19,0,19
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,90,83,18,14,0,0,173,32,205
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,2,2,1,1,0,0,4,2,6
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,15,18,1,0,12,8,33,1,34
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,110,130,14,33,0,0,240,47,287
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,1,1,0,0,0,0,2,0,2
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,2,1,8,4,0,0,3,12,15
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,29,30,3,8,0,0,59,11,70
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,10,15,0,1,9,9,25,1,26
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,20,14,1,0,3,1,34,1,35
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,17,29,0,0,0,2,46,0,46
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,31,53,33,36,0,0,84,69,153
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,143,108,47,60,0,0,251,107,358
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,88,75,4,2,0,0,163,6,169
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,1882,1651,716,686,269,210,3533,1402,4935
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,1,3,2,4,0,0,4,6,10
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,71,67,67,35,0,0,138,102,240
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,35,31,5,0,1,2,66,5,71
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,4,3,0,1,0,0,7,1,8
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,50,50,6,9,10,13,100,15,115
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,13,11,1,1,0,0,24,2,26
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,37,24,9,4,1,2,61,13,74
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,15,22,5,9,0,0,37,14,51
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,36,29,10,7,8,12,65,17,82
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,4,1,0,0,0,0,5,0,5
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,36,26,2,5,3,0,62,7,69
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,2,1,0,1,0,0,3,1,4
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,56,45,5,9,2,0,101,14,115
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,10,4,0,0,0,0,14,0,14
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,30,33,7,3,0,0,63,10,73
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,11,14,3,4,0,0,25,7,32
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,52,32,10,15,0,0,84,25,109
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,8,11,4,1,0,1,19,5,24
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,36,51,2,3,5,8,87,5,92
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,170,131,32,26,19,16,301,58,359
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,52,54,10,10,0,0,106,20,126
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,6,6,0,1,0,0,12,1,13
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,15,5,13,2,0,0,20,15,35
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,19,21,0,1,0,0,40,1,41
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,1,1,0,0,0,1,2,0,2
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,10,13,0,0,3,0,23,0,23
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,11,3,3,1,2,0,14,4,18
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,2025,1962,829,847,116,109,3987,1676,5663
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,2,8,0,0,0,0,10,0,10
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,32,26,1,1,2,1,58,2,60
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,16,24,2,1,8,5,40,3,43
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,210,192,201,319,0,0,402,520,922
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,11,9,0,0,0,0,20,0,20
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,72,31,3,3,0,0,103,6,109
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,79,91,7,9,58,60,170,16,186
ESCARA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,2,1,0,0,0,0,3,0,3
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,6,7,0,0,0,0,13,0,13
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,4,0,1,0,2,0,4,1,5
EUREKA (SANTOS MERCADO),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,0,8,0,0,0,0,8,0,8
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,6,9,2,0,0,0,15,2,17
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,58,25,5,2,0,0,83,7,90
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,6,3,0,0,19,14,9,0,9
GAIOC JATUN AYLLU YURA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,7,9,0,0,0,0,16,0,16
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,52,64,12,13,0,0,116,25,141
GIA-TIM,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,10,14,0,0,1,1,24,0,24
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,32,13,1,1,0,0,45,2,47
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,18,18,48,30,0,0,36,78,114
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,6,5,1,0,3,0,11,1,12
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,83,92,5,7,9,8,175,12,187
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,48,62,1,4,0,0,110,5,115
HUACARAJE,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,3,2,2,2,0,0,5,4,9
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,22,25,7,3,0,0,47,10,57
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,4,7,2,0,0,0,11,2,13
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,1,1,0,0,1,0,2,0,2
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,34,37,12,6,5,7,71,18,89
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,12,11,10,11,0,0,23,21,44
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,6,3,7,2,0,0,9,9,18
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,5,8,3,1,0,0,13,4,17
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,5,1,4,2,0,0,6,6,12
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,11,9,2,1,3,0,20,3,23
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,12,14,6,4,0,0,26,10,36
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,29,41,0,0,7,6,70,0,70
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,3,5,0,0,0,0,8,0,8
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,25,25,1,0,0,2,50,1,51
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,53,47,6,2,0,0,100,8,108
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,36,48,6,15,0,0,84,21,105
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,10,12,6,9,0,1,22,15,37
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2024-03-01,119,102,26,14,44,26,221,40,261
