municipality,group,variable,month,12.4 Nacidos vivos con peso menor a 2500 g.,TOTAL
SUCRE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
TOTORA(ORR),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
VILA VILA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
VILLA SERRANO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
YAPACANI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
ALTO BENI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,2,2
ANCORAIMES,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
CHAYANTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,2,2
COTAGAITA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
GUTIERREZ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,3,3
MOROCHATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
PUCARANI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,3,3
SAN RAFAEL,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SANTA ANA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SANTIAGO DE MACHACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SENA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
SIPE SIPE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
TARABUCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
TOTORA(ORR),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
URUBICHA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,3,3
VINTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
VITICHI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
YACUIBA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-10-01,1,1
ACHACACHI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,5,5
AIQUILE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
ARQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
AZURDUY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,4,4
CAIROMA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
CHALLAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
CHAQUI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
CHAYANTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
COMBAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
GUTIERREZ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,3,3
MONTERO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
POROMA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
PUNA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
RURRENABAQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,2,2
SANTIAGO DE HUARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
TACOPAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
TAPACARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
TIAWANACU,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,2,2
TOMAVE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,2,2
TORO TORO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,3,3
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,1,1
VINTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-11-01,2,2
ARQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
AUCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
AYATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
CAPINOTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,2,2
CHALLAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,4,4
COLQUECHACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
COLQUIRI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,2,2
COTAGAITA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
CURVA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
LORETO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
MINEROS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
MIZQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
PALCA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
PUNA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
RAVELO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
SACABA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
SAN AGUSTIN,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,3,3
TAPACARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
TIAWANACU,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
TORO TORO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
TUPIZA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,3,3
YACUIBA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-12-01,1,1
