municipality,group,variable,month,12.2 Nacidos vivos atendidos por personal de salud,TOTAL
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,1,1
VILLA RIVERO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,1,1
VILLA SERRANO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,2,2
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,11,11
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,5,5
VILLAZON,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,3,3
VINTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,3,3
VITICHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,5,5
WALDO BALLIVIAN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,4,4
WARNES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,3,3
YACO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,6,6
YACUIBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,8,8
YAMPARAEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,2,2
YAPACANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,5,5
YOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,1,1
YUNCHARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-03-01,1,1
ACACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
ACHACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,14,14
ACHOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
AIQUILE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
ALALAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
ALTO BENI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
ANCORAIMES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,15,15
ANDAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
ANTEQUERA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
APOLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
ARAMPAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
ARANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
ARBIETO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
ARQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,9,9
ATOCHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
AUCAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
AYATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,9,9
AYO AYO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,9,9
AZURDUY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
BATALLAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
BELEN DE ANDAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
BERMEJO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,15,15
BOLIVAR,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
BOYUIBE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
BUENA VISTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
CAIROMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
"CAIZA ""D""",atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
CALACOTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
CALAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
CAMARGO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
CAMIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CAPINOTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,11,11
CARACOLLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,10,10
CARANAVI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
CARAPARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
CARIPUYO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
CHACARILLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,13,13
CHAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
CHARAGUA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
CHARAÑA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
CHAYANTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,12,12
CHIMORE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
CHIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CHUA COCANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CHUMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
CKOCHAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,18,18
CLIZA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
COCAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,10,10
COCHABAMBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,12,12
COLLANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,19,19
COLQUENCHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
COLQUIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,12,12
COMANCHE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
COMARAPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
COMBAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
COPACABANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CORIPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CORO CORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
COROICO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CORQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
COTAGAITA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,11,11
COTOCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
CULPINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
CURVA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
DESAGUADERO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
EL ALTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
EL CHORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
EL PUENTE(TJA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
ENTRE RIOS TRJ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
ESCOMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
EUCALIPTUS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
EXALTACION,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
FILADELFIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
GUANAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
GUAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
GUAYARAMERIN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
GUTIERREZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
HUACARETA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
HUANUNI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
HUARINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
HUATAJATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
HUMANATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
ICHOCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
ICLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
INCAHUASI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
INQUISIVI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
IXIAMAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
JESUS DE MACHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
LA ASUNTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
LAGUNILLAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
LAJA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,10,10
LLALLAGUA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
LLICA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
LURIBAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
MAGDALENA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
MALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
MECAPACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
MINEROS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
MIZQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
MOCOMOCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,10,10
MOJOCOYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
MOROCHATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
OCURI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,9,9
OMEREQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
ORURO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
PADCAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
PADILLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
PAILON,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
PALCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,10,10
PALOS BLANCOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
PAMPA AULLAGAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
PAPEL PAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
PATACAMAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
PAZÑA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
PELECHUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
POCOATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,26,26
POCONA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
POJO (CBBA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
PORCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
POROMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
PORONGO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
POTOSI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
PRESTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,12,12
PUCARANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,13,13
PUERTO ACOSTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
PUERTO CARABUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,12,12
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
PUERTO RICO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
PUERTO VILLARROEL,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,9,9
PUNA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
QUILLACOLLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,10,10
QUIME,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
RAVELO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
REYES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
SACABA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
SACABAMBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SACACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
SAN AGUSTIN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
SAN BORJA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
SAN BUENA VENTURA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
SAN CARLOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
SAN JUAN DE YAPACANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SAN JULIAN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,10,10
SAN MATIAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,9,9
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
SAN PEDRO(PND),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SANTA ANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SANTA ROSA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
SANTIAGO DE CALLAPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
SANTIAGO DE HUARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
SANTIAGO DE HUATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
SANTIVAÑES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
SAPAHAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
SENA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,11,11
SICAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
SIPE SIPE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
SOPACHUY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SORACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
SORATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
SUCRE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
TACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
TACACOMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
TACOBAMBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
TACOPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,9,9
TAHUA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
TAPACARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,21,21
TARABUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,10,10
TARACO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
TARATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
TARVITA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
TEOPONTE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
TIAWANACU,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
TINGUIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,15,15
TIQUIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
TIRAQUE (CBBA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
TOLEDO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
TOMAVE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,9,9
TOMINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
TORO TORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
TOTORA(ORR),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
TUPIZA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,16,16
TURCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
UMALA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
UNCIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,8,8
URIONDO (A. CONCEPCION),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
UYUNI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
VACAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
VIACHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,6,6
VILA VILA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
VILLA CHARCAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,7,7
VILLA MONTES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
VILLA RIVERO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
VILLA SERRANO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,13,13
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
VILLAZON,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
VITICHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
WALDO BALLIVIAN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
WARNES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
YACO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,5,5
YACUIBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
YAMPARAEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
YANACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
YAPACANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
YOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,3,3
YOTALA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,1,1
YUNCHARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,4,4
ZUDAÑEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-04-01,2,2
ACACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,7,7
ACHACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,15,15
ACHOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,10,10
AIQUILE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,3,3
ALALAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,2,2
ALTO BENI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,1,1
ANCORAIMES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,12,12
ANTEQUERA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,2,2
ANZALDO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,2,2
APOLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,9,9
ARAMPAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,2,2
ARBIETO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,8,8
ARQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,10,10
ASCENCION DE GUARAYOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,7,7
ATOCHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,1,1
AUCAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,3,3
AYATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,6,6
AYO AYO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-05-01,4,4
