,group,variable,month,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,5,1,0,1,5,6
CLIZA,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,1,0,0,0,1,1
COBIJA,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-10-01,12,55,17,31,29,86,115
COTAGAITA,chagas,total tratamientos de 15 anos y mas,2015-10-01,3,1,0,0,3,1,4
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-10-01,4,2,2,4,6,6,12
GUAYARAMERIN,chagas,total tratamientos de 15 anos y mas,2015-10-01,2,2,0,0,2,2,4
ICLA,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,1,0,0,0,1,1
LA PAZ,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,0,0,1,0,1,1
MAIRANA,chagas,total tratamientos de 15 anos y mas,2015-10-01,1,2,2,1,3,3,6
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,2,0,1,0,3,3
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-10-01,7,6,1,3,8,9,17
MONTERO,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,0,0,0,0,0,0
OMEREQUE,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,0,0,1,0,1,1
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-10-01,4,7,2,8,6,15,21
SACABA,chagas,total tratamientos de 15 anos y mas,2015-10-01,3,4,1,8,4,12,16
SAN JULIAN,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,1,0,0,0,1,1
SAN LUCAS,chagas,total tratamientos de 15 anos y mas,2015-10-01,1,3,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-10-01,7,14,6,2,13,16,29
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-10-01,48,45,19,34,67,79,146
TAPACARI,chagas,total tratamientos de 15 anos y mas,2015-10-01,1,0,0,0,1,0,1
TARATA,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,0,1,0,1,0,1
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-10-01,8,19,11,23,19,42,61
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-10-01,17,50,19,39,36,89,125
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-10-01,5,3,16,23,21,26,47
VINTO,chagas,total tratamientos de 15 anos y mas,2015-10-01,3,1,0,0,3,1,4
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,1,0,0,0,1,1
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,0,0,2,0,2,2
CHAQUI,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),chagas,total tratamientos de 15 anos y mas,2015-11-01,0,1,0,0,0,1,1
CLIZA,chagas,total tratamientos de 15 anos y mas,2015-11-01,1,1,0,0,1,1,2
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-11-01,2,6,39,47,41,53,94
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-11-01,2,1,0,1,2,2,4
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-11-01,4,5,12,8,16,13,29
GUAYARAMERIN,chagas,total tratamientos de 15 anos y mas,2015-11-01,1,2,0,0,1,2,3
ICLA,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,0,0,1,0,1,1
MAIRANA,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,1,0,0,0,1,1
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-11-01,1,1,0,2,1,3,4
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-11-01,5,5,7,6,12,11,23
MONTERO,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,0,0,0,0,0,0
POCONA,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,0,1,0,1,0,1
POJO (CBBA),chagas,total tratamientos de 15 anos y mas,2015-11-01,1,1,0,0,1,1,2
PRESTO,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,0,6,1,6,1,7
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-11-01,12,11,4,9,16,20,36
SICAYA,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,1,1,0,1,1,2
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-11-01,2,2,0,0,2,2,4
SOPACHUY,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-11-01,23,33,17,28,40,61,101
TAPACARI,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,0,1,3,1,3,4
TARATA,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,0,1,0,1,0,1
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-11-01,2,8,14,25,16,33,49
TOLATA,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,2,0,0,0,2,2
TORO TORO,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,2,0,0,0,2,2
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-11-01,26,35,19,26,45,61,106
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-11-01,0,0,1,2,1,2,3
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-11-01,2,2,9,10,11,12,23
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-12-01,2,2,0,0,2,2,4
BERMEJO,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,1,1,0,1,1,2
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,2,0,3,0,5,5
CHULUMANI (V. DE LA LIBERTAD),chagas,total tratamientos de 15 anos y mas,2015-12-01,0,0,0,2,0,2,2
CKOCHAS,chagas,total tratamientos de 15 anos y mas,2015-12-01,6,3,0,0,6,3,9
CLIZA,chagas,total tratamientos de 15 anos y mas,2015-12-01,1,1,0,0,1,1,2
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-12-01,17,24,24,30,41,54,95
COROICO,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,1,0,0,0,1,1
COTAGAITA,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,0,2,0,2,0,2
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-12-01,2,1,0,1,2,2,4
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-12-01,2,0,3,0,5,0,5
GUAYARAMERIN,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,0,1,2,1,2,3
LA PAZ,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,1,0,0,0,1,1
MAIRANA,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,0,1,1,1,1,2
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-12-01,1,2,0,0,1,2,3
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-12-01,10,12,8,10,18,22,40
MONTERO,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,0,0,0,0,0,0
OMEREQUE,chagas,total tratamientos de 15 anos y mas,2015-12-01,2,1,0,0,2,1,3
PRESTO,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,0,1,0,1,0,1
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,0,7,8,7,8,15
SACABAMBA,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,1,0,1,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-12-01,4,5,5,9,9,14,23
SICAYA,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,1,0,0,0,1,1
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-12-01,1,2,0,0,1,2,3
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-12-01,21,18,0,0,21,18,39
TAPACARI,chagas,total tratamientos de 15 anos y mas,2015-12-01,0,0,1,0,1,0,1
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-12-01,2,1,8,13,10,14,24
TOLATA,chagas,total tratamientos de 15 anos y mas,2015-12-01,1,0,0,0,1,0,1
TOTORA(CBBA),chagas,total tratamientos de 15 anos y mas,2015-12-01,0,1,1,0,1,1,2
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-12-01,13,27,16,48,29,75,104
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-12-01,1,3,1,0,2,3,5
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-12-01,2,3,2,2,4,5,9
