,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
TAPACARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,13,18,13,18,31
TARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,7,9,7,9,16
TARACO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,5,0,5,0,5
TARATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,18,6,18,6,24
TARIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,248,28,248,28,276
TARVITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,14,9,14,9,23
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,15,8,15,8,23
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,13,4,13,4,17
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,31,5,31,5,36
TIPUANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,12,12,12,12,24
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,78,51,78,51,129
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,23,11,23,11,34
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,1,1,1,1,2
TOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,0,1,0,1,1
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,4,3,4,3,7
TOLEDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,8,1,8,1,9
TOMAVE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,6,21,6,21,27
TOMINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,4,3,4,3,7
TORO TORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,14,3,14,3,17
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,12,14,12,14,26
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,4,1,4,1,5
TRIGAL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,170,26,170,26,196
TUPIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,58,16,58,16,74
TURCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,0,4,0,4,4
UMALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,2,9,2,9,11
UNCIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,28,5,28,5,33
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,17,2,17,2,19
URUBICHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,6,5,6,5,11
UYUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,24,1,24,1,25
VACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,6,7,6,7,13
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,28,5,28,5,33
VIACHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,93,11,93,11,104
VILA VILA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,2,4,2,4,6
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,19,9,19,9,28
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,54,38,54,38,92
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,4,2,4,2,6
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,5,11,5,11,16
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,9,10,9,10,19
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,101,47,101,47,148
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,9,2,9,2,11
VILLAZON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,85,7,85,7,92
VINTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,60,0,60,0,60
VITICHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,16,7,16,7,23
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,155,20,155,20,175
YACO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,7,4,7,4,11
YACUIBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,111,32,111,32,143
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,4,1,4,1,5
YANACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,4,10,4,10,14
YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,73,34,73,34,107
YOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,9,3,9,3,12
YOTALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,1,9,1,9,10
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,2,5,2,5,7
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-02-01,2,10,2,10,12
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,11,8,11,8,19
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,37,24,37,24,61
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,8,9,8,9,17
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,42,14,42,14,56
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,9,0,9,9
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,3,2,3,5
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,24,1,24,1,25
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,13,11,13,11,24
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,5,3,5,8
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,0,3,0,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,8,8,8,8,16
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,19,26,19,26,45
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,12,2,12,14
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,16,0,16,0,16
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,7,21,7,21,28
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,20,9,20,9,29
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,34,2,34,2,36
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,21,17,21,17,38
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,8,3,8,11
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,7,8,7,8,15
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,3,3,3,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,22,36,22,36,58
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,13,13,13,13,26
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,22,7,22,7,29
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,2,4,2,6
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,3,2,3,5
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,5,2,5,7
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,6,1,6,7
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,30,56,30,56,86
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,44,25,44,25,69
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,5,0,5,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,5,3,5,3,8
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,19,13,19,13,32
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,20,53,20,53,73
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,10,3,10,3,13
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,11,4,11,4,15
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,30,6,30,6,36
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,3,2,3,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,10,9,10,9,19
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,17,8,17,8,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,2,4,2,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,53,6,53,6,59
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,41,5,41,5,46
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,4,4,4,8
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,18,11,18,11,29
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,60,47,60,47,107
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,10,18,10,18,28
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,34,1,34,35
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,10,0,10,10
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,36,10,36,10,46
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,9,4,9,4,13
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,9,20,9,20,29
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,1,2,1,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,39,3,39,42
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,44,7,44,7,51
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,0,1,0,1
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,5,4,5,9
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,16,1,16,1,17
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,6,21,6,21,27
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,11,11,11,11,22
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,24,11,24,11,35
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,32,15,32,15,47
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,81,32,81,32,113
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,10,22,10,22,32
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1052,35,1052,35,1087
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,98,0,98,0,98
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,12,1,12,1,13
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,25,10,25,10,35
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,10,3,10,3,13
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,33,46,33,46,79
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,8,0,8,0,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,23,23,23,23,46
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,0,2,0,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,23,8,23,8,31
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,6,0,6,6
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,36,5,36,5,41
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,21,9,21,9,30
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,17,16,17,16,33
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,16,4,16,20
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,25,15,25,15,40
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,6,5,6,5,11
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,17,16,17,16,33
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,97,40,97,40,137
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,26,29,26,29,55
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,5,2,5,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,16,20,16,20,36
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,1,0,1,1
CURVA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,2,0,2,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,11,2,11,2,13
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1247,246,1247,246,1493
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,10,3,10,3,13
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,13,3,13,16
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,89,19,89,19,108
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,5,1,5,1,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,21,26,21,26,47
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,78,8,78,8,86
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,3,3,3,6
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,5,3,5,3,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,12,2,12,14
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,7,1,7,8
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,20,20,20,20,40
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,22,2,22,24
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,12,17,12,17,29
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,7,25,7,25,32
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,17,7,17,7,24
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,9,1,9,10
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,118,32,118,32,150
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,21,22,21,22,43
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,11,10,11,10,21
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,3,0,3,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,47,6,47,6,53
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,3,3,3,6
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,9,3,9,12
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,6,2,6,2,8
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,0,4,0,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,5,0,5,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,8,0,8,8
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,2,4,2,6
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,7,15,7,15,22
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,24,4,24,28
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,9,12,9,12,21
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,23,0,23,0,23
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,7,5,7,5,12
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,66,26,66,26,92
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,147,15,147,15,162
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1091,20,1091,20,1111
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,1,1,1,2
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,10,2,10,12
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,16,14,16,14,30
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,6,3,6,9
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,1,3,1,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,48,34,48,34,82
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,6,2,6,2,8
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,0,3,0,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,12,2,12,14
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,5,2,5,2,7
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,6,5,6,5,11
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,5,20,5,20,25
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,13,9,13,9,22
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,3,2,3,5
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,31,8,31,8,39
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,16,8,16,8,24
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,39,5,39,5,44
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,26,24,26,24,50
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,21,15,21,15,36
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,10,11,10,11,21
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,36,8,36,8,44
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,224,21,224,21,245
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,9,4,9,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,4,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,3,1,3,4
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,17,3,17,20
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,15,9,15,9,24
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,8,0,8,8
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,407,10,407,10,417
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,23,9,23,9,32
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,16,5,16,5,21
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,32,130,32,130,162
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,19,18,19,18,37
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,29,4,29,4,33
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,3,1,3,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,16,0,16,0,16
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,5,18,5,18,23
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,2,2,2,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,28,3,28,3,31
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,5,2,5,2,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,13,3,13,16
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,5,36,5,36,41
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,17,3,17,20
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,22,4,22,4,26
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,8,4,8,12
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,6,19,6,19,25
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,20,36,20,36,56
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,8,14,8,14,22
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,20,9,20,9,29
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,0,12,0,12,12
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,2,2,2,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,386,41,386,41,427
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,1,11,1,11,12
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,1,2,1,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,36,34,36,34,70
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,4,26,4,26,30
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,13,22,13,22,35
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,9,9,9,9,18
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,3,13,3,13,16
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,24,29,24,29,53
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,9,11,9,11,20
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,2,3,2,3,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,33,10,33,10,43
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,95,20,95,20,115
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-03-01,17,21,17,21,38
