,group,variable,month,ANTI AMARÍLICA,ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,74,3,74,3,77
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,7,15,7,15,22
SORACACHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,0,15,0,15,15
SORATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,20,35,20,35,55
SUCRE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,538,101,538,101,639
TACACOMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,12,0,12,0,12
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,10,18,10,18,28
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,4,10,4,10,14
TAHUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,3,1,3,1,4
TAPACARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,27,11,27,11,38
TARABUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,17,24,17,24,41
TARATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,11,4,11,4,15
TARIJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,292,22,292,22,314
TARVITA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,13,18,13,18,31
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,18,16,18,16,34
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,18,3,18,3,21
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,34,21,34,21,55
TIPUANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,6,22,6,22,28
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,107,39,107,39,146
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,21,41,21,41,62
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,8,8,8,8,16
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,0,1,0,1,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,8,3,8,3,11
TOLEDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,5,2,5,2,7
TOMAVE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,7,27,7,27,34
TOMINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,11,12,11,12,23
TORO TORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,37,0,37,0,37
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,30,12,30,12,42
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,4,3,4,3,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,151,17,151,17,168
TUPIZA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,45,29,45,29,74
TURCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,5,1,5,1,6
UMALA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,0,5,0,5,5
UNCIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,13,31,13,31,44
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,15,12,15,12,27
URUBICHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,11,13,11,13,24
UYUNI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,22,6,22,6,28
VACAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,1,17,1,17,18
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,29,2,29,2,31
VIACHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,84,15,84,15,99
VILA VILA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,6,15,6,15,21
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,19,27,19,27,46
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,47,33,47,33,80
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,4,11,4,11,15
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,2,7,2,7,9
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,5,9,5,9,14
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,131,41,131,41,172
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,17,11,17,11,28
VILLAZON,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,54,12,54,12,66
VINTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,100,8,100,8,108
VITICHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,9,5,9,5,14
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,155,57,155,57,212
YACO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,4,7,4,7,11
YACUIBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,131,39,131,39,170
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,3,7,3,7,10
YANACACHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,5,5,5,5,10
YAPACANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,70,24,70,24,94
YOCALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,12,5,12,5,17
YOTALA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,2,10,2,10,12
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,1,8,1,8,9
YUNGUYO DE LITORAL,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-03-01,9,3,9,3,12
ACACIO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,4,3,4,7
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,29,27,29,27,56
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,15,5,15,5,20
AIQUILE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,36,19,36,19,55
ALALAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,7,0,7,7
ALCALA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,3,3,3,6
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,23,0,23,0,23
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,9,13,9,13,22
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,2,3,2,5
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,7,0,7,7
ANZALDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,17,1,17,18
APOLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,17,21,17,21,38
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,12,2,12,14
ARANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,11,0,11,0,11
ARBIETO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,9,14,9,14,23
ARQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,24,5,24,5,29
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,62,2,62,2,64
ATOCHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,14,7,14,7,21
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,4,3,4,3,7
AYATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,4,4,4,4,8
AYO AYO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,7,8,7,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,18,42,18,42,60
AZURDUY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,3,5,3,8
BATALLAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,29,7,29,7,36
BAURES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,19,0,19,0,19
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,10,0,10,10
BERMEJO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,31,72,31,72,103
BETANZOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,16,37,16,37,53
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,15,0,15,15
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,6,2,6,8
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,4,21,4,21,25
CABEZAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,18,84,18,84,102
CAIROMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,14,4,14,4,18
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,25,2,25,27
CAJUATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,9,3,9,3,12
CALACOTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,7,2,7,9
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,10,23,10,23,33
CAMARGO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,27,9,27,9,36
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,4,0,4,0,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,68,15,68,15,83
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,37,8,37,8,45
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,12,0,12,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,27,11,27,11,38
CARANAVI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,82,29,82,29,111
CARAPARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,29,8,29,37
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,12,2,12,14
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,14,8,14,22
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,31,21,31,21,52
CHAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,13,7,13,7,20
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,6,102,6,102,108
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,5,1,5,6
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,18,3,18,21
CHIMORE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,34,7,34,7,41
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,2,1,2,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,23,4,23,4,27
CHUMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,10,8,10,8,18
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,16,0,16,16
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,25,6,25,6,31
CLIZA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,19,12,19,12,31
COBIJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,91,63,91,63,154
COCAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,15,0,15,15
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1142,78,1142,78,1220
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,141,18,141,18,159
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,20,5,20,5,25
COLLANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,2,1,2,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,16,44,16,44,60
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,13,5,13,18
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,26,45,26,45,71
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,9,1,9,10
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,44,8,44,52
COMANCHE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,0,5,0,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,23,8,23,8,31
COMBAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,3,0,3,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,18,9,18,9,27
COPACABANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,36,28,36,28,64
CORIPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,26,0,26,0,26
CORO CORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,21,3,21,24
COROICO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,6,0,6,6
CORQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,6,3,6,3,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,21,47,21,47,68
COTOCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,119,87,119,87,206
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,22,26,22,26,48
CUEVO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,10,3,10,13
CULPINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,26,12,26,12,38
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,7,1,7,1,8
CURVA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,2,0,2,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,4,2,4,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1568,214,1568,214,1782
EL CHORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,5,8,5,13
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,23,11,23,11,34
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,7,7,7,7,14
EL TORNO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,111,12,111,12,123
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,0,8,0,8
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,28,32,28,32,60
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,60,5,60,5,65
ESCOMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,6,1,6,1,7
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,5,8,5,13
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,5,3,5,8
EXALTACION,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,23,10,23,10,33
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,29,0,29,29
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,33,4,33,4,37
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,21,1,21,22
GUANAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,13,18,13,18,31
GUAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,7,1,7,8
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,36,45,36,45,81
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,19,0,19,19
HUACARETA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,14,6,14,6,20
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,10,0,10,10
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,54,1,54,1,55
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,6,0,6,6
HUARINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,7,2,7,9
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,2,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,2,0,2,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,5,3,5,8
ICHOCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,5,8,5,13
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,21,3,21,24
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,4,0,4,4
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,6,17,6,17,23
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,12,8,12,20
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,11,6,11,6,17
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,9,8,9,8,17
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,64,19,64,19,83
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,184,24,184,24,208
LA PAZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1137,25,1137,25,1162
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,17,1,17,18
LAJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,9,10,9,10,19
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,0,1,0,1
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,2,5,2,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,25,21,25,21,46
LLICA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,4,6,4,6,10
LORETO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,10,35,10,35,45
LURIBAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,4,0,4,0,4
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,0,2,0,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,10,5,10,5,15
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,6,33,6,33,39
MAIRANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,13,2,13,2,15
MALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,20,35,20,35,55
MECAPACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,10,7,10,7,17
MINEROS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,44,8,44,8,52
MIZQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,33,47,33,47,80
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,0,5,0,5
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,5,2,5,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,42,8,42,8,50
MONTERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,255,12,255,12,267
MORO MORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,3,5,3,8
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,28,3,28,31
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,8,0,8,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,4,3,4,7
OCURI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,15,25,15,25,40
OKINAWA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,23,8,23,8,31
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,13,1,13,14
ORURO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,525,4,525,4,529
PADCAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,12,30,12,30,42
PADILLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,13,1,13,1,14
PAILON,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,10,54,10,54,64
PALCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,15,9,15,9,24
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,23,21,23,21,44
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,3,2,3,2,5
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,9,3,9,3,12
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,6,2,6,8
PASORAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,4,0,4,0,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,30,0,30,0,30
PAZÑA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,10,3,10,3,13
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,4,7,4,7,11
POCOATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,26,5,26,31
POCONA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,6,48,6,48,54
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,34,16,34,16,50
POOPO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,5,5,5,10
PORCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,18,22,18,22,40
POROMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,14,15,14,15,29
PORONGO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,11,14,11,14,25
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,35,7,35,7,42
PORVENIR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,10,11,10,11,21
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,7,2,7,2,9
POTOSI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,363,15,363,15,378
PRESTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,12,1,12,13
PUCARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,1,1,1,1,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,28,15,28,15,43
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,2,15,2,15,17
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,14,23,14,23,37
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,8,19,8,19,27
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,5,5,5,5,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,30,27,30,27,57
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,9,7,9,7,16
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,0,5,0,5,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,24,33,24,33,57
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-04-01,79,34,79,34,113
