municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2007-11-01,2,2
TOMINA,malaria,tratamientos iniciados por sospecha,2007-11-01,6,6
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-11-01,4,4
URIONDO (A. CONCEPCION),malaria,tratamientos iniciados por sospecha,2007-11-01,1,1
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2007-11-01,2,2
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2007-11-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-11-01,12,12
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-11-01,3,3
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
BERMEJO,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-12-01,29,29
CARANAVI,malaria,tratamientos iniciados por sospecha,2007-12-01,3,3
CARAPARI,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
COLOMI,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-12-01,10,10
GUANAY,malaria,tratamientos iniciados por sospecha,2007-12-01,24,24
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2007-12-01,3,3
LA GUARDIA,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2007-12-01,4,4
MIZQUE,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-12-01,3,3
PADILLA,malaria,tratamientos iniciados por sospecha,2007-12-01,4,4
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2007-12-01,3,3
POROMA,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2007-12-01,9,9
SAN CARLOS,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2007-12-01,6,6
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2007-12-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-12-01,15,15
SANTA ANA,malaria,tratamientos iniciados por sospecha,2007-12-01,1,1
SUCRE,malaria,tratamientos iniciados por sospecha,2007-12-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-12-01,165,165
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2007-12-01,4,4
TOMINA,malaria,tratamientos iniciados por sospecha,2007-12-01,6,6
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-12-01,13,13
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2007-12-01,2,2
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2007-12-01,3,3
VILA VILA,malaria,tratamientos iniciados por sospecha,2007-12-01,4,4
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-12-01,92,92
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-12-01,12,12
