,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,3,2,1,0,0,0,5,1,0,0,0,0,0,0,12
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,2,2,0,0,4,5,4,0,0,0,0,0,17
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,3,0,0,0,0,2,3,0,0,0,0,0,8
UYUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,5,2,0,0,2,8,3,1,0,0,0,0,21
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,0,0,1,2,2,5,2,0,0,0,0,12
YACUIBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAPINOTA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,2,1,0,3,0,0,0,0,0,0,0,6
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,10,0,0,1,0,4,0,0,0,0,0,0,15
CONCEPCION,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,1,3,0,3,6,21,1,1,0,0,0,0,36
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,2,4,0,0,0,2,3,6,0,0,0,0,17
COTOCA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,2,0,0,0,0,0,2,3,1,2,0,0,0,0,10
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,1,2,0,0,18,31,3,0,0,0,0,0,55
MACHACAMARCA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,3,2,13,2,7,12,50,28,3,11,0,0,0,0,131
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,4,0,2,3,10,1,1,0,0,0,0,21
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,0,5,4,0,5,5,2,0,0,0,0,21
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,3,0,0,0,2,4,0,0,0,0,0,0,9
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,4,0,0,1,0,0,0,0,0,0,0,5
TOTORA(CBBA),atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,1,1,0,3,0,0,0,0,0,0,0,0,0,0,5
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,1,4,3,5,5,2,1,0,0,0,0,21
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-09-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,2,0,0,0,4,3,0,0,0,0,9
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,5,2,0,0,8,10,1,0,0,0,0,0,26
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,7,17,0,0,6,4,3,1,0,0,0,0,38
EL TORNO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,3,1,3,4,1,2,0,0,0,0,14
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,2,0,3,3,5,15,29,3,0,0,0,0,0,60
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,1,0,0,0,0,6,0,0,0,0,0,0,7
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,2,4,5,3,18,8,2,2,0,0,0,0,44
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,1,0,3,1,3,2,0,5,0,0,0,0,0,0,15
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SANTIAGO DE HUATA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SORATA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TACACOMA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,0,3,1,1,0,0,0,0,0,0,5
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,1,3,0,0,0,0,2,1,0,0,0,0,0,7
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,2,0,0,0,0,4,3,0,0,0,0,9
UNCIA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,2,1,2,5,3,4,0,0,0,0,17
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
CHAQUI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,2,3,2,2,10,2,1,0,0,0,0,22
COLOMI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
GENERAL SAAVEDRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
GUANAY,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,1,0,0,0,3,1,15,14,5,3,0,0,0,0,42
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,1,0,14,3,9,10,20,15,0,4,0,0,0,0,76
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,1,0,0,0,1,5,0,0,0,0,0,0,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,18,21,0,0,0,0,2,0,0,0,0,0,0,0,41
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,1,1,5,1,0,0,3,8,3,4,0,0,0,0,26
UNCIA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,3,0,2,1,1,1,4,2,2,0,0,0,0,16
VINTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-11-01,0,0,0,0,0,1,3,3,1,1,0,0,0,0,9
ANCORAIMES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,4,2,1,2,4,10,1,1,0,0,0,0,25
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,5,5,1,0,2,2,4,2,0,0,0,0,21
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,4,2,0,3,5,13,12,0,0,0,0,0,39
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,4,1,8,8,8,8,30,34,1,4,0,0,0,0,106
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
SAN BUENA VENTURA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
SAN LORENZO(TJA),atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,2,2,1,0,0,2,0,0,0,0,7
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,1,0,0,0,2,0,1,0,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,2,3,2,0,0,4,0,1,0,0,0,0,12
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,1,3,0,0,1,3,0,0,0,0,0,0,8
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
UNCIA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,3,1,3,1,5,7,2,2,0,0,0,0,24
UYUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,2,3,2,1,3,9,2,2,0,0,0,0,24
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,1,0,1,3,3,2,1,0,0,0,0,11
YACUIBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-12-01,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5
