,group,variable,month,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
BETANZOS,consulta externa, personas de 60 anos y mas,2014-03-01,371,514,16,40,387,554,941
BOLIVAR,consulta externa, personas de 60 anos y mas,2014-03-01,39,36,0,0,39,36,75
BOLPEBRA,consulta externa, personas de 60 anos y mas,2014-03-01,19,11,4,3,23,14,37
BOYUIBE,consulta externa, personas de 60 anos y mas,2014-03-01,38,68,0,1,38,69,107
BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-03-01,166,120,2,2,168,122,290
CABEZAS,consulta externa, personas de 60 anos y mas,2014-03-01,172,219,12,27,184,246,430
CAIROMA,consulta externa, personas de 60 anos y mas,2014-03-01,151,119,6,13,157,132,289
"CAIZA ""D""",consulta externa, personas de 60 anos y mas,2014-03-01,124,193,6,14,130,207,337
CAJUATA,consulta externa, personas de 60 anos y mas,2014-03-01,171,140,0,5,171,145,316
CALACOTO,consulta externa, personas de 60 anos y mas,2014-03-01,98,81,8,11,106,92,198
CALAMARCA,consulta externa, personas de 60 anos y mas,2014-03-01,178,220,12,54,190,274,464
CAMARGO,consulta externa, personas de 60 anos y mas,2014-03-01,217,313,34,45,251,358,609
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 60 anos y mas,2014-03-01,58,118,1,7,59,125,184
CAMIRI,consulta externa, personas de 60 anos y mas,2014-03-01,630,688,84,133,714,821,1535
CAPINOTA,consulta externa, personas de 60 anos y mas,2014-03-01,160,206,53,54,213,260,473
CAQUIAVIRI,consulta externa, personas de 60 anos y mas,2014-03-01,119,123,51,42,170,165,335
CARACOLLO,consulta externa, personas de 60 anos y mas,2014-03-01,145,144,15,14,160,158,318
CARANAVI,consulta externa, personas de 60 anos y mas,2014-03-01,345,182,174,79,519,261,780
CARANGAS,consulta externa, personas de 60 anos y mas,2014-03-01,9,11,3,4,12,15,27
CARAPARI,consulta externa, personas de 60 anos y mas,2014-03-01,174,168,9,15,183,183,366
CARIPUYO,consulta externa, personas de 60 anos y mas,2014-03-01,29,40,0,0,29,40,69
CARMEN RIVERO TORREZ,consulta externa, personas de 60 anos y mas,2014-03-01,20,34,9,10,29,44,73
CATACORA,consulta externa, personas de 60 anos y mas,2014-03-01,13,18,0,0,13,18,31
CHACARILLA,consulta externa, personas de 60 anos y mas,2014-03-01,55,30,0,1,55,31,86
CHALLAPATA,consulta externa, personas de 60 anos y mas,2014-03-01,110,160,90,114,200,274,474
CHAQUI,consulta externa, personas de 60 anos y mas,2014-03-01,122,186,4,5,126,191,317
CHARAGUA,consulta externa, personas de 60 anos y mas,2014-03-01,242,314,13,24,255,338,593
CHARAÑA,consulta externa, personas de 60 anos y mas,2014-03-01,29,37,1,7,30,44,74
CHAYANTA,consulta externa, personas de 60 anos y mas,2014-03-01,128,208,10,6,138,214,352
CHIMORE,consulta externa, personas de 60 anos y mas,2014-03-01,108,58,4,1,112,59,171
CHIPAYA,consulta externa, personas de 60 anos y mas,2014-03-01,8,10,0,0,8,10,18
CHOQUE COTA,consulta externa, personas de 60 anos y mas,2014-03-01,16,15,1,2,17,17,34
CHUA COCANI,consulta externa, personas de 60 anos y mas,2014-03-01,51,46,15,13,66,59,125
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 60 anos y mas,2014-03-01,99,74,29,15,128,89,217
CHUMA,consulta externa, personas de 60 anos y mas,2014-03-01,174,202,38,32,212,234,446
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 60 anos y mas,2014-03-01,20,22,0,0,20,22,42
CKOCHAS,consulta externa, personas de 60 anos y mas,2014-03-01,97,98,3,8,100,106,206
CLIZA,consulta externa, personas de 60 anos y mas,2014-03-01,97,129,61,87,158,216,374
COBIJA,consulta externa, personas de 60 anos y mas,2014-03-01,352,357,80,115,432,472,904
COCAPATA,consulta externa, personas de 60 anos y mas,2014-03-01,44,46,0,2,44,48,92
COCHABAMBA,consulta externa, personas de 60 anos y mas,2014-03-01,7109,8503,8510,10485,15619,18988,34607
COIPASA,consulta externa, personas de 60 anos y mas,2014-03-01,15,5,0,0,15,5,20
COLCAPIRHUA,consulta externa, personas de 60 anos y mas,2014-03-01,115,67,144,53,259,120,379
"COLCHA ""K""",consulta externa, personas de 60 anos y mas,2014-03-01,74,102,7,10,81,112,193
COLLANA,consulta externa, personas de 60 anos y mas,2014-03-01,47,55,29,33,76,88,164
COLOMI,consulta externa, personas de 60 anos y mas,2014-03-01,30,39,1,0,31,39,70
COLPA BELGICA,consulta externa, personas de 60 anos y mas,2014-03-01,120,106,6,7,126,113,239
COLQUECHACA,consulta externa, personas de 60 anos y mas,2014-03-01,143,186,11,10,154,196,350
COLQUENCHA,consulta externa, personas de 60 anos y mas,2014-03-01,84,89,36,44,120,133,253
COLQUIRI,consulta externa, personas de 60 anos y mas,2014-03-01,125,176,11,8,136,184,320
COMANCHE,consulta externa, personas de 60 anos y mas,2014-03-01,53,40,5,1,58,41,99
COMARAPA,consulta externa, personas de 60 anos y mas,2014-03-01,147,158,29,30,176,188,364
COMBAYA,consulta externa, personas de 60 anos y mas,2014-03-01,55,54,6,4,61,58,119
CONCEPCION,consulta externa, personas de 60 anos y mas,2014-03-01,168,159,18,25,186,184,370
COPACABANA,consulta externa, personas de 60 anos y mas,2014-03-01,90,76,16,12,106,88,194
CORIPATA,consulta externa, personas de 60 anos y mas,2014-03-01,75,69,60,48,135,117,252
CORO CORO,consulta externa, personas de 60 anos y mas,2014-03-01,92,105,17,18,109,123,232
COROICO,consulta externa, personas de 60 anos y mas,2014-03-01,118,126,94,121,212,247,459
CORQUE,consulta externa, personas de 60 anos y mas,2014-03-01,68,67,3,9,71,76,147
COTAGAITA,consulta externa, personas de 60 anos y mas,2014-03-01,449,732,29,43,478,775,1253
COTOCA,consulta externa, personas de 60 anos y mas,2014-03-01,207,194,50,40,257,234,491
CRUZ DE MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-03-01,2,7,0,0,2,7,9
CUATRO CAÑADAS,consulta externa, personas de 60 anos y mas,2014-03-01,80,66,11,7,91,73,164
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 60 anos y mas,2014-03-01,9,28,0,0,9,28,37
CUEVO,consulta externa, personas de 60 anos y mas,2014-03-01,55,77,16,38,71,115,186
CULPINA,consulta externa, personas de 60 anos y mas,2014-03-01,202,306,3,5,205,311,516
CURAHUARA DE CARANGAS,consulta externa, personas de 60 anos y mas,2014-03-01,39,31,0,1,39,32,71
CURVA,consulta externa, personas de 60 anos y mas,2014-03-01,32,66,7,5,39,71,110
DESAGUADERO,consulta externa, personas de 60 anos y mas,2014-03-01,44,60,34,50,78,110,188
EL ALTO,consulta externa, personas de 60 anos y mas,2014-03-01,3367,4043,2303,2463,5670,6506,12176
EL CHORO,consulta externa, personas de 60 anos y mas,2014-03-01,57,61,0,0,57,61,118
EL PUENTE(STC),consulta externa, personas de 60 anos y mas,2014-03-01,90,54,1,1,91,55,146
EL PUENTE(TJA),consulta externa, personas de 60 anos y mas,2014-03-01,125,268,7,15,132,283,415
EL TORNO,consulta externa, personas de 60 anos y mas,2014-03-01,502,543,206,174,708,717,1425
EL VILLAR,consulta externa, personas de 60 anos y mas,2014-03-01,74,132,2,2,76,134,210
ENTRE RIOS TRJ,consulta externa, personas de 60 anos y mas,2014-03-01,301,361,1,4,302,365,667
ENTRE RIOS CBBA,consulta externa, personas de 60 anos y mas,2014-03-01,75,40,7,1,82,41,123
ESCARA,consulta externa, personas de 60 anos y mas,2014-03-01,5,5,3,7,8,12,20
ESCOMA,consulta externa, personas de 60 anos y mas,2014-03-01,77,57,36,26,113,83,196
ESMERALDA,consulta externa, personas de 60 anos y mas,2014-03-01,9,15,4,0,13,15,28
EUCALIPTUS,consulta externa, personas de 60 anos y mas,2014-03-01,79,56,5,5,84,61,145
EUREKA (SANTOS MERCADO),consulta externa, personas de 60 anos y mas,2014-03-01,5,1,1,0,6,1,7
EXALTACION,consulta externa, personas de 60 anos y mas,2014-03-01,8,10,2,2,10,12,22
FERNANDEZ ALONSO,consulta externa, personas de 60 anos y mas,2014-03-01,113,100,10,13,123,113,236
FILADELFIA,consulta externa, personas de 60 anos y mas,2014-03-01,53,38,1,0,54,38,92
GENERAL SAAVEDRA,consulta externa, personas de 60 anos y mas,2014-03-01,147,146,30,33,177,179,356
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 60 anos y mas,2014-03-01,124,125,11,7,135,132,267
GUANAY,consulta externa, personas de 60 anos y mas,2014-03-01,154,124,5,4,159,128,287
GUAQUI,consulta externa, personas de 60 anos y mas,2014-03-01,76,96,16,18,92,114,206
GUAYARAMERIN,consulta externa, personas de 60 anos y mas,2014-03-01,408,524,126,259,534,783,1317
GUTIERREZ,consulta externa, personas de 60 anos y mas,2014-03-01,87,110,1,1,88,111,199
HUACARETA,consulta externa, personas de 60 anos y mas,2014-03-01,142,193,17,17,159,210,369
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 60 anos y mas,2014-03-01,36,51,1,0,37,51,88
HUACHACALLA,consulta externa, personas de 60 anos y mas,2014-03-01,44,54,23,15,67,69,136
HUANUNI,consulta externa, personas de 60 anos y mas,2014-03-01,313,245,113,62,426,307,733
HUARACAJE,consulta externa, personas de 60 anos y mas,2014-03-01,21,22,1,9,22,31,53
HUARINA,consulta externa, personas de 60 anos y mas,2014-03-01,50,52,42,28,92,80,172
HUATAJATA,consulta externa, personas de 60 anos y mas,2014-03-01,85,112,53,36,138,148,286
HUAYLLAMARCA,consulta externa, personas de 60 anos y mas,2014-03-01,125,152,3,2,128,154,282
HUMANATA,consulta externa, personas de 60 anos y mas,2014-03-01,59,69,13,11,72,80,152
ICHOCA,consulta externa, personas de 60 anos y mas,2014-03-01,84,84,1,2,85,86,171
ICLA,consulta externa, personas de 60 anos y mas,2014-03-01,110,238,10,15,120,253,373
INCAHUASI,consulta externa, personas de 60 anos y mas,2014-03-01,103,149,2,6,105,155,260
INGAVI (HUMAITA),consulta externa, personas de 60 anos y mas,2014-03-01,5,0,0,0,5,0,5
INQUISIVI,consulta externa, personas de 60 anos y mas,2014-03-01,123,103,7,4,130,107,237
IRUPANA (VILLA DE LANZA),consulta externa, personas de 60 anos y mas,2014-03-01,199,190,55,60,254,250,504
IXIAMAS,consulta externa, personas de 60 anos y mas,2014-03-01,63,46,0,2,63,48,111
JESUS DE MACHACA,consulta externa, personas de 60 anos y mas,2014-03-01,269,312,63,69,332,381,713
LA ASUNTA,consulta externa, personas de 60 anos y mas,2014-03-01,102,61,32,16,134,77,211
LA GUARDIA,consulta externa, personas de 60 anos y mas,2014-03-01,330,350,31,24,361,374,735
LA PAZ,consulta externa, personas de 60 anos y mas,2014-03-01,10147,13953,12973,15409,23120,29362,52482
LA RIVERA,consulta externa, personas de 60 anos y mas,2014-03-01,13,17,1,0,14,17,31
LAGUNILLAS,consulta externa, personas de 60 anos y mas,2014-03-01,62,83,2,3,64,86,150
LAJA,consulta externa, personas de 60 anos y mas,2014-03-01,141,166,54,65,195,231,426
LAS CARRERAS,consulta externa, personas de 60 anos y mas,2014-03-01,51,110,3,1,54,111,165
LICOMA PAMPA,consulta externa, personas de 60 anos y mas,2014-03-01,44,24,5,8,49,32,81
LLALLAGUA,consulta externa, personas de 60 anos y mas,2014-03-01,262,387,65,92,327,479,806
LLICA,consulta externa, personas de 60 anos y mas,2014-03-01,47,69,0,3,47,72,119
LORETO,consulta externa, personas de 60 anos y mas,2014-03-01,35,28,0,0,35,28,63
LURIBAY,consulta externa, personas de 60 anos y mas,2014-03-01,158,166,18,1,176,167,343
MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-03-01,74,69,15,34,89,103,192
MACHARETI,consulta externa, personas de 60 anos y mas,2014-03-01,124,119,11,7,135,126,261
MAGDALENA,consulta externa, personas de 60 anos y mas,2014-03-01,58,87,25,38,83,125,208
MAIRANA,consulta externa, personas de 60 anos y mas,2014-03-01,41,70,11,21,52,91,143
MALLA,consulta externa, personas de 60 anos y mas,2014-03-01,44,47,2,1,46,48,94
MAPIRI,consulta externa, personas de 60 anos y mas,2014-03-01,76,59,11,4,87,63,150
MECAPACA,consulta externa, personas de 60 anos y mas,2014-03-01,138,145,11,10,149,155,304
MINEROS,consulta externa, personas de 60 anos y mas,2014-03-01,140,109,52,58,192,167,359
MIZQUE,consulta externa, personas de 60 anos y mas,2014-03-01,48,49,8,35,56,84,140
MOCOMOCO,consulta externa, personas de 60 anos y mas,2014-03-01,158,124,23,24,181,148,329
MOJINETE,consulta externa, personas de 60 anos y mas,2014-03-01,8,26,2,3,10,29,39
MOJOCOYA,consulta externa, personas de 60 anos y mas,2014-03-01,102,153,27,22,129,175,304
MONTEAGUDO,consulta externa, personas de 60 anos y mas,2014-03-01,562,710,140,156,702,866,1568
MONTERO,consulta externa, personas de 60 anos y mas,2014-03-01,1012,1071,196,293,1208,1364,2572
MORO MORO,consulta externa, personas de 60 anos y mas,2014-03-01,31,43,41,77,72,120,192
MOROCHATA,consulta externa, personas de 60 anos y mas,2014-03-01,50,76,4,9,54,85,139
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 60 anos y mas,2014-03-01,22,7,0,0,22,7,29
NAZACARA DE PACAJES,consulta externa, personas de 60 anos y mas,2014-03-01,9,7,0,0,9,7,16
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 60 anos y mas,2014-03-01,14,13,1,1,15,14,29
OCURI,consulta externa, personas de 60 anos y mas,2014-03-01,43,67,0,1,43,68,111
OKINAWA,consulta externa, personas de 60 anos y mas,2014-03-01,56,83,8,10,64,93,157
OMEREQUE,consulta externa, personas de 60 anos y mas,2014-03-01,47,53,9,5,56,58,114
ORURO,consulta externa, personas de 60 anos y mas,2014-03-01,3750,4284,2299,2895,6049,7179,13228
PADCAYA,consulta externa, personas de 60 anos y mas,2014-03-01,390,509,20,13,410,522,932
PADILLA,consulta externa, personas de 60 anos y mas,2014-03-01,274,419,3,12,277,431,708
PAILON,consulta externa, personas de 60 anos y mas,2014-03-01,71,103,6,7,77,110,187
PALCA,consulta externa, personas de 60 anos y mas,2014-03-01,124,98,5,5,129,103,232
PALOS BLANCOS,consulta externa, personas de 60 anos y mas,2014-03-01,282,194,39,21,321,215,536
PAMPA AULLAGAS,consulta externa, personas de 60 anos y mas,2014-03-01,28,14,1,0,29,14,43
PAMPA GRANDE,consulta externa, personas de 60 anos y mas,2014-03-01,51,103,6,11,57,114,171
PAPEL PAMPA,consulta externa, personas de 60 anos y mas,2014-03-01,251,259,29,15,280,274,554
PASORAPA,consulta externa, personas de 60 anos y mas,2014-03-01,30,43,0,1,30,44,74
PATACAMAYA,consulta externa, personas de 60 anos y mas,2014-03-01,134,92,23,20,157,112,269
PAZÑA,consulta externa, personas de 60 anos y mas,2014-03-01,87,100,4,14,91,114,205
PELECHUCO,consulta externa, personas de 60 anos y mas,2014-03-01,23,21,0,0,23,21,44
POCOATA,consulta externa, personas de 60 anos y mas,2014-03-01,64,89,1,1,65,90,155
POCONA,consulta externa, personas de 60 anos y mas,2014-03-01,61,137,3,14,64,151,215
POJO (CBBA),consulta externa, personas de 60 anos y mas,2014-03-01,38,43,1,1,39,44,83
POOPO,consulta externa, personas de 60 anos y mas,2014-03-01,67,50,13,16,80,66,146
PORCO,consulta externa, personas de 60 anos y mas,2014-03-01,39,38,1,1,40,39,79
POROMA,consulta externa, personas de 60 anos y mas,2014-03-01,116,133,2,0,118,133,251
PORONGO,consulta externa, personas de 60 anos y mas,2014-03-01,96,80,14,12,110,92,202
PORTACHUELO,consulta externa, personas de 60 anos y mas,2014-03-01,221,243,62,65,283,308,591
PORVENIR,consulta externa, personas de 60 anos y mas,2014-03-01,55,47,1,3,56,50,106
POSTRER VALLE,consulta externa, personas de 60 anos y mas,2014-03-01,20,28,15,16,35,44,79
POTOSI,consulta externa, personas de 60 anos y mas,2014-03-01,2431,3308,1292,1989,3723,5297,9020
PRESTO,consulta externa, personas de 60 anos y mas,2014-03-01,129,195,0,0,129,195,324
PUCARA,consulta externa, personas de 60 anos y mas,2014-03-01,26,20,26,36,52,56,108
PUCARANI,consulta externa, personas de 60 anos y mas,2014-03-01,238,179,101,57,339,236,575
PUERTO ACOSTA,consulta externa, personas de 60 anos y mas,2014-03-01,131,181,28,24,159,205,364
PUERTO CARABUCO,consulta externa, personas de 60 anos y mas,2014-03-01,203,165,40,23,243,188,431
PUERTO GONZALO MORENO,consulta externa, personas de 60 anos y mas,2014-03-01,64,54,5,16,69,70,139
PUERTO PEREZ,consulta externa, personas de 60 anos y mas,2014-03-01,108,114,10,11,118,125,243
PUERTO QUIJARRO,consulta externa, personas de 60 anos y mas,2014-03-01,145,157,11,2,156,159,315
PUERTO RICO,consulta externa, personas de 60 anos y mas,2014-03-01,58,52,2,0,60,52,112
PUERTO SILES,consulta externa, personas de 60 anos y mas,2014-03-01,10,11,0,0,10,11,21
PUERTO SUAREZ,consulta externa, personas de 60 anos y mas,2014-03-01,141,141,65,95,206,236,442
PUERTO VILLARROEL,consulta externa, personas de 60 anos y mas,2014-03-01,158,141,16,19,174,160,334
PUNA,consulta externa, personas de 60 anos y mas,2014-03-01,195,418,15,27,210,445,655
PUNATA,consulta externa, personas de 60 anos y mas,2014-03-01,137,212,120,153,257,365,622
QUIABAYA,consulta externa, personas de 60 anos y mas,2014-03-01,63,68,27,9,90,77,167
QUILLACOLLO,consulta externa, personas de 60 anos y mas,2014-03-01,389,530,334,380,723,910,1633
QUIME,consulta externa, personas de 60 anos y mas,2014-03-01,103,67,29,6,132,73,205
QUIRUSILLAS,consulta externa, personas de 60 anos y mas,2014-03-01,18,25,0,1,18,26,44
RAVELO,consulta externa, personas de 60 anos y mas,2014-03-01,124,205,1,6,125,211,336
REYES,consulta externa, personas de 60 anos y mas,2014-03-01,92,97,89,79,181,176,357
RIBERALTA,consulta externa, personas de 60 anos y mas,2014-03-01,422,457,123,152,545,609,1154
ROBORE,consulta externa, personas de 60 anos y mas,2014-03-01,216,257,25,40,241,297,538
RURRENABAQUE,consulta externa, personas de 60 anos y mas,2014-03-01,104,118,180,182,284,300,584
SABAYA,consulta externa, personas de 60 anos y mas,2014-03-01,96,118,8,8,104,126,230
SACABA,consulta externa, personas de 60 anos y mas,2014-03-01,371,499,289,338,660,837,1497
SACABAMBA,consulta externa, personas de 60 anos y mas,2014-03-01,31,41,1,8,32,49,81
SACACA,consulta externa, personas de 60 anos y mas,2014-03-01,36,48,0,0,36,48,84
SAIPINA,consulta externa, personas de 60 anos y mas,2014-03-01,42,48,13,8,55,56,111
SALINAS DE GARCI MENDOZA,consulta externa, personas de 60 anos y mas,2014-03-01,81,94,11,11,92,105,197
SAMAIPATA,consulta externa, personas de 60 anos y mas,2014-03-01,88,92,7,7,95,99,194
SAN AGUSTIN,consulta externa, personas de 60 anos y mas,2014-03-01,17,35,1,0,18,35,53
SAN ANDRES,consulta externa, personas de 60 anos y mas,2014-03-01,57,53,14,4,71,57,128
SAN ANDRES DE MACHACA,consulta externa, personas de 60 anos y mas,2014-03-01,164,181,74,63,238,244,482
SAN ANTONIO DE ESMORUCO,consulta externa, personas de 60 anos y mas,2014-03-01,9,12,0,0,9,12,21
SAN ANTONIO DE LOMERIO,consulta externa, personas de 60 anos y mas,2014-03-01,38,56,4,2,42,58,100
SAN BENITO,consulta externa, personas de 60 anos y mas,2014-03-01,56,82,28,47,84,129,213
SAN BORJA,consulta externa, personas de 60 anos y mas,2014-03-01,154,190,172,193,326,383,709
SAN BUENA VENTURA,consulta externa, personas de 60 anos y mas,2014-03-01,109,133,8,9,117,142,259
SAN CARLOS,consulta externa, personas de 60 anos y mas,2014-03-01,282,282,55,42,337,324,661
SAN IGNACIO,consulta externa, personas de 60 anos y mas,2014-03-01,195,236,34,88,229,324,553
SAN IGNACIO DE VELASCO,consulta externa, personas de 60 anos y mas,2014-03-01,288,300,4,6,292,306,598
SAN JAVIER(BNI),consulta externa, personas de 60 anos y mas,2014-03-01,26,19,2,1,28,20,48
SAN JAVIER(STC),consulta externa, personas de 60 anos y mas,2014-03-01,44,64,0,0,44,64,108
SAN JOAQUIN,consulta externa, personas de 60 anos y mas,2014-03-01,55,54,1,0,56,54,110
SAN JOSE DE CHIQUITOS,consulta externa, personas de 60 anos y mas,2014-03-01,110,144,24,20,134,164,298
SAN JUAN DE YAPACANI,consulta externa, personas de 60 anos y mas,2014-03-01,87,98,9,3,96,101,197
SAN JULIAN,consulta externa, personas de 60 anos y mas,2014-03-01,344,265,13,11,357,276,633
SAN LORENZO(PND),consulta externa, personas de 60 anos y mas,2014-03-01,29,16,1,1,30,17,47
SAN LORENZO(TJA),consulta externa, personas de 60 anos y mas,2014-03-01,297,385,23,20,320,405,725
SAN LUCAS,consulta externa, personas de 60 anos y mas,2014-03-01,354,621,13,28,367,649,1016
SAN MATIAS,consulta externa, personas de 60 anos y mas,2014-03-01,98,102,40,38,138,140,278
SAN MIGUEL DE VELASCO,consulta externa, personas de 60 anos y mas,2014-03-01,25,38,42,67,67,105,172
SAN PABLO DE LIPEZ,consulta externa, personas de 60 anos y mas,2014-03-01,51,77,1,5,52,82,134
SAN PEDRO,consulta externa, personas de 60 anos y mas,2014-03-01,192,128,31,27,223,155,378
SAN PEDRO DE BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-03-01,55,100,0,2,55,102,157
SAN PEDRO DE CURAHUARA,consulta externa, personas de 60 anos y mas,2014-03-01,185,183,24,9,209,192,401
SAN PEDRO DE QUEMES,consulta externa, personas de 60 anos y mas,2014-03-01,12,18,0,1,12,19,31
SAN PEDRO DE TIQUINA,consulta externa, personas de 60 anos y mas,2014-03-01,109,135,107,151,216,286,502
SAN PEDRO(PND),consulta externa, personas de 60 anos y mas,2014-03-01,16,13,0,2,16,15,31
SAN RAFAEL,consulta externa, personas de 60 anos y mas,2014-03-01,32,42,1,0,33,42,75
SAN RAMON BENI,consulta externa, personas de 60 anos y mas,2014-03-01,68,52,0,0,68,52,120
SAN RAMON SCZ,consulta externa, personas de 60 anos y mas,2014-03-01,65,49,0,16,65,65,130
SANTA ANA,consulta externa, personas de 60 anos y mas,2014-03-01,197,216,113,125,310,341,651
SANTA CRUZ DE LA SIERRA,consulta externa, personas de 60 anos y mas,2014-03-01,10106,13625,4295,7208,14401,20833,35234
SANTA ROSA,consulta externa, personas de 60 anos y mas,2014-03-01,103,88,56,45,159,133,292
SANTA ROSA DEL SARA,consulta externa, personas de 60 anos y mas,2014-03-01,136,110,31,27,167,137,304
SANTIAGO DE CALLAPA,consulta externa, personas de 60 anos y mas,2014-03-01,196,200,5,5,201,205,406
SANTIAGO DE HUARI,consulta externa, personas de 60 anos y mas,2014-03-01,211,213,17,32,228,245,473
SANTIAGO DE HUATA,consulta externa, personas de 60 anos y mas,2014-03-01,92,91,67,69,159,160,319
SANTIAGO DE MACHACA,consulta externa, personas de 60 anos y mas,2014-03-01,73,100,23,20,96,120,216
SANTIVAÑES,consulta externa, personas de 60 anos y mas,2014-03-01,31,68,9,9,40,77,117
SANTUARIO DE QUILLACAS,consulta externa, personas de 60 anos y mas,2014-03-01,39,32,4,4,43,36,79
SAPAHAQUI,consulta externa, personas de 60 anos y mas,2014-03-01,169,122,5,9,174,131,305
SENA,consulta externa, personas de 60 anos y mas,2014-03-01,47,30,0,1,47,31,78
SHINAOTA,consulta externa, personas de 60 anos y mas,2014-03-01,86,72,11,15,97,87,184
SICA SICA (VILLA AROMA),consulta externa, personas de 60 anos y mas,2014-03-01,273,245,32,28,305,273,578
SICAYA,consulta externa, personas de 60 anos y mas,2014-03-01,17,27,0,2,17,29,46
SIPE SIPE,consulta externa, personas de 60 anos y mas,2014-03-01,55,90,10,12,65,102,167
SOPACHUY,consulta externa, personas de 60 anos y mas,2014-03-01,99,167,2,8,101,175,276
SORACACHI,consulta externa, personas de 60 anos y mas,2014-03-01,30,42,2,4,32,46,78
SORATA,consulta externa, personas de 60 anos y mas,2014-03-01,167,172,73,49,240,221,461
SUCRE,consulta externa, personas de 60 anos y mas,2014-03-01,3720,4998,1767,2520,5487,7518,13005
TACACHI,consulta externa, personas de 60 anos y mas,2014-03-01,6,21,0,0,6,21,27
TACACOMA,consulta externa, personas de 60 anos y mas,2014-03-01,96,50,7,7,103,57,160
TACOBAMBA,consulta externa, personas de 60 anos y mas,2014-03-01,48,73,1,5,49,78,127
TACOPAYA,consulta externa, personas de 60 anos y mas,2014-03-01,61,99,3,7,64,106,170
TAHUA,consulta externa, personas de 60 anos y mas,2014-03-01,18,11,0,0,18,11,29
TAPACARI,consulta externa, personas de 60 anos y mas,2014-03-01,210,266,3,1,213,267,480
TARABUCO,consulta externa, personas de 60 anos y mas,2014-03-01,230,308,21,29,251,337,588
TARACO,consulta externa, personas de 60 anos y mas,2014-03-01,95,77,56,76,151,153,304
TARATA,consulta externa, personas de 60 anos y mas,2014-03-01,41,95,6,3,47,98,145
TARIJA,consulta externa, personas de 60 anos y mas,2014-03-01,3433,4541,1850,3181,5283,7722,13005
TARVITA,consulta externa, personas de 60 anos y mas,2014-03-01,182,321,3,7,185,328,513
TEOPONTE,consulta externa, personas de 60 anos y mas,2014-03-01,99,63,11,8,110,71,181
TIAWANACU,consulta externa, personas de 60 anos y mas,2014-03-01,194,172,13,12,207,184,391
TINGUIPAYA,consulta externa, personas de 60 anos y mas,2014-03-01,61,102,0,2,61,104,165
TIPUANI,consulta externa, personas de 60 anos y mas,2014-03-01,113,85,4,0,117,85,202
TIQUIPAYA,consulta externa, personas de 60 anos y mas,2014-03-01,66,121,11,31,77,152,229
TIRAQUE (CBBA),consulta externa, personas de 60 anos y mas,2014-03-01,76,104,24,30,100,134,234
TITO YUPANQUI (PARQUIPUJIO),consulta externa, personas de 60 anos y mas,2014-03-01,28,25,12,16,40,41,81
TOCO,consulta externa, personas de 60 anos y mas,2014-03-01,74,94,3,4,77,98,175
TODOS SANTOS,consulta externa, personas de 60 anos y mas,2014-03-01,5,7,0,0,5,7,12
TOLATA,consulta externa, personas de 60 anos y mas,2014-03-01,34,78,10,39,44,117,161
TOLEDO,consulta externa, personas de 60 anos y mas,2014-03-01,57,68,0,0,57,68,125
TOMAVE,consulta externa, personas de 60 anos y mas,2014-03-01,177,299,3,7,180,306,486
TOMINA,consulta externa, personas de 60 anos y mas,2014-03-01,153,177,1,3,154,180,334
TORO TORO,consulta externa, personas de 60 anos y mas,2014-03-01,36,58,0,2,36,60,96
TOTORA(CBBA),consulta externa, personas de 60 anos y mas,2014-03-01,20,24,3,2,23,26,49
TOTORA(ORR),consulta externa, personas de 60 anos y mas,2014-03-01,66,57,2,0,68,57,125
TRIGAL,consulta externa, personas de 60 anos y mas,2014-03-01,48,52,22,34,70,86,156
TRINIDAD,consulta externa, personas de 60 anos y mas,2014-03-01,2537,2721,605,820,3142,3541,6683
TUPIZA,consulta externa, personas de 60 anos y mas,2014-03-01,873,1175,132,183,1005,1358,2363
TURCO,consulta externa, personas de 60 anos y mas,2014-03-01,55,44,3,1,58,45,103
UMALA,consulta externa, personas de 60 anos y mas,2014-03-01,131,176,5,20,136,196,332
UNCIA,consulta externa, personas de 60 anos y mas,2014-03-01,63,121,2,10,65,131,196
URIONDO (A. CONCEPCION),consulta externa, personas de 60 anos y mas,2014-03-01,254,385,35,37,289,422,711
URUBICHA,consulta externa, personas de 60 anos y mas,2014-03-01,41,34,2,0,43,34,77
UYUNI,consulta externa, personas de 60 anos y mas,2014-03-01,325,375,47,52,372,427,799
