,group,variable,month,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
VACAS,consulta externa, menores de 5 anos,2014-03-01,165,142,63,69,228,211,439
VALLEGRANDE,consulta externa, menores de 5 anos,2014-03-01,257,220,31,32,288,252,540
VIACHA,consulta externa, menores de 5 anos,2014-03-01,793,738,324,340,1117,1078,2195
VILA VILA,consulta externa, menores de 5 anos,2014-03-01,79,78,22,32,101,110,211
VILLA CHARCAS,consulta externa, menores de 5 anos,2014-03-01,290,276,6,4,296,280,576
VILLA MONTES,consulta externa, menores de 5 anos,2014-03-01,812,773,113,59,925,832,1757
VILLA NUEVA (LOMA ALTA),consulta externa, menores de 5 anos,2014-03-01,126,117,8,10,134,127,261
VILLA RIVERO,consulta externa, menores de 5 anos,2014-03-01,275,258,28,29,303,287,590
VILLA SERRANO,consulta externa, menores de 5 anos,2014-03-01,298,309,118,111,416,420,836
VILLA TUNARI,consulta externa, menores de 5 anos,2014-03-01,2590,2348,108,110,2698,2458,5156
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa, menores de 5 anos,2014-03-01,149,132,38,47,187,179,366
VILLAZON,consulta externa, menores de 5 anos,2014-03-01,1057,921,55,57,1112,978,2090
VINTO,consulta externa, menores de 5 anos,2014-03-01,260,270,579,507,839,777,1616
VITICHI,consulta externa, menores de 5 anos,2014-03-01,200,135,5,1,205,136,341
WALDO BALLIVIAN,consulta externa, menores de 5 anos,2014-03-01,20,15,1,0,21,15,36
WARNES,consulta externa, menores de 5 anos,2014-03-01,1889,1731,69,86,1958,1817,3775
YACO,consulta externa, menores de 5 anos,2014-03-01,114,114,16,22,130,136,266
YACUIBA,consulta externa, menores de 5 anos,2014-03-01,2234,1979,252,179,2486,2158,4644
YAMPARAEZ,consulta externa, menores de 5 anos,2014-03-01,104,78,6,11,110,89,199
YANACACHI,consulta externa, menores de 5 anos,2014-03-01,151,150,3,6,154,156,310
YAPACANI,consulta externa, menores de 5 anos,2014-03-01,679,647,47,41,726,688,1414
YOCALLA,consulta externa, menores de 5 anos,2014-03-01,189,121,0,1,189,122,311
YOTALA,consulta externa, menores de 5 anos,2014-03-01,174,133,25,11,199,144,343
YUNCHARA,consulta externa, menores de 5 anos,2014-03-01,153,111,9,7,162,118,280
YUNGUYO DE LITORAL,consulta externa, menores de 5 anos,2014-03-01,2,1,0,0,2,1,3
ZUDAÑEZ,consulta externa, menores de 5 anos,2014-03-01,218,207,6,7,224,214,438
ACACIO,consulta externa, menores de 5 anos,2014-04-01,151,141,8,6,159,147,306
ACHACACHI,consulta externa, menores de 5 anos,2014-04-01,302,288,151,162,453,450,903
ACHOCALLA,consulta externa, menores de 5 anos,2014-04-01,242,225,32,23,274,248,522
AIQUILE,consulta externa, menores de 5 anos,2014-04-01,475,428,55,58,530,486,1016
ALALAY,consulta externa, menores de 5 anos,2014-04-01,39,41,1,1,40,42,82
ALCALA,consulta externa, menores de 5 anos,2014-04-01,73,77,3,0,76,77,153
ALTO BENI,consulta externa, menores de 5 anos,2014-04-01,467,384,10,8,477,392,869
ANCORAIMES,consulta externa, menores de 5 anos,2014-04-01,156,159,6,7,162,166,328
ANDAMARCA,consulta externa, menores de 5 anos,2014-04-01,77,79,1,2,78,81,159
ANTEQUERA,consulta externa, menores de 5 anos,2014-04-01,64,46,2,2,66,48,114
ANZALDO,consulta externa, menores de 5 anos,2014-04-01,97,86,88,80,185,166,351
APOLO,consulta externa, menores de 5 anos,2014-04-01,330,293,141,116,471,409,880
ARAMPAMPA,consulta externa, menores de 5 anos,2014-04-01,116,96,2,0,118,96,214
ARANI,consulta externa, menores de 5 anos,2014-04-01,163,168,37,29,200,197,397
ARBIETO,consulta externa, menores de 5 anos,2014-04-01,280,307,27,27,307,334,641
ARQUE,consulta externa, menores de 5 anos,2014-04-01,412,373,4,6,416,379,795
ASCENCION DE GUARAYOS,consulta externa, menores de 5 anos,2014-04-01,648,519,9,9,657,528,1185
ATOCHA,consulta externa, menores de 5 anos,2014-04-01,378,367,31,27,409,394,803
AUCAPATA,consulta externa, menores de 5 anos,2014-04-01,70,64,2,1,72,65,137
AYATA,consulta externa, menores de 5 anos,2014-04-01,144,130,13,9,157,139,296
AYO AYO,consulta externa, menores de 5 anos,2014-04-01,84,95,0,3,84,98,182
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, menores de 5 anos,2014-04-01,609,546,36,26,645,572,1217
AZURDUY,consulta externa, menores de 5 anos,2014-04-01,447,414,16,8,463,422,885
BATALLAS,consulta externa, menores de 5 anos,2014-04-01,157,140,1,0,158,140,298
BAURES,consulta externa, menores de 5 anos,2014-04-01,129,122,6,1,135,123,258
BELEN DE ANDAMARCA,consulta externa, menores de 5 anos,2014-04-01,34,26,4,3,38,29,67
BELEN DE URMIRI,consulta externa, menores de 5 anos,2014-04-01,19,31,1,0,20,31,51
BELLA FLOR,consulta externa, menores de 5 anos,2014-04-01,88,75,0,2,88,77,165
BERMEJO,consulta externa, menores de 5 anos,2014-04-01,1546,1413,175,158,1721,1571,3292
BETANZOS,consulta externa, menores de 5 anos,2014-04-01,531,511,19,16,550,527,1077
BOLIVAR,consulta externa, menores de 5 anos,2014-04-01,132,134,0,2,132,136,268
BOLPEBRA,consulta externa, menores de 5 anos,2014-04-01,71,61,2,3,73,64,137
BOYUIBE,consulta externa, menores de 5 anos,2014-04-01,111,123,1,4,112,127,239
BUENA VISTA,consulta externa, menores de 5 anos,2014-04-01,271,235,7,5,278,240,518
CABEZAS,consulta externa, menores de 5 anos,2014-04-01,841,689,47,34,888,723,1611
CAIROMA,consulta externa, menores de 5 anos,2014-04-01,183,177,15,19,198,196,394
"CAIZA ""D""",consulta externa, menores de 5 anos,2014-04-01,245,225,7,4,252,229,481
CAJUATA,consulta externa, menores de 5 anos,2014-04-01,224,221,1,2,225,223,448
CALACOTO,consulta externa, menores de 5 anos,2014-04-01,62,66,1,2,63,68,131
CALAMARCA,consulta externa, menores de 5 anos,2014-04-01,265,232,22,23,287,255,542
CAMARGO,consulta externa, menores de 5 anos,2014-04-01,254,261,4,3,258,264,522
CAMATAQUI (C. VILLA ABECIA),consulta externa, menores de 5 anos,2014-04-01,42,34,0,0,42,34,76
CAMIRI,consulta externa, menores de 5 anos,2014-04-01,954,851,76,72,1030,923,1953
CAPINOTA,consulta externa, menores de 5 anos,2014-04-01,492,363,58,40,550,403,953
CAQUIAVIRI,consulta externa, menores de 5 anos,2014-04-01,108,64,5,2,113,66,179
CARACOLLO,consulta externa, menores de 5 anos,2014-04-01,414,422,19,20,433,442,875
CARANAVI,consulta externa, menores de 5 anos,2014-04-01,797,782,209,183,1006,965,1971
CARANGAS,consulta externa, menores de 5 anos,2014-04-01,3,4,0,2,3,6,9
CARAPARI,consulta externa, menores de 5 anos,2014-04-01,427,348,36,35,463,383,846
CARIPUYO,consulta externa, menores de 5 anos,2014-04-01,133,110,1,0,134,110,244
CARMEN RIVERO TORREZ,consulta externa, menores de 5 anos,2014-04-01,62,69,11,19,73,88,161
CATACORA,consulta externa, menores de 5 anos,2014-04-01,28,20,2,0,30,20,50
CHACARILLA,consulta externa, menores de 5 anos,2014-04-01,33,14,5,1,38,15,53
CHALLAPATA,consulta externa, menores de 5 anos,2014-04-01,453,369,6,11,459,380,839
CHAQUI,consulta externa, menores de 5 anos,2014-04-01,170,129,1,4,171,133,304
CHARAGUA,consulta externa, menores de 5 anos,2014-04-01,932,820,33,34,965,854,1819
CHARAÑA,consulta externa, menores de 5 anos,2014-04-01,30,22,3,3,33,25,58
CHAYANTA,consulta externa, menores de 5 anos,2014-04-01,273,288,13,6,286,294,580
CHIMORE,consulta externa, menores de 5 anos,2014-04-01,1012,840,64,51,1076,891,1967
CHIPAYA,consulta externa, menores de 5 anos,2014-04-01,29,16,3,1,32,17,49
CHOQUE COTA,consulta externa, menores de 5 anos,2014-04-01,22,15,2,1,24,16,40
CHUA COCANI,consulta externa, menores de 5 anos,2014-04-01,40,20,1,0,41,20,61
CHULUMANI (V. DE LA LIBERTAD),consulta externa, menores de 5 anos,2014-04-01,399,361,53,46,452,407,859
CHUMA,consulta externa, menores de 5 anos,2014-04-01,115,79,7,0,122,79,201
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, menores de 5 anos,2014-04-01,148,114,0,0,148,114,262
CKOCHAS,consulta externa, menores de 5 anos,2014-04-01,319,320,4,5,323,325,648
CLIZA,consulta externa, menores de 5 anos,2014-04-01,385,292,82,67,467,359,826
COBIJA,consulta externa, menores de 5 anos,2014-04-01,1329,1289,140,193,1469,1482,2951
COCAPATA,consulta externa, menores de 5 anos,2014-04-01,331,316,96,108,427,424,851
COCHABAMBA,consulta externa, menores de 5 anos,2014-04-01,13308,12379,7091,6674,20399,19053,39452
COIPASA,consulta externa, menores de 5 anos,2014-04-01,31,15,2,0,33,15,48
COLCAPIRHUA,consulta externa, menores de 5 anos,2014-04-01,395,338,710,647,1105,985,2090
"COLCHA ""K""",consulta externa, menores de 5 anos,2014-04-01,530,273,34,22,564,295,859
COLLANA,consulta externa, menores de 5 anos,2014-04-01,44,32,6,8,50,40,90
COLOMI,consulta externa, menores de 5 anos,2014-04-01,324,367,4,4,328,371,699
COLPA BELGICA,consulta externa, menores de 5 anos,2014-04-01,252,202,22,22,274,224,498
COLQUECHACA,consulta externa, menores de 5 anos,2014-04-01,707,722,5,4,712,726,1438
COLQUENCHA,consulta externa, menores de 5 anos,2014-04-01,141,133,15,8,156,141,297
COLQUIRI,consulta externa, menores de 5 anos,2014-04-01,384,391,20,28,404,419,823
COMANCHE,consulta externa, menores de 5 anos,2014-04-01,25,11,3,2,28,13,41
COMARAPA,consulta externa, menores de 5 anos,2014-04-01,341,260,56,40,397,300,697
COMBAYA,consulta externa, menores de 5 anos,2014-04-01,61,51,1,0,62,51,113
CONCEPCION,consulta externa, menores de 5 anos,2014-04-01,367,434,96,100,463,534,997
COPACABANA,consulta externa, menores de 5 anos,2014-04-01,136,107,0,1,136,108,244
CORIPATA,consulta externa, menores de 5 anos,2014-04-01,300,266,83,70,383,336,719
CORO CORO,consulta externa, menores de 5 anos,2014-04-01,149,130,2,4,151,134,285
COROICO,consulta externa, menores de 5 anos,2014-04-01,285,256,90,89,375,345,720
CORQUE,consulta externa, menores de 5 anos,2014-04-01,114,105,8,6,122,111,233
COTAGAITA,consulta externa, menores de 5 anos,2014-04-01,623,526,23,24,646,550,1196
COTOCA,consulta externa, menores de 5 anos,2014-04-01,2625,1388,120,105,2745,1493,4238
CRUZ DE MACHACAMARCA,consulta externa, menores de 5 anos,2014-04-01,2,4,0,0,2,4,6
CUATRO CAÑADAS,consulta externa, menores de 5 anos,2014-04-01,472,451,97,79,569,530,1099
CUCHUMUELA (V. G. VILLARROEL),consulta externa, menores de 5 anos,2014-04-01,18,15,1,1,19,16,35
CUEVO,consulta externa, menores de 5 anos,2014-04-01,90,77,6,6,96,83,179
CULPINA,consulta externa, menores de 5 anos,2014-04-01,365,362,225,230,590,592,1182
CURAHUARA DE CARANGAS,consulta externa, menores de 5 anos,2014-04-01,78,57,1,1,79,58,137
CURVA,consulta externa, menores de 5 anos,2014-04-01,54,48,3,4,57,52,109
DESAGUADERO,consulta externa, menores de 5 anos,2014-04-01,52,42,0,0,52,42,94
EL ALTO,consulta externa, menores de 5 anos,2014-04-01,18641,16886,4705,4602,23346,21488,44834
EL CHORO,consulta externa, menores de 5 anos,2014-04-01,84,59,2,0,86,59,145
EL PUENTE(STC),consulta externa, menores de 5 anos,2014-04-01,480,430,3,6,483,436,919
EL PUENTE(TJA),consulta externa, menores de 5 anos,2014-04-01,216,182,24,18,240,200,440
EL TORNO,consulta externa, menores de 5 anos,2014-04-01,1436,1142,45,19,1481,1161,2642
EL VILLAR,consulta externa, menores de 5 anos,2014-04-01,112,109,18,8,130,117,247
ENTRE RIOS TRJ,consulta externa, menores de 5 anos,2014-04-01,534,531,6,5,540,536,1076
ENTRE RIOS CBBA,consulta externa, menores de 5 anos,2014-04-01,1098,966,41,26,1139,992,2131
ESCARA,consulta externa, menores de 5 anos,2014-04-01,7,5,0,0,7,5,12
ESCOMA,consulta externa, menores de 5 anos,2014-04-01,39,42,59,74,98,116,214
ESMERALDA,consulta externa, menores de 5 anos,2014-04-01,1,2,7,8,8,10,18
EUCALIPTUS,consulta externa, menores de 5 anos,2014-04-01,85,69,6,1,91,70,161
EUREKA (SANTOS MERCADO),consulta externa, menores de 5 anos,2014-04-01,45,35,2,3,47,38,85
EXALTACION,consulta externa, menores de 5 anos,2014-04-01,27,31,3,2,30,33,63
FERNANDEZ ALONSO,consulta externa, menores de 5 anos,2014-04-01,495,511,54,46,549,557,1106
FILADELFIA,consulta externa, menores de 5 anos,2014-04-01,218,190,5,3,223,193,416
GENERAL SAAVEDRA,consulta externa, menores de 5 anos,2014-04-01,479,353,157,126,636,479,1115
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, menores de 5 anos,2014-04-01,150,149,10,1,160,150,310
GUANAY,consulta externa, menores de 5 anos,2014-04-01,345,356,17,16,362,372,734
GUAQUI,consulta externa, menores de 5 anos,2014-04-01,66,92,5,3,71,95,166
GUAYARAMERIN,consulta externa, menores de 5 anos,2014-04-01,1066,949,237,218,1303,1167,2470
GUTIERREZ,consulta externa, menores de 5 anos,2014-04-01,465,543,74,89,539,632,1171
HUACARETA,consulta externa, menores de 5 anos,2014-04-01,247,224,31,30,278,254,532
HUACAYA (VILLA DE HUACAYA),consulta externa, menores de 5 anos,2014-04-01,133,132,20,18,153,150,303
HUACHACALLA,consulta externa, menores de 5 anos,2014-04-01,20,12,0,1,20,13,33
HUANUNI,consulta externa, menores de 5 anos,2014-04-01,592,625,66,47,658,672,1330
HUARACAJE,consulta externa, menores de 5 anos,2014-04-01,88,101,0,2,88,103,191
HUARINA,consulta externa, menores de 5 anos,2014-04-01,59,62,15,11,74,73,147
HUATAJATA,consulta externa, menores de 5 anos,2014-04-01,62,76,6,4,68,80,148
HUAYLLAMARCA,consulta externa, menores de 5 anos,2014-04-01,64,47,3,3,67,50,117
HUMANATA,consulta externa, menores de 5 anos,2014-04-01,25,15,0,0,25,15,40
ICHOCA,consulta externa, menores de 5 anos,2014-04-01,65,59,3,0,68,59,127
ICLA,consulta externa, menores de 5 anos,2014-04-01,286,283,12,9,298,292,590
INCAHUASI,consulta externa, menores de 5 anos,2014-04-01,448,422,3,7,451,429,880
INGAVI (HUMAITA),consulta externa, menores de 5 anos,2014-04-01,57,68,0,1,57,69,126
INQUISIVI,consulta externa, menores de 5 anos,2014-04-01,158,161,0,2,158,163,321
IRUPANA (VILLA DE LANZA),consulta externa, menores de 5 anos,2014-04-01,373,354,8,20,381,374,755
IXIAMAS,consulta externa, menores de 5 anos,2014-04-01,296,218,4,1,300,219,519
JESUS DE MACHACA,consulta externa, menores de 5 anos,2014-04-01,232,263,30,33,262,296,558
LA ASUNTA,consulta externa, menores de 5 anos,2014-04-01,1170,900,79,75,1249,975,2224
LA GUARDIA,consulta externa, menores de 5 anos,2014-04-01,2240,2081,310,267,2550,2348,4898
LA PAZ,consulta externa, menores de 5 anos,2014-04-01,18907,18363,4014,4017,22921,22380,45301
LA RIVERA,consulta externa, menores de 5 anos,2014-04-01,7,12,0,0,7,12,19
LAGUNILLAS,consulta externa, menores de 5 anos,2014-04-01,281,252,7,7,288,259,547
LAJA,consulta externa, menores de 5 anos,2014-04-01,201,137,12,9,213,146,359
LAS CARRERAS,consulta externa, menores de 5 anos,2014-04-01,95,64,8,6,103,70,173
LICOMA PAMPA,consulta externa, menores de 5 anos,2014-04-01,23,17,1,1,24,18,42
LLALLAGUA,consulta externa, menores de 5 anos,2014-04-01,935,937,25,10,960,947,1907
LLICA,consulta externa, menores de 5 anos,2014-04-01,79,81,4,4,83,85,168
LORETO,consulta externa, menores de 5 anos,2014-04-01,78,68,12,11,90,79,169
LURIBAY,consulta externa, menores de 5 anos,2014-04-01,126,116,2,2,128,118,246
MACHACAMARCA,consulta externa, menores de 5 anos,2014-04-01,44,48,1,2,45,50,95
MACHARETI,consulta externa, menores de 5 anos,2014-04-01,266,264,2,8,268,272,540
MAGDALENA,consulta externa, menores de 5 anos,2014-04-01,278,270,11,7,289,277,566
MAIRANA,consulta externa, menores de 5 anos,2014-04-01,168,171,40,41,208,212,420
MALLA,consulta externa, menores de 5 anos,2014-04-01,70,37,0,0,70,37,107
MAPIRI,consulta externa, menores de 5 anos,2014-04-01,260,235,5,4,265,239,504
MECAPACA,consulta externa, menores de 5 anos,2014-04-01,186,155,4,8,190,163,353
MINEROS,consulta externa, menores de 5 anos,2014-04-01,445,399,6,1,451,400,851
MIZQUE,consulta externa, menores de 5 anos,2014-04-01,630,567,18,18,648,585,1233
MOCOMOCO,consulta externa, menores de 5 anos,2014-04-01,109,92,6,4,115,96,211
MOJINETE,consulta externa, menores de 5 anos,2014-04-01,16,16,0,0,16,16,32
MOJOCOYA,consulta externa, menores de 5 anos,2014-04-01,183,154,67,77,250,231,481
MONTEAGUDO,consulta externa, menores de 5 anos,2014-04-01,949,815,93,68,1042,883,1925
MONTERO,consulta externa, menores de 5 anos,2014-04-01,4129,3454,714,527,4843,3981,8824
MORO MORO,consulta externa, menores de 5 anos,2014-04-01,47,52,1,2,48,54,102
MOROCHATA,consulta externa, menores de 5 anos,2014-04-01,188,181,68,74,256,255,511
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, menores de 5 anos,2014-04-01,205,107,2,0,207,107,314
NAZACARA DE PACAJES,consulta externa, menores de 5 anos,2014-04-01,13,5,1,0,14,5,19
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, menores de 5 anos,2014-04-01,57,43,1,1,58,44,102
OCURI,consulta externa, menores de 5 anos,2014-04-01,366,336,3,1,369,337,706
OKINAWA,consulta externa, menores de 5 anos,2014-04-01,441,379,12,9,453,388,841
OMEREQUE,consulta externa, menores de 5 anos,2014-04-01,179,126,1,3,180,129,309
ORURO,consulta externa, menores de 5 anos,2014-04-01,5829,5517,652,644,6481,6161,12642
PADCAYA,consulta externa, menores de 5 anos,2014-04-01,592,465,13,13,605,478,1083
PADILLA,consulta externa, menores de 5 anos,2014-04-01,309,325,10,5,319,330,649
PAILON,consulta externa, menores de 5 anos,2014-04-01,560,491,28,25,588,516,1104
PALCA,consulta externa, menores de 5 anos,2014-04-01,434,364,34,17,468,381,849
PALOS BLANCOS,consulta externa, menores de 5 anos,2014-04-01,976,963,84,69,1060,1032,2092
PAMPA AULLAGAS,consulta externa, menores de 5 anos,2014-04-01,32,29,2,0,34,29,63
PAMPA GRANDE,consulta externa, menores de 5 anos,2014-04-01,154,175,17,19,171,194,365
PAPEL PAMPA,consulta externa, menores de 5 anos,2014-04-01,171,124,8,1,179,125,304
PASORAPA,consulta externa, menores de 5 anos,2014-04-01,40,32,0,0,40,32,72
PATACAMAYA,consulta externa, menores de 5 anos,2014-04-01,236,260,0,3,236,263,499
PAZÑA,consulta externa, menores de 5 anos,2014-04-01,130,121,6,6,136,127,263
PELECHUCO,consulta externa, menores de 5 anos,2014-04-01,154,136,1,0,155,136,291
POCOATA,consulta externa, menores de 5 anos,2014-04-01,312,267,5,2,317,269,586
POCONA,consulta externa, menores de 5 anos,2014-04-01,214,201,15,14,229,215,444
POJO (CBBA),consulta externa, menores de 5 anos,2014-04-01,169,155,39,46,208,201,409
POOPO,consulta externa, menores de 5 anos,2014-04-01,93,90,0,1,93,91,184
PORCO,consulta externa, menores de 5 anos,2014-04-01,232,203,2,8,234,211,445
POROMA,consulta externa, menores de 5 anos,2014-04-01,533,464,9,4,542,468,1010
PORONGO,consulta externa, menores de 5 anos,2014-04-01,203,213,17,9,220,222,442
PORTACHUELO,consulta externa, menores de 5 anos,2014-04-01,535,530,222,228,757,758,1515
PORVENIR,consulta externa, menores de 5 anos,2014-04-01,243,255,22,10,265,265,530
POSTRER VALLE,consulta externa, menores de 5 anos,2014-04-01,35,35,3,1,38,36,74
POTOSI,consulta externa, menores de 5 anos,2014-04-01,4777,4647,381,404,5158,5051,10209
PRESTO,consulta externa, menores de 5 anos,2014-04-01,230,246,2,2,232,248,480
PUCARA,consulta externa, menores de 5 anos,2014-04-01,47,40,6,6,53,46,99
PUCARANI,consulta externa, menores de 5 anos,2014-04-01,310,230,8,5,318,235,553
PUERTO ACOSTA,consulta externa, menores de 5 anos,2014-04-01,97,84,65,70,162,154,316
PUERTO CARABUCO,consulta externa, menores de 5 anos,2014-04-01,132,99,19,16,151,115,266
PUERTO GONZALO MORENO,consulta externa, menores de 5 anos,2014-04-01,249,201,14,7,263,208,471
PUERTO PEREZ,consulta externa, menores de 5 anos,2014-04-01,56,53,3,3,59,56,115
PUERTO QUIJARRO,consulta externa, menores de 5 anos,2014-04-01,421,372,16,12,437,384,821
PUERTO RICO,consulta externa, menores de 5 anos,2014-04-01,278,381,2,1,280,382,662
PUERTO SILES,consulta externa, menores de 5 anos,2014-04-01,35,32,0,0,35,32,67
PUERTO SUAREZ,consulta externa, menores de 5 anos,2014-04-01,449,397,22,17,471,414,885
PUERTO VILLARROEL,consulta externa, menores de 5 anos,2014-04-01,2207,1875,102,103,2309,1978,4287
PUNA,consulta externa, menores de 5 anos,2014-04-01,331,300,13,9,344,309,653
PUNATA,consulta externa, menores de 5 anos,2014-04-01,3018,474,194,179,3212,653,3865
QUIABAYA,consulta externa, menores de 5 anos,2014-04-01,46,43,3,3,49,46,95
QUILLACOLLO,consulta externa, menores de 5 anos,2014-04-01,2246,2070,3177,2940,5423,5010,10433
QUIME,consulta externa, menores de 5 anos,2014-04-01,168,151,6,2,174,153,327
QUIRUSILLAS,consulta externa, menores de 5 anos,2014-04-01,26,23,0,1,26,24,50
RAVELO,consulta externa, menores de 5 anos,2014-04-01,435,388,3,1,438,389,827
REYES,consulta externa, menores de 5 anos,2014-04-01,296,295,2,4,298,299,597
RIBERALTA,consulta externa, menores de 5 anos,2014-04-01,2701,2526,321,327,3022,2853,5875
ROBORE,consulta externa, menores de 5 anos,2014-04-01,324,311,32,33,356,344,700
RURRENABAQUE,consulta externa, menores de 5 anos,2014-04-01,473,520,44,25,517,545,1062
SABAYA,consulta externa, menores de 5 anos,2014-04-01,49,38,1,0,50,38,88
SACABA,consulta externa, menores de 5 anos,2014-04-01,3022,2593,230,202,3252,2795,6047
SACABAMBA,consulta externa, menores de 5 anos,2014-04-01,74,37,39,25,113,62,175
SACACA,consulta externa, menores de 5 anos,2014-04-01,537,427,6,4,543,431,974
SAIPINA,consulta externa, menores de 5 anos,2014-04-01,141,110,7,2,148,112,260
SALINAS DE GARCI MENDOZA,consulta externa, menores de 5 anos,2014-04-01,230,224,9,8,239,232,471
SAMAIPATA,consulta externa, menores de 5 anos,2014-04-01,223,196,6,8,229,204,433
SAN AGUSTIN,consulta externa, menores de 5 anos,2014-04-01,50,48,3,4,53,52,105
SAN ANDRES,consulta externa, menores de 5 anos,2014-04-01,392,349,61,60,453,409,862
SAN ANDRES DE MACHACA,consulta externa, menores de 5 anos,2014-04-01,41,54,2,3,43,57,100
SAN ANTONIO DE ESMORUCO,consulta externa, menores de 5 anos,2014-04-01,19,24,11,14,30,38,68
SAN ANTONIO DE LOMERIO,consulta externa, menores de 5 anos,2014-04-01,169,173,3,8,172,181,353
SAN BENITO,consulta externa, menores de 5 anos,2014-04-01,209,194,29,35,238,229,467
SAN BORJA,consulta externa, menores de 5 anos,2014-04-01,926,823,19,16,945,839,1784
SAN BUENA VENTURA,consulta externa, menores de 5 anos,2014-04-01,284,250,10,7,294,257,551
SAN CARLOS,consulta externa, menores de 5 anos,2014-04-01,734,661,68,73,802,734,1536
SAN IGNACIO,consulta externa, menores de 5 anos,2014-04-01,687,649,159,162,846,811,1657
SAN IGNACIO DE VELASCO,consulta externa, menores de 5 anos,2014-04-01,1068,984,423,433,1491,1417,2908
SAN JAVIER(BNI),consulta externa, menores de 5 anos,2014-04-01,74,44,9,7,83,51,134
SAN JAVIER(STC),consulta externa, menores de 5 anos,2014-04-01,140,130,2,5,142,135,277
SAN JOAQUIN,consulta externa, menores de 5 anos,2014-04-01,149,105,2,9,151,114,265
SAN JOSE DE CHIQUITOS,consulta externa, menores de 5 anos,2014-04-01,135,158,24,18,159,176,335
SAN JUAN DE YAPACANI,consulta externa, menores de 5 anos,2014-04-01,323,308,20,15,343,323,666
SAN JULIAN,consulta externa, menores de 5 anos,2014-04-01,1490,1399,297,269,1787,1668,3455
SAN LORENZO(PND),consulta externa, menores de 5 anos,2014-04-01,158,172,1,1,159,173,332
SAN LORENZO(TJA),consulta externa, menores de 5 anos,2014-04-01,466,449,80,75,546,524,1070
SAN LUCAS,consulta externa, menores de 5 anos,2014-04-01,840,801,9,8,849,809,1658
SAN MATIAS,consulta externa, menores de 5 anos,2014-04-01,267,238,51,32,318,270,588
SAN MIGUEL DE VELASCO,consulta externa, menores de 5 anos,2014-04-01,184,133,62,37,246,170,416
SAN PABLO DE LIPEZ,consulta externa, menores de 5 anos,2014-04-01,97,98,1,2,98,100,198
SAN PEDRO,consulta externa, menores de 5 anos,2014-04-01,333,332,27,20,360,352,712
SAN PEDRO DE BUENA VISTA,consulta externa, menores de 5 anos,2014-04-01,776,637,8,9,784,646,1430
SAN PEDRO DE CURAHUARA,consulta externa, menores de 5 anos,2014-04-01,130,107,5,10,135,117,252
SAN PEDRO DE QUEMES,consulta externa, menores de 5 anos,2014-04-01,8,13,0,0,8,13,21
SAN PEDRO DE TIQUINA,consulta externa, menores de 5 anos,2014-04-01,73,56,8,8,81,64,145
SAN PEDRO(PND),consulta externa, menores de 5 anos,2014-04-01,49,48,5,4,54,52,106
SAN RAFAEL,consulta externa, menores de 5 anos,2014-04-01,222,186,13,9,235,195,430
SAN RAMON BENI,consulta externa, menores de 5 anos,2014-04-01,128,141,10,5,138,146,284
SAN RAMON SCZ,consulta externa, menores de 5 anos,2014-04-01,253,207,5,2,258,209,467
SANTA ANA,consulta externa, menores de 5 anos,2014-04-01,340,317,192,145,532,462,994
SANTA CRUZ DE LA SIERRA,consulta externa, menores de 5 anos,2014-04-01,30767,23384,5098,4822,35865,28206,64071
SANTA ROSA,consulta externa, menores de 5 anos,2014-04-01,273,273,15,9,288,282,570
SANTA ROSA DEL SARA,consulta externa, menores de 5 anos,2014-04-01,485,426,104,95,589,521,1110
SANTIAGO DE CALLAPA,consulta externa, menores de 5 anos,2014-04-01,49,46,1,0,50,46,96
SANTIAGO DE HUARI,consulta externa, menores de 5 anos,2014-04-01,182,154,5,6,187,160,347
SANTIAGO DE HUATA,consulta externa, menores de 5 anos,2014-04-01,66,177,3,3,69,180,249
SANTIAGO DE MACHACA,consulta externa, menores de 5 anos,2014-04-01,30,32,0,0,30,32,62
SANTIVAÑES,consulta externa, menores de 5 anos,2014-04-01,139,84,8,4,147,88,235
SANTUARIO DE QUILLACAS,consulta externa, menores de 5 anos,2014-04-01,81,80,4,7,85,87,172
SAPAHAQUI,consulta externa, menores de 5 anos,2014-04-01,108,93,9,9,117,102,219
SENA,consulta externa, menores de 5 anos,2014-04-01,110,73,0,0,110,73,183
SHINAOTA,consulta externa, menores de 5 anos,2014-04-01,1123,924,43,22,1166,946,2112
SICA SICA (VILLA AROMA),consulta externa, menores de 5 anos,2014-04-01,308,300,12,12,320,312,632
SICAYA,consulta externa, menores de 5 anos,2014-04-01,67,59,0,0,67,59,126
SIPE SIPE,consulta externa, menores de 5 anos,2014-04-01,780,724,172,135,952,859,1811
SOPACHUY,consulta externa, menores de 5 anos,2014-04-01,199,1294,3,13,202,1307,1509
