,group,variable,month,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS NUEVO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS NUEVO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
SICA SICA (VILLA AROMA),consulta externa, personas de 21 a 59 anos,2014-03-01,209,340,14,13,223,353,576
SICAYA,consulta externa, personas de 21 a 59 anos,2014-03-01,22,23,0,0,22,23,45
SIPE SIPE,consulta externa, personas de 21 a 59 anos,2014-03-01,135,354,9,41,144,395,539
SOPACHUY,consulta externa, personas de 21 a 59 anos,2014-03-01,129,252,3,6,132,258,390
SORACACHI,consulta externa, personas de 21 a 59 anos,2014-03-01,65,123,1,5,66,128,194
SORATA,consulta externa, personas de 21 a 59 anos,2014-03-01,140,210,14,17,154,227,381
SUCRE,consulta externa, personas de 21 a 59 anos,2014-03-01,7915,17306,2574,6582,10489,23888,34377
TACACHI,consulta externa, personas de 21 a 59 anos,2014-03-01,13,24,0,0,13,24,37
TACACOMA,consulta externa, personas de 21 a 59 anos,2014-03-01,143,138,30,11,173,149,322
TACOBAMBA,consulta externa, personas de 21 a 59 anos,2014-03-01,127,133,2,0,129,133,262
TACOPAYA,consulta externa, personas de 21 a 59 anos,2014-03-01,46,86,1,4,47,90,137
TAHUA,consulta externa, personas de 21 a 59 anos,2014-03-01,22,53,0,0,22,53,75
TAPACARI,consulta externa, personas de 21 a 59 anos,2014-03-01,130,347,0,6,130,353,483
TARABUCO,consulta externa, personas de 21 a 59 anos,2014-03-01,135,327,12,9,147,336,483
TARACO,consulta externa, personas de 21 a 59 anos,2014-03-01,36,55,7,11,43,66,109
TARATA,consulta externa, personas de 21 a 59 anos,2014-03-01,47,63,1,3,48,66,114
TARIJA,consulta externa, personas de 21 a 59 anos,2014-03-01,7980,14236,2581,5942,10561,20178,30739
TARVITA,consulta externa, personas de 21 a 59 anos,2014-03-01,253,615,6,7,259,622,881
TEOPONTE,consulta externa, personas de 21 a 59 anos,2014-03-01,105,239,2,4,107,243,350
TIAWANACU,consulta externa, personas de 21 a 59 anos,2014-03-01,101,186,3,9,104,195,299
TINGUIPAYA,consulta externa, personas de 21 a 59 anos,2014-03-01,160,356,3,0,163,356,519
TIPUANI,consulta externa, personas de 21 a 59 anos,2014-03-01,118,212,10,1,128,213,341
TIQUIPAYA,consulta externa, personas de 21 a 59 anos,2014-03-01,180,481,16,105,196,586,782
TIRAQUE (CBBA),consulta externa, personas de 21 a 59 anos,2014-03-01,86,262,3,2,89,264,353
TITO YUPANQUI (PARQUIPUJIO),consulta externa, personas de 21 a 59 anos,2014-03-01,18,14,1,0,19,14,33
TOCO,consulta externa, personas de 21 a 59 anos,2014-03-01,27,61,2,2,29,63,92
TODOS SANTOS,consulta externa, personas de 21 a 59 anos,2014-03-01,13,20,3,2,16,22,38
TOLATA,consulta externa, personas de 21 a 59 anos,2014-03-01,38,106,6,18,44,124,168
TOLEDO,consulta externa, personas de 21 a 59 anos,2014-03-01,60,78,2,2,62,80,142
TOMAVE,consulta externa, personas de 21 a 59 anos,2014-03-01,181,333,2,7,183,340,523
TOMINA,consulta externa, personas de 21 a 59 anos,2014-03-01,175,273,2,1,177,274,451
TORO TORO,consulta externa, personas de 21 a 59 anos,2014-03-01,158,274,1,3,159,277,436
TOTORA(CBBA),consulta externa, personas de 21 a 59 anos,2014-03-01,51,155,12,12,63,167,230
TOTORA(ORR),consulta externa, personas de 21 a 59 anos,2014-03-01,55,91,2,2,57,93,150
TRIGAL,consulta externa, personas de 21 a 59 anos,2014-03-01,44,82,11,14,55,96,151
TRINIDAD,consulta externa, personas de 21 a 59 anos,2014-03-01,4187,7115,672,1764,4859,8879,13738
TUPIZA,consulta externa, personas de 21 a 59 anos,2014-03-01,1040,1331,92,174,1132,1505,2637
TURCO,consulta externa, personas de 21 a 59 anos,2014-03-01,55,68,0,0,55,68,123
UMALA,consulta externa, personas de 21 a 59 anos,2014-03-01,36,91,0,0,36,91,127
UNCIA,consulta externa, personas de 21 a 59 anos,2014-03-01,191,294,23,8,214,302,516
URIONDO (A. CONCEPCION),consulta externa, personas de 21 a 59 anos,2014-03-01,483,1054,23,46,506,1100,1606
URUBICHA,consulta externa, personas de 21 a 59 anos,2014-03-01,33,99,1,7,34,106,140
UYUNI,consulta externa, personas de 21 a 59 anos,2014-03-01,622,1088,42,134,664,1222,1886
VACAS,consulta externa, personas de 21 a 59 anos,2014-03-01,41,83,11,4,52,87,139
VALLEGRANDE,consulta externa, personas de 21 a 59 anos,2014-03-01,175,400,134,305,309,705,1014
VIACHA,consulta externa, personas de 21 a 59 anos,2014-03-01,669,1048,190,331,859,1379,2238
VILA VILA,consulta externa, personas de 21 a 59 anos,2014-03-01,11,42,0,1,11,43,54
VILLA CHARCAS,consulta externa, personas de 21 a 59 anos,2014-03-01,95,314,3,7,98,321,419
VILLA MONTES,consulta externa, personas de 21 a 59 anos,2014-03-01,1298,2196,243,216,1541,2412,3953
VILLA NUEVA (LOMA ALTA),consulta externa, personas de 21 a 59 anos,2014-03-01,42,78,2,5,44,83,127
VILLA RIVERO,consulta externa, personas de 21 a 59 anos,2014-03-01,48,100,1,4,49,104,153
VILLA SERRANO,consulta externa, personas de 21 a 59 anos,2014-03-01,150,378,4,27,154,405,559
VILLA TUNARI,consulta externa, personas de 21 a 59 anos,2014-03-01,818,1865,81,275,899,2140,3039
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa, personas de 21 a 59 anos,2014-03-01,109,253,4,17,113,270,383
VILLAZON,consulta externa, personas de 21 a 59 anos,2014-03-01,659,1794,72,181,731,1975,2706
VINTO,consulta externa, personas de 21 a 59 anos,2014-03-01,142,206,41,98,183,304,487
VITICHI,consulta externa, personas de 21 a 59 anos,2014-03-01,143,263,7,23,150,286,436
WALDO BALLIVIAN,consulta externa, personas de 21 a 59 anos,2014-03-01,12,30,4,1,16,31,47
WARNES,consulta externa, personas de 21 a 59 anos,2014-03-01,505,1121,31,42,536,1163,1699
YACO,consulta externa, personas de 21 a 59 anos,2014-03-01,53,103,2,2,55,105,160
YACUIBA,consulta externa, personas de 21 a 59 anos,2014-03-01,3059,5043,465,1056,3524,6099,9623
YAMPARAEZ,consulta externa, personas de 21 a 59 anos,2014-03-01,94,146,10,9,104,155,259
YANACACHI,consulta externa, personas de 21 a 59 anos,2014-03-01,102,125,13,0,115,125,240
YAPACANI,consulta externa, personas de 21 a 59 anos,2014-03-01,361,569,4,64,365,633,998
YOCALLA,consulta externa, personas de 21 a 59 anos,2014-03-01,89,163,2,0,91,163,254
YOTALA,consulta externa, personas de 21 a 59 anos,2014-03-01,103,210,12,29,115,239,354
YUNCHARA,consulta externa, personas de 21 a 59 anos,2014-03-01,186,343,1,10,187,353,540
ZUDAÑEZ,consulta externa, personas de 21 a 59 anos,2014-03-01,88,232,4,2,92,234,326
ACACIO,consulta externa, personas de 21 a 59 anos,2014-04-01,85,130,4,2,89,132,221
ACHACACHI,consulta externa, personas de 21 a 59 anos,2014-04-01,179,431,37,193,216,624,840
ACHOCALLA,consulta externa, personas de 21 a 59 anos,2014-04-01,36,105,0,2,36,107,143
AIQUILE,consulta externa, personas de 21 a 59 anos,2014-04-01,161,319,25,110,186,429,615
ALALAY,consulta externa, personas de 21 a 59 anos,2014-04-01,17,39,1,0,18,39,57
ALCALA,consulta externa, personas de 21 a 59 anos,2014-04-01,44,143,0,0,44,143,187
ALTO BENI,consulta externa, personas de 21 a 59 anos,2014-04-01,164,286,1,1,165,287,452
ANCORAIMES,consulta externa, personas de 21 a 59 anos,2014-04-01,107,132,7,12,114,144,258
ANDAMARCA,consulta externa, personas de 21 a 59 anos,2014-04-01,126,108,3,1,129,109,238
ANTEQUERA,consulta externa, personas de 21 a 59 anos,2014-04-01,23,49,0,4,23,53,76
ANZALDO,consulta externa, personas de 21 a 59 anos,2014-04-01,88,171,11,40,99,211,310
APOLO,consulta externa, personas de 21 a 59 anos,2014-04-01,113,232,4,6,117,238,355
ARAMPAMPA,consulta externa, personas de 21 a 59 anos,2014-04-01,29,77,0,0,29,77,106
ARANI,consulta externa, personas de 21 a 59 anos,2014-04-01,16,80,0,0,16,80,96
ARBIETO,consulta externa, personas de 21 a 59 anos,2014-04-01,62,212,6,23,68,235,303
ARQUE,consulta externa, personas de 21 a 59 anos,2014-04-01,66,157,0,2,66,159,225
ASCENCION DE GUARAYOS,consulta externa, personas de 21 a 59 anos,2014-04-01,115,229,1,4,116,233,349
ATOCHA,consulta externa, personas de 21 a 59 anos,2014-04-01,905,864,186,136,1091,1000,2091
AUCAPATA,consulta externa, personas de 21 a 59 anos,2014-04-01,74,76,1,0,75,76,151
AYATA,consulta externa, personas de 21 a 59 anos,2014-04-01,98,195,1,11,99,206,305
AYO AYO,consulta externa, personas de 21 a 59 anos,2014-04-01,49,50,4,1,53,51,104
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, personas de 21 a 59 anos,2014-04-01,243,347,32,33,275,380,655
AZURDUY,consulta externa, personas de 21 a 59 anos,2014-04-01,107,310,3,7,110,317,427
BATALLAS,consulta externa, personas de 21 a 59 anos,2014-04-01,113,197,4,4,117,201,318
BAURES,consulta externa, personas de 21 a 59 anos,2014-04-01,93,177,3,6,96,183,279
BELEN DE ANDAMARCA,consulta externa, personas de 21 a 59 anos,2014-04-01,27,69,2,9,29,78,107
BELEN DE URMIRI,consulta externa, personas de 21 a 59 anos,2014-04-01,10,18,0,1,10,19,29
BELLA FLOR,consulta externa, personas de 21 a 59 anos,2014-04-01,60,65,2,1,62,66,128
BERMEJO,consulta externa, personas de 21 a 59 anos,2014-04-01,1592,3018,113,267,1705,3285,4990
BETANZOS,consulta externa, personas de 21 a 59 anos,2014-04-01,373,637,95,30,468,667,1135
BOLIVAR,consulta externa, personas de 21 a 59 anos,2014-04-01,29,52,5,6,34,58,92
BOLPEBRA,consulta externa, personas de 21 a 59 anos,2014-04-01,59,77,2,2,61,79,140
BOYUIBE,consulta externa, personas de 21 a 59 anos,2014-04-01,41,119,3,10,44,129,173
BUENA VISTA,consulta externa, personas de 21 a 59 anos,2014-04-01,135,217,1,4,136,221,357
CABEZAS,consulta externa, personas de 21 a 59 anos,2014-04-01,448,638,22,37,470,675,1145
CAIROMA,consulta externa, personas de 21 a 59 anos,2014-04-01,235,244,37,39,272,283,555
"CAIZA ""D""",consulta externa, personas de 21 a 59 anos,2014-04-01,183,326,7,3,190,329,519
CAJUATA,consulta externa, personas de 21 a 59 anos,2014-04-01,135,190,4,6,139,196,335
CALACOTO,consulta externa, personas de 21 a 59 anos,2014-04-01,37,54,1,4,38,58,96
CALAMARCA,consulta externa, personas de 21 a 59 anos,2014-04-01,103,229,26,30,129,259,388
CAMARGO,consulta externa, personas de 21 a 59 anos,2014-04-01,256,572,11,49,267,621,888
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 21 a 59 anos,2014-04-01,29,84,2,2,31,86,117
CAMIRI,consulta externa, personas de 21 a 59 anos,2014-04-01,1469,1216,92,278,1561,1494,3055
CAPINOTA,consulta externa, personas de 21 a 59 anos,2014-04-01,205,344,52,91,257,435,692
CAQUIAVIRI,consulta externa, personas de 21 a 59 anos,2014-04-01,69,79,6,4,75,83,158
CARACOLLO,consulta externa, personas de 21 a 59 anos,2014-04-01,121,296,18,24,139,320,459
CARANAVI,consulta externa, personas de 21 a 59 anos,2014-04-01,502,942,22,55,524,997,1521
CARANGAS,consulta externa, personas de 21 a 59 anos,2014-04-01,4,14,0,0,4,14,18
CARAPARI,consulta externa, personas de 21 a 59 anos,2014-04-01,603,857,15,15,618,872,1490
CARIPUYO,consulta externa, personas de 21 a 59 anos,2014-04-01,52,108,1,0,53,108,161
CARMEN RIVERO TORREZ,consulta externa, personas de 21 a 59 anos,2014-04-01,51,108,6,12,57,120,177
CATACORA,consulta externa, personas de 21 a 59 anos,2014-04-01,16,35,1,1,17,36,53
CHACARILLA,consulta externa, personas de 21 a 59 anos,2014-04-01,26,41,1,5,27,46,73
CHALLAPATA,consulta externa, personas de 21 a 59 anos,2014-04-01,228,455,65,122,293,577,870
CHAQUI,consulta externa, personas de 21 a 59 anos,2014-04-01,91,158,2,1,93,159,252
CHARAGUA,consulta externa, personas de 21 a 59 anos,2014-04-01,180,356,5,22,185,378,563
CHARAÑA,consulta externa, personas de 21 a 59 anos,2014-04-01,26,27,1,0,27,27,54
CHAYANTA,consulta externa, personas de 21 a 59 anos,2014-04-01,184,348,5,10,189,358,547
CHIMORE,consulta externa, personas de 21 a 59 anos,2014-04-01,317,535,4,20,321,555,876
CHIPAYA,consulta externa, personas de 21 a 59 anos,2014-04-01,11,26,0,1,11,27,38
CHOQUE COTA,consulta externa, personas de 21 a 59 anos,2014-04-01,33,30,2,1,35,31,66
CHUA COCANI,consulta externa, personas de 21 a 59 anos,2014-04-01,39,69,2,3,41,72,113
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 21 a 59 anos,2014-04-01,184,297,22,20,206,317,523
CHUMA,consulta externa, personas de 21 a 59 anos,2014-04-01,113,158,14,14,127,172,299
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 21 a 59 anos,2014-04-01,57,139,0,0,57,139,196
CKOCHAS,consulta externa, personas de 21 a 59 anos,2014-04-01,225,386,6,5,231,391,622
CLIZA,consulta externa, personas de 21 a 59 anos,2014-04-01,101,174,16,27,117,201,318
COBIJA,consulta externa, personas de 21 a 59 anos,2014-04-01,1090,2249,223,676,1313,2925,4238
COCAPATA,consulta externa, personas de 21 a 59 anos,2014-04-01,102,163,0,7,102,170,272
COCHABAMBA,consulta externa, personas de 21 a 59 anos,2014-04-01,13017,28511,10727,22945,23744,51456,75200
COIPASA,consulta externa, personas de 21 a 59 anos,2014-04-01,21,14,0,1,21,15,36
COLCAPIRHUA,consulta externa, personas de 21 a 59 anos,2014-04-01,323,367,265,246,588,613,1201
"COLCHA ""K""",consulta externa, personas de 21 a 59 anos,2014-04-01,208,403,22,29,230,432,662
COLLANA,consulta externa, personas de 21 a 59 anos,2014-04-01,39,56,14,14,53,70,123
COLOMI,consulta externa, personas de 21 a 59 anos,2014-04-01,70,120,1,3,71,123,194
COLPA BELGICA,consulta externa, personas de 21 a 59 anos,2014-04-01,191,266,28,59,219,325,544
COLQUECHACA,consulta externa, personas de 21 a 59 anos,2014-04-01,223,402,20,15,243,417,660
COLQUENCHA,consulta externa, personas de 21 a 59 anos,2014-04-01,78,121,16,19,94,140,234
COLQUIRI,consulta externa, personas de 21 a 59 anos,2014-04-01,198,344,70,83,268,427,695
COMANCHE,consulta externa, personas de 21 a 59 anos,2014-04-01,27,46,5,1,32,47,79
COMARAPA,consulta externa, personas de 21 a 59 anos,2014-04-01,142,314,15,52,157,366,523
COMBAYA,consulta externa, personas de 21 a 59 anos,2014-04-01,14,20,3,2,17,22,39
CONCEPCION,consulta externa, personas de 21 a 59 anos,2014-04-01,86,215,8,13,94,228,322
COPACABANA,consulta externa, personas de 21 a 59 anos,2014-04-01,66,90,1,2,67,92,159
CORIPATA,consulta externa, personas de 21 a 59 anos,2014-04-01,135,270,9,30,144,300,444
CORO CORO,consulta externa, personas de 21 a 59 anos,2014-04-01,65,150,3,5,68,155,223
COROICO,consulta externa, personas de 21 a 59 anos,2014-04-01,171,316,54,137,225,453,678
CORQUE,consulta externa, personas de 21 a 59 anos,2014-04-01,69,115,2,5,71,120,191
COTAGAITA,consulta externa, personas de 21 a 59 anos,2014-04-01,920,1404,68,130,988,1534,2522
COTOCA,consulta externa, personas de 21 a 59 anos,2014-04-01,336,825,9,8,345,833,1178
CRUZ DE MACHACAMARCA,consulta externa, personas de 21 a 59 anos,2014-04-01,18,5,2,2,20,7,27
CUATRO CAÑADAS,consulta externa, personas de 21 a 59 anos,2014-04-01,220,442,14,25,234,467,701
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 21 a 59 anos,2014-04-01,5,16,1,1,6,17,23
CUEVO,consulta externa, personas de 21 a 59 anos,2014-04-01,74,142,2,17,76,159,235
CULPINA,consulta externa, personas de 21 a 59 anos,2014-04-01,127,371,3,7,130,378,508
CURAHUARA DE CARANGAS,consulta externa, personas de 21 a 59 anos,2014-04-01,24,61,1,3,25,64,89
CURVA,consulta externa, personas de 21 a 59 anos,2014-04-01,24,65,3,1,27,66,93
DESAGUADERO,consulta externa, personas de 21 a 59 anos,2014-04-01,40,67,3,10,43,77,120
EL ALTO,consulta externa, personas de 21 a 59 anos,2014-04-01,10711,24974,4772,9509,15483,34483,49966
EL CHORO,consulta externa, personas de 21 a 59 anos,2014-04-01,32,55,2,5,34,60,94
EL PUENTE(STC),consulta externa, personas de 21 a 59 anos,2014-04-01,202,405,5,8,207,413,620
EL PUENTE(TJA),consulta externa, personas de 21 a 59 anos,2014-04-01,299,632,4,15,303,647,950
EL TORNO,consulta externa, personas de 21 a 59 anos,2014-04-01,847,2104,181,225,1028,2329,3357
EL VILLAR,consulta externa, personas de 21 a 59 anos,2014-04-01,105,256,7,16,112,272,384
ENTRE RIOS TRJ,consulta externa, personas de 21 a 59 anos,2014-04-01,627,1222,8,6,635,1228,1863
ENTRE RIOS CBBA,consulta externa, personas de 21 a 59 anos,2014-04-01,181,356,28,23,209,379,588
ESCARA,consulta externa, personas de 21 a 59 anos,2014-04-01,7,9,0,4,7,13,20
ESCOMA,consulta externa, personas de 21 a 59 anos,2014-04-01,25,65,10,5,35,70,105
ESMERALDA,consulta externa, personas de 21 a 59 anos,2014-04-01,2,5,0,0,2,5,7
EUCALIPTUS,consulta externa, personas de 21 a 59 anos,2014-04-01,44,54,1,1,45,55,100
EUREKA (SANTOS MERCADO),consulta externa, personas de 21 a 59 anos,2014-04-01,5,10,0,2,5,12,17
EXALTACION,consulta externa, personas de 21 a 59 anos,2014-04-01,33,57,1,4,34,61,95
FERNANDEZ ALONSO,consulta externa, personas de 21 a 59 anos,2014-04-01,133,308,3,8,136,316,452
FILADELFIA,consulta externa, personas de 21 a 59 anos,2014-04-01,100,97,1,1,101,98,199
GENERAL SAAVEDRA,consulta externa, personas de 21 a 59 anos,2014-04-01,115,251,2,14,117,265,382
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 21 a 59 anos,2014-04-01,91,149,8,3,99,152,251
GUANAY,consulta externa, personas de 21 a 59 anos,2014-04-01,98,182,5,9,103,191,294
GUAQUI,consulta externa, personas de 21 a 59 anos,2014-04-01,62,106,1,1,63,107,170
GUAYARAMERIN,consulta externa, personas de 21 a 59 anos,2014-04-01,717,1622,202,611,919,2233,3152
GUTIERREZ,consulta externa, personas de 21 a 59 anos,2014-04-01,106,209,0,4,106,213,319
HUACARETA,consulta externa, personas de 21 a 59 anos,2014-04-01,220,311,9,12,229,323,552
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 21 a 59 anos,2014-04-01,47,134,0,0,47,134,181
HUACHACALLA,consulta externa, personas de 21 a 59 anos,2014-04-01,28,34,0,4,28,38,66
HUANUNI,consulta externa, personas de 21 a 59 anos,2014-04-01,2034,1401,654,317,2688,1718,4406
HUARACAJE,consulta externa, personas de 21 a 59 anos,2014-04-01,56,107,14,4,70,111,181
HUARINA,consulta externa, personas de 21 a 59 anos,2014-04-01,25,55,5,8,30,63,93
HUATAJATA,consulta externa, personas de 21 a 59 anos,2014-04-01,141,95,7,20,148,115,263
HUAYLLAMARCA,consulta externa, personas de 21 a 59 anos,2014-04-01,84,56,4,5,88,61,149
HUMANATA,consulta externa, personas de 21 a 59 anos,2014-04-01,25,35,0,1,25,36,61
ICHOCA,consulta externa, personas de 21 a 59 anos,2014-04-01,21,55,2,0,23,55,78
ICLA,consulta externa, personas de 21 a 59 anos,2014-04-01,99,245,5,16,104,261,365
INCAHUASI,consulta externa, personas de 21 a 59 anos,2014-04-01,63,291,1,6,64,297,361
INGAVI (HUMAITA),consulta externa, personas de 21 a 59 anos,2014-04-01,18,42,0,0,18,42,60
INQUISIVI,consulta externa, personas de 21 a 59 anos,2014-04-01,77,113,2,3,79,116,195
IRUPANA (VILLA DE LANZA),consulta externa, personas de 21 a 59 anos,2014-04-01,213,444,21,28,234,472,706
IXIAMAS,consulta externa, personas de 21 a 59 anos,2014-04-01,114,200,5,4,119,204,323
JESUS DE MACHACA,consulta externa, personas de 21 a 59 anos,2014-04-01,118,323,28,14,146,337,483
LA ASUNTA,consulta externa, personas de 21 a 59 anos,2014-04-01,357,665,13,32,370,697,1067
LA GUARDIA,consulta externa, personas de 21 a 59 anos,2014-04-01,773,1145,63,109,836,1254,2090
LA PAZ,consulta externa, personas de 21 a 59 anos,2014-04-01,17027,39094,11432,29491,28459,68585,97044
LA RIVERA,consulta externa, personas de 21 a 59 anos,2014-04-01,10,8,1,0,11,8,19
LAGUNILLAS,consulta externa, personas de 21 a 59 anos,2014-04-01,161,330,1,5,162,335,497
LAJA,consulta externa, personas de 21 a 59 anos,2014-04-01,54,152,18,11,72,163,235
LAS CARRERAS,consulta externa, personas de 21 a 59 anos,2014-04-01,73,174,8,9,81,183,264
LICOMA PAMPA,consulta externa, personas de 21 a 59 anos,2014-04-01,28,36,1,1,29,37,66
LLALLAGUA,consulta externa, personas de 21 a 59 anos,2014-04-01,486,1003,105,90,591,1093,1684
LLICA,consulta externa, personas de 21 a 59 anos,2014-04-01,95,132,2,5,97,137,234
LORETO,consulta externa, personas de 21 a 59 anos,2014-04-01,73,124,3,2,76,126,202
LURIBAY,consulta externa, personas de 21 a 59 anos,2014-04-01,118,203,4,3,122,206,328
MACHACAMARCA,consulta externa, personas de 21 a 59 anos,2014-04-01,89,103,17,14,106,117,223
MACHARETI,consulta externa, personas de 21 a 59 anos,2014-04-01,215,404,12,10,227,414,641
MAGDALENA,consulta externa, personas de 21 a 59 anos,2014-04-01,199,364,67,122,266,486,752
MAIRANA,consulta externa, personas de 21 a 59 anos,2014-04-01,164,281,5,36,169,317,486
MALLA,consulta externa, personas de 21 a 59 anos,2014-04-01,21,32,1,0,22,32,54
MAPIRI,consulta externa, personas de 21 a 59 anos,2014-04-01,196,264,3,2,199,266,465
MECAPACA,consulta externa, personas de 21 a 59 anos,2014-04-01,87,154,6,7,93,161,254
MINEROS,consulta externa, personas de 21 a 59 anos,2014-04-01,75,230,0,0,75,230,305
MIZQUE,consulta externa, personas de 21 a 59 anos,2014-04-01,47,175,9,26,56,201,257
MOCOMOCO,consulta externa, personas de 21 a 59 anos,2014-04-01,122,123,1,2,123,125,248
MOJINETE,consulta externa, personas de 21 a 59 anos,2014-04-01,20,27,1,0,21,27,48
MOJOCOYA,consulta externa, personas de 21 a 59 anos,2014-04-01,80,187,8,16,88,203,291
MONTEAGUDO,consulta externa, personas de 21 a 59 anos,2014-04-01,882,1489,162,160,1044,1649,2693
MONTERO,consulta externa, personas de 21 a 59 anos,2014-04-01,1150,2957,204,983,1354,3940,5294
MORO MORO,consulta externa, personas de 21 a 59 anos,2014-04-01,34,88,6,7,40,95,135
MOROCHATA,consulta externa, personas de 21 a 59 anos,2014-04-01,68,120,6,10,74,130,204
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 21 a 59 anos,2014-04-01,96,81,0,2,96,83,179
NAZACARA DE PACAJES,consulta externa, personas de 21 a 59 anos,2014-04-01,12,20,0,0,12,20,32
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 21 a 59 anos,2014-04-01,37,52,0,0,37,52,89
OCURI,consulta externa, personas de 21 a 59 anos,2014-04-01,133,301,2,3,135,304,439
OKINAWA,consulta externa, personas de 21 a 59 anos,2014-04-01,129,321,7,9,136,330,466
OMEREQUE,consulta externa, personas de 21 a 59 anos,2014-04-01,93,171,9,9,102,180,282
ORURO,consulta externa, personas de 21 a 59 anos,2014-04-01,7038,13451,2460,4851,9498,18302,27800
PADCAYA,consulta externa, personas de 21 a 59 anos,2014-04-01,729,1310,5,21,734,1331,2065
PADILLA,consulta externa, personas de 21 a 59 anos,2014-04-01,418,833,12,20,430,853,1283
PAILON,consulta externa, personas de 21 a 59 anos,2014-04-01,169,246,2,13,171,259,430
PALCA,consulta externa, personas de 21 a 59 anos,2014-04-01,148,269,14,6,162,275,437
PALOS BLANCOS,consulta externa, personas de 21 a 59 anos,2014-04-01,454,803,11,42,465,845,1310
PAMPA AULLAGAS,consulta externa, personas de 21 a 59 anos,2014-04-01,44,44,0,3,44,47,91
PAMPA GRANDE,consulta externa, personas de 21 a 59 anos,2014-04-01,70,218,13,13,83,231,314
PAPEL PAMPA,consulta externa, personas de 21 a 59 anos,2014-04-01,103,196,4,6,107,202,309
PASORAPA,consulta externa, personas de 21 a 59 anos,2014-04-01,62,90,3,4,65,94,159
PATACAMAYA,consulta externa, personas de 21 a 59 anos,2014-04-01,56,99,1,8,57,107,164
PAZÑA,consulta externa, personas de 21 a 59 anos,2014-04-01,134,156,6,4,140,160,300
PELECHUCO,consulta externa, personas de 21 a 59 anos,2014-04-01,138,161,4,0,142,161,303
POCOATA,consulta externa, personas de 21 a 59 anos,2014-04-01,111,254,1,5,112,259,371
POCONA,consulta externa, personas de 21 a 59 anos,2014-04-01,149,187,4,2,153,189,342
POJO (CBBA),consulta externa, personas de 21 a 59 anos,2014-04-01,80,99,6,22,86,121,207
POOPO,consulta externa, personas de 21 a 59 anos,2014-04-01,112,115,14,12,126,127,253
PORCO,consulta externa, personas de 21 a 59 anos,2014-04-01,78,135,1,1,79,136,215
POROMA,consulta externa, personas de 21 a 59 anos,2014-04-01,204,518,8,7,212,525,737
PORONGO,consulta externa, personas de 21 a 59 anos,2014-04-01,134,228,38,28,172,256,428
PORTACHUELO,consulta externa, personas de 21 a 59 anos,2014-04-01,259,488,44,124,303,612,915
PORVENIR,consulta externa, personas de 21 a 59 anos,2014-04-01,155,266,2,2,157,268,425
POSTRER VALLE,consulta externa, personas de 21 a 59 anos,2014-04-01,40,60,3,5,43,65,108
POTOSI,consulta externa, personas de 21 a 59 anos,2014-04-01,6000,10953,1967,3290,7967,14243,22210
PRESTO,consulta externa, personas de 21 a 59 anos,2014-04-01,89,217,0,1,89,218,307
PUCARA,consulta externa, personas de 21 a 59 anos,2014-04-01,45,84,11,20,56,104,160
PUCARANI,consulta externa, personas de 21 a 59 anos,2014-04-01,179,274,15,10,194,284,478
PUERTO ACOSTA,consulta externa, personas de 21 a 59 anos,2014-04-01,56,90,4,6,60,96,156
PUERTO CARABUCO,consulta externa, personas de 21 a 59 anos,2014-04-01,164,207,10,16,174,223,397
PUERTO GONZALO MORENO,consulta externa, personas de 21 a 59 anos,2014-04-01,148,208,16,7,164,215,379
PUERTO PEREZ,consulta externa, personas de 21 a 59 anos,2014-04-01,288,172,7,3,295,175,470
PUERTO QUIJARRO,consulta externa, personas de 21 a 59 anos,2014-04-01,326,520,10,14,336,534,870
PUERTO RICO,consulta externa, personas de 21 a 59 anos,2014-04-01,203,346,6,18,209,364,573
PUERTO SILES,consulta externa, personas de 21 a 59 anos,2014-04-01,28,33,0,1,28,34,62
PUERTO SUAREZ,consulta externa, personas de 21 a 59 anos,2014-04-01,220,438,42,114,262,552,814
PUERTO VILLARROEL,consulta externa, personas de 21 a 59 anos,2014-04-01,716,1227,33,319,749,1546,2295
PUNA,consulta externa, personas de 21 a 59 anos,2014-04-01,239,457,20,17,259,474,733
PUNATA,consulta externa, personas de 21 a 59 anos,2014-04-01,149,462,74,391,223,853,1076
QUIABAYA,consulta externa, personas de 21 a 59 anos,2014-04-01,57,54,7,10,64,64,128
QUILLACOLLO,consulta externa, personas de 21 a 59 anos,2014-04-01,1446,2945,393,785,1839,3730,5569
QUIME,consulta externa, personas de 21 a 59 anos,2014-04-01,246,172,42,10,288,182,470
