,group,variable,month,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS NUEVO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS NUEVO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
TACOPAYA,consulta externa, personas de 10 a 20 anos,2014-02-01,15,23,0,1,15,24,39
TAHUA,consulta externa, personas de 10 a 20 anos,2014-02-01,1,4,0,0,1,4,5
TAPACARI,consulta externa, personas de 10 a 20 anos,2014-02-01,38,102,0,3,38,105,143
TARABUCO,consulta externa, personas de 10 a 20 anos,2014-02-01,16,56,1,0,17,56,73
TARACO,consulta externa, personas de 10 a 20 anos,2014-02-01,24,21,1,12,25,33,58
TARATA,consulta externa, personas de 10 a 20 anos,2014-02-01,16,19,1,0,17,19,36
TARIJA,consulta externa, personas de 10 a 20 anos,2014-02-01,2168,3091,507,804,2675,3895,6570
TARVITA,consulta externa, personas de 10 a 20 anos,2014-02-01,95,136,2,0,97,136,233
TEOPONTE,consulta externa, personas de 10 a 20 anos,2014-02-01,23,53,5,1,28,54,82
TIAWANACU,consulta externa, personas de 10 a 20 anos,2014-02-01,61,97,2,2,63,99,162
TINGUIPAYA,consulta externa, personas de 10 a 20 anos,2014-02-01,22,58,0,0,22,58,80
TIPUANI,consulta externa, personas de 10 a 20 anos,2014-02-01,38,54,3,0,41,54,95
TIQUIPAYA,consulta externa, personas de 10 a 20 anos,2014-02-01,79,124,11,28,90,152,242
TIRAQUE (CBBA),consulta externa, personas de 10 a 20 anos,2014-02-01,65,56,5,0,70,56,126
TITO YUPANQUI (PARQUIPUJIO),consulta externa, personas de 10 a 20 anos,2014-02-01,4,9,1,0,5,9,14
TOCO,consulta externa, personas de 10 a 20 anos,2014-02-01,7,21,0,1,7,22,29
TODOS SANTOS,consulta externa, personas de 10 a 20 anos,2014-02-01,6,3,1,0,7,3,10
TOLATA,consulta externa, personas de 10 a 20 anos,2014-02-01,28,34,8,8,36,42,78
TOLEDO,consulta externa, personas de 10 a 20 anos,2014-02-01,11,14,0,0,11,14,25
TOMAVE,consulta externa, personas de 10 a 20 anos,2014-02-01,41,95,2,2,43,97,140
TOMINA,consulta externa, personas de 10 a 20 anos,2014-02-01,36,54,1,2,37,56,93
TORO TORO,consulta externa, personas de 10 a 20 anos,2014-02-01,43,57,3,0,46,57,103
TOTORA(CBBA),consulta externa, personas de 10 a 20 anos,2014-02-01,13,43,3,6,16,49,65
TOTORA(ORR),consulta externa, personas de 10 a 20 anos,2014-02-01,11,21,0,1,11,22,33
TRIGAL,consulta externa, personas de 10 a 20 anos,2014-02-01,8,17,0,2,8,19,27
TRINIDAD,consulta externa, personas de 10 a 20 anos,2014-02-01,2179,2689,236,339,2415,3028,5443
TUPIZA,consulta externa, personas de 10 a 20 anos,2014-02-01,1245,1851,137,252,1382,2103,3485
TURCO,consulta externa, personas de 10 a 20 anos,2014-02-01,12,2,0,0,12,2,14
UMALA,consulta externa, personas de 10 a 20 anos,2014-02-01,17,19,3,0,20,19,39
UNCIA,consulta externa, personas de 10 a 20 anos,2014-02-01,80,108,15,11,95,119,214
URIONDO (A. CONCEPCION),consulta externa, personas de 10 a 20 anos,2014-02-01,215,297,10,9,225,306,531
URUBICHA,consulta externa, personas de 10 a 20 anos,2014-02-01,12,29,0,2,12,31,43
UYUNI,consulta externa, personas de 10 a 20 anos,2014-02-01,106,209,8,13,114,222,336
VACAS,consulta externa, personas de 10 a 20 anos,2014-02-01,16,27,4,1,20,28,48
VALLEGRANDE,consulta externa, personas de 10 a 20 anos,2014-02-01,55,119,60,70,115,189,304
VIACHA,consulta externa, personas de 10 a 20 anos,2014-02-01,249,255,109,84,358,339,697
VILA VILA,consulta externa, personas de 10 a 20 anos,2014-02-01,3,6,0,1,3,7,10
VILLA CHARCAS,consulta externa, personas de 10 a 20 anos,2014-02-01,22,83,0,2,22,85,107
VILLA MONTES,consulta externa, personas de 10 a 20 anos,2014-02-01,524,705,112,85,636,790,1426
VILLA NUEVA (LOMA ALTA),consulta externa, personas de 10 a 20 anos,2014-02-01,13,24,0,6,13,30,43
VILLA RIVERO,consulta externa, personas de 10 a 20 anos,2014-02-01,15,41,1,0,16,41,57
VILLA SERRANO,consulta externa, personas de 10 a 20 anos,2014-02-01,34,78,1,2,35,80,115
VILLA TUNARI,consulta externa, personas de 10 a 20 anos,2014-02-01,379,695,19,84,398,779,1177
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa, personas de 10 a 20 anos,2014-02-01,38,67,1,1,39,68,107
VILLAZON,consulta externa, personas de 10 a 20 anos,2014-02-01,415,756,5,31,420,787,1207
VINTO,consulta externa, personas de 10 a 20 anos,2014-02-01,49,86,12,18,61,104,165
VITICHI,consulta externa, personas de 10 a 20 anos,2014-02-01,39,61,4,1,43,62,105
WALDO BALLIVIAN,consulta externa, personas de 10 a 20 anos,2014-02-01,12,14,3,1,15,15,30
WARNES,consulta externa, personas de 10 a 20 anos,2014-02-01,378,555,23,24,401,579,980
YACO,consulta externa, personas de 10 a 20 anos,2014-02-01,16,16,0,1,16,17,33
YACUIBA,consulta externa, personas de 10 a 20 anos,2014-02-01,741,1239,112,184,853,1423,2276
YAMPARAEZ,consulta externa, personas de 10 a 20 anos,2014-02-01,35,34,4,1,39,35,74
YANACACHI,consulta externa, personas de 10 a 20 anos,2014-02-01,16,14,0,0,16,14,30
YAPACANI,consulta externa, personas de 10 a 20 anos,2014-02-01,161,294,2,37,163,331,494
YOCALLA,consulta externa, personas de 10 a 20 anos,2014-02-01,25,46,0,0,25,46,71
YOTALA,consulta externa, personas de 10 a 20 anos,2014-02-01,28,49,2,6,30,55,85
YUNCHARA,consulta externa, personas de 10 a 20 anos,2014-02-01,82,135,1,3,83,138,221
ZUDAÑEZ,consulta externa, personas de 10 a 20 anos,2014-02-01,12,36,0,0,12,36,48
ACACIO,consulta externa, personas de 10 a 20 anos,2014-03-01,35,48,0,0,35,48,83
ACHACACHI,consulta externa, personas de 10 a 20 anos,2014-03-01,63,158,22,64,85,222,307
ACHOCALLA,consulta externa, personas de 10 a 20 anos,2014-03-01,15,39,0,0,15,39,54
AIQUILE,consulta externa, personas de 10 a 20 anos,2014-03-01,89,124,14,10,103,134,237
ALALAY,consulta externa, personas de 10 a 20 anos,2014-03-01,5,10,0,0,5,10,15
ALCALA,consulta externa, personas de 10 a 20 anos,2014-03-01,35,46,0,0,35,46,81
ALTO BENI,consulta externa, personas de 10 a 20 anos,2014-03-01,92,125,1,1,93,126,219
ANCORAIMES,consulta externa, personas de 10 a 20 anos,2014-03-01,22,58,0,2,22,60,82
ANDAMARCA,consulta externa, personas de 10 a 20 anos,2014-03-01,19,36,0,0,19,36,55
ANTEQUERA,consulta externa, personas de 10 a 20 anos,2014-03-01,11,9,1,1,12,10,22
ANZALDO,consulta externa, personas de 10 a 20 anos,2014-03-01,25,34,2,2,27,36,63
APOLO,consulta externa, personas de 10 a 20 anos,2014-03-01,24,44,2,0,26,44,70
ARAMPAMPA,consulta externa, personas de 10 a 20 anos,2014-03-01,6,23,0,0,6,23,29
ARANI,consulta externa, personas de 10 a 20 anos,2014-03-01,11,20,0,0,11,20,31
ARBIETO,consulta externa, personas de 10 a 20 anos,2014-03-01,34,67,6,11,40,78,118
ARQUE,consulta externa, personas de 10 a 20 anos,2014-03-01,51,66,0,2,51,68,119
ASCENCION DE GUARAYOS,consulta externa, personas de 10 a 20 anos,2014-03-01,44,86,0,6,44,92,136
ATOCHA,consulta externa, personas de 10 a 20 anos,2014-03-01,230,328,40,64,270,392,662
AUCAPATA,consulta externa, personas de 10 a 20 anos,2014-03-01,18,28,0,0,18,28,46
AYATA,consulta externa, personas de 10 a 20 anos,2014-03-01,33,44,5,3,38,47,85
AYO AYO,consulta externa, personas de 10 a 20 anos,2014-03-01,21,33,1,1,22,34,56
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, personas de 10 a 20 anos,2014-03-01,69,95,5,2,74,97,171
AZURDUY,consulta externa, personas de 10 a 20 anos,2014-03-01,38,79,1,0,39,79,118
BATALLAS,consulta externa, personas de 10 a 20 anos,2014-03-01,27,46,1,2,28,48,76
BAURES,consulta externa, personas de 10 a 20 anos,2014-03-01,36,75,0,7,36,82,118
BELEN DE ANDAMARCA,consulta externa, personas de 10 a 20 anos,2014-03-01,6,11,0,0,6,11,17
BELEN DE URMIRI,consulta externa, personas de 10 a 20 anos,2014-03-01,6,5,1,0,7,5,12
BELLA FLOR,consulta externa, personas de 10 a 20 anos,2014-03-01,34,65,2,1,36,66,102
BERMEJO,consulta externa, personas de 10 a 20 anos,2014-03-01,757,1087,33,34,790,1121,1911
BETANZOS,consulta externa, personas de 10 a 20 anos,2014-03-01,194,265,9,5,203,270,473
BOLIVAR,consulta externa, personas de 10 a 20 anos,2014-03-01,5,11,0,0,5,11,16
BOLPEBRA,consulta externa, personas de 10 a 20 anos,2014-03-01,14,31,1,2,15,33,48
BOYUIBE,consulta externa, personas de 10 a 20 anos,2014-03-01,74,95,0,0,74,95,169
BUENA VISTA,consulta externa, personas de 10 a 20 anos,2014-03-01,45,89,1,0,46,89,135
CABEZAS,consulta externa, personas de 10 a 20 anos,2014-03-01,192,285,6,13,198,298,496
CAIROMA,consulta externa, personas de 10 a 20 anos,2014-03-01,36,93,6,1,42,94,136
"CAIZA ""D""",consulta externa, personas de 10 a 20 anos,2014-03-01,81,129,9,9,90,138,228
CAJUATA,consulta externa, personas de 10 a 20 anos,2014-03-01,43,63,1,1,44,64,108
CALACOTO,consulta externa, personas de 10 a 20 anos,2014-03-01,14,8,0,0,14,8,22
CALAMARCA,consulta externa, personas de 10 a 20 anos,2014-03-01,42,75,4,2,46,77,123
CAMARGO,consulta externa, personas de 10 a 20 anos,2014-03-01,62,122,4,6,66,128,194
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 10 a 20 anos,2014-03-01,21,38,1,0,22,38,60
CAMIRI,consulta externa, personas de 10 a 20 anos,2014-03-01,354,373,11,54,365,427,792
CAPINOTA,consulta externa, personas de 10 a 20 anos,2014-03-01,113,116,4,15,117,131,248
CAQUIAVIRI,consulta externa, personas de 10 a 20 anos,2014-03-01,15,45,2,0,17,45,62
CARACOLLO,consulta externa, personas de 10 a 20 anos,2014-03-01,51,98,1,4,52,102,154
CARANAVI,consulta externa, personas de 10 a 20 anos,2014-03-01,165,331,1,7,166,338,504
CARANGAS,consulta externa, personas de 10 a 20 anos,2014-03-01,4,0,0,0,4,0,4
CARAPARI,consulta externa, personas de 10 a 20 anos,2014-03-01,275,365,3,8,278,373,651
CARIPUYO,consulta externa, personas de 10 a 20 anos,2014-03-01,33,53,1,0,34,53,87
CARMEN RIVERO TORREZ,consulta externa, personas de 10 a 20 anos,2014-03-01,11,22,2,4,13,26,39
CATACORA,consulta externa, personas de 10 a 20 anos,2014-03-01,4,10,0,3,4,13,17
CHACARILLA,consulta externa, personas de 10 a 20 anos,2014-03-01,10,18,0,0,10,18,28
CHALLAPATA,consulta externa, personas de 10 a 20 anos,2014-03-01,42,124,6,4,48,128,176
CHAQUI,consulta externa, personas de 10 a 20 anos,2014-03-01,54,90,0,1,54,91,145
CHARAGUA,consulta externa, personas de 10 a 20 anos,2014-03-01,65,140,2,9,67,149,216
CHARAÑA,consulta externa, personas de 10 a 20 anos,2014-03-01,2,15,0,0,2,15,17
CHAYANTA,consulta externa, personas de 10 a 20 anos,2014-03-01,51,88,0,1,51,89,140
CHIMORE,consulta externa, personas de 10 a 20 anos,2014-03-01,92,116,3,3,95,119,214
CHIPAYA,consulta externa, personas de 10 a 20 anos,2014-03-01,6,22,0,0,6,22,28
CHOQUE COTA,consulta externa, personas de 10 a 20 anos,2014-03-01,9,6,1,3,10,9,19
CHUA COCANI,consulta externa, personas de 10 a 20 anos,2014-03-01,9,38,2,2,11,40,51
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 10 a 20 anos,2014-03-01,67,60,4,1,71,61,132
CHUMA,consulta externa, personas de 10 a 20 anos,2014-03-01,43,62,2,6,45,68,113
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 10 a 20 anos,2014-03-01,9,39,0,0,9,39,48
CKOCHAS,consulta externa, personas de 10 a 20 anos,2014-03-01,70,80,1,1,71,81,152
CLIZA,consulta externa, personas de 10 a 20 anos,2014-03-01,29,34,3,17,32,51,83
COBIJA,consulta externa, personas de 10 a 20 anos,2014-03-01,648,756,64,201,712,957,1669
COCAPATA,consulta externa, personas de 10 a 20 anos,2014-03-01,36,49,2,2,38,51,89
COCHABAMBA,consulta externa, personas de 10 a 20 anos,2014-03-01,3126,5136,1771,2593,4897,7729,12626
COIPASA,consulta externa, personas de 10 a 20 anos,2014-03-01,12,12,0,0,12,12,24
COLCAPIRHUA,consulta externa, personas de 10 a 20 anos,2014-03-01,90,148,100,38,190,186,376
"COLCHA ""K""",consulta externa, personas de 10 a 20 anos,2014-03-01,61,108,3,7,64,115,179
COLLANA,consulta externa, personas de 10 a 20 anos,2014-03-01,10,24,19,5,29,29,58
COLOMI,consulta externa, personas de 10 a 20 anos,2014-03-01,61,50,0,0,61,50,111
COLPA BELGICA,consulta externa, personas de 10 a 20 anos,2014-03-01,53,83,6,9,59,92,151
COLQUECHACA,consulta externa, personas de 10 a 20 anos,2014-03-01,69,119,4,3,73,122,195
COLQUENCHA,consulta externa, personas de 10 a 20 anos,2014-03-01,35,69,5,7,40,76,116
COLQUIRI,consulta externa, personas de 10 a 20 anos,2014-03-01,64,126,7,13,71,139,210
COMANCHE,consulta externa, personas de 10 a 20 anos,2014-03-01,12,9,4,0,16,9,25
COMARAPA,consulta externa, personas de 10 a 20 anos,2014-03-01,58,110,7,26,65,136,201
COMBAYA,consulta externa, personas de 10 a 20 anos,2014-03-01,0,5,0,0,0,5,5
CONCEPCION,consulta externa, personas de 10 a 20 anos,2014-03-01,30,95,0,5,30,100,130
COPACABANA,consulta externa, personas de 10 a 20 anos,2014-03-01,14,29,0,0,14,29,43
CORIPATA,consulta externa, personas de 10 a 20 anos,2014-03-01,52,70,12,9,64,79,143
CORO CORO,consulta externa, personas de 10 a 20 anos,2014-03-01,18,38,7,0,25,38,63
COROICO,consulta externa, personas de 10 a 20 anos,2014-03-01,45,41,20,19,65,60,125
CORQUE,consulta externa, personas de 10 a 20 anos,2014-03-01,55,35,2,3,57,38,95
COTAGAITA,consulta externa, personas de 10 a 20 anos,2014-03-01,218,351,5,19,223,370,593
COTOCA,consulta externa, personas de 10 a 20 anos,2014-03-01,135,345,6,5,141,350,491
CRUZ DE MACHACAMARCA,consulta externa, personas de 10 a 20 anos,2014-03-01,1,1,0,0,1,1,2
CUATRO CAÑADAS,consulta externa, personas de 10 a 20 anos,2014-03-01,78,107,4,11,82,118,200
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 10 a 20 anos,2014-03-01,3,2,0,0,3,2,5
CUEVO,consulta externa, personas de 10 a 20 anos,2014-03-01,34,44,3,2,37,46,83
CULPINA,consulta externa, personas de 10 a 20 anos,2014-03-01,51,101,2,0,53,101,154
CURAHUARA DE CARANGAS,consulta externa, personas de 10 a 20 anos,2014-03-01,15,20,0,0,15,20,35
CURVA,consulta externa, personas de 10 a 20 anos,2014-03-01,17,25,1,2,18,27,45
DESAGUADERO,consulta externa, personas de 10 a 20 anos,2014-03-01,14,20,0,0,14,20,34
EL ALTO,consulta externa, personas de 10 a 20 anos,2014-03-01,3703,5563,635,1311,4338,6874,11212
EL CHORO,consulta externa, personas de 10 a 20 anos,2014-03-01,16,15,0,0,16,15,31
EL PUENTE(STC),consulta externa, personas de 10 a 20 anos,2014-03-01,69,141,1,3,70,144,214
EL PUENTE(TJA),consulta externa, personas de 10 a 20 anos,2014-03-01,115,173,1,2,116,175,291
EL TORNO,consulta externa, personas de 10 a 20 anos,2014-03-01,352,740,37,54,389,794,1183
EL VILLAR,consulta externa, personas de 10 a 20 anos,2014-03-01,67,66,2,1,69,67,136
ENTRE RIOS TRJ,consulta externa, personas de 10 a 20 anos,2014-03-01,234,369,3,2,237,371,608
ENTRE RIOS CBBA,consulta externa, personas de 10 a 20 anos,2014-03-01,71,158,8,17,79,175,254
ESCARA,consulta externa, personas de 10 a 20 anos,2014-03-01,1,2,0,0,1,2,3
ESCOMA,consulta externa, personas de 10 a 20 anos,2014-03-01,19,18,2,0,21,18,39
ESMERALDA,consulta externa, personas de 10 a 20 anos,2014-03-01,0,3,0,0,0,3,3
EUCALIPTUS,consulta externa, personas de 10 a 20 anos,2014-03-01,15,14,1,0,16,14,30
EUREKA (SANTOS MERCADO),consulta externa, personas de 10 a 20 anos,2014-03-01,9,8,0,2,9,10,19
EXALTACION,consulta externa, personas de 10 a 20 anos,2014-03-01,17,16,2,2,19,18,37
FERNANDEZ ALONSO,consulta externa, personas de 10 a 20 anos,2014-03-01,76,149,5,3,81,152,233
FILADELFIA,consulta externa, personas de 10 a 20 anos,2014-03-01,29,46,0,0,29,46,75
GENERAL SAAVEDRA,consulta externa, personas de 10 a 20 anos,2014-03-01,43,111,1,3,44,114,158
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 10 a 20 anos,2014-03-01,31,52,2,5,33,57,90
GUANAY,consulta externa, personas de 10 a 20 anos,2014-03-01,51,109,0,0,51,109,160
GUAQUI,consulta externa, personas de 10 a 20 anos,2014-03-01,15,26,2,0,17,26,43
GUAYARAMERIN,consulta externa, personas de 10 a 20 anos,2014-03-01,408,702,40,129,448,831,1279
GUTIERREZ,consulta externa, personas de 10 a 20 anos,2014-03-01,62,96,3,2,65,98,163
HUACARETA,consulta externa, personas de 10 a 20 anos,2014-03-01,62,70,6,10,68,80,148
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 10 a 20 anos,2014-03-01,21,27,0,0,21,27,48
HUACHACALLA,consulta externa, personas de 10 a 20 anos,2014-03-01,58,7,12,1,70,8,78
HUANUNI,consulta externa, personas de 10 a 20 anos,2014-03-01,214,246,17,30,231,276,507
HUARACAJE,consulta externa, personas de 10 a 20 anos,2014-03-01,15,51,0,1,15,52,67
HUARINA,consulta externa, personas de 10 a 20 anos,2014-03-01,7,9,1,3,8,12,20
HUATAJATA,consulta externa, personas de 10 a 20 anos,2014-03-01,13,18,0,2,13,20,33
HUAYLLAMARCA,consulta externa, personas de 10 a 20 anos,2014-03-01,21,20,0,0,21,20,41
HUMANATA,consulta externa, personas de 10 a 20 anos,2014-03-01,11,5,2,1,13,6,19
ICHOCA,consulta externa, personas de 10 a 20 anos,2014-03-01,9,11,0,0,9,11,20
ICLA,consulta externa, personas de 10 a 20 anos,2014-03-01,40,49,0,3,40,52,92
INCAHUASI,consulta externa, personas de 10 a 20 anos,2014-03-01,22,56,1,0,23,56,79
INGAVI (HUMAITA),consulta externa, personas de 10 a 20 anos,2014-03-01,1,21,2,1,3,22,25
INQUISIVI,consulta externa, personas de 10 a 20 anos,2014-03-01,24,32,0,0,24,32,56
IRUPANA (VILLA DE LANZA),consulta externa, personas de 10 a 20 anos,2014-03-01,46,84,4,3,50,87,137
IXIAMAS,consulta externa, personas de 10 a 20 anos,2014-03-01,135,131,1,1,136,132,268
JESUS DE MACHACA,consulta externa, personas de 10 a 20 anos,2014-03-01,44,94,5,10,49,104,153
LA ASUNTA,consulta externa, personas de 10 a 20 anos,2014-03-01,90,157,4,1,94,158,252
LA GUARDIA,consulta externa, personas de 10 a 20 anos,2014-03-01,364,469,12,16,376,485,861
LA PAZ,consulta externa, personas de 10 a 20 anos,2014-03-01,3670,5975,1872,3279,5542,9254,14796
LA RIVERA,consulta externa, personas de 10 a 20 anos,2014-03-01,2,5,0,0,2,5,7
LAGUNILLAS,consulta externa, personas de 10 a 20 anos,2014-03-01,172,236,0,4,172,240,412
LAJA,consulta externa, personas de 10 a 20 anos,2014-03-01,23,64,2,4,25,68,93
LAS CARRERAS,consulta externa, personas de 10 a 20 anos,2014-03-01,23,54,0,1,23,55,78
LICOMA PAMPA,consulta externa, personas de 10 a 20 anos,2014-03-01,12,15,0,0,12,15,27
LLALLAGUA,consulta externa, personas de 10 a 20 anos,2014-03-01,137,256,5,6,142,262,404
LLICA,consulta externa, personas de 10 a 20 anos,2014-03-01,17,26,1,0,18,26,44
LORETO,consulta externa, personas de 10 a 20 anos,2014-03-01,30,29,1,0,31,29,60
LURIBAY,consulta externa, personas de 10 a 20 anos,2014-03-01,46,51,1,1,47,52,99
MACHACAMARCA,consulta externa, personas de 10 a 20 anos,2014-03-01,16,22,0,0,16,22,38
MACHARETI,consulta externa, personas de 10 a 20 anos,2014-03-01,87,132,0,2,87,134,221
MAGDALENA,consulta externa, personas de 10 a 20 anos,2014-03-01,65,117,13,4,78,121,199
MAIRANA,consulta externa, personas de 10 a 20 anos,2014-03-01,39,85,6,7,45,92,137
MALLA,consulta externa, personas de 10 a 20 anos,2014-03-01,6,11,2,1,8,12,20
MAPIRI,consulta externa, personas de 10 a 20 anos,2014-03-01,47,99,0,0,47,99,146
MECAPACA,consulta externa, personas de 10 a 20 anos,2014-03-01,27,46,5,0,32,46,78
MINEROS,consulta externa, personas de 10 a 20 anos,2014-03-01,24,88,0,2,24,90,114
MIZQUE,consulta externa, personas de 10 a 20 anos,2014-03-01,26,90,1,1,27,91,118
MOCOMOCO,consulta externa, personas de 10 a 20 anos,2014-03-01,46,41,0,1,46,42,88
MOJINETE,consulta externa, personas de 10 a 20 anos,2014-03-01,9,8,0,0,9,8,17
MOJOCOYA,consulta externa, personas de 10 a 20 anos,2014-03-01,40,34,2,2,42,36,78
MONTEAGUDO,consulta externa, personas de 10 a 20 anos,2014-03-01,269,411,57,48,326,459,785
MONTERO,consulta externa, personas de 10 a 20 anos,2014-03-01,669,1236,137,241,806,1477,2283
MORO MORO,consulta externa, personas de 10 a 20 anos,2014-03-01,8,26,0,1,8,27,35
MOROCHATA,consulta externa, personas de 10 a 20 anos,2014-03-01,33,33,1,0,34,33,67
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 10 a 20 anos,2014-03-01,29,36,1,0,30,36,66
NAZACARA DE PACAJES,consulta externa, personas de 10 a 20 anos,2014-03-01,7,2,0,0,7,2,9
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 10 a 20 anos,2014-03-01,23,41,0,1,23,42,65
OCURI,consulta externa, personas de 10 a 20 anos,2014-03-01,42,79,1,0,43,79,122
OKINAWA,consulta externa, personas de 10 a 20 anos,2014-03-01,47,63,1,2,48,65,113
OMEREQUE,consulta externa, personas de 10 a 20 anos,2014-03-01,37,37,1,0,38,37,75
ORURO,consulta externa, personas de 10 a 20 anos,2014-03-01,1340,2222,433,537,1773,2759,4532
PADCAYA,consulta externa, personas de 10 a 20 anos,2014-03-01,333,463,2,7,335,470,805
PADILLA,consulta externa, personas de 10 a 20 anos,2014-03-01,111,164,1,0,112,164,276
PAILON,consulta externa, personas de 10 a 20 anos,2014-03-01,74,153,0,10,74,163,237
PALCA,consulta externa, personas de 10 a 20 anos,2014-03-01,42,102,3,6,45,108,153
PALOS BLANCOS,consulta externa, personas de 10 a 20 anos,2014-03-01,203,308,12,14,215,322,537
PAMPA AULLAGAS,consulta externa, personas de 10 a 20 anos,2014-03-01,13,11,0,0,13,11,24
PAMPA GRANDE,consulta externa, personas de 10 a 20 anos,2014-03-01,23,46,2,1,25,47,72
PAPEL PAMPA,consulta externa, personas de 10 a 20 anos,2014-03-01,38,53,0,4,38,57,95
PASORAPA,consulta externa, personas de 10 a 20 anos,2014-03-01,12,15,0,0,12,15,27
PATACAMAYA,consulta externa, personas de 10 a 20 anos,2014-03-01,51,76,5,4,56,80,136
PAZÑA,consulta externa, personas de 10 a 20 anos,2014-03-01,21,26,0,0,21,26,47
PELECHUCO,consulta externa, personas de 10 a 20 anos,2014-03-01,26,63,0,1,26,64,90
POCOATA,consulta externa, personas de 10 a 20 anos,2014-03-01,67,91,0,1,67,92,159
POCONA,consulta externa, personas de 10 a 20 anos,2014-03-01,50,95,8,7,58,102,160
POJO (CBBA),consulta externa, personas de 10 a 20 anos,2014-03-01,55,43,1,1,56,44,100
POOPO,consulta externa, personas de 10 a 20 anos,2014-03-01,10,27,0,1,10,28,38
PORCO,consulta externa, personas de 10 a 20 anos,2014-03-01,29,39,0,0,29,39,68
POROMA,consulta externa, personas de 10 a 20 anos,2014-03-01,54,118,0,1,54,119,173
PORONGO,consulta externa, personas de 10 a 20 anos,2014-03-01,84,94,12,15,96,109,205
PORTACHUELO,consulta externa, personas de 10 a 20 anos,2014-03-01,104,182,7,15,111,197,308
PORVENIR,consulta externa, personas de 10 a 20 anos,2014-03-01,73,95,0,2,73,97,170
POSTRER VALLE,consulta externa, personas de 10 a 20 anos,2014-03-01,9,6,0,2,9,8,17
POTOSI,consulta externa, personas de 10 a 20 anos,2014-03-01,1218,1903,150,270,1368,2173,3541
PRESTO,consulta externa, personas de 10 a 20 anos,2014-03-01,31,46,0,0,31,46,77
PUCARA,consulta externa, personas de 10 a 20 anos,2014-03-01,8,11,1,1,9,12,21
PUCARANI,consulta externa, personas de 10 a 20 anos,2014-03-01,62,86,6,2,68,88,156
PUERTO ACOSTA,consulta externa, personas de 10 a 20 anos,2014-03-01,23,38,0,1,23,39,62
PUERTO CARABUCO,consulta externa, personas de 10 a 20 anos,2014-03-01,49,45,8,1,57,46,103
PUERTO GONZALO MORENO,consulta externa, personas de 10 a 20 anos,2014-03-01,66,94,3,11,69,105,174
PUERTO PEREZ,consulta externa, personas de 10 a 20 anos,2014-03-01,23,34,0,2,23,36,59
PUERTO QUIJARRO,consulta externa, personas de 10 a 20 anos,2014-03-01,124,197,3,3,127,200,327
PUERTO RICO,consulta externa, personas de 10 a 20 anos,2014-03-01,112,126,0,0,112,126,238
PUERTO SILES,consulta externa, personas de 10 a 20 anos,2014-03-01,23,31,2,0,25,31,56
PUERTO SUAREZ,consulta externa, personas de 10 a 20 anos,2014-03-01,92,152,10,22,102,174,276
PUERTO VILLARROEL,consulta externa, personas de 10 a 20 anos,2014-03-01,260,428,6,158,266,586,852
PUNA,consulta externa, personas de 10 a 20 anos,2014-03-01,108,181,3,13,111,194,305
PUNATA,consulta externa, personas de 10 a 20 anos,2014-03-01,43,137,11,58,54,195,249
QUIABAYA,consulta externa, personas de 10 a 20 anos,2014-03-01,9,18,1,1,10,19,29
QUILLACOLLO,consulta externa, personas de 10 a 20 anos,2014-03-01,1228,960,172,231,1400,1191,2591
QUIME,consulta externa, personas de 10 a 20 anos,2014-03-01,29,33,2,0,31,33,64
QUIRUSILLAS,consulta externa, personas de 10 a 20 anos,2014-03-01,9,13,0,0,9,13,22
RAVELO,consulta externa, personas de 10 a 20 anos,2014-03-01,54,50,1,2,55,52,107
REYES,consulta externa, personas de 10 a 20 anos,2014-03-01,51,143,3,6,54,149,203
RIBERALTA,consulta externa, personas de 10 a 20 anos,2014-03-01,485,1493,24,294,509,1787,2296
ROBORE,consulta externa, personas de 10 a 20 anos,2014-03-01,126,161,7,3,133,164,297
RURRENABAQUE,consulta externa, personas de 10 a 20 anos,2014-03-01,102,136,36,22,138,158,296
SABAYA,consulta externa, personas de 10 a 20 anos,2014-03-01,16,24,1,0,17,24,41
SACABA,consulta externa, personas de 10 a 20 anos,2014-03-01,504,711,212,218,716,929,1645
SACABAMBA,consulta externa, personas de 10 a 20 anos,2014-03-01,19,15,2,0,21,15,36
SACACA,consulta externa, personas de 10 a 20 anos,2014-03-01,59,98,2,0,61,98,159
SAIPINA,consulta externa, personas de 10 a 20 anos,2014-03-01,27,36,2,4,29,40,69
SALINAS DE GARCI MENDOZA,consulta externa, personas de 10 a 20 anos,2014-03-01,42,76,5,4,47,80,127
