,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA ANA,atencion odontologica,restauraciones,2012-03-01,49,241,49,241,290
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2012-03-01,1808,3018,1808,3018,4826
SANTA ROSA,atencion odontologica,restauraciones,2012-03-01,5,17,5,17,22
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2012-03-01,10,61,10,61,71
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2012-03-01,0,1,0,1,1
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2012-03-01,82,113,82,113,195
SANTIAGO DE HUATA,atencion odontologica,restauraciones,2012-03-01,7,18,7,18,25
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2012-03-01,0,62,0,62,62
SANTIVAÑES,atencion odontologica,restauraciones,2012-03-01,11,21,11,21,32
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2012-03-01,11,9,11,9,20
SAPAHAQUI,atencion odontologica,restauraciones,2012-03-01,1,3,1,3,4
SHINAOTA,atencion odontologica,restauraciones,2012-03-01,122,156,122,156,278
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2012-03-01,18,59,18,59,77
SICAYA,atencion odontologica,restauraciones,2012-03-01,1,7,1,7,8
SIPE SIPE,atencion odontologica,restauraciones,2012-03-01,59,158,59,158,217
SOPACHUY,atencion odontologica,restauraciones,2012-03-01,21,84,21,84,105
SORACACHI,atencion odontologica,restauraciones,2012-03-01,26,25,26,25,51
SORATA,atencion odontologica,restauraciones,2012-03-01,38,54,38,54,92
SUCRE,atencion odontologica,restauraciones,2012-03-01,2065,2876,2065,2876,4941
TACACOMA,atencion odontologica,restauraciones,2012-03-01,22,34,22,34,56
TACOPAYA,atencion odontologica,restauraciones,2012-03-01,2,8,2,8,10
TAPACARI,atencion odontologica,restauraciones,2012-03-01,95,141,95,141,236
TARABUCO,atencion odontologica,restauraciones,2012-03-01,17,40,17,40,57
TARACO,atencion odontologica,restauraciones,2012-03-01,13,23,13,23,36
TARATA,atencion odontologica,restauraciones,2012-03-01,73,141,73,141,214
TARIJA,atencion odontologica,restauraciones,2012-03-01,895,1422,895,1422,2317
TARVITA,atencion odontologica,restauraciones,2012-03-01,25,34,25,34,59
TEOPONTE,atencion odontologica,restauraciones,2012-03-01,32,16,32,16,48
TIAWANACU,atencion odontologica,restauraciones,2012-03-01,10,28,10,28,38
TINGUIPAYA,atencion odontologica,restauraciones,2012-03-01,6,19,6,19,25
TIPUANI,atencion odontologica,restauraciones,2012-03-01,42,40,42,40,82
TIQUIPAYA,atencion odontologica,restauraciones,2012-03-01,460,910,460,910,1370
TIRAQUE (CBBA),atencion odontologica,restauraciones,2012-03-01,67,99,67,99,166
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,restauraciones,2012-03-01,10,7,10,7,17
TOCO,atencion odontologica,restauraciones,2012-03-01,19,34,19,34,53
TOLATA,atencion odontologica,restauraciones,2012-03-01,26,32,26,32,58
TOLEDO,atencion odontologica,restauraciones,2012-03-01,35,35,35,35,70
TOMAVE,atencion odontologica,restauraciones,2012-03-01,19,19,19,19,38
TOMINA,atencion odontologica,restauraciones,2012-03-01,43,49,43,49,92
TORO TORO,atencion odontologica,restauraciones,2012-03-01,3,30,3,30,33
TOTORA(CBBA),atencion odontologica,restauraciones,2012-03-01,32,51,32,51,83
TOTORA(ORR),atencion odontologica,restauraciones,2012-03-01,3,7,3,7,10
TRIGAL,atencion odontologica,restauraciones,2012-03-01,13,50,13,50,63
TRINIDAD,atencion odontologica,restauraciones,2012-03-01,141,286,141,286,427
TUPIZA,atencion odontologica,restauraciones,2012-03-01,52,70,52,70,122
TURCO,atencion odontologica,restauraciones,2012-03-01,27,65,27,65,92
UMALA,atencion odontologica,restauraciones,2012-03-01,3,1,3,1,4
UNCIA,atencion odontologica,restauraciones,2012-03-01,33,58,33,58,91
URIONDO (A. CONCEPCION),atencion odontologica,restauraciones,2012-03-01,81,221,81,221,302
URUBICHA,atencion odontologica,restauraciones,2012-03-01,1,6,1,6,7
UYUNI,atencion odontologica,restauraciones,2012-03-01,21,33,21,33,54
VACAS,atencion odontologica,restauraciones,2012-03-01,28,51,28,51,79
VALLEGRANDE,atencion odontologica,restauraciones,2012-03-01,53,136,53,136,189
VIACHA,atencion odontologica,restauraciones,2012-03-01,91,190,91,190,281
VILLA CHARCAS,atencion odontologica,restauraciones,2012-03-01,5,9,5,9,14
VILLA MONTES,atencion odontologica,restauraciones,2012-03-01,208,378,208,378,586
VILLA RIVERO,atencion odontologica,restauraciones,2012-03-01,17,29,17,29,46
VILLA SERRANO,atencion odontologica,restauraciones,2012-03-01,134,136,134,136,270
VILLA TUNARI,atencion odontologica,restauraciones,2012-03-01,166,511,166,511,677
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,restauraciones,2012-03-01,41,129,41,129,170
VILLAZON,atencion odontologica,restauraciones,2012-03-01,48,109,48,109,157
VINTO,atencion odontologica,restauraciones,2012-03-01,95,158,95,158,253
VITICHI,atencion odontologica,restauraciones,2012-03-01,11,22,11,22,33
WALDO BALLIVIAN,atencion odontologica,restauraciones,2012-03-01,7,3,7,3,10
WARNES,atencion odontologica,restauraciones,2012-03-01,98,183,98,183,281
YACO,atencion odontologica,restauraciones,2012-03-01,6,11,6,11,17
YACUIBA,atencion odontologica,restauraciones,2012-03-01,176,409,176,409,585
YAMPARAEZ,atencion odontologica,restauraciones,2012-03-01,12,26,12,26,38
YANACACHI,atencion odontologica,restauraciones,2012-03-01,21,23,21,23,44
YAPACANI,atencion odontologica,restauraciones,2012-03-01,49,216,49,216,265
YOCALLA,atencion odontologica,restauraciones,2012-03-01,4,26,4,26,30
YOTALA,atencion odontologica,restauraciones,2012-03-01,23,55,23,55,78
YUNCHARA,atencion odontologica,restauraciones,2012-03-01,27,79,27,79,106
ZUDAÑEZ,atencion odontologica,restauraciones,2012-03-01,6,36,6,36,42
ACACIO,atencion odontologica,restauraciones,2012-04-01,2,14,2,14,16
ACHACACHI,atencion odontologica,restauraciones,2012-04-01,62,43,62,43,105
ACHOCALLA,atencion odontologica,restauraciones,2012-04-01,10,22,10,22,32
AIQUILE,atencion odontologica,restauraciones,2012-04-01,5,26,5,26,31
ALCALA,atencion odontologica,restauraciones,2012-04-01,6,14,6,14,20
ALTO BENI,atencion odontologica,restauraciones,2012-04-01,14,16,14,16,30
ANCORAIMES,atencion odontologica,restauraciones,2012-04-01,8,4,8,4,12
ANDAMARCA,atencion odontologica,restauraciones,2012-04-01,15,17,15,17,32
ANTEQUERA,atencion odontologica,restauraciones,2012-04-01,15,22,15,22,37
ANZALDO,atencion odontologica,restauraciones,2012-04-01,11,35,11,35,46
APOLO,atencion odontologica,restauraciones,2012-04-01,47,110,47,110,157
ARAMPAMPA,atencion odontologica,restauraciones,2012-04-01,9,17,9,17,26
ARANI,atencion odontologica,restauraciones,2012-04-01,38,32,38,32,70
ARBIETO,atencion odontologica,restauraciones,2012-04-01,34,41,34,41,75
ARQUE,atencion odontologica,restauraciones,2012-04-01,6,50,6,50,56
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2012-04-01,9,11,9,11,20
ATOCHA,atencion odontologica,restauraciones,2012-04-01,154,143,154,143,297
AUCAPATA,atencion odontologica,restauraciones,2012-04-01,1,18,1,18,19
AYATA,atencion odontologica,restauraciones,2012-04-01,6,7,6,7,13
AYO AYO,atencion odontologica,restauraciones,2012-04-01,12,18,12,18,30
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2012-04-01,46,55,46,55,101
AZURDUY,atencion odontologica,restauraciones,2012-04-01,16,12,16,12,28
BATALLAS,atencion odontologica,restauraciones,2012-04-01,37,55,37,55,92
BAURES,atencion odontologica,restauraciones,2012-04-01,24,15,24,15,39
BELEN DE URMIRI,atencion odontologica,restauraciones,2012-04-01,2,2,2,2,4
BELLA FLOR,atencion odontologica,restauraciones,2012-04-01,2,7,2,7,9
BERMEJO,atencion odontologica,restauraciones,2012-04-01,87,136,87,136,223
BETANZOS,atencion odontologica,restauraciones,2012-04-01,28,28,28,28,56
BOLIVAR,atencion odontologica,restauraciones,2012-04-01,11,34,11,34,45
BOYUIBE,atencion odontologica,restauraciones,2012-04-01,0,5,0,5,5
BUENA VISTA,atencion odontologica,restauraciones,2012-04-01,15,6,15,6,21
CABEZAS,atencion odontologica,restauraciones,2012-04-01,9,29,9,29,38
CAIROMA,atencion odontologica,restauraciones,2012-04-01,24,28,24,28,52
"CAIZA ""D""",atencion odontologica,restauraciones,2012-04-01,3,14,3,14,17
CAJUATA,atencion odontologica,restauraciones,2012-04-01,44,38,44,38,82
CALACOTO,atencion odontologica,restauraciones,2012-04-01,15,33,15,33,48
CALAMARCA,atencion odontologica,restauraciones,2012-04-01,38,68,38,68,106
CAMARGO,atencion odontologica,restauraciones,2012-04-01,33,103,33,103,136
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2012-04-01,1,4,1,4,5
CAMIRI,atencion odontologica,restauraciones,2012-04-01,37,74,37,74,111
CAPINOTA,atencion odontologica,restauraciones,2012-04-01,13,42,13,42,55
CAQUIAVIRI,atencion odontologica,restauraciones,2012-04-01,4,13,4,13,17
CARACOLLO,atencion odontologica,restauraciones,2012-04-01,17,40,17,40,57
CARANAVI,atencion odontologica,restauraciones,2012-04-01,29,53,29,53,82
CARAPARI,atencion odontologica,restauraciones,2012-04-01,60,111,60,111,171
CARIPUYO,atencion odontologica,restauraciones,2012-04-01,20,13,20,13,33
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2012-04-01,3,4,3,4,7
CATACORA,atencion odontologica,restauraciones,2012-04-01,32,15,32,15,47
CHALLAPATA,atencion odontologica,restauraciones,2012-04-01,35,54,35,54,89
CHAQUI,atencion odontologica,restauraciones,2012-04-01,6,5,6,5,11
CHARAGUA,atencion odontologica,restauraciones,2012-04-01,21,54,21,54,75
CHARAÑA,atencion odontologica,restauraciones,2012-04-01,12,22,12,22,34
CHIMORE,atencion odontologica,restauraciones,2012-04-01,22,53,22,53,75
CHOQUE COTA,atencion odontologica,restauraciones,2012-04-01,7,10,7,10,17
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2012-04-01,22,89,22,89,111
CHUMA,atencion odontologica,restauraciones,2012-04-01,39,86,39,86,125
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2012-04-01,8,10,8,10,18
CKOCHAS,atencion odontologica,restauraciones,2012-04-01,1,36,1,36,37
CLIZA,atencion odontologica,restauraciones,2012-04-01,47,74,47,74,121
COBIJA,atencion odontologica,restauraciones,2012-04-01,8,4,8,4,12
COCAPATA,atencion odontologica,restauraciones,2012-04-01,10,62,10,62,72
COCHABAMBA,atencion odontologica,restauraciones,2012-04-01,1493,1926,1493,1926,3419
COIPASA,atencion odontologica,restauraciones,2012-04-01,7,29,7,29,36
COLCAPIRHUA,atencion odontologica,restauraciones,2012-04-01,165,229,165,229,394
"COLCHA ""K""",atencion odontologica,restauraciones,2012-04-01,3,18,3,18,21
COLLANA,atencion odontologica,restauraciones,2012-04-01,1,0,1,0,1
COLOMI,atencion odontologica,restauraciones,2012-04-01,35,65,35,65,100
COLPA BELGICA,atencion odontologica,restauraciones,2012-04-01,13,28,13,28,41
COLQUECHACA,atencion odontologica,restauraciones,2012-04-01,20,64,20,64,84
COLQUENCHA,atencion odontologica,restauraciones,2012-04-01,11,23,11,23,34
COLQUIRI,atencion odontologica,restauraciones,2012-04-01,6,17,6,17,23
COMANCHE,atencion odontologica,restauraciones,2012-04-01,37,39,37,39,76
COMARAPA,atencion odontologica,restauraciones,2012-04-01,47,54,47,54,101
CORIPATA,atencion odontologica,restauraciones,2012-04-01,2,1,2,1,3
CORO CORO,atencion odontologica,restauraciones,2012-04-01,27,47,27,47,74
COROICO,atencion odontologica,restauraciones,2012-04-01,51,62,51,62,113
CORQUE,atencion odontologica,restauraciones,2012-04-01,2,7,2,7,9
COTAGAITA,atencion odontologica,restauraciones,2012-04-01,128,134,128,134,262
COTOCA,atencion odontologica,restauraciones,2012-04-01,1,16,1,16,17
CUATRO CAÑADAS,atencion odontologica,restauraciones,2012-04-01,29,56,29,56,85
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2012-04-01,2,4,2,4,6
CUEVO,atencion odontologica,restauraciones,2012-04-01,5,5,5,5,10
CULPINA,atencion odontologica,restauraciones,2012-04-01,11,27,11,27,38
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2012-04-01,3,21,3,21,24
CURVA,atencion odontologica,restauraciones,2012-04-01,6,7,6,7,13
DESAGUADERO,atencion odontologica,restauraciones,2012-04-01,7,13,7,13,20
EL ALTO,atencion odontologica,restauraciones,2012-04-01,1128,1579,1128,1579,2707
EL PUENTE(STC),atencion odontologica,restauraciones,2012-04-01,1,15,1,15,16
EL PUENTE(TJA),atencion odontologica,restauraciones,2012-04-01,20,52,20,52,72
EL TORNO,atencion odontologica,restauraciones,2012-04-01,26,97,26,97,123
EL VILLAR,atencion odontologica,restauraciones,2012-04-01,6,18,6,18,24
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2012-04-01,21,43,21,43,64
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2012-04-01,67,73,67,73,140
ESCOMA,atencion odontologica,restauraciones,2012-04-01,6,5,6,5,11
EUCALIPTUS,atencion odontologica,restauraciones,2012-04-01,9,25,9,25,34
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2012-04-01,14,50,14,50,64
FILADELFIA,atencion odontologica,restauraciones,2012-04-01,3,4,3,4,7
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2012-04-01,19,27,19,27,46
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2012-04-01,8,27,8,27,35
GUANAY,atencion odontologica,restauraciones,2012-04-01,21,46,21,46,67
GUAQUI,atencion odontologica,restauraciones,2012-04-01,13,26,13,26,39
GUAYARAMERIN,atencion odontologica,restauraciones,2012-04-01,103,122,103,122,225
GUTIERREZ,atencion odontologica,restauraciones,2012-04-01,21,30,21,30,51
HUACARETA,atencion odontologica,restauraciones,2012-04-01,28,17,28,17,45
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2012-04-01,4,4,4,4,8
HUACHACALLA,atencion odontologica,restauraciones,2012-04-01,10,7,10,7,17
HUANUNI,atencion odontologica,restauraciones,2012-04-01,46,64,46,64,110
HUARACAJE,atencion odontologica,restauraciones,2012-04-01,1,15,1,15,16
HUARINA,atencion odontologica,restauraciones,2012-04-01,13,14,13,14,27
HUAYLLAMARCA,atencion odontologica,restauraciones,2012-04-01,8,23,8,23,31
HUMANATA,atencion odontologica,restauraciones,2012-04-01,4,3,4,3,7
ICLA,atencion odontologica,restauraciones,2012-04-01,16,46,16,46,62
INCAHUASI,atencion odontologica,restauraciones,2012-04-01,17,17,17,17,34
INQUISIVI,atencion odontologica,restauraciones,2012-04-01,4,4,4,4,8
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2012-04-01,17,43,17,43,60
IXIAMAS,atencion odontologica,restauraciones,2012-04-01,15,11,15,11,26
JESUS DE MACHACA,atencion odontologica,restauraciones,2012-04-01,13,41,13,41,54
LA ASUNTA,atencion odontologica,restauraciones,2012-04-01,33,40,33,40,73
LA GUARDIA,atencion odontologica,restauraciones,2012-04-01,44,83,44,83,127
LA PAZ,atencion odontologica,restauraciones,2012-04-01,1681,2204,1681,2204,3885
LAGUNILLAS,atencion odontologica,restauraciones,2012-04-01,2,11,2,11,13
LAJA,atencion odontologica,restauraciones,2012-04-01,15,25,15,25,40
LAS CARRERAS,atencion odontologica,restauraciones,2012-04-01,13,10,13,10,23
LICOMA PAMPA,atencion odontologica,restauraciones,2012-04-01,0,1,0,1,1
LLALLAGUA,atencion odontologica,restauraciones,2012-04-01,56,125,56,125,181
LLICA,atencion odontologica,restauraciones,2012-04-01,6,16,6,16,22
LURIBAY,atencion odontologica,restauraciones,2012-04-01,6,21,6,21,27
MACHACAMARCA,atencion odontologica,restauraciones,2012-04-01,10,14,10,14,24
MACHARETI,atencion odontologica,restauraciones,2012-04-01,13,25,13,25,38
MAGDALENA,atencion odontologica,restauraciones,2012-04-01,20,27,20,27,47
MAIRANA,atencion odontologica,restauraciones,2012-04-01,3,3,3,3,6
MALLA,atencion odontologica,restauraciones,2012-04-01,2,2,2,2,4
MAPIRI,atencion odontologica,restauraciones,2012-04-01,38,58,38,58,96
MECAPACA,atencion odontologica,restauraciones,2012-04-01,6,8,6,8,14
MOCOMOCO,atencion odontologica,restauraciones,2012-04-01,7,34,7,34,41
MOJOCOYA,atencion odontologica,restauraciones,2012-04-01,28,77,28,77,105
MONTEAGUDO,atencion odontologica,restauraciones,2012-04-01,90,223,90,223,313
MONTERO,atencion odontologica,restauraciones,2012-04-01,186,249,186,249,435
MORO MORO,atencion odontologica,restauraciones,2012-04-01,4,8,4,8,12
MOROCHATA,atencion odontologica,restauraciones,2012-04-01,21,56,21,56,77
OCURI,atencion odontologica,restauraciones,2012-04-01,9,19,9,19,28
OKINAWA,atencion odontologica,restauraciones,2012-04-01,4,11,4,11,15
ORURO,atencion odontologica,restauraciones,2012-04-01,435,598,435,598,1033
PADCAYA,atencion odontologica,restauraciones,2012-04-01,47,25,47,25,72
PADILLA,atencion odontologica,restauraciones,2012-04-01,41,63,41,63,104
PAILON,atencion odontologica,restauraciones,2012-04-01,23,90,23,90,113
PALCA,atencion odontologica,restauraciones,2012-04-01,18,36,18,36,54
PALOS BLANCOS,atencion odontologica,restauraciones,2012-04-01,16,78,16,78,94
PAMPA AULLAGAS,atencion odontologica,restauraciones,2012-04-01,6,5,6,5,11
PAMPA GRANDE,atencion odontologica,restauraciones,2012-04-01,0,8,0,8,8
PAPEL PAMPA,atencion odontologica,restauraciones,2012-04-01,2,10,2,10,12
PASORAPA,atencion odontologica,restauraciones,2012-04-01,6,5,6,5,11
PATACAMAYA,atencion odontologica,restauraciones,2012-04-01,55,106,55,106,161
PAZÑA,atencion odontologica,restauraciones,2012-04-01,9,14,9,14,23
PELECHUCO,atencion odontologica,restauraciones,2012-04-01,10,32,10,32,42
POCOATA,atencion odontologica,restauraciones,2012-04-01,38,52,38,52,90
POCONA,atencion odontologica,restauraciones,2012-04-01,152,193,152,193,345
POJO (CBBA),atencion odontologica,restauraciones,2012-04-01,58,139,58,139,197
POOPO,atencion odontologica,restauraciones,2012-04-01,35,30,35,30,65
PORCO,atencion odontologica,restauraciones,2012-04-01,18,12,18,12,30
POROMA,atencion odontologica,restauraciones,2012-04-01,57,45,57,45,102
PORONGO,atencion odontologica,restauraciones,2012-04-01,1,7,1,7,8
PORTACHUELO,atencion odontologica,restauraciones,2012-04-01,8,41,8,41,49
PORVENIR,atencion odontologica,restauraciones,2012-04-01,11,19,11,19,30
POSTRER VALLE,atencion odontologica,restauraciones,2012-04-01,1,1,1,1,2
POTOSI,atencion odontologica,restauraciones,2012-04-01,451,768,451,768,1219
PRESTO,atencion odontologica,restauraciones,2012-04-01,6,15,6,15,21
PUCARA,atencion odontologica,restauraciones,2012-04-01,5,14,5,14,19
PUCARANI,atencion odontologica,restauraciones,2012-04-01,23,41,23,41,64
PUERTO ACOSTA,atencion odontologica,restauraciones,2012-04-01,8,12,8,12,20
PUERTO CARABUCO,atencion odontologica,restauraciones,2012-04-01,22,17,22,17,39
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2012-04-01,8,8,8,8,16
PUERTO PEREZ,atencion odontologica,restauraciones,2012-04-01,13,6,13,6,19
PUERTO QUIJARRO,atencion odontologica,restauraciones,2012-04-01,37,16,37,16,53
PUERTO RICO,atencion odontologica,restauraciones,2012-04-01,8,13,8,13,21
PUERTO SUAREZ,atencion odontologica,restauraciones,2012-04-01,2,3,2,3,5
PUERTO VILLARROEL,atencion odontologica,restauraciones,2012-04-01,205,183,205,183,388
PUNA,atencion odontologica,restauraciones,2012-04-01,26,47,26,47,73
PUNATA,atencion odontologica,restauraciones,2012-04-01,39,102,39,102,141
QUIABAYA,atencion odontologica,restauraciones,2012-04-01,7,24,7,24,31
QUILLACOLLO,atencion odontologica,restauraciones,2012-04-01,123,197,123,197,320
QUIME,atencion odontologica,restauraciones,2012-04-01,12,39,12,39,51
QUIRUSILLAS,atencion odontologica,restauraciones,2012-04-01,1,2,1,2,3
RAVELO,atencion odontologica,restauraciones,2012-04-01,1,31,1,31,32
REYES,atencion odontologica,restauraciones,2012-04-01,8,12,8,12,20
RIBERALTA,atencion odontologica,restauraciones,2012-04-01,16,48,16,48,64
ROBORE,atencion odontologica,restauraciones,2012-04-01,22,14,22,14,36
RURRENABAQUE,atencion odontologica,restauraciones,2012-04-01,10,31,10,31,41
SABAYA,atencion odontologica,restauraciones,2012-04-01,7,22,7,22,29
SACABA,atencion odontologica,restauraciones,2012-04-01,765,1075,765,1075,1840
SACABAMBA,atencion odontologica,restauraciones,2012-04-01,3,1,3,1,4
SACACA,atencion odontologica,restauraciones,2012-04-01,3,12,3,12,15
SAIPINA,atencion odontologica,restauraciones,2012-04-01,6,13,6,13,19
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2012-04-01,100,127,100,127,227
SAMAIPATA,atencion odontologica,restauraciones,2012-04-01,8,15,8,15,23
SAN AGUSTIN,atencion odontologica,restauraciones,2012-04-01,1,6,1,6,7
SAN ANDRES,atencion odontologica,restauraciones,2012-04-01,5,6,5,6,11
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2012-04-01,56,65,56,65,121
SAN ANTONIO DE ESMORUCO,atencion odontologica,restauraciones,2012-04-01,2,2,2,2,4
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2012-04-01,1,16,1,16,17
SAN BENITO,atencion odontologica,restauraciones,2012-04-01,63,28,63,28,91
SAN BORJA,atencion odontologica,restauraciones,2012-04-01,36,74,36,74,110
SAN BUENA VENTURA,atencion odontologica,restauraciones,2012-04-01,36,24,36,24,60
SAN CARLOS,atencion odontologica,restauraciones,2012-04-01,47,129,47,129,176
SAN IGNACIO,atencion odontologica,restauraciones,2012-04-01,47,89,47,89,136
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2012-04-01,24,45,24,45,69
SAN JAVIER(BNI),atencion odontologica,restauraciones,2012-04-01,0,1,0,1,1
SAN JAVIER(STC),atencion odontologica,restauraciones,2012-04-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2012-04-01,49,30,49,30,79
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2012-04-01,4,1,4,1,5
SAN JULIAN,atencion odontologica,restauraciones,2012-04-01,3,5,3,5,8
SAN LORENZO(TJA),atencion odontologica,restauraciones,2012-04-01,27,42,27,42,69
SAN LUCAS,atencion odontologica,restauraciones,2012-04-01,36,45,36,45,81
SAN MATIAS,atencion odontologica,restauraciones,2012-04-01,14,23,14,23,37
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2012-04-01,17,30,17,30,47
SAN PEDRO,atencion odontologica,restauraciones,2012-04-01,34,77,34,77,111
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2012-04-01,24,20,24,20,44
SAN PEDRO DE CURAHUARA,atencion odontologica,restauraciones,2012-04-01,14,13,14,13,27
SAN PEDRO DE TIQUINA,atencion odontologica,restauraciones,2012-04-01,3,11,3,11,14
SAN RAFAEL,atencion odontologica,restauraciones,2012-04-01,3,32,3,32,35
SAN RAMON BENI,atencion odontologica,restauraciones,2012-04-01,3,7,3,7,10
SAN RAMON SCZ,atencion odontologica,restauraciones,2012-04-01,13,18,13,18,31
SANTA ANA,atencion odontologica,restauraciones,2012-04-01,1,16,1,16,17
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2012-04-01,828,1271,828,1271,2099
SANTA ROSA,atencion odontologica,restauraciones,2012-04-01,2,6,2,6,8
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2012-04-01,15,41,15,41,56
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2012-04-01,1,0,1,0,1
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2012-04-01,93,87,93,87,180
SANTIAGO DE HUATA,atencion odontologica,restauraciones,2012-04-01,9,27,9,27,36
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2012-04-01,17,20,17,20,37
SANTIVAÑES,atencion odontologica,restauraciones,2012-04-01,14,16,14,16,30
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2012-04-01,11,14,11,14,25
SAPAHAQUI,atencion odontologica,restauraciones,2012-04-01,6,5,6,5,11
SHINAOTA,atencion odontologica,restauraciones,2012-04-01,76,88,76,88,164
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2012-04-01,21,41,21,41,62
SICAYA,atencion odontologica,restauraciones,2012-04-01,2,27,2,27,29
SIPE SIPE,atencion odontologica,restauraciones,2012-04-01,113,160,113,160,273
SOPACHUY,atencion odontologica,restauraciones,2012-04-01,35,100,35,100,135
SORACACHI,atencion odontologica,restauraciones,2012-04-01,24,24,24,24,48
SORATA,atencion odontologica,restauraciones,2012-04-01,32,68,32,68,100
SUCRE,atencion odontologica,restauraciones,2012-04-01,1536,2184,1536,2184,3720
TACACOMA,atencion odontologica,restauraciones,2012-04-01,28,28,28,28,56
TACOPAYA,atencion odontologica,restauraciones,2012-04-01,1,11,1,11,12
TAHUA,atencion odontologica,restauraciones,2012-04-01,1,1,1,1,2
TAPACARI,atencion odontologica,restauraciones,2012-04-01,67,104,67,104,171
TARABUCO,atencion odontologica,restauraciones,2012-04-01,17,46,17,46,63
TARACO,atencion odontologica,restauraciones,2012-04-01,27,25,27,25,52
TARATA,atencion odontologica,restauraciones,2012-04-01,28,93,28,93,121
TARIJA,atencion odontologica,restauraciones,2012-04-01,591,851,591,851,1442
TARVITA,atencion odontologica,restauraciones,2012-04-01,29,30,29,30,59
TEOPONTE,atencion odontologica,restauraciones,2012-04-01,28,48,28,48,76
TIAWANACU,atencion odontologica,restauraciones,2012-04-01,18,29,18,29,47
TINGUIPAYA,atencion odontologica,restauraciones,2012-04-01,6,23,6,23,29
TIPUANI,atencion odontologica,restauraciones,2012-04-01,12,12,12,12,24
TIQUIPAYA,atencion odontologica,restauraciones,2012-04-01,313,587,313,587,900
TIRAQUE (CBBA),atencion odontologica,restauraciones,2012-04-01,9,28,9,28,37
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,restauraciones,2012-04-01,14,7,14,7,21
TOCO,atencion odontologica,restauraciones,2012-04-01,19,62,19,62,81
TOLATA,atencion odontologica,restauraciones,2012-04-01,14,27,14,27,41
TOLEDO,atencion odontologica,restauraciones,2012-04-01,12,19,12,19,31
TOMAVE,atencion odontologica,restauraciones,2012-04-01,8,27,8,27,35
TOMINA,atencion odontologica,restauraciones,2012-04-01,34,55,34,55,89
TORO TORO,atencion odontologica,restauraciones,2012-04-01,4,30,4,30,34
TOTORA(CBBA),atencion odontologica,restauraciones,2012-04-01,19,49,19,49,68
TOTORA(ORR),atencion odontologica,restauraciones,2012-04-01,2,5,2,5,7
TRIGAL,atencion odontologica,restauraciones,2012-04-01,20,25,20,25,45
TRINIDAD,atencion odontologica,restauraciones,2012-04-01,56,110,56,110,166
TUPIZA,atencion odontologica,restauraciones,2012-04-01,50,56,50,56,106
TURCO,atencion odontologica,restauraciones,2012-04-01,10,30,10,30,40
UMALA,atencion odontologica,restauraciones,2012-04-01,3,3,3,3,6
UNCIA,atencion odontologica,restauraciones,2012-04-01,32,42,32,42,74
URIONDO (A. CONCEPCION),atencion odontologica,restauraciones,2012-04-01,47,131,47,131,178
