,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2012-03-01,19,25,19,25,44
SAN ANTONIO DE ESMORUCO,atencion odontologica,cirugia bucal menor,2012-03-01,2,5,2,5,7
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucal menor,2012-03-01,9,21,9,21,30
SAN BENITO,atencion odontologica,cirugia bucal menor,2012-03-01,15,14,15,14,29
SAN BORJA,atencion odontologica,cirugia bucal menor,2012-03-01,6,27,6,27,33
SAN BUENA VENTURA,atencion odontologica,cirugia bucal menor,2012-03-01,2,1,2,1,3
SAN CARLOS,atencion odontologica,cirugia bucal menor,2012-03-01,67,112,67,112,179
SAN IGNACIO,atencion odontologica,cirugia bucal menor,2012-03-01,38,39,38,39,77
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucal menor,2012-03-01,49,63,49,63,112
SAN JAVIER(BNI),atencion odontologica,cirugia bucal menor,2012-03-01,9,14,9,14,23
SAN JAVIER(STC),atencion odontologica,cirugia bucal menor,2012-03-01,8,7,8,7,15
SAN JOAQUIN,atencion odontologica,cirugia bucal menor,2012-03-01,4,8,4,8,12
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucal menor,2012-03-01,33,63,33,63,96
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucal menor,2012-03-01,7,11,7,11,18
SAN JULIAN,atencion odontologica,cirugia bucal menor,2012-03-01,2,8,2,8,10
SAN LORENZO(PND),atencion odontologica,cirugia bucal menor,2012-03-01,11,13,11,13,24
SAN LORENZO(TJA),atencion odontologica,cirugia bucal menor,2012-03-01,39,81,39,81,120
SAN LUCAS,atencion odontologica,cirugia bucal menor,2012-03-01,31,77,31,77,108
SAN MATIAS,atencion odontologica,cirugia bucal menor,2012-03-01,18,21,18,21,39
SAN MIGUEL DE VELASCO,atencion odontologica,cirugia bucal menor,2012-03-01,14,35,14,35,49
SAN PEDRO,atencion odontologica,cirugia bucal menor,2012-03-01,29,36,29,36,65
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucal menor,2012-03-01,22,66,22,66,88
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucal menor,2012-03-01,17,23,17,23,40
SAN PEDRO DE TIQUINA,atencion odontologica,cirugia bucal menor,2012-03-01,33,43,33,43,76
SAN RAFAEL,atencion odontologica,cirugia bucal menor,2012-03-01,4,11,4,11,15
SAN RAMON BENI,atencion odontologica,cirugia bucal menor,2012-03-01,9,20,9,20,29
SAN RAMON SCZ,atencion odontologica,cirugia bucal menor,2012-03-01,3,4,3,4,7
SANTA ANA,atencion odontologica,cirugia bucal menor,2012-03-01,36,15,36,15,51
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucal menor,2012-03-01,485,544,485,544,1029
SANTA ROSA,atencion odontologica,cirugia bucal menor,2012-03-01,5,21,5,21,26
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucal menor,2012-03-01,19,35,19,35,54
SANTIAGO DE CALLAPA,atencion odontologica,cirugia bucal menor,2012-03-01,3,2,3,2,5
SANTIAGO DE HUARI,atencion odontologica,cirugia bucal menor,2012-03-01,29,30,29,30,59
SANTIAGO DE HUATA,atencion odontologica,cirugia bucal menor,2012-03-01,18,12,18,12,30
SANTIAGO DE MACHACA,atencion odontologica,cirugia bucal menor,2012-03-01,0,31,0,31,31
SANTIVAÑES,atencion odontologica,cirugia bucal menor,2012-03-01,8,17,8,17,25
SANTUARIO DE QUILLACAS,atencion odontologica,cirugia bucal menor,2012-03-01,6,15,6,15,21
SAPAHAQUI,atencion odontologica,cirugia bucal menor,2012-03-01,22,15,22,15,37
SENA,atencion odontologica,cirugia bucal menor,2012-03-01,9,17,9,17,26
SHINAOTA,atencion odontologica,cirugia bucal menor,2012-03-01,61,90,61,90,151
SICA SICA (VILLA AROMA),atencion odontologica,cirugia bucal menor,2012-03-01,32,59,32,59,91
SICAYA,atencion odontologica,cirugia bucal menor,2012-03-01,0,4,0,4,4
SIPE SIPE,atencion odontologica,cirugia bucal menor,2012-03-01,26,58,26,58,84
SOPACHUY,atencion odontologica,cirugia bucal menor,2012-03-01,19,58,19,58,77
SORACACHI,atencion odontologica,cirugia bucal menor,2012-03-01,22,25,22,25,47
SORATA,atencion odontologica,cirugia bucal menor,2012-03-01,10,16,10,16,26
SUCRE,atencion odontologica,cirugia bucal menor,2012-03-01,462,732,462,732,1194
TACACOMA,atencion odontologica,cirugia bucal menor,2012-03-01,32,48,32,48,80
TACOPAYA,atencion odontologica,cirugia bucal menor,2012-03-01,6,34,6,34,40
TAPACARI,atencion odontologica,cirugia bucal menor,2012-03-01,25,60,25,60,85
TARABUCO,atencion odontologica,cirugia bucal menor,2012-03-01,32,110,32,110,142
TARACO,atencion odontologica,cirugia bucal menor,2012-03-01,20,17,20,17,37
TARATA,atencion odontologica,cirugia bucal menor,2012-03-01,8,28,8,28,36
TARIJA,atencion odontologica,cirugia bucal menor,2012-03-01,296,540,296,540,836
TARVITA,atencion odontologica,cirugia bucal menor,2012-03-01,25,78,25,78,103
TEOPONTE,atencion odontologica,cirugia bucal menor,2012-03-01,8,10,8,10,18
TIAWANACU,atencion odontologica,cirugia bucal menor,2012-03-01,32,48,32,48,80
TINGUIPAYA,atencion odontologica,cirugia bucal menor,2012-03-01,20,51,20,51,71
TIPUANI,atencion odontologica,cirugia bucal menor,2012-03-01,24,35,24,35,59
TIQUIPAYA,atencion odontologica,cirugia bucal menor,2012-03-01,104,152,104,152,256
TIRAQUE (CBBA),atencion odontologica,cirugia bucal menor,2012-03-01,12,22,12,22,34
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,cirugia bucal menor,2012-03-01,25,30,25,30,55
TOCO,atencion odontologica,cirugia bucal menor,2012-03-01,1,19,1,19,20
TOLATA,atencion odontologica,cirugia bucal menor,2012-03-01,16,15,16,15,31
TOLEDO,atencion odontologica,cirugia bucal menor,2012-03-01,21,29,21,29,50
TOMAVE,atencion odontologica,cirugia bucal menor,2012-03-01,48,72,48,72,120
TOMINA,atencion odontologica,cirugia bucal menor,2012-03-01,11,20,11,20,31
TORO TORO,atencion odontologica,cirugia bucal menor,2012-03-01,11,16,11,16,27
TOTORA(CBBA),atencion odontologica,cirugia bucal menor,2012-03-01,27,61,27,61,88
TOTORA(ORR),atencion odontologica,cirugia bucal menor,2012-03-01,1,9,1,9,10
TRIGAL,atencion odontologica,cirugia bucal menor,2012-03-01,2,2,2,2,4
TRINIDAD,atencion odontologica,cirugia bucal menor,2012-03-01,121,160,121,160,281
TUPIZA,atencion odontologica,cirugia bucal menor,2012-03-01,32,39,32,39,71
TURCO,atencion odontologica,cirugia bucal menor,2012-03-01,16,25,16,25,41
UMALA,atencion odontologica,cirugia bucal menor,2012-03-01,1,2,1,2,3
UNCIA,atencion odontologica,cirugia bucal menor,2012-03-01,7,23,7,23,30
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucal menor,2012-03-01,63,100,63,100,163
URUBICHA,atencion odontologica,cirugia bucal menor,2012-03-01,6,7,6,7,13
UYUNI,atencion odontologica,cirugia bucal menor,2012-03-01,27,50,27,50,77
VACAS,atencion odontologica,cirugia bucal menor,2012-03-01,17,25,17,25,42
VALLEGRANDE,atencion odontologica,cirugia bucal menor,2012-03-01,29,52,29,52,81
VIACHA,atencion odontologica,cirugia bucal menor,2012-03-01,34,119,34,119,153
VILLA CHARCAS,atencion odontologica,cirugia bucal menor,2012-03-01,7,21,7,21,28
VILLA MONTES,atencion odontologica,cirugia bucal menor,2012-03-01,141,309,141,309,450
VILLA RIVERO,atencion odontologica,cirugia bucal menor,2012-03-01,8,6,8,6,14
VILLA SERRANO,atencion odontologica,cirugia bucal menor,2012-03-01,44,40,44,40,84
VILLA TUNARI,atencion odontologica,cirugia bucal menor,2012-03-01,62,124,62,124,186
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,cirugia bucal menor,2012-03-01,22,72,22,72,94
VILLAZON,atencion odontologica,cirugia bucal menor,2012-03-01,88,130,88,130,218
VINTO,atencion odontologica,cirugia bucal menor,2012-03-01,23,29,23,29,52
VITICHI,atencion odontologica,cirugia bucal menor,2012-03-01,15,40,15,40,55
WALDO BALLIVIAN,atencion odontologica,cirugia bucal menor,2012-03-01,9,19,9,19,28
WARNES,atencion odontologica,cirugia bucal menor,2012-03-01,27,49,27,49,76
YACO,atencion odontologica,cirugia bucal menor,2012-03-01,46,26,46,26,72
YACUIBA,atencion odontologica,cirugia bucal menor,2012-03-01,82,136,82,136,218
YAMPARAEZ,atencion odontologica,cirugia bucal menor,2012-03-01,14,24,14,24,38
YANACACHI,atencion odontologica,cirugia bucal menor,2012-03-01,29,20,29,20,49
YAPACANI,atencion odontologica,cirugia bucal menor,2012-03-01,24,53,24,53,77
YOCALLA,atencion odontologica,cirugia bucal menor,2012-03-01,13,10,13,10,23
YUNCHARA,atencion odontologica,cirugia bucal menor,2012-03-01,25,73,25,73,98
ZUDAÑEZ,atencion odontologica,cirugia bucal menor,2012-03-01,15,40,15,40,55
ACACIO,atencion odontologica,cirugia bucal menor,2012-04-01,15,19,15,19,34
ACHACACHI,atencion odontologica,cirugia bucal menor,2012-04-01,110,120,110,120,230
ACHOCALLA,atencion odontologica,cirugia bucal menor,2012-04-01,21,24,21,24,45
AIQUILE,atencion odontologica,cirugia bucal menor,2012-04-01,1,1,1,1,2
ALCALA,atencion odontologica,cirugia bucal menor,2012-04-01,15,25,15,25,40
ALTO BENI,atencion odontologica,cirugia bucal menor,2012-04-01,13,31,13,31,44
ANCORAIMES,atencion odontologica,cirugia bucal menor,2012-04-01,19,28,19,28,47
ANDAMARCA,atencion odontologica,cirugia bucal menor,2012-04-01,16,17,16,17,33
ANTEQUERA,atencion odontologica,cirugia bucal menor,2012-04-01,10,15,10,15,25
ANZALDO,atencion odontologica,cirugia bucal menor,2012-04-01,4,21,4,21,25
APOLO,atencion odontologica,cirugia bucal menor,2012-04-01,13,36,13,36,49
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2012-04-01,0,13,0,13,13
ARANI,atencion odontologica,cirugia bucal menor,2012-04-01,12,20,12,20,32
ARBIETO,atencion odontologica,cirugia bucal menor,2012-04-01,3,14,3,14,17
ARQUE,atencion odontologica,cirugia bucal menor,2012-04-01,3,19,3,19,22
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2012-04-01,2,4,2,4,6
ATOCHA,atencion odontologica,cirugia bucal menor,2012-04-01,67,71,67,71,138
AUCAPATA,atencion odontologica,cirugia bucal menor,2012-04-01,5,10,5,10,15
AYATA,atencion odontologica,cirugia bucal menor,2012-04-01,23,33,23,33,56
AYO AYO,atencion odontologica,cirugia bucal menor,2012-04-01,18,11,18,11,29
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2012-04-01,40,63,40,63,103
AZURDUY,atencion odontologica,cirugia bucal menor,2012-04-01,9,29,9,29,38
BATALLAS,atencion odontologica,cirugia bucal menor,2012-04-01,14,30,14,30,44
BAURES,atencion odontologica,cirugia bucal menor,2012-04-01,4,8,4,8,12
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2012-04-01,5,10,5,10,15
BELLA FLOR,atencion odontologica,cirugia bucal menor,2012-04-01,1,7,1,7,8
BERMEJO,atencion odontologica,cirugia bucal menor,2012-04-01,53,74,53,74,127
BETANZOS,atencion odontologica,cirugia bucal menor,2012-04-01,12,64,12,64,76
BOLIVAR,atencion odontologica,cirugia bucal menor,2012-04-01,9,12,9,12,21
BOLPEBRA,atencion odontologica,cirugia bucal menor,2012-04-01,2,4,2,4,6
BOYUIBE,atencion odontologica,cirugia bucal menor,2012-04-01,8,12,8,12,20
BUENA VISTA,atencion odontologica,cirugia bucal menor,2012-04-01,7,3,7,3,10
CABEZAS,atencion odontologica,cirugia bucal menor,2012-04-01,22,35,22,35,57
CAIROMA,atencion odontologica,cirugia bucal menor,2012-04-01,16,57,16,57,73
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2012-04-01,12,31,12,31,43
CAJUATA,atencion odontologica,cirugia bucal menor,2012-04-01,28,50,28,50,78
CALACOTO,atencion odontologica,cirugia bucal menor,2012-04-01,33,16,33,16,49
CALAMARCA,atencion odontologica,cirugia bucal menor,2012-04-01,35,60,35,60,95
CAMARGO,atencion odontologica,cirugia bucal menor,2012-04-01,34,50,34,50,84
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2012-04-01,1,9,1,9,10
CAMIRI,atencion odontologica,cirugia bucal menor,2012-04-01,33,29,33,29,62
CAPINOTA,atencion odontologica,cirugia bucal menor,2012-04-01,6,9,6,9,15
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2012-04-01,28,49,28,49,77
CARACOLLO,atencion odontologica,cirugia bucal menor,2012-04-01,25,39,25,39,64
CARANAVI,atencion odontologica,cirugia bucal menor,2012-04-01,58,62,58,62,120
CARAPARI,atencion odontologica,cirugia bucal menor,2012-04-01,50,96,50,96,146
CARIPUYO,atencion odontologica,cirugia bucal menor,2012-04-01,6,11,6,11,17
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2012-04-01,8,13,8,13,21
CATACORA,atencion odontologica,cirugia bucal menor,2012-04-01,16,24,16,24,40
CHALLAPATA,atencion odontologica,cirugia bucal menor,2012-04-01,32,37,32,37,69
CHAQUI,atencion odontologica,cirugia bucal menor,2012-04-01,9,18,9,18,27
CHARAGUA,atencion odontologica,cirugia bucal menor,2012-04-01,53,103,53,103,156
CHARAÑA,atencion odontologica,cirugia bucal menor,2012-04-01,12,24,12,24,36
CHAYANTA,atencion odontologica,cirugia bucal menor,2012-04-01,1,3,1,3,4
CHIMORE,atencion odontologica,cirugia bucal menor,2012-04-01,22,33,22,33,55
CHIPAYA,atencion odontologica,cirugia bucal menor,2012-04-01,28,30,28,30,58
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2012-04-01,7,7,7,7,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2012-04-01,32,33,32,33,65
CHUMA,atencion odontologica,cirugia bucal menor,2012-04-01,70,115,70,115,185
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2012-04-01,11,12,11,12,23
CKOCHAS,atencion odontologica,cirugia bucal menor,2012-04-01,0,11,0,11,11
CLIZA,atencion odontologica,cirugia bucal menor,2012-04-01,11,23,11,23,34
COBIJA,atencion odontologica,cirugia bucal menor,2012-04-01,2,7,2,7,9
COCAPATA,atencion odontologica,cirugia bucal menor,2012-04-01,21,68,21,68,89
COCHABAMBA,atencion odontologica,cirugia bucal menor,2012-04-01,140,218,140,218,358
COIPASA,atencion odontologica,cirugia bucal menor,2012-04-01,8,3,8,3,11
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2012-04-01,49,34,49,34,83
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2012-04-01,12,6,12,6,18
COLLANA,atencion odontologica,cirugia bucal menor,2012-04-01,3,2,3,2,5
COLOMI,atencion odontologica,cirugia bucal menor,2012-04-01,18,31,18,31,49
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2012-04-01,10,6,10,6,16
COLQUECHACA,atencion odontologica,cirugia bucal menor,2012-04-01,41,57,41,57,98
COLQUENCHA,atencion odontologica,cirugia bucal menor,2012-04-01,21,21,21,21,42
COLQUIRI,atencion odontologica,cirugia bucal menor,2012-04-01,47,59,47,59,106
COMANCHE,atencion odontologica,cirugia bucal menor,2012-04-01,20,39,20,39,59
COMARAPA,atencion odontologica,cirugia bucal menor,2012-04-01,28,31,28,31,59
CORIPATA,atencion odontologica,cirugia bucal menor,2012-04-01,20,17,20,17,37
CORO CORO,atencion odontologica,cirugia bucal menor,2012-04-01,21,29,21,29,50
COROICO,atencion odontologica,cirugia bucal menor,2012-04-01,42,86,42,86,128
CORQUE,atencion odontologica,cirugia bucal menor,2012-04-01,3,6,3,6,9
COTAGAITA,atencion odontologica,cirugia bucal menor,2012-04-01,45,79,45,79,124
COTOCA,atencion odontologica,cirugia bucal menor,2012-04-01,3,1,3,1,4
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2012-04-01,15,54,15,54,69
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2012-04-01,3,2,3,2,5
CUEVO,atencion odontologica,cirugia bucal menor,2012-04-01,2,5,2,5,7
CULPINA,atencion odontologica,cirugia bucal menor,2012-04-01,34,55,34,55,89
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2012-04-01,7,20,7,20,27
CURVA,atencion odontologica,cirugia bucal menor,2012-04-01,6,3,6,3,9
DESAGUADERO,atencion odontologica,cirugia bucal menor,2012-04-01,33,20,33,20,53
EL ALTO,atencion odontologica,cirugia bucal menor,2012-04-01,506,682,506,682,1188
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2012-04-01,3,17,3,17,20
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2012-04-01,20,43,20,43,63
EL TORNO,atencion odontologica,cirugia bucal menor,2012-04-01,22,45,22,45,67
EL VILLAR,atencion odontologica,cirugia bucal menor,2012-04-01,2,1,2,1,3
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2012-04-01,27,66,27,66,93
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2012-04-01,15,26,15,26,41
ESCOMA,atencion odontologica,cirugia bucal menor,2012-04-01,36,37,36,37,73
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2012-04-01,3,14,3,14,17
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2012-04-01,20,29,20,29,49
FILADELFIA,atencion odontologica,cirugia bucal menor,2012-04-01,5,10,5,10,15
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2012-04-01,18,28,18,28,46
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2012-04-01,31,66,31,66,97
GUANAY,atencion odontologica,cirugia bucal menor,2012-04-01,17,37,17,37,54
GUAQUI,atencion odontologica,cirugia bucal menor,2012-04-01,28,35,28,35,63
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2012-04-01,2,3,2,3,5
GUTIERREZ,atencion odontologica,cirugia bucal menor,2012-04-01,31,79,31,79,110
HUACARETA,atencion odontologica,cirugia bucal menor,2012-04-01,10,28,10,28,38
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2012-04-01,9,13,9,13,22
HUACHACALLA,atencion odontologica,cirugia bucal menor,2012-04-01,5,2,5,2,7
HUANUNI,atencion odontologica,cirugia bucal menor,2012-04-01,20,38,20,38,58
HUARACAJE,atencion odontologica,cirugia bucal menor,2012-04-01,5,4,5,4,9
HUARINA,atencion odontologica,cirugia bucal menor,2012-04-01,11,12,11,12,23
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2012-04-01,12,16,12,16,28
HUMANATA,atencion odontologica,cirugia bucal menor,2012-04-01,13,15,13,15,28
ICHOCA,atencion odontologica,cirugia bucal menor,2012-04-01,1,10,1,10,11
ICLA,atencion odontologica,cirugia bucal menor,2012-04-01,15,46,15,46,61
INCAHUASI,atencion odontologica,cirugia bucal menor,2012-04-01,9,15,9,15,24
INQUISIVI,atencion odontologica,cirugia bucal menor,2012-04-01,60,80,60,80,140
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2012-04-01,21,22,21,22,43
IXIAMAS,atencion odontologica,cirugia bucal menor,2012-04-01,22,30,22,30,52
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2012-04-01,50,66,50,66,116
LA ASUNTA,atencion odontologica,cirugia bucal menor,2012-04-01,21,54,21,54,75
LA GUARDIA,atencion odontologica,cirugia bucal menor,2012-04-01,31,33,31,33,64
LA PAZ,atencion odontologica,cirugia bucal menor,2012-04-01,455,619,455,619,1074
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2012-04-01,4,11,4,11,15
LAJA,atencion odontologica,cirugia bucal menor,2012-04-01,32,64,32,64,96
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2012-04-01,5,8,5,8,13
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2012-04-01,8,7,8,7,15
LLALLAGUA,atencion odontologica,cirugia bucal menor,2012-04-01,25,55,25,55,80
LLICA,atencion odontologica,cirugia bucal menor,2012-04-01,13,24,13,24,37
LURIBAY,atencion odontologica,cirugia bucal menor,2012-04-01,18,30,18,30,48
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2012-04-01,4,13,4,13,17
MACHARETI,atencion odontologica,cirugia bucal menor,2012-04-01,8,16,8,16,24
MAGDALENA,atencion odontologica,cirugia bucal menor,2012-04-01,16,12,16,12,28
MAIRANA,atencion odontologica,cirugia bucal menor,2012-04-01,5,4,5,4,9
MALLA,atencion odontologica,cirugia bucal menor,2012-04-01,6,14,6,14,20
MAPIRI,atencion odontologica,cirugia bucal menor,2012-04-01,32,49,32,49,81
MECAPACA,atencion odontologica,cirugia bucal menor,2012-04-01,13,21,13,21,34
MINEROS,atencion odontologica,cirugia bucal menor,2012-04-01,21,10,21,10,31
MIZQUE,atencion odontologica,cirugia bucal menor,2012-04-01,10,25,10,25,35
MOCOMOCO,atencion odontologica,cirugia bucal menor,2012-04-01,47,87,47,87,134
MOJOCOYA,atencion odontologica,cirugia bucal menor,2012-04-01,25,50,25,50,75
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2012-04-01,45,69,45,69,114
MONTERO,atencion odontologica,cirugia bucal menor,2012-04-01,95,89,95,89,184
MORO MORO,atencion odontologica,cirugia bucal menor,2012-04-01,2,3,2,3,5
MOROCHATA,atencion odontologica,cirugia bucal menor,2012-04-01,9,10,9,10,19
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,cirugia bucal menor,2012-04-01,6,18,6,18,24
OCURI,atencion odontologica,cirugia bucal menor,2012-04-01,22,32,22,32,54
OKINAWA,atencion odontologica,cirugia bucal menor,2012-04-01,2,3,2,3,5
OMEREQUE,atencion odontologica,cirugia bucal menor,2012-04-01,6,8,6,8,14
ORURO,atencion odontologica,cirugia bucal menor,2012-04-01,158,233,158,233,391
PADCAYA,atencion odontologica,cirugia bucal menor,2012-04-01,32,70,32,70,102
PADILLA,atencion odontologica,cirugia bucal menor,2012-04-01,25,29,25,29,54
PAILON,atencion odontologica,cirugia bucal menor,2012-04-01,8,14,8,14,22
PALCA,atencion odontologica,cirugia bucal menor,2012-04-01,30,36,30,36,66
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2012-04-01,28,37,28,37,65
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2012-04-01,4,9,4,9,13
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2012-04-01,0,14,0,14,14
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2012-04-01,15,13,15,13,28
PASORAPA,atencion odontologica,cirugia bucal menor,2012-04-01,10,18,10,18,28
PATACAMAYA,atencion odontologica,cirugia bucal menor,2012-04-01,26,46,26,46,72
PAZÑA,atencion odontologica,cirugia bucal menor,2012-04-01,6,8,6,8,14
PELECHUCO,atencion odontologica,cirugia bucal menor,2012-04-01,10,27,10,27,37
POCOATA,atencion odontologica,cirugia bucal menor,2012-04-01,13,54,13,54,67
POCONA,atencion odontologica,cirugia bucal menor,2012-04-01,58,100,58,100,158
POJO (CBBA),atencion odontologica,cirugia bucal menor,2012-04-01,31,34,31,34,65
POOPO,atencion odontologica,cirugia bucal menor,2012-04-01,32,38,32,38,70
PORCO,atencion odontologica,cirugia bucal menor,2012-04-01,4,12,4,12,16
POROMA,atencion odontologica,cirugia bucal menor,2012-04-01,23,28,23,28,51
PORONGO,atencion odontologica,cirugia bucal menor,2012-04-01,3,9,3,9,12
PORTACHUELO,atencion odontologica,cirugia bucal menor,2012-04-01,6,14,6,14,20
PORVENIR,atencion odontologica,cirugia bucal menor,2012-04-01,19,21,19,21,40
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2012-04-01,1,4,1,4,5
POTOSI,atencion odontologica,cirugia bucal menor,2012-04-01,406,724,406,724,1130
PRESTO,atencion odontologica,cirugia bucal menor,2012-04-01,17,7,17,7,24
PUCARA,atencion odontologica,cirugia bucal menor,2012-04-01,0,1,0,1,1
PUCARANI,atencion odontologica,cirugia bucal menor,2012-04-01,96,143,96,143,239
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2012-04-01,20,29,20,29,49
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2012-04-01,30,45,30,45,75
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2012-04-01,8,2,8,2,10
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2012-04-01,9,5,9,5,14
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2012-04-01,33,7,33,7,40
PUERTO RICO,atencion odontologica,cirugia bucal menor,2012-04-01,22,32,22,32,54
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2012-04-01,7,1,7,1,8
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2012-04-01,40,63,40,63,103
PUNA,atencion odontologica,cirugia bucal menor,2012-04-01,27,29,27,29,56
PUNATA,atencion odontologica,cirugia bucal menor,2012-04-01,14,22,14,22,36
QUIABAYA,atencion odontologica,cirugia bucal menor,2012-04-01,17,33,17,33,50
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2012-04-01,13,27,13,27,40
QUIME,atencion odontologica,cirugia bucal menor,2012-04-01,72,70,72,70,142
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2012-04-01,6,1,6,1,7
RAVELO,atencion odontologica,cirugia bucal menor,2012-04-01,38,57,38,57,95
REYES,atencion odontologica,cirugia bucal menor,2012-04-01,6,5,6,5,11
RIBERALTA,atencion odontologica,cirugia bucal menor,2012-04-01,26,32,26,32,58
ROBORE,atencion odontologica,cirugia bucal menor,2012-04-01,14,13,14,13,27
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2012-04-01,13,22,13,22,35
SABAYA,atencion odontologica,cirugia bucal menor,2012-04-01,10,27,10,27,37
SACABA,atencion odontologica,cirugia bucal menor,2012-04-01,220,261,220,261,481
SACABAMBA,atencion odontologica,cirugia bucal menor,2012-04-01,0,5,0,5,5
SACACA,atencion odontologica,cirugia bucal menor,2012-04-01,9,19,9,19,28
SAIPINA,atencion odontologica,cirugia bucal menor,2012-04-01,8,5,8,5,13
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucal menor,2012-04-01,19,33,19,33,52
SAMAIPATA,atencion odontologica,cirugia bucal menor,2012-04-01,12,9,12,9,21
SAN AGUSTIN,atencion odontologica,cirugia bucal menor,2012-04-01,5,8,5,8,13
SAN ANDRES,atencion odontologica,cirugia bucal menor,2012-04-01,9,11,9,11,20
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2012-04-01,40,72,40,72,112
SAN ANTONIO DE ESMORUCO,atencion odontologica,cirugia bucal menor,2012-04-01,2,2,2,2,4
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucal menor,2012-04-01,5,17,5,17,22
SAN BENITO,atencion odontologica,cirugia bucal menor,2012-04-01,10,3,10,3,13
SAN BORJA,atencion odontologica,cirugia bucal menor,2012-04-01,9,15,9,15,24
SAN BUENA VENTURA,atencion odontologica,cirugia bucal menor,2012-04-01,4,3,4,3,7
SAN CARLOS,atencion odontologica,cirugia bucal menor,2012-04-01,12,19,12,19,31
SAN IGNACIO,atencion odontologica,cirugia bucal menor,2012-04-01,74,86,74,86,160
