,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
TARVITA,atencion odontologica,otras acciones,2012-03-01,18,29,18,29,47
TIAWANACU,atencion odontologica,otras acciones,2012-03-01,13,12,13,12,25
TINGUIPAYA,atencion odontologica,otras acciones,2012-03-01,22,45,22,45,67
TIPUANI,atencion odontologica,otras acciones,2012-03-01,0,1,0,1,1
TIQUIPAYA,atencion odontologica,otras acciones,2012-03-01,98,262,98,262,360
TIRAQUE (CBBA),atencion odontologica,otras acciones,2012-03-01,59,136,59,136,195
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2012-03-01,1,0,1,0,1
TOCO,atencion odontologica,otras acciones,2012-03-01,11,10,11,10,21
TOLATA,atencion odontologica,otras acciones,2012-03-01,27,33,27,33,60
TOLEDO,atencion odontologica,otras acciones,2012-03-01,5,4,5,4,9
TOMAVE,atencion odontologica,otras acciones,2012-03-01,28,41,28,41,69
TOMINA,atencion odontologica,otras acciones,2012-03-01,157,192,157,192,349
TORO TORO,atencion odontologica,otras acciones,2012-03-01,23,41,23,41,64
TOTORA(CBBA),atencion odontologica,otras acciones,2012-03-01,27,40,27,40,67
TOTORA(ORR),atencion odontologica,otras acciones,2012-03-01,3,10,3,10,13
TRIGAL,atencion odontologica,otras acciones,2012-03-01,2,0,2,0,2
TRINIDAD,atencion odontologica,otras acciones,2012-03-01,30,31,30,31,61
TUPIZA,atencion odontologica,otras acciones,2012-03-01,42,99,42,99,141
TURCO,atencion odontologica,otras acciones,2012-03-01,12,23,12,23,35
UMALA,atencion odontologica,otras acciones,2012-03-01,1,2,1,2,3
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2012-03-01,40,85,40,85,125
URUBICHA,atencion odontologica,otras acciones,2012-03-01,1,1,1,1,2
UYUNI,atencion odontologica,otras acciones,2012-03-01,11,13,11,13,24
VACAS,atencion odontologica,otras acciones,2012-03-01,22,31,22,31,53
VALLEGRANDE,atencion odontologica,otras acciones,2012-03-01,10,13,10,13,23
VIACHA,atencion odontologica,otras acciones,2012-03-01,321,245,321,245,566
VILA VILA,atencion odontologica,otras acciones,2012-03-01,2,1,2,1,3
VILLA CHARCAS,atencion odontologica,otras acciones,2012-03-01,1,6,1,6,7
VILLA MONTES,atencion odontologica,otras acciones,2012-03-01,116,207,116,207,323
VILLA RIVERO,atencion odontologica,otras acciones,2012-03-01,2,10,2,10,12
VILLA SERRANO,atencion odontologica,otras acciones,2012-03-01,29,35,29,35,64
VILLA TUNARI,atencion odontologica,otras acciones,2012-03-01,47,61,47,61,108
VILLAZON,atencion odontologica,otras acciones,2012-03-01,54,129,54,129,183
VINTO,atencion odontologica,otras acciones,2012-03-01,54,253,54,253,307
VITICHI,atencion odontologica,otras acciones,2012-03-01,29,74,29,74,103
WARNES,atencion odontologica,otras acciones,2012-03-01,43,54,43,54,97
YACO,atencion odontologica,otras acciones,2012-03-01,2,4,2,4,6
YACUIBA,atencion odontologica,otras acciones,2012-03-01,44,46,44,46,90
YAMPARAEZ,atencion odontologica,otras acciones,2012-03-01,33,40,33,40,73
YANACACHI,atencion odontologica,otras acciones,2012-03-01,16,18,16,18,34
YAPACANI,atencion odontologica,otras acciones,2012-03-01,5,30,5,30,35
YOCALLA,atencion odontologica,otras acciones,2012-03-01,15,37,15,37,52
YOTALA,atencion odontologica,otras acciones,2012-03-01,19,48,19,48,67
YUNCHARA,atencion odontologica,otras acciones,2012-03-01,7,26,7,26,33
ZUDAÑEZ,atencion odontologica,otras acciones,2012-03-01,4,8,4,8,12
ACHACACHI,atencion odontologica,otras acciones,2012-04-01,64,79,64,79,143
ACHOCALLA,atencion odontologica,otras acciones,2012-04-01,10,17,10,17,27
ALCALA,atencion odontologica,otras acciones,2012-04-01,18,23,18,23,41
ALTO BENI,atencion odontologica,otras acciones,2012-04-01,11,9,11,9,20
ANCORAIMES,atencion odontologica,otras acciones,2012-04-01,4,7,4,7,11
ANDAMARCA,atencion odontologica,otras acciones,2012-04-01,16,22,16,22,38
ANTEQUERA,atencion odontologica,otras acciones,2012-04-01,53,38,53,38,91
ANZALDO,atencion odontologica,otras acciones,2012-04-01,4,5,4,5,9
APOLO,atencion odontologica,otras acciones,2012-04-01,6,7,6,7,13
ARAMPAMPA,atencion odontologica,otras acciones,2012-04-01,3,8,3,8,11
ARANI,atencion odontologica,otras acciones,2012-04-01,14,28,14,28,42
ARBIETO,atencion odontologica,otras acciones,2012-04-01,1,0,1,0,1
ARQUE,atencion odontologica,otras acciones,2012-04-01,20,15,20,15,35
ASCENCION DE GUARAYOS,atencion odontologica,otras acciones,2012-04-01,0,1,0,1,1
ATOCHA,atencion odontologica,otras acciones,2012-04-01,90,132,90,132,222
AYATA,atencion odontologica,otras acciones,2012-04-01,5,10,5,10,15
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2012-04-01,42,26,42,26,68
AZURDUY,atencion odontologica,otras acciones,2012-04-01,23,41,23,41,64
BATALLAS,atencion odontologica,otras acciones,2012-04-01,0,3,0,3,3
BAURES,atencion odontologica,otras acciones,2012-04-01,1,1,1,1,2
BELEN DE URMIRI,atencion odontologica,otras acciones,2012-04-01,5,5,5,5,10
BELLA FLOR,atencion odontologica,otras acciones,2012-04-01,1,0,1,0,1
BERMEJO,atencion odontologica,otras acciones,2012-04-01,22,43,22,43,65
BETANZOS,atencion odontologica,otras acciones,2012-04-01,13,22,13,22,35
BOLIVAR,atencion odontologica,otras acciones,2012-04-01,8,13,8,13,21
BUENA VISTA,atencion odontologica,otras acciones,2012-04-01,6,5,6,5,11
CABEZAS,atencion odontologica,otras acciones,2012-04-01,24,84,24,84,108
"CAIZA ""D""",atencion odontologica,otras acciones,2012-04-01,28,53,28,53,81
CAJUATA,atencion odontologica,otras acciones,2012-04-01,4,1,4,1,5
CALACOTO,atencion odontologica,otras acciones,2012-04-01,3,4,3,4,7
CALAMARCA,atencion odontologica,otras acciones,2012-04-01,31,59,31,59,90
CAMARGO,atencion odontologica,otras acciones,2012-04-01,91,140,91,140,231
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2012-04-01,37,56,37,56,93
CAMIRI,atencion odontologica,otras acciones,2012-04-01,45,85,45,85,130
CAPINOTA,atencion odontologica,otras acciones,2012-04-01,19,29,19,29,48
CAQUIAVIRI,atencion odontologica,otras acciones,2012-04-01,7,18,7,18,25
CARACOLLO,atencion odontologica,otras acciones,2012-04-01,51,97,51,97,148
CARANAVI,atencion odontologica,otras acciones,2012-04-01,192,128,192,128,320
CARAPARI,atencion odontologica,otras acciones,2012-04-01,27,29,27,29,56
CARIPUYO,atencion odontologica,otras acciones,2012-04-01,9,23,9,23,32
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2012-04-01,10,20,10,20,30
CATACORA,atencion odontologica,otras acciones,2012-04-01,2,0,2,0,2
CHALLAPATA,atencion odontologica,otras acciones,2012-04-01,15,32,15,32,47
CHAQUI,atencion odontologica,otras acciones,2012-04-01,9,13,9,13,22
CHARAGUA,atencion odontologica,otras acciones,2012-04-01,0,4,0,4,4
CHARAÑA,atencion odontologica,otras acciones,2012-04-01,1,6,1,6,7
CHIMORE,atencion odontologica,otras acciones,2012-04-01,19,22,19,22,41
CHIPAYA,atencion odontologica,otras acciones,2012-04-01,4,5,4,5,9
CHOQUE COTA,atencion odontologica,otras acciones,2012-04-01,5,5,5,5,10
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2012-04-01,11,13,11,13,24
CHUMA,atencion odontologica,otras acciones,2012-04-01,37,65,37,65,102
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2012-04-01,9,4,9,4,13
CKOCHAS,atencion odontologica,otras acciones,2012-04-01,16,20,16,20,36
CLIZA,atencion odontologica,otras acciones,2012-04-01,27,66,27,66,93
COBIJA,atencion odontologica,otras acciones,2012-04-01,12,17,12,17,29
COCAPATA,atencion odontologica,otras acciones,2012-04-01,0,2,0,2,2
COCHABAMBA,atencion odontologica,otras acciones,2012-04-01,2127,1776,2127,1776,3903
COIPASA,atencion odontologica,otras acciones,2012-04-01,1,3,1,3,4
COLCAPIRHUA,atencion odontologica,otras acciones,2012-04-01,74,88,74,88,162
"COLCHA ""K""",atencion odontologica,otras acciones,2012-04-01,8,8,8,8,16
COLOMI,atencion odontologica,otras acciones,2012-04-01,6,28,6,28,34
COLQUECHACA,atencion odontologica,otras acciones,2012-04-01,46,69,46,69,115
COMANCHE,atencion odontologica,otras acciones,2012-04-01,2,3,2,3,5
COMARAPA,atencion odontologica,otras acciones,2012-04-01,38,60,38,60,98
CONCEPCION,atencion odontologica,otras acciones,2012-04-01,6,7,6,7,13
CORIPATA,atencion odontologica,otras acciones,2012-04-01,1,0,1,0,1
CORO CORO,atencion odontologica,otras acciones,2012-04-01,1,55,1,55,56
COROICO,atencion odontologica,otras acciones,2012-04-01,26,27,26,27,53
CORQUE,atencion odontologica,otras acciones,2012-04-01,5,22,5,22,27
COTAGAITA,atencion odontologica,otras acciones,2012-04-01,123,130,123,130,253
COTOCA,atencion odontologica,otras acciones,2012-04-01,1,3,1,3,4
CUATRO CAÑADAS,atencion odontologica,otras acciones,2012-04-01,19,63,19,63,82
CUEVO,atencion odontologica,otras acciones,2012-04-01,7,16,7,16,23
CULPINA,atencion odontologica,otras acciones,2012-04-01,64,112,64,112,176
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2012-04-01,3,15,3,15,18
CURVA,atencion odontologica,otras acciones,2012-04-01,1,3,1,3,4
DESAGUADERO,atencion odontologica,otras acciones,2012-04-01,5,7,5,7,12
EL ALTO,atencion odontologica,otras acciones,2012-04-01,615,796,615,796,1411
EL PUENTE(STC),atencion odontologica,otras acciones,2012-04-01,9,23,9,23,32
EL PUENTE(TJA),atencion odontologica,otras acciones,2012-04-01,7,30,7,30,37
EL TORNO,atencion odontologica,otras acciones,2012-04-01,1,2,1,2,3
EL VILLAR,atencion odontologica,otras acciones,2012-04-01,2,2,2,2,4
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2012-04-01,6,16,6,16,22
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2012-04-01,27,84,27,84,111
ESCOMA,atencion odontologica,otras acciones,2012-04-01,6,7,6,7,13
EUCALIPTUS,atencion odontologica,otras acciones,2012-04-01,4,19,4,19,23
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2012-04-01,3,6,3,6,9
FILADELFIA,atencion odontologica,otras acciones,2012-04-01,0,7,0,7,7
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2012-04-01,6,13,6,13,19
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2012-04-01,12,14,12,14,26
GUANAY,atencion odontologica,otras acciones,2012-04-01,2,2,2,2,4
GUAQUI,atencion odontologica,otras acciones,2012-04-01,23,26,23,26,49
GUAYARAMERIN,atencion odontologica,otras acciones,2012-04-01,103,119,103,119,222
GUTIERREZ,atencion odontologica,otras acciones,2012-04-01,36,68,36,68,104
HUACARETA,atencion odontologica,otras acciones,2012-04-01,8,10,8,10,18
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2012-04-01,3,4,3,4,7
HUACHACALLA,atencion odontologica,otras acciones,2012-04-01,12,6,12,6,18
HUANUNI,atencion odontologica,otras acciones,2012-04-01,56,91,56,91,147
HUARINA,atencion odontologica,otras acciones,2012-04-01,19,4,19,4,23
HUAYLLAMARCA,atencion odontologica,otras acciones,2012-04-01,19,41,19,41,60
HUMANATA,atencion odontologica,otras acciones,2012-04-01,2,2,2,2,4
ICHOCA,atencion odontologica,otras acciones,2012-04-01,8,10,8,10,18
ICLA,atencion odontologica,otras acciones,2012-04-01,1,7,1,7,8
INCAHUASI,atencion odontologica,otras acciones,2012-04-01,6,3,6,3,9
INQUISIVI,atencion odontologica,otras acciones,2012-04-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),atencion odontologica,otras acciones,2012-04-01,36,68,36,68,104
IXIAMAS,atencion odontologica,otras acciones,2012-04-01,7,7,7,7,14
JESUS DE MACHACA,atencion odontologica,otras acciones,2012-04-01,20,28,20,28,48
LA ASUNTA,atencion odontologica,otras acciones,2012-04-01,16,21,16,21,37
LA GUARDIA,atencion odontologica,otras acciones,2012-04-01,0,3,0,3,3
LA PAZ,atencion odontologica,otras acciones,2012-04-01,2272,2986,2272,2986,5258
LAJA,atencion odontologica,otras acciones,2012-04-01,0,1,0,1,1
LICOMA PAMPA,atencion odontologica,otras acciones,2012-04-01,0,2,0,2,2
LLALLAGUA,atencion odontologica,otras acciones,2012-04-01,43,101,43,101,144
LLICA,atencion odontologica,otras acciones,2012-04-01,35,61,35,61,96
LURIBAY,atencion odontologica,otras acciones,2012-04-01,5,7,5,7,12
MACHACAMARCA,atencion odontologica,otras acciones,2012-04-01,10,9,10,9,19
MACHARETI,atencion odontologica,otras acciones,2012-04-01,4,6,4,6,10
MAGDALENA,atencion odontologica,otras acciones,2012-04-01,16,8,16,8,24
MAIRANA,atencion odontologica,otras acciones,2012-04-01,16,25,16,25,41
MALLA,atencion odontologica,otras acciones,2012-04-01,2,3,2,3,5
MAPIRI,atencion odontologica,otras acciones,2012-04-01,7,17,7,17,24
MECAPACA,atencion odontologica,otras acciones,2012-04-01,12,10,12,10,22
MINEROS,atencion odontologica,otras acciones,2012-04-01,8,13,8,13,21
MIZQUE,atencion odontologica,otras acciones,2012-04-01,20,7,20,7,27
MOCOMOCO,atencion odontologica,otras acciones,2012-04-01,6,11,6,11,17
MOJOCOYA,atencion odontologica,otras acciones,2012-04-01,4,8,4,8,12
MONTEAGUDO,atencion odontologica,otras acciones,2012-04-01,48,102,48,102,150
MONTERO,atencion odontologica,otras acciones,2012-04-01,30,40,30,40,70
MOROCHATA,atencion odontologica,otras acciones,2012-04-01,9,8,9,8,17
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,otras acciones,2012-04-01,6,18,6,18,24
OCURI,atencion odontologica,otras acciones,2012-04-01,2,9,2,9,11
OMEREQUE,atencion odontologica,otras acciones,2012-04-01,10,12,10,12,22
ORURO,atencion odontologica,otras acciones,2012-04-01,390,470,390,470,860
PADCAYA,atencion odontologica,otras acciones,2012-04-01,19,15,19,15,34
PADILLA,atencion odontologica,otras acciones,2012-04-01,14,18,14,18,32
PAILON,atencion odontologica,otras acciones,2012-04-01,19,18,19,18,37
PALCA,atencion odontologica,otras acciones,2012-04-01,10,16,10,16,26
PALOS BLANCOS,atencion odontologica,otras acciones,2012-04-01,7,23,7,23,30
PAMPA AULLAGAS,atencion odontologica,otras acciones,2012-04-01,10,2,10,2,12
PAMPA GRANDE,atencion odontologica,otras acciones,2012-04-01,2,11,2,11,13
PAPEL PAMPA,atencion odontologica,otras acciones,2012-04-01,4,4,4,4,8
PASORAPA,atencion odontologica,otras acciones,2012-04-01,1,2,1,2,3
PATACAMAYA,atencion odontologica,otras acciones,2012-04-01,99,146,99,146,245
PAZÑA,atencion odontologica,otras acciones,2012-04-01,13,15,13,15,28
PELECHUCO,atencion odontologica,otras acciones,2012-04-01,8,17,8,17,25
POCOATA,atencion odontologica,otras acciones,2012-04-01,51,174,51,174,225
POCONA,atencion odontologica,otras acciones,2012-04-01,20,44,20,44,64
POJO (CBBA),atencion odontologica,otras acciones,2012-04-01,56,25,56,25,81
POOPO,atencion odontologica,otras acciones,2012-04-01,36,18,36,18,54
PORCO,atencion odontologica,otras acciones,2012-04-01,37,34,37,34,71
POROMA,atencion odontologica,otras acciones,2012-04-01,40,25,40,25,65
PORONGO,atencion odontologica,otras acciones,2012-04-01,1,1,1,1,2
PORTACHUELO,atencion odontologica,otras acciones,2012-04-01,20,53,20,53,73
PORVENIR,atencion odontologica,otras acciones,2012-04-01,6,11,6,11,17
POSTRER VALLE,atencion odontologica,otras acciones,2012-04-01,0,3,0,3,3
POTOSI,atencion odontologica,otras acciones,2012-04-01,83,132,83,132,215
PRESTO,atencion odontologica,otras acciones,2012-04-01,3,3,3,3,6
PUCARANI,atencion odontologica,otras acciones,2012-04-01,63,76,63,76,139
PUERTO ACOSTA,atencion odontologica,otras acciones,2012-04-01,3,8,3,8,11
PUERTO CARABUCO,atencion odontologica,otras acciones,2012-04-01,20,18,20,18,38
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2012-04-01,2,0,2,0,2
PUERTO PEREZ,atencion odontologica,otras acciones,2012-04-01,1,1,1,1,2
PUERTO QUIJARRO,atencion odontologica,otras acciones,2012-04-01,8,101,8,101,109
PUERTO RICO,atencion odontologica,otras acciones,2012-04-01,1,8,1,8,9
PUERTO SUAREZ,atencion odontologica,otras acciones,2012-04-01,6,5,6,5,11
PUERTO VILLARROEL,atencion odontologica,otras acciones,2012-04-01,32,68,32,68,100
PUNA,atencion odontologica,otras acciones,2012-04-01,63,82,63,82,145
PUNATA,atencion odontologica,otras acciones,2012-04-01,25,53,25,53,78
QUILLACOLLO,atencion odontologica,otras acciones,2012-04-01,116,167,116,167,283
QUIME,atencion odontologica,otras acciones,2012-04-01,7,2,7,2,9
QUIRUSILLAS,atencion odontologica,otras acciones,2012-04-01,3,2,3,2,5
RAVELO,atencion odontologica,otras acciones,2012-04-01,6,9,6,9,15
REYES,atencion odontologica,otras acciones,2012-04-01,0,1,0,1,1
RIBERALTA,atencion odontologica,otras acciones,2012-04-01,1,5,1,5,6
ROBORE,atencion odontologica,otras acciones,2012-04-01,32,13,32,13,45
RURRENABAQUE,atencion odontologica,otras acciones,2012-04-01,0,2,0,2,2
SABAYA,atencion odontologica,otras acciones,2012-04-01,25,58,25,58,83
SACABA,atencion odontologica,otras acciones,2012-04-01,538,833,538,833,1371
SACABAMBA,atencion odontologica,otras acciones,2012-04-01,0,1,0,1,1
SACACA,atencion odontologica,otras acciones,2012-04-01,8,10,8,10,18
SAIPINA,atencion odontologica,otras acciones,2012-04-01,3,13,3,13,16
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2012-04-01,16,16,16,16,32
SAMAIPATA,atencion odontologica,otras acciones,2012-04-01,7,12,7,12,19
SAN AGUSTIN,atencion odontologica,otras acciones,2012-04-01,2,4,2,4,6
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2012-04-01,14,18,14,18,32
SAN ANTONIO DE ESMORUCO,atencion odontologica,otras acciones,2012-04-01,2,4,2,4,6
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2012-04-01,2,7,2,7,9
SAN BENITO,atencion odontologica,otras acciones,2012-04-01,9,4,9,4,13
SAN BORJA,atencion odontologica,otras acciones,2012-04-01,7,16,7,16,23
SAN CARLOS,atencion odontologica,otras acciones,2012-04-01,20,32,20,32,52
SAN IGNACIO,atencion odontologica,otras acciones,2012-04-01,8,10,8,10,18
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2012-04-01,8,0,8,0,8
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2012-04-01,5,2,5,2,7
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2012-04-01,3,0,3,0,3
SAN LORENZO(TJA),atencion odontologica,otras acciones,2012-04-01,28,32,28,32,60
SAN LUCAS,atencion odontologica,otras acciones,2012-04-01,47,47,47,47,94
SAN MATIAS,atencion odontologica,otras acciones,2012-04-01,3,2,3,2,5
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2012-04-01,7,27,7,27,34
SAN PEDRO,atencion odontologica,otras acciones,2012-04-01,9,13,9,13,22
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2012-04-01,20,28,20,28,48
SAN PEDRO DE CURAHUARA,atencion odontologica,otras acciones,2012-04-01,2,2,2,2,4
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2012-04-01,8,18,8,18,26
SAN RAFAEL,atencion odontologica,otras acciones,2012-04-01,10,14,10,14,24
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2012-04-01,417,575,417,575,992
SANTA ROSA,atencion odontologica,otras acciones,2012-04-01,0,2,0,2,2
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2012-04-01,7,10,7,10,17
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2012-04-01,1,6,1,6,7
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2012-04-01,88,124,88,124,212
SANTIAGO DE HUATA,atencion odontologica,otras acciones,2012-04-01,3,5,3,5,8
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2012-04-01,13,13,13,13,26
SANTIVAÑES,atencion odontologica,otras acciones,2012-04-01,18,26,18,26,44
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2012-04-01,6,8,6,8,14
SAPAHAQUI,atencion odontologica,otras acciones,2012-04-01,6,11,6,11,17
SHINAOTA,atencion odontologica,otras acciones,2012-04-01,38,61,38,61,99
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2012-04-01,5,3,5,3,8
SICAYA,atencion odontologica,otras acciones,2012-04-01,3,22,3,22,25
SIPE SIPE,atencion odontologica,otras acciones,2012-04-01,17,34,17,34,51
SOPACHUY,atencion odontologica,otras acciones,2012-04-01,34,83,34,83,117
SORACACHI,atencion odontologica,otras acciones,2012-04-01,32,32,32,32,64
SORATA,atencion odontologica,otras acciones,2012-04-01,19,42,19,42,61
SUCRE,atencion odontologica,otras acciones,2012-04-01,958,1410,958,1410,2368
TACACOMA,atencion odontologica,otras acciones,2012-04-01,3,4,3,4,7
TACOPAYA,atencion odontologica,otras acciones,2012-04-01,2,9,2,9,11
TAHUA,atencion odontologica,otras acciones,2012-04-01,1,1,1,1,2
TAPACARI,atencion odontologica,otras acciones,2012-04-01,15,46,15,46,61
TARABUCO,atencion odontologica,otras acciones,2012-04-01,3,7,3,7,10
TARACO,atencion odontologica,otras acciones,2012-04-01,25,21,25,21,46
TARATA,atencion odontologica,otras acciones,2012-04-01,10,8,10,8,18
TARIJA,atencion odontologica,otras acciones,2012-04-01,301,436,301,436,737
TARVITA,atencion odontologica,otras acciones,2012-04-01,16,43,16,43,59
TEOPONTE,atencion odontologica,otras acciones,2012-04-01,1,1,1,1,2
TIAWANACU,atencion odontologica,otras acciones,2012-04-01,18,39,18,39,57
TINGUIPAYA,atencion odontologica,otras acciones,2012-04-01,14,29,14,29,43
TIPUANI,atencion odontologica,otras acciones,2012-04-01,0,2,0,2,2
TIQUIPAYA,atencion odontologica,otras acciones,2012-04-01,104,194,104,194,298
TIRAQUE (CBBA),atencion odontologica,otras acciones,2012-04-01,20,55,20,55,75
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2012-04-01,2,2,2,2,4
TOCO,atencion odontologica,otras acciones,2012-04-01,5,13,5,13,18
TOLATA,atencion odontologica,otras acciones,2012-04-01,12,37,12,37,49
TOLEDO,atencion odontologica,otras acciones,2012-04-01,2,5,2,5,7
TOMAVE,atencion odontologica,otras acciones,2012-04-01,11,23,11,23,34
TOMINA,atencion odontologica,otras acciones,2012-04-01,277,430,277,430,707
TORO TORO,atencion odontologica,otras acciones,2012-04-01,53,120,53,120,173
TOTORA(CBBA),atencion odontologica,otras acciones,2012-04-01,18,43,18,43,61
TOTORA(ORR),atencion odontologica,otras acciones,2012-04-01,7,5,7,5,12
TRIGAL,atencion odontologica,otras acciones,2012-04-01,5,7,5,7,12
TRINIDAD,atencion odontologica,otras acciones,2012-04-01,43,83,43,83,126
TUPIZA,atencion odontologica,otras acciones,2012-04-01,26,31,26,31,57
TURCO,atencion odontologica,otras acciones,2012-04-01,11,21,11,21,32
UMALA,atencion odontologica,otras acciones,2012-04-01,2,5,2,5,7
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2012-04-01,37,82,37,82,119
URUBICHA,atencion odontologica,otras acciones,2012-04-01,0,4,0,4,4
UYUNI,atencion odontologica,otras acciones,2012-04-01,37,22,37,22,59
VACAS,atencion odontologica,otras acciones,2012-04-01,14,26,14,26,40
VALLEGRANDE,atencion odontologica,otras acciones,2012-04-01,0,1,0,1,1
VIACHA,atencion odontologica,otras acciones,2012-04-01,201,206,201,206,407
VILLA CHARCAS,atencion odontologica,otras acciones,2012-04-01,11,19,11,19,30
VILLA MONTES,atencion odontologica,otras acciones,2012-04-01,72,114,72,114,186
VILLA RIVERO,atencion odontologica,otras acciones,2012-04-01,12,8,12,8,20
VILLA SERRANO,atencion odontologica,otras acciones,2012-04-01,9,23,9,23,32
VILLA TUNARI,atencion odontologica,otras acciones,2012-04-01,53,65,53,65,118
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,otras acciones,2012-04-01,0,4,0,4,4
VILLAZON,atencion odontologica,otras acciones,2012-04-01,68,106,68,106,174
VINTO,atencion odontologica,otras acciones,2012-04-01,46,62,46,62,108
WARNES,atencion odontologica,otras acciones,2012-04-01,15,38,15,38,53
YACO,atencion odontologica,otras acciones,2012-04-01,1,0,1,0,1
YACUIBA,atencion odontologica,otras acciones,2012-04-01,36,64,36,64,100
YAMPARAEZ,atencion odontologica,otras acciones,2012-04-01,44,50,44,50,94
YANACACHI,atencion odontologica,otras acciones,2012-04-01,17,14,17,14,31
YAPACANI,atencion odontologica,otras acciones,2012-04-01,1,23,1,23,24
YOCALLA,atencion odontologica,otras acciones,2012-04-01,11,35,11,35,46
YOTALA,atencion odontologica,otras acciones,2012-04-01,8,27,8,27,35
YUNCHARA,atencion odontologica,otras acciones,2012-04-01,4,18,4,18,22
ZUDAÑEZ,atencion odontologica,otras acciones,2012-04-01,4,9,4,9,13
ACACIO,atencion odontologica,otras acciones,2012-05-01,20,19,20,19,39
ACHACACHI,atencion odontologica,otras acciones,2012-05-01,138,205,138,205,343
ACHOCALLA,atencion odontologica,otras acciones,2012-05-01,5,12,5,12,17
ALALAY,atencion odontologica,otras acciones,2012-05-01,2,10,2,10,12
ALCALA,atencion odontologica,otras acciones,2012-05-01,20,24,20,24,44
ALTO BENI,atencion odontologica,otras acciones,2012-05-01,11,16,11,16,27
ANCORAIMES,atencion odontologica,otras acciones,2012-05-01,4,3,4,3,7
ANDAMARCA,atencion odontologica,otras acciones,2012-05-01,24,34,24,34,58
ANTEQUERA,atencion odontologica,otras acciones,2012-05-01,14,35,14,35,49
ANZALDO,atencion odontologica,otras acciones,2012-05-01,7,13,7,13,20
APOLO,atencion odontologica,otras acciones,2012-05-01,1,9,1,9,10
ARAMPAMPA,atencion odontologica,otras acciones,2012-05-01,4,4,4,4,8
ARANI,atencion odontologica,otras acciones,2012-05-01,7,23,7,23,30
ARBIETO,atencion odontologica,otras acciones,2012-05-01,1,1,1,1,2
ARQUE,atencion odontologica,otras acciones,2012-05-01,4,7,4,7,11
ATOCHA,atencion odontologica,otras acciones,2012-05-01,90,135,90,135,225
AUCAPATA,atencion odontologica,otras acciones,2012-05-01,8,0,8,0,8
AYATA,atencion odontologica,otras acciones,2012-05-01,4,4,4,4,8
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2012-05-01,62,99,62,99,161
AZURDUY,atencion odontologica,otras acciones,2012-05-01,15,24,15,24,39
BAURES,atencion odontologica,otras acciones,2012-05-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica,otras acciones,2012-05-01,5,16,5,16,21
BERMEJO,atencion odontologica,otras acciones,2012-05-01,109,133,109,133,242
BETANZOS,atencion odontologica,otras acciones,2012-05-01,20,49,20,49,69
BOLIVAR,atencion odontologica,otras acciones,2012-05-01,8,8,8,8,16
BOYUIBE,atencion odontologica,otras acciones,2012-05-01,0,2,0,2,2
BUENA VISTA,atencion odontologica,otras acciones,2012-05-01,4,0,4,0,4
CABEZAS,atencion odontologica,otras acciones,2012-05-01,39,59,39,59,98
