,group,variable,month,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,3,0,3,0,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,2,0,0,0,2,0,2
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,0,1,0,2,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,3,1,3,5,6,6,12
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,18,18,2,5,20,23,43
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,0,0,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,0,0,0,1,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,3,6,1,0,4,6,10
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,1,5,3,6,4,10
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,3,2,0,1,3,3,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,7,9,9,4,16,13,29
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,2,1,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,1,1,2,1,3
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,2,1,2,3
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,4,1,0,0,4,1,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,4,4,1,0,5,4,9
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,8,7,3,8,11,15,26
LORETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,2,1,2,3
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
MALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,6,7,2,4,8,11,19
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,3,4,6,6,9,10,19
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,5,9,10,7,15,16,31
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,5,2,4,1,9,3,12
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,10,11,1,2,11,13,24
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,2,1,1,1,3,2,5
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,6,6,6,7,13
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,1,1,1,2
SACACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,2,0,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,0,2,0,2,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,2,1,2,3
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,4,2,1,1,5,3,8
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,1,3,1,4,2,6
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,3,3,0,0,3,3,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,0,1,0,2,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,2,1,2,3
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,3,0,3,0,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,2,13,17,13,19,32
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,1,0,0,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,45,35,29,20,74,55,129
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,2,1,2,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,5,6,0,0,5,6,11
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,1,0,0,1,1,2
TAHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,2,6,4,6,6,12
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,3,3,1,1,4,4,8
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,2,22,19,23,21,44
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,9,11,6,4,15,15,30
UNCIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,1,1,1,1,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,2,0,0,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,1,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,3,2,0,0,3,2,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,0,1,1
VITICHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,1,1,2,1,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,3,1,4,1,5
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,3,3,3,3,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,1,0,0,1,1,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,2,0,0,1,2,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,28,23,1,0,29,23,52
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,15,4,4,5,19,9,28
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,1,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,3,0,0,0,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,4,1,4,1,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,1,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,3,2,1,3,4,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,23,28,0,1,23,29,52
LAJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,1,0,1,1,2,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,1,0,0,0,1,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,2,0,0,0,2,2
MALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,1,1,2,1,3
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,2,0,0,0,2,0,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,1,0,0,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,2,0,1,0,3,0,3
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,4,2,1,3,5,8
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,1,0,2,1,3,4
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,1,1,0,2,1,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,1,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,6,7,6,7,13
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,1,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,31,37,5,4,36,41,77
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,2,0,0,0,2,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,0,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,3,0,0,0,3,0,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,3,3,0,0,3,3,6
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,2,2,1,2,3,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,5,3,0,0,5,3,8
TURCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,1,3,2,3,5
UYUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,1,0,0,1,1,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,0,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,0,5,0,1,0,6,6
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,2,0,0,0,2,0,2
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,1,0,0,1,1,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,2,2,1,0,3,2,5
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-05-01,1,0,1,0,2,0,2
ACACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,1,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,2,0,1,1,3,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,3,1,0,0,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,4,4,5,4,9
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,3,5,3,5,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,23,27,0,0,23,27,50
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,0,0,1,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,3,8,2,2,5,10,15
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,2,0,0,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,2,4,0,0,2,4,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,3,0,0,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,1,1,1,2
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,2,1,0,0,2,1,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,4,2,0,0,4,2,6
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,5,16,1,0,6,16,22
LORETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,1,1,1,2
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,3,0,0,1,3,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,2,3,1,4,3,7,10
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,4,5,0,0,4,5,9
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,2,0,0,1,2,3
POOPO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,2,0,0,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,3,2,0,0,3,2,5
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,1,1,1,2
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,1,0,0,1,1,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,2,1,3,1,4
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,1,0,1,1,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,1,0,2,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,2,0,2,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,1,1,1,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,5,2,5,2,7
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,3,2,1,3,4,5,9
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,27,28,4,2,31,30,61
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,1,0,0,0,1,1
