,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,14,13,9,9,23,22,45
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,5,1,4,3,9,12
CURVA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,2,7,4,8,6,14
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,7,10,8,10,18
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,614,568,109,110,723,678,1401
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,6,4,2,10,8,18
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,10,15,4,7,14,22,36
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,3,3,4,5,7,12
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,43,44,10,14,53,58,111
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,1,1,2,3,3,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,8,6,9,6,17,12,29
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,58,37,0,0,58,37,95
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,2,0,0,2,2,4
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,1,0,0,6,1,7
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,2,12,8,17,10,27
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,4,4,4,4,8
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,22,14,3,2,25,16,41
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,1,5,2,8,3,11
GUANAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,8,4,12,12,20,16,36
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,5,11,6,13,11,24
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,14,15,23,28,37,43,80
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,13,19,6,7,19,26,45
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,7,1,5,7,12,19
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,3,3,3,3,6
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,15,14,2,0,17,14,31
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,2,0,0,2,2,4
HUARINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,2,7,4,8,6,14
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,1,1,1,1,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,2,6,6,7,8,15
ICLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,2,3,5,4,7,11
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,4,1,10,7,14,21
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,8,15,10,19,18,37
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,10,4,3,9,13,22
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,11,7,14,13,25,20,45
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,5,5,2,11,7,18
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,30,24,15,16,45,40,85
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,86,91,12,11,98,102,200
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,520,493,21,38,541,531,1072
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,2,0,0,2,2,4
LAJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,8,12,9,6,17,18,35
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,3,6,4,6,10
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,2,1,2,1,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,18,23,8,16,26,39,65
LLICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,4,0,3,3,7,10
LORETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,3,0,2,6,5,11
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,6,6,5,9,11,20
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,2,2,6,5,8,13
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,3,9,3,15,6,21
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,4,8,10,10,14,24
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,12,13,4,4,16,17,33
MALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,6,1,6,1,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,21,17,3,9,24,26,50
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,8,0,2,4,10,14
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,1,2,3,2,4,6
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,14,18,12,19,26,37,63
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,10,4,9,4,19,8,27
MOJINETE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,0,2,0,2,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,15,7,0,2,15,9,24
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,150,121,10,10,160,131,291
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,2,1,3,1,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,15,13,15,13,28
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,5,1,3,4,8,12
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,4,1,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,1,1,1,1,2,3
OCURI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,8,7,12,11,20,31
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,11,7,13,7,24,14,38
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,1,5,5,5,6,11
ORURO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,185,180,13,6,198,186,384
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,14,5,8,12,22,34
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,8,6,2,2,10,8,18
PAILON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,11,16,36,25,47,41,88
PALCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,11,5,8,12,19,31
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,22,22,17,12,39,34,73
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,4,4,4,4,8
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,8,1,1,6,9,15
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,2,4,3,4,7
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,11,17,4,10,15,27,42
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,3,11,8,13,11,24
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,1,22,21,23,22,45
POCONA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,2,9,9,11,11,22
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,11,4,3,2,14,6,20
POOPO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,6,0,0,7,6,13
PORCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,10,6,4,13,14,27
POROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,3,3,7,7,10,17
PORONGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,9,3,5,6,14,20
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,22,26,4,4,26,30,56
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,7,4,7,4,11
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,1,0,0,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,202,225,16,12,218,237,455
PRESTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,4,4,5,9,9,18
PUCARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,1,0,0,1,1,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,11,9,9,13,20,22,42
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,1,11,13,12,14,26
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,6,10,6,13,12,25
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,1,8,3,12,4,16
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,2,7,9,7,11,18
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,19,30,10,16,29,46,75
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,3,1,5,6,8,14
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,10,8,9,13,19,21,40
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,64,48,14,4,78,52,130
PUNA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,8,8,13,8,21,16,37
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,13,8,1,2,14,10,24
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,1,2,2,2,3,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,69,80,62,63,131,143,274
QUIME,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,3,14,10,17,13,30
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,1,0,0,1,1,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,6,13,10,20,16,36
REYES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,7,14,10,15,17,32
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,66,77,46,61,112,138,250
ROBORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,9,9,3,13,12,22,34
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,19,19,16,6,35,25,60
SABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,3,2,1,3,4,7
SACABA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,86,89,15,14,101,103,204
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,5,2,0,5,5,10
SACACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,18,8,7,9,25,17,42
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,2,16,8,18,10,28
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,4,7,4,10,8,18
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,5,10,6,10,16
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,1,0,0,1,1,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,1,13,9,17,10,27
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,3,2,3,2,5
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,9,6,0,0,9,6,15
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,5,6,6,6,12
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,8,5,9,9,17,26
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,32,22,33,31,65,53,118
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,16,12,2,1,18,13,31
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,16,10,13,11,29,21,50
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,20,14,17,23,37,37,74
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,54,62,14,26,68,88,156
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,1,12,5,14,6,20
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,13,12,2,4,15,16,31
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,3,0,0,1,3,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,21,11,16,12,37,23,60
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,4,6,3,7,7,14
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,45,45,51,52,96,97,193
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,4,17,24,18,28,46
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,8,11,3,10,11,21,32
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,18,13,7,5,25,18,43
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,2,30,22,33,24,57
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,20,11,4,2,24,13,37
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,2,0,0,1,2,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,10,7,7,10,17,17,34
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,22,20,18,18,40,38,78
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,2,5,3,6,5,11
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,2,4,1,4,3,7
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,2,0,0,2,2,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,1,3,1,10,2,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,2,7,8,10,10,20
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,14,4,1,11,15,26
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,22,17,0,0,22,17,39
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1436,1350,137,112,1573,1462,3035
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,14,5,4,6,18,11,29
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,10,7,9,14,19,33
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,2,1,3,3,5,8
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,15,9,15,9,24
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,6,3,6,3,9
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,4,2,0,6,4,10
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,6,1,1,2,7,9
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,3,6,4,11,7,18
SENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,5,1,0,4,5,9
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,22,17,5,4,27,21,48
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,16,4,10,7,26,11,37
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,49,36,0,0,49,36,85
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,0,0,0,4,0,4
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,3,4,4,4,7,11
SORATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,2,9,7,16,9,25
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,282,264,10,7,292,271,563
TACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,1,6,0,6,1,7
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,2,3,5,6,7,13
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,3,10,4,10,14
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,4,2,6,3,10,13
TAHUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,1,1,0,1,1,2
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,12,19,9,9,21,28,49
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,8,6,7,6,15,12,27
TARACO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,4,0,0,1,4,5
TARATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,4,1,1,6,5,11
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,166,148,6,4,172,152,324
TARVITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,6,12,13,17,19,36
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,13,16,16,7,29,23,52
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,5,4,2,9,7,16
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,15,13,20,20,35,33,68
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,0,12,10,15,10,25
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,59,53,14,16,73,69,142
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,5,3,8,5,13,18
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,2,1,3,1,4
TOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,1,3,3,5,4,9
TOLATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,3,0,0,5,3,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,2,1,2,1,3
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,3,2,0,4,3,7
TOMINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,3,1,0,3,3,6
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,3,5,4,9,7,16
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,11,8,5,10,16,18,34
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,1,7,0,8,1,9
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,1,1,1,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,117,109,111,117,228,226,454
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,29,14,9,7,38,21,59
TURCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,1,1,1,1,2
UMALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,1,7,5,9,6,15
UNCIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,6,14,14,17,20,37
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,14,9,9,10,23,19,42
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,5,5,6,11,11,22
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,9,12,3,2,12,14,26
VACAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,0,5,9,6,9,15
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,10,12,2,2,12,14,26
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,48,70,25,13,73,83,156
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,0,0,3,3,3,3,6
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,7,7,9,11,16,18,34
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,23,32,16,21,39,53,92
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,1,2,1,3,2,5
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,2,6,7,9,9,18
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,1,4,4,1,5,5,10
