,group,variable,month,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,1,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,3,7,19,18,22,25,47
CULPINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,37,40,31,28,68,68,136
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,8,4,7,6,15,21
CURVA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,2,3,5,4,7,11
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,10,2,1,10,11,21
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1153,1338,338,356,1491,1694,3185
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,0,11,8,13,8,21
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,41,29,1,1,42,30,72
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,38,33,31,35,69,68,137
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,185,187,42,47,227,234,461
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,13,17,5,3,18,20,38
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,57,41,86,85,143,126,269
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,164,104,11,7,175,111,286
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,4,3,4,3,7
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,0,1,1,2,1,3
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,9,3,4,2,13,5,18
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,1,8,5,9,6,15
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,31,45,2,1,33,46,79
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,9,8,5,4,14,12,26
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,46,31,9,8,55,39,94
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,15,12,5,6,20,18,38
GUANAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,9,6,21,15,30,21,51
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,8,10,21,14,29,43
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,137,149,39,34,176,183,359
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,3,3,3,8,6,14
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,16,10,8,5,24,15,39
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,3,2,4,5,7,7,14
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,2,0,0,1,2,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,36,59,27,21,63,80,143
HUARINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,2,16,10,21,12,33
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,1,2,1,6,2,8
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,11,14,13,16,24,40
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,1,1,1,1,2,3
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,2,11,4,12,6,18
ICLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,7,9,10,20,17,29,46
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,42,51,62,65,104,116,220
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,7,7,11,15,18,22,40
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,28,20,19,20,47,40,87
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,8,4,1,10,9,19
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,11,14,12,8,23,22,45
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,95,101,11,8,106,109,215
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,157,191,89,80,246,271,517
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,845,860,93,69,938,929,1867
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,11,10,30,22,41,32,73
LAJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,11,20,60,47,71,67,138
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,7,11,4,6,11,17,28
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,6,15,6,15,21
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,62,76,21,27,83,103,186
LLICA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,4,3,0,7,4,11
LORETO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,2,9,5,9,7,16
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,4,12,16,14,20,34
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,6,5,2,10,8,18
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,9,4,9,4,18,8,26
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,5,6,9,7,14,21
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,16,24,2,3,18,27,45
MALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,6,9,6,9,15
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,29,40,14,18,43,58,101
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,14,12,8,9,22,21,43
MINEROS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,4,4,1,12,5,17
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,56,45,40,46,96,91,187
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,20,21,17,16,37,37,74
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,7,7,10,9,17,16,33
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,57,65,20,13,77,78,155
MONTERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,173,204,16,23,189,227,416
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,5,3,2,4,7,11
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,9,40,30,46,39,85
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,8,6,14,12,22,34
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,6,0,0,6,6,12
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,7,1,3,1,10,2,12
OCURI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,19,19,53,43,72,62,134
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,40,38,1,3,41,41,82
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,2,13,15,14,17,31
ORURO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,606,576,11,13,617,589,1206
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,65,41,31,26,96,67,163
PADILLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,42,36,18,15,60,51,111
PAILON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,39,34,53,57,92,91,183
PALCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,29,25,24,20,53,45,98
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,67,68,58,48,125,116,241
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,3,1,2,3,5,8
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,22,23,7,8,29,31,60
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,13,9,1,7,14,16,30
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,3,6,3,6,9
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,3,4,6,7,9,11,20
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,8,10,7,10,15,25
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,29,21,8,7,37,28,65
POCOATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,3,85,107,87,110,197
POCONA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,48,45,24,23,72,68,140
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,23,23,17,17,40,40,80
POOPO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,14,12,2,3,16,15,31
PORCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,19,14,36,29,55,43,98
POROMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,55,50,41,42,96,92,188
PORONGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,26,24,18,25,44,49,93
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,111,118,1,0,112,118,230
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,2,1,0,3,2,5
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,0,0,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,709,768,91,85,800,853,1653
PRESTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,22,21,38,36,60,57,117
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,76,65,60,59,136,124,260
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,11,26,17,34,28,62
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,11,15,19,11,30,26,56
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,19,29,20,7,39,36,75
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,15,10,17,15,32,25,57
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,8,3,3,8,11,19
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,22,21,4,4,26,25,51
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,1,3,2,7,3,10
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,9,12,1,6,10,18,28
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,133,153,43,43,176,196,372
PUNA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,25,26,104,78,129,104,233
PUNATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,53,62,41,50,94,112,206
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,9,9,2,1,11,10,21
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,197,220,272,208,469,428,897
QUIME,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,15,7,15,14,30,21,51
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,26,25,84,54,110,79,189
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,173,174,23,24,196,198,394
ROBORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,37,36,7,4,44,40,84
SABAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,6,3,0,11,6,17
SACABA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,286,295,129,107,415,402,817
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,7,3,7,11,14,25
SACACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,31,16,104,105,135,121,256
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,19,15,2,3,21,18,39
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,17,32,40,36,57,68,125
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,27,36,1,1,28,37,65
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,15,0,0,5,15,20
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,16,23,28,36,44,59,103
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,1,0,0,2,1,3
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,4,3,3,8,7,15
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,42,58,28,32,70,90,160
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,18,17,15,11,33,28,61
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,24,41,9,6,33,47,80
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,28,35,21,20,49,55,104
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,64,79,10,8,74,87,161
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,97,88,3,4,100,92,192
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,131,136,47,50,178,186,364
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,21,13,21,13,34
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,48,29,0,0,48,29,77
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,20,9,5,1,25,10,35
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,35,36,19,21,54,57,111
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,21,18,18,18,39,36,75
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,127,100,73,77,200,177,377
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,69,75,6,14,75,89,164
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,122,118,142,124,264,242,506
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,13,19,13,19,26,38,64
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,73,67,5,6,78,73,151
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,22,23,19,17,41,40,81
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,92,70,79,85,171,155,326
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,11,8,7,4,18,12,30
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,3,8,5,12,8,20
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,1,1,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,9,0,0,8,9,17
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,8,5,21,27,29,32,61
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,28,32,0,0,28,32,60
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1783,1641,54,58,1837,1699,3536
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,61,62,62,58,123,120,243
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,0,3,2,4,2,6
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,10,9,33,29,43,38,81
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,8,10,5,16,13,29
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,0,8,14,9,14,23
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,11,10,11,4,22,14,36
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,6,2,5,4,11,15
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,11,19,10,11,21,30,51
SENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,0,5,4,6,4,10
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,25,16,18,9,43,25,68
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,57,39,9,3,66,42,108
SICAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,12,6,8,11,20,17,37
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,158,148,118,73,276,221,497
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,5,0,0,4,5,9
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,14,23,26,29,40,52,92
SORATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,13,12,29,25,42,37,79
SUCRE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,779,775,98,115,877,890,1767
TACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,3,4,7,7,10,11,21
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,7,8,16,12,23,35
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,12,9,18,29,30,38,68
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,15,19,28,32,43,51,94
TAHUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,5,2,5,2,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,41,40,49,42,90,82,172
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,28,47,35,46,63,93,156
TARACO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,5,4,4,10,9,19
TARATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,32,27,4,6,36,33,69
TARIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,643,760,126,133,769,893,1662
TARVITA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,54,35,60,63,114,98,212
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,9,6,7,11,16,27
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,39,22,9,5,48,27,75
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,35,32,87,77,122,109,231
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,26,28,4,4,30,32,62
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,70,63,52,81,122,144,266
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,19,17,47,49,66,66,132
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,0,6,2,7,2,9
TOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,12,11,9,12,21,23,44
TOLATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,15,9,10,5,25,14,39
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,7,7,5,13,12,25
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,37,39,58,53,95,92,187
TOMINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,28,47,32,33,60,80,140
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,28,20,63,50,91,70,161
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,26,14,15,18,41,32,73
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,14,7,0,0,14,7,21
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,159,159,49,38,208,197,405
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,117,130,59,63,176,193,369
TURCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,6,0,11,3,17,3,20
UMALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,16,16,15,23,31,39,70
UNCIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,24,17,121,122,145,139,284
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,40,45,34,33,74,78,152
UYUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,103,101,12,11,115,112,227
VACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,14,4,19,12,33,16,49
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,10,9,1,2,11,11,22
VIACHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,129,125,77,64,206,189,395
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,1,7,11,9,12,21
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,40,34,39,46,79,80,159
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,62,81,34,49,96,130,226
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,2,3,5,2,7,5,12
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,9,8,3,1,12,9,21
