,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES,TOTALES,TOTALES
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-03-01,0,2,0,0,0,2,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-03-01,1,1,0,2,1,3,4
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-03-01,3,2,1,0,4,2,6
YOTALA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-03-01,6,3,6,3,12,6,18
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-03-01,1,1,5,0,6,1,7
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-03-01,3,1,2,3,5,4,9
ACACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,4,10,17,12,21,33
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,12,18,3,4,15,22,37
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,8,18,15,24,23,47
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,6,7,3,15,9,24
ALALAY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,0,1,0,2,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,2,0,3,0,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,18,20,6,4,24,24,48
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,11,2,3,11,14,25
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,3,1,4,3,7
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,4,1,0,2,4,6
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,0,2,3,4,3,7
APOLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,24,19,9,8,33,27,60
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,9,12,10,13,23
ARANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,4,1,3,7,7,14
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,6,6,4,13,10,23
ARQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,5,0,2,8,7,15
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,32,28,0,3,32,31,63
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,2,3,3,5,5,10
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,2,2,2,3,5
AYATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,4,1,0,7,4,11
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,8,2,2,7,10,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,7,16,16,25,23,48
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,2,1,6,5,8,13
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,13,3,2,11,15,26
BAURES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,3,2,2,4,5,9
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,2,2,1,2,3,5
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,2,1,2,2,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,0,2,4,4,4,8
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,33,24,10,8,43,32,75
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,28,24,18,18,46,42,88
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,3,7,7,10,10,20
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,3,2,4,3,7
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,1,0,0,4,1,5
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,15,14,9,21,24,45
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,12,7,7,15,19,34
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,8,2,2,9,10,19
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,5,10,4,14,9,23
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,11,6,1,0,12,6,18
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,1,3,2,5,7
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,10,2,2,6,12,18
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,7,6,4,13,11,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,16,19,12,17,28,36,64
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,11,11,8,11,19,22,41
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,8,2,1,7,9,16
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,7,9,9,12,16,28
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,21,27,21,14,42,41,83
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,13,14,13,23,26,49
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,3,1,0,1,3,4
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,11,6,12,7,19
CATACORA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,4,3,4,3,7
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,15,12,14,14,29,26,55
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,9,2,1,9,10,19
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,1,40,36,45,37,82
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,3,0,0,1,3,4
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,7,28,40,36,47,83
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,6,2,5,11,11,22
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,0,1,0,1,1
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,2,2,0,2,2,4
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,2,0,3,3,5,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,8,8,3,16,11,27
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,3,2,4,4,7,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,6,1,1,5,7,12
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,21,18,14,17,35,35,70
CLIZA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,11,14,3,3,14,17,31
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,28,32,22,25,50,57,107
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,17,11,20,10,37,21,58
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,415,366,36,39,451,405,856
COIPASA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,36,31,3,5,39,36,75
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,23,16,3,3,26,19,45
COLLANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,2,1,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,17,16,5,3,22,19,41
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,4,6,6,8,10,18
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,16,13,25,22,41,63
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,5,3,3,12,8,20
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,3,3,4,3,7
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,5,0,0,3,5,8
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,23,17,11,9,34,26,60
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,1,7,1,9,2,11
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,11,15,10,23,21,44
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,5,4,3,10,8,18
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,1,3,1,7,2,9
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,8,6,7,11,15,26
COROICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,1,2,10,6,11,17
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,3,5,5,11,8,19
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,15,18,15,6,30,24,54
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,35,29,60,55,95,84,179
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,13,3,8,12,21,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,1,0,1,1,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,1,4,1,9,2,11
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,14,0,0,8,14,22
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,2,0,2,1,3
CURVA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,6,5,6,5,11
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,7,2,0,7,7,14
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,331,369,157,139,488,508,996
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,2,1,2,1,3
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,13,3,1,10,14,24
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,0,1,1,6,1,7
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,38,37,15,26,53,63,116
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,0,0,1,1,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,15,17,9,25,24,49
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,16,23,6,3,22,26,48
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,7,2,1,7,8,15
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,0,4,0,4,4
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,7,1,7,5,14,19
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,3,2,2,6,5,11
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,14,5,2,3,16,8,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,6,11,4,19,10,29
GUANAY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,4,7,5,10,9,19
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,5,1,4,2,9,11
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,31,27,27,12,58,39,97
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,29,12,6,21,35,56
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,2,3,4,8,6,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,0,1,0,1
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,0,2,0,3,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,25,9,11,18,36,54
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,2,0,0,0,2,2
HUARINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,0,1,0,1
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,0,0,1,1,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,1,4,3,9,4,13
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,0,0,1,4,1,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,4,3,5,4,9
ICLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,1,1,2,4,3,7
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,2,11,7,14,9,23
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,0,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,7,8,6,13,13,26
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,11,5,4,8,15,13,28
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,3,6,13,8,16,24
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,3,5,2,13,5,18
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,29,34,3,2,32,36,68
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,71,69,34,35,105,104,209
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,362,364,62,50,424,414,838
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,0,1,0,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,5,2,6,4,10
LAJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,11,10,8,7,19,17,36
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,0,1,0,1
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,1,1,3,3,4,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,2,3,3,3,6
LLICA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,0,0,1,2,3
LORETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,1,1,1,2,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,5,7,3,7,8,15
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,6,1,2,2,8,10
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,2,3,1,8,3,11
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,13,7,4,15,17,32
MALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,0,1,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,18,10,4,4,22,14,36
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,1,5,2,9,3,12
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,1,0,0,3,1,4
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,10,14,5,2,15,16,31
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,7,18,9,24,16,40
MOJINETE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,4,3,4,4,8
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,2,0,3,2,5,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,16,13,3,2,19,15,34
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,82,104,11,14,93,118,211
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,0,0,1,2,1,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,4,6,9,10,13,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,2,3,3,7,5,12
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,0,0,1,2,3
OCURI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,10,15,10,23,20,43
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,9,6,2,14,11,25
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,0,3,4,6,4,10
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,169,148,47,48,216,196,412
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,11,10,10,16,21,37
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,4,1,2,7,6,13
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,7,9,6,17,13,30
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,5,6,5,10,10,20
