,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,1,1,1,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,19,18,6,6,25,24,49
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,2,0,0,1,2,3
SORATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,4,1,0,0,4,1,5
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,1,1,1,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,1,0,0,1,1,2
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,2,0,0,3,2,3,5
VACAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,2,1,2,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,3,1,3,3,6,4,10
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,0,1,0,3,0,3
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,2,3,2,4,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,2,0,0,0,2,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,2,1,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,0,0,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,4,2,0,1,4,3,7
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,1,0,0,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,2,0,0,0,2,2
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,14,12,3,1,17,13,30
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,3,2,0,0,3,2,5
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,4,0,1,2,5,7
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,12,7,0,0,12,7,19
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,0,0,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,2,1,1,1,3,4
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,3,0,0,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,2,2,3,2,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,0,2,1,4,1,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,1,0,0,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,1,0,0,1,1,2
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,1,0,0,2,1,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,3,9,4,9,13
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,5,7,5,7,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,10,14,9,1,19,15,34
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,0,1,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,2,0,0,2,2,4
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,2,0,2,1,4,1,5
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,3,0,0,0,3,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,2,0,0,0,2,2
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,1,1,0,0,1,1,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1,0,1
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,2,2,2,2,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,1,0,1,1,2,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,5,5,0,2,5,7,12
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,0,1,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1,0,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,6,13,1,2,7,15,22
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,4,2,0,0,4,2,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,9,4,0,0,9,4,13
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,3,6,0,0,3,6,9
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,3,0,0,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,3,2,0,0,3,2,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,1,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,1,0,1,1,2
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,2,4,2,1,4,5,9
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,2,3,0,1,2,4,6
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,1,1,0,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,4,0,3,1,7,8
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,2,1,1,3,3,4,7
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,3,1,1,2,4,6
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,2,0,1,1,3,1,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,1,1,4,2,5,7
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,12,11,0,1,12,12,24
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,2,0,0,0,2,2
SENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
SORATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,2,0,0,0,2,0,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,2,1,0,1,2,2,4
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,2,0,1,0,3,0,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,1,1,0,0,1,1,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,2,0,1,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,3,0,0,1,3,4
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,0,1,1
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,0,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,8,3,1,1,9,4,13
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,2,0,0,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,2,2,0,0,2,2,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,6,9,2,6,8,15,23
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,2,0,0,0,2,0,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,4,4,0,0,4,4,8
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,0,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,2,1,1,0,3,1,4
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,3,3,0,1,3,4,7
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,1,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,1,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,1,0,0,1,1,2
REYES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,0,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,2,0,0,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,1,0,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,17,19,3,1,20,20,40
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,2,0,2,0,4,4
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,2,0,0,1,2,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,1,0,0,1,1,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,1,0,1,1,2,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,3,3,0,0,3,3,6
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,0,1,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,2,0,0,0,2,2
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,1,1,0,0,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-07-01,0,2,0,0,0,2,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,0,0,0,2,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,1,2,0,0,1,2,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,1,2,0,0,1,2,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,3,0,0,0,3,0,3
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,1,1,0,0,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,5,11,0,2,5,13,18
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-08-01,1,0,0,0,1,0,1
