,group,variable,month,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,5,2,0,0,5,2,7
TARATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,0,0,0,2,0,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,3,3,0,0,3,3,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,2,0,0,0,2,2
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,2,0,0,0,2,2
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,3,4,0,1,3,5,8
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,1,0,0,1,1,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,3,0,4,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,2,0,0,2,2,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,1,0,0,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,3,5,0,0,3,5,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,2,0,3,0,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,1,1,1,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
BAURES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,1,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,1,0,0,1,1,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,2,0,3,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,2,1,0,1,2,2,4
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,4,6,5,6,11
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,17,19,3,3,20,22,42
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,2,0,0,1,2,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,4,2,5,2,7
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,19,15,12,10,31,25,56
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,2,2,4,2,6,8
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,3,0,2,0,5,0,5
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,1,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,1,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,1,0,2,0,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,1,1,0,2,1,3
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,3,0,0,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,3,0,1,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,10,10,1,1,11,11,22
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,2,0,2,2
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,5,5,0,0,5,5,10
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,8,7,4,3,12,10,22
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,1,0,0,1,1,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,2,0,2,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,1,1,0,2,1,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,6,2,6,5,12,7,19
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,3,0,3,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,3,2,4,3,7,10
PUNA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,1,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,1,1,1,2
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,1,1,1,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,7,3,1,0,8,3,11
SACACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,1,0,1,1
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,1,1,1,2,3
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,3,3,3,6,6,9,15
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,3,1,3,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,3,0,0,0,3,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,2,5,3,5,8
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,2,32,23,33,25,58
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,2,0,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,1,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,2,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,2,1,0,0,2,1,3
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,46,32,16,9,62,41,103
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,1,0,2,0,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,0,3,0,3,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,1,1,2,1,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,3,1,0,1,3,2,5
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,3,0,0,0,3,3
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,2,1,2,2,4
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,2,0,0,0,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,1,0,0,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,4,2,3,5,7,7,14
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,2,0,0,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,2,1,2,1,4,2,6
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,6,4,1,1,7,5,12
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,2,3,0,1,2,4,6
VITICHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,2,6,4,6,6,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,2,1,2,2,4,3,7
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,1,0,0,0,1,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-04-01,0,0,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,3,0,1,1,4,1,5
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,2,0,0,1,2,3
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,2,0,0,1,2,3
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,1,0,0,1,1,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,1,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,2,0,1,0,3,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,10,15,3,9,13,24,37
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,0,1,0,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,0,1,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,1,2,1,3,2,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,2,1,0,2,2,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,10,18,5,8,15,26,41
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,0,2,0,2,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,1,0,0,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,1,0,1,1,2,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,0,0,1,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,3,0,4,0,4
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,2,3,2,3,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,2,1,4,3,6,4,10
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,2,0,0,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,10,9,2,1,12,10,22
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,1,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,4,1,0,1,4,2,6
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,8,6,0,0,8,6,14
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,2,0,0,1,2,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,3,1,5,0,8,1,9
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,2,1,0,1,2,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,1,1,1,2,2,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,2,1,2,0,4,1,5
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,2,0,0,0,2,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,3,2,1,3,4,5,9
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,3,1,0,0,3,1,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,2,1,2,1,4,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,1,0,1,1,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,2,1,3,1,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,1,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,41,33,9,4,50,37,87
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,1,1,0,2,1,3
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,0,1,0,1
SICAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,2,1,0,2,2,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,2,0,0,1,2,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,3,1,3,3,6,4,10
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,1,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,2,5,0,0,2,5,7
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,1,0,0,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,2,0,0,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,1,0,0,1,1,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,4,4,0,1,4,5,9
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,1,0,2,0,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,2,0,0,0,2,2
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,0,0,1,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,3,4,5,2,8,6,14
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,1,2,0,0,1,2,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-05-01,0,0,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,0,1,1,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,2,0,1,0,3,3
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,0,0,3,0,3,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,3,7,0,0,3,7,10
BAURES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,1,0,0,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,0,0,1,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,0,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,2,1,0,0,2,1,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,0,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,2,2,0,0,2,2,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,13,12,2,3,15,15,30
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,1,1,0,0,1,1,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,0,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,4,2,0,0,4,2,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,18,19,3,1,21,20,41
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,0,4,1,0,1,4,5
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,2,1,1,0,3,1,4
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-06-01,2,0,0,0,2,0,2
