,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,5,6,3,8,8,14,22
TARATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,13,4,4,4,17,8,25
TARIJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,197,197,19,11,216,208,424
TARVITA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,4,6,1,2,5,8,13
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,7,6,7,9,14,15,29
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,9,9,2,2,11,11,22
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,14,6,11,11,25,17,42
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,6,7,14,10,20,17,37
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,39,32,12,12,51,44,95
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,5,6,8,4,13,10,23
TOCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,4,2,3,5,7,7,14
TOLATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,1,2,3,2,4,4,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,2,4,1,1,3,5,8
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,4,5,16,12,20,17,37
TOMINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,3,11,5,3,8,14,22
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,7,8,18,13,25,21,46
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,9,6,1,0,10,6,16
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,4,1,0,0,4,1,5
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,0,1,1,1,1,2,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,83,103,16,6,99,109,208
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,30,48,10,8,40,56,96
TURCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,0,0,1,0,1,0,1
UMALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,0,2,11,3,11,5,16
UNCIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,12,14,14,21,26,35,61
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,6,8,8,3,14,11,25
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,4,4,3,2,7,6,13
UYUNI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,23,24,0,1,23,25,48
VACAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,1,1,3,2,4,3,7
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,8,11,3,2,11,13,24
VIACHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,58,46,2,3,60,49,109
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,2,0,4,2,6,2,8
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,10,15,8,6,18,21,39
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,30,44,16,15,46,59,105
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,2,3,5,2,7,5,12
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,10,3,1,1,11,4,15
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,10,2,3,3,13,5,18
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,31,44,20,21,51,65,116
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,5,1,12,5,17,6,23
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,28,25,11,15,39,40,79
VINTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,55,41,1,3,56,44,100
VITICHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,3,1,1,3,4,4,8
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,0,1,2,0,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,106,128,9,2,115,130,245
YACO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,5,4,2,1,7,5,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,70,55,21,18,91,73,164
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,4,1,3,2,7,3,10
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,1,2,0,0,1,2,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,38,36,17,22,55,58,113
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,10,10,3,7,13,17,30
YOTALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,5,1,2,3,7,4,11
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,1,1,5,1,6,2,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-03-01,0,0,0,2,0,2,2
ACACIO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,6,1,0,2,6,8
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,25,25,7,7,32,32,64
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,6,7,6,7,12,14,26
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,9,3,8,11,17,28
ALALAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,1,1,0,1,1,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,2,2,0,2,2,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,13,10,0,2,13,12,25
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,4,5,11,8,15,13,28
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,5,3,6,4,10
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,1,1,1,1,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,3,8,4,11,7,18
APOLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,14,22,12,6,26,28,54
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,4,3,5,4,9
ARANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,7,3,2,11,9,20
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,10,10,15,18,25,43
ARQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,4,0,1,8,5,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,38,40,6,5,44,45,89
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,9,20,4,4,13,24,37
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,0,4,23,7,23,30
AYATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,6,2,7,4,13,17
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,5,4,3,0,8,4,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,9,7,19,21,28,28,56
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,6,2,4,9,10,19
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,12,8,8,5,20,13,33
BAURES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,8,0,0,8,8,16
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,1,3,2,3,5
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,2,1,0,2,2,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,1,1,2,2,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,44,32,15,7,59,39,98
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,15,14,8,16,23,30,53
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,5,15,6,15,21
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,1,1,2,1,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,3,2,3,3,6,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,6,15,7,22,13,35
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,4,40,38,48,42,90
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,9,7,8,5,17,12,29
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,7,5,7,7,14,21
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,5,5,1,0,6,5,11
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,1,3,2,4,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,7,7,4,15,11,26
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,18,10,7,8,25,18,43
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,3,3,2,3,5,8
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,33,28,11,9,44,37,81
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,11,10,9,5,20,15,35
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,10,6,6,3,16,9,25
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,12,12,11,5,23,17,40
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,42,42,29,23,71,65,136
CARANGAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,2,1,2,1,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,1,16,9,19,10,29
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,4,2,1,5,5,10
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,7,9,7,9,16
CATACORA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,1,2,1,2,3
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,1,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,20,19,41,32,61,51,112
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,6,5,4,1,10,6,16
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,24,16,33,33,57,49,106
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,0,3,1,3,4
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,10,22,21,25,31,56
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,19,19,6,6,25,25,50
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,0,1,1,1,2
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,1,1,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,11,7,3,14,14,28
CHUMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,7,8,8,10,15,25
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,5,4,4,7,9,16
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,10,7,6,2,16,9,25
CLIZA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,16,10,4,7,20,17,37
COBIJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,34,24,52,39,86,63,149
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,14,6,15,12,29,18,47
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,586,535,29,21,615,556,1171
COIPASA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,3,3,3,3,6
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,42,36,6,3,48,39,87
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,6,7,8,7,14,14,28
COLLANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,1,3,2,3,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,12,11,19,13,31,24,55
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,4,7,5,1,9,8,17
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,17,18,22,25,39,64
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,4,7,5,8,9,17
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,1,23,21,23,22,45
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,4,0,0,3,4,7
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,14,11,6,3,20,14,34
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,11,9,11,9,20
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,13,14,17,17,30,31,61
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,11,9,2,12,13,25
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,15,21,5,2,20,23,43
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,5,6,9,5,14,11,25
COROICO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,3,20,15,27,18,45
CORQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,5,3,8,2,13,5,18
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,14,15,7,6,21,21,42
COTOCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,61,59,44,41,105,100,205
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,13,15,15,15,28,30,58
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,0,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,1,4,4,4,5,9
CULPINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,15,11,6,10,21,21,42
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,4,1,3,3,7,10
CURVA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,2,7,4,7,6,13
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,6,8,7,9,16
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,640,593,181,180,821,773,1594
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,6,6,3,1,9,7,16
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,15,4,7,12,22,34
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,5,7,2,4,7,11,18
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,56,49,23,24,79,73,152
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,1,1,2,3,3,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,10,5,8,8,18,13,31
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,57,34,0,0,57,34,91
ESCARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,1,3,1,3,4
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,1,1,2,2,4
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,1,0,1,0,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,4,2,0,0,4,2,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,1,2,1,2,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,6,1,0,0,6,1,7
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,6,4,9,5,15,9,24
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,4,4,4,4,8
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,27,19,6,3,33,22,55
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,4,2,11,2,15,4,19
GUANAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,4,12,12,20,16,36
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,5,11,6,13,11,24
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,22,16,25,33,47,49,96
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,6,3,3,2,9,5,14
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,6,7,1,5,7,12,19
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,3,3,3,3,6
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,17,17,9,4,26,21,47
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,2,0,0,2,2,4
HUARINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,2,7,4,9,6,15
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,0,0,1,1,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,1,1,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,1,1,1,1,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,4,3,5,4,9
ICLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,4,11,9,19,13,32
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,7,0,6,7,13,20
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,4,8,10,10,14,18,32
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,5,9,4,2,9,11,20
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,11,8,7,11,18,19,37
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,1,4,2,7,3,10
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,33,27,16,14,49,41,90
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,82,95,16,18,98,113,211
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,588,572,87,87,675,659,1334
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,3,0,0,2,3,5
LAJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,8,12,9,6,17,18,35
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,5,2,5,7,10,9,19
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,2,1,2,1,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,22,31,14,17,36,48,84
LLICA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,3,0,1,3,4,7
LORETO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,3,1,3,3,6,9
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,6,6,4,9,10,19
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,3,3,5,6,8,14
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,3,5,2,12,5,17
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,4,8,10,10,14,24
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,9,9,6,6,15,15,30
MALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,6,1,6,1,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,21,17,2,9,23,26,49
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,4,10,1,2,5,12,17
MINEROS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,1,2,3,2,4,6
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,16,21,16,21,32,42,74
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,12,4,9,5,21,9,30
MOJINETE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,0,2,0,2,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,0,1,1,4,1,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,15,10,0,7,15,17,32
MONTERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,157,135,15,13,172,148,320
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,1,1,2,1,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,1,11,9,13,10,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,5,1,3,4,8,12
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,4,1,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,1,1,1,1,2,3
OCURI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,10,8,5,10,15,18,33
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,11,8,14,8,25,16,41
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,1,5,5,5,6,11
ORURO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,220,211,51,42,271,253,524
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,10,16,5,7,15,23,38
PADILLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,6,2,2,9,8,17
PAILON,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,10,16,35,25,45,41,86
PALCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,7,11,5,8,12,19,31
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,13,20,13,8,26,28,54
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,0,0,3,3,3,3,6
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,5,8,1,1,6,9,15
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,1,2,5,4,6,10
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,0,0,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,11,17,3,12,14,29,43
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,2,4,10,8,12,12,24
POCOATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,1,1,25,23,26,24,50
POCONA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-04-01,3,1,5,4,8,5,13
