,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,3,5,3,5,8
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,35,27,3,2,38,29,67
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,5,1,0,0,5,1,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,3,4,0,1,3,5,8
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,2,0,3,0,3
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,2,0,2,0,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,2,1,0,0,2,1,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,3,4,0,4,3,7
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,11,2,0,3,11,14
UMALA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,1,0,2,2
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,3,1,0,0,3,1,4
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,2,3,0,0,2,3,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,1,0,1,1,2
APOLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,2,0,0,2,2,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,5,0,5,0,5
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,4,1,0,0,4,1,5
AYATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,1,1,2
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,1,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,1,0,1,1,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,0,0,2,0,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,3,0,3,0,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,1,0,2,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,3,1,3,5,6,6,12
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,34,32,4,7,38,39,77
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,0,1,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,3,6,0,0,3,6,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,1,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,1,5,3,6,4,10
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,7,9,9,5,16,14,30
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,4,1,0,0,4,1,5
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,2,1,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,2,1,2,3
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,4,1,0,0,4,1,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,4,0,1,0,5,0,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,4,4,1,0,5,4,9
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,18,21,3,9,21,30,51
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,6,4,6,4,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
MALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,3,2,0,0,3,2,5
OCURI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,6,7,2,4,8,11,19
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,3,4,6,5,9,9,18
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,5,9,10,7,15,16,31
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,5,2,4,1,9,3,12
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,2,0,4,0,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,10,11,6,10,16,21,37
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
PUNA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,1,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,1,1,1,3,2,5
REYES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,6,6,6,7,13
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,1,1,2
SACACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,2,0,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,2,0,2,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,1,1,2
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,1,1,3,1,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,1,3,1,4,2,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,1,0,2,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,5,5,5,5,10
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,0,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,2,13,17,13,19,32
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,1,0,0,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,79,55,29,19,108,74,182
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,0,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,2,1,2,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,5,6,0,0,5,6,11
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,1,0,0,1,1,2
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
TAHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,2,3,1,3,3,6
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,3,3,0,1,3,4,7
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,2,23,20,24,22,46
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,8,11,6,4,14,15,29
UNCIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,2,0,2,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,0,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,1,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,1,1,0,1,1,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,0,1,1
VITICHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,1,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,1,1,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,2,0,0,1,2,1,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-04-01,1,0,3,1,4,1,5
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,1,0,2,2
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,1,1,2
APOLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,3,3,3,3,6
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,2,1,3,4
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,1,1,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,2,0,0,1,2,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,29,22,1,0,30,22,52
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,2,1,0,0,2,1,3
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1,0,1
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,2,0,2,2
CURVA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,15,4,4,5,19,9,28
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,1,1,2,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,3,0,0,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,3,0,0,0,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,3,2,1,3,4,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,16,20,0,0,16,20,36
LAJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,1,1,2,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,0,1,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,2,0,0,0,2,2
MALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,1,1,2,1,3
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,2,0,0,0,2,0,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,7,1,1,1,8,2,10
OCURI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,2,0,2,0,4,0,4
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,4,2,1,3,5,8
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,2,1,3,4
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,1,1,2
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,2,2,2,2,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,1,0,2,1,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,4,0,1,0,5,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,6,7,6,7,13
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,1,1,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,3,0,0,1,3,1,4
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,28,37,5,4,33,41,74
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,2,0,0,0,2,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,3,0,0,0,3,0,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,3,3,0,0,3,3,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,15,3,0,0,15,3,18
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,2,5,0,0,2,5,7
UMALA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,2,0,0,0,2,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,1,3,2,3,5
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,1,1,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,2,0,0,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,5,0,1,0,6,6
VITICHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,2,0,0,0,2,0,2
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,1,1,2
