municipality,group,variable,month,Total 7.2 Inyectables,TOTAL
ALTO BENI,otras actividades de enfermeria, inyectables,2014-03-01,339,339
ANCORAIMES,otras actividades de enfermeria, inyectables,2014-03-01,169,169
ANDAMARCA,otras actividades de enfermeria, inyectables,2014-03-01,172,172
ANTEQUERA,otras actividades de enfermeria, inyectables,2014-03-01,122,122
ANZALDO,otras actividades de enfermeria, inyectables,2014-03-01,256,256
APOLO,otras actividades de enfermeria, inyectables,2014-03-01,570,570
ARAMPAMPA,otras actividades de enfermeria, inyectables,2014-03-01,99,99
ARANI,otras actividades de enfermeria, inyectables,2014-03-01,134,134
ARBIETO,otras actividades de enfermeria, inyectables,2014-03-01,355,355
ARQUE,otras actividades de enfermeria, inyectables,2014-03-01,170,170
ASCENCION DE GUARAYOS,otras actividades de enfermeria, inyectables,2014-03-01,4840,4840
ATOCHA,otras actividades de enfermeria, inyectables,2014-03-01,4289,4289
AUCAPATA,otras actividades de enfermeria, inyectables,2014-03-01,114,114
AYATA,otras actividades de enfermeria, inyectables,2014-03-01,117,117
AYO AYO,otras actividades de enfermeria, inyectables,2014-03-01,91,91
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, inyectables,2014-03-01,997,997
AZURDUY,otras actividades de enfermeria, inyectables,2014-03-01,407,407
BATALLAS,otras actividades de enfermeria, inyectables,2014-03-01,394,394
BAURES,otras actividades de enfermeria, inyectables,2014-03-01,839,839
BELEN DE ANDAMARCA,otras actividades de enfermeria, inyectables,2014-03-01,88,88
BELEN DE URMIRI,otras actividades de enfermeria, inyectables,2014-03-01,64,64
BELLA FLOR,otras actividades de enfermeria, inyectables,2014-03-01,241,241
BERMEJO,otras actividades de enfermeria, inyectables,2014-03-01,10873,10873
BETANZOS,otras actividades de enfermeria, inyectables,2014-03-01,1679,1679
BOLIVAR,otras actividades de enfermeria, inyectables,2014-03-01,145,145
BOLPEBRA,otras actividades de enfermeria, inyectables,2014-03-01,179,179
BOYUIBE,otras actividades de enfermeria, inyectables,2014-03-01,453,453
BUENA VISTA,otras actividades de enfermeria, inyectables,2014-03-01,168,168
CABEZAS,otras actividades de enfermeria, inyectables,2014-03-01,2249,2249
CAIROMA,otras actividades de enfermeria, inyectables,2014-03-01,380,380
"CAIZA ""D""",otras actividades de enfermeria, inyectables,2014-03-01,549,549
CAJUATA,otras actividades de enfermeria, inyectables,2014-03-01,550,550
CALACOTO,otras actividades de enfermeria, inyectables,2014-03-01,58,58
CALAMARCA,otras actividades de enfermeria, inyectables,2014-03-01,245,245
CAMARGO,otras actividades de enfermeria, inyectables,2014-03-01,2968,2968
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria, inyectables,2014-03-01,279,279
CAMIRI,otras actividades de enfermeria, inyectables,2014-03-01,4592,4592
CAPINOTA,otras actividades de enfermeria, inyectables,2014-03-01,1091,1091
CAQUIAVIRI,otras actividades de enfermeria, inyectables,2014-03-01,87,87
CARACOLLO,otras actividades de enfermeria, inyectables,2014-03-01,581,581
CARANAVI,otras actividades de enfermeria, inyectables,2014-03-01,3948,3948
CARANGAS,otras actividades de enfermeria, inyectables,2014-03-01,15,15
CARAPARI,otras actividades de enfermeria, inyectables,2014-03-01,1770,1770
CARIPUYO,otras actividades de enfermeria, inyectables,2014-03-01,100,100
CARMEN RIVERO TORREZ,otras actividades de enfermeria, inyectables,2014-03-01,349,349
CATACORA,otras actividades de enfermeria, inyectables,2014-03-01,32,32
CHACARILLA,otras actividades de enfermeria, inyectables,2014-03-01,56,56
CHALLAPATA,otras actividades de enfermeria, inyectables,2014-03-01,1634,1634
CHAQUI,otras actividades de enfermeria, inyectables,2014-03-01,485,485
CHARAGUA,otras actividades de enfermeria, inyectables,2014-03-01,1699,1699
CHARAÑA,otras actividades de enfermeria, inyectables,2014-03-01,53,53
CHAYANTA,otras actividades de enfermeria, inyectables,2014-03-01,453,453
CHIMORE,otras actividades de enfermeria, inyectables,2014-03-01,714,714
CHIPAYA,otras actividades de enfermeria, inyectables,2014-03-01,24,24
CHOQUE COTA,otras actividades de enfermeria, inyectables,2014-03-01,56,56
CHUA COCANI,otras actividades de enfermeria, inyectables,2014-03-01,71,71
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria, inyectables,2014-03-01,587,587
CHUMA,otras actividades de enfermeria, inyectables,2014-03-01,377,377
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria, inyectables,2014-03-01,86,86
CKOCHAS,otras actividades de enfermeria, inyectables,2014-03-01,386,386
CLIZA,otras actividades de enfermeria, inyectables,2014-03-01,596,596
COBIJA,otras actividades de enfermeria, inyectables,2014-03-01,17328,17328
COCAPATA,otras actividades de enfermeria, inyectables,2014-03-01,58,58
COCHABAMBA,otras actividades de enfermeria, inyectables,2014-03-01,67782,67782
COIPASA,otras actividades de enfermeria, inyectables,2014-03-01,27,27
COLCAPIRHUA,otras actividades de enfermeria, inyectables,2014-03-01,2766,2766
"COLCHA ""K""",otras actividades de enfermeria, inyectables,2014-03-01,901,901
COLLANA,otras actividades de enfermeria, inyectables,2014-03-01,81,81
COLOMI,otras actividades de enfermeria, inyectables,2014-03-01,353,353
COLPA BELGICA,otras actividades de enfermeria, inyectables,2014-03-01,1149,1149
COLQUECHACA,otras actividades de enfermeria, inyectables,2014-03-01,521,521
COLQUENCHA,otras actividades de enfermeria, inyectables,2014-03-01,113,113
COLQUIRI,otras actividades de enfermeria, inyectables,2014-03-01,501,501
COMANCHE,otras actividades de enfermeria, inyectables,2014-03-01,24,24
COMARAPA,otras actividades de enfermeria, inyectables,2014-03-01,1097,1097
COMBAYA,otras actividades de enfermeria, inyectables,2014-03-01,22,22
CONCEPCION,otras actividades de enfermeria, inyectables,2014-03-01,985,985
COPACABANA,otras actividades de enfermeria, inyectables,2014-03-01,332,332
CORIPATA,otras actividades de enfermeria, inyectables,2014-03-01,361,361
CORO CORO,otras actividades de enfermeria, inyectables,2014-03-01,174,174
COROICO,otras actividades de enfermeria, inyectables,2014-03-01,281,281
CORQUE,otras actividades de enfermeria, inyectables,2014-03-01,168,168
COTAGAITA,otras actividades de enfermeria, inyectables,2014-03-01,3249,3249
COTOCA,otras actividades de enfermeria, inyectables,2014-03-01,879,879
CRUZ DE MACHACAMARCA,otras actividades de enfermeria, inyectables,2014-03-01,8,8
CUATRO CAÑADAS,otras actividades de enfermeria, inyectables,2014-03-01,1769,1769
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria, inyectables,2014-03-01,27,27
CUEVO,otras actividades de enfermeria, inyectables,2014-03-01,187,187
CULPINA,otras actividades de enfermeria, inyectables,2014-03-01,1054,1054
CURAHUARA DE CARANGAS,otras actividades de enfermeria, inyectables,2014-03-01,151,151
CURVA,otras actividades de enfermeria, inyectables,2014-03-01,104,104
DESAGUADERO,otras actividades de enfermeria, inyectables,2014-03-01,140,140
EL ALTO,otras actividades de enfermeria, inyectables,2014-03-01,37835,37835
EL CHORO,otras actividades de enfermeria, inyectables,2014-03-01,110,110
EL PUENTE(STC),otras actividades de enfermeria, inyectables,2014-03-01,593,593
EL PUENTE(TJA),otras actividades de enfermeria, inyectables,2014-03-01,1139,1139
EL TORNO,otras actividades de enfermeria, inyectables,2014-03-01,7629,7629
EL VILLAR,otras actividades de enfermeria, inyectables,2014-03-01,221,221
ENTRE RIOS TRJ,otras actividades de enfermeria, inyectables,2014-03-01,2024,2024
ENTRE RIOS CBBA,otras actividades de enfermeria, inyectables,2014-03-01,767,767
ESCARA,otras actividades de enfermeria, inyectables,2014-03-01,27,27
ESCOMA,otras actividades de enfermeria, inyectables,2014-03-01,599,599
ESMERALDA,otras actividades de enfermeria, inyectables,2014-03-01,28,28
EUCALIPTUS,otras actividades de enfermeria, inyectables,2014-03-01,13,13
EUREKA (SANTOS MERCADO),otras actividades de enfermeria, inyectables,2014-03-01,67,67
EXALTACION,otras actividades de enfermeria, inyectables,2014-03-01,70,70
FERNANDEZ ALONSO,otras actividades de enfermeria, inyectables,2014-03-01,955,955
FILADELFIA,otras actividades de enfermeria, inyectables,2014-03-01,519,519
GENERAL SAAVEDRA,otras actividades de enfermeria, inyectables,2014-03-01,753,753
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria, inyectables,2014-03-01,282,282
GUANAY,otras actividades de enfermeria, inyectables,2014-03-01,681,681
GUAQUI,otras actividades de enfermeria, inyectables,2014-03-01,120,120
GUAYARAMERIN,otras actividades de enfermeria, inyectables,2014-03-01,16492,16492
GUTIERREZ,otras actividades de enfermeria, inyectables,2014-03-01,493,493
HUACARETA,otras actividades de enfermeria, inyectables,2014-03-01,1232,1232
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria, inyectables,2014-03-01,93,93
HUACHACALLA,otras actividades de enfermeria, inyectables,2014-03-01,190,190
HUANUNI,otras actividades de enfermeria, inyectables,2014-03-01,4184,4184
HUARACAJE,otras actividades de enfermeria, inyectables,2014-03-01,263,263
HUARINA,otras actividades de enfermeria, inyectables,2014-03-01,123,123
HUATAJATA,otras actividades de enfermeria, inyectables,2014-03-01,323,323
HUAYLLAMARCA,otras actividades de enfermeria, inyectables,2014-03-01,208,208
HUMANATA,otras actividades de enfermeria, inyectables,2014-03-01,92,92
ICHOCA,otras actividades de enfermeria, inyectables,2014-03-01,34,34
ICLA,otras actividades de enfermeria, inyectables,2014-03-01,415,415
INCAHUASI,otras actividades de enfermeria, inyectables,2014-03-01,560,560
INGAVI (HUMAITA),otras actividades de enfermeria, inyectables,2014-03-01,38,38
INQUISIVI,otras actividades de enfermeria, inyectables,2014-03-01,123,123
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria, inyectables,2014-03-01,537,537
IXIAMAS,otras actividades de enfermeria, inyectables,2014-03-01,404,404
JESUS DE MACHACA,otras actividades de enfermeria, inyectables,2014-03-01,649,649
LA ASUNTA,otras actividades de enfermeria, inyectables,2014-03-01,1408,1408
LA GUARDIA,otras actividades de enfermeria, inyectables,2014-03-01,3413,3413
LA PAZ,otras actividades de enfermeria, inyectables,2014-03-01,168057,168057
LA RIVERA,otras actividades de enfermeria, inyectables,2014-03-01,31,31
LAGUNILLAS,otras actividades de enfermeria, inyectables,2014-03-01,330,330
LAJA,otras actividades de enfermeria, inyectables,2014-03-01,266,266
LAS CARRERAS,otras actividades de enfermeria, inyectables,2014-03-01,330,330
LICOMA PAMPA,otras actividades de enfermeria, inyectables,2014-03-01,44,44
LLALLAGUA,otras actividades de enfermeria, inyectables,2014-03-01,4782,4782
LLICA,otras actividades de enfermeria, inyectables,2014-03-01,287,287
LORETO,otras actividades de enfermeria, inyectables,2014-03-01,166,166
LURIBAY,otras actividades de enfermeria, inyectables,2014-03-01,211,211
MACHACAMARCA,otras actividades de enfermeria, inyectables,2014-03-01,128,128
MACHARETI,otras actividades de enfermeria, inyectables,2014-03-01,482,482
MAGDALENA,otras actividades de enfermeria, inyectables,2014-03-01,3277,3277
MAIRANA,otras actividades de enfermeria, inyectables,2014-03-01,1317,1317
MALLA,otras actividades de enfermeria, inyectables,2014-03-01,15,15
MAPIRI,otras actividades de enfermeria, inyectables,2014-03-01,467,467
MECAPACA,otras actividades de enfermeria, inyectables,2014-03-01,187,187
MINEROS,otras actividades de enfermeria, inyectables,2014-03-01,978,978
MIZQUE,otras actividades de enfermeria, inyectables,2014-03-01,1377,1377
MOCOMOCO,otras actividades de enfermeria, inyectables,2014-03-01,135,135
MOJINETE,otras actividades de enfermeria, inyectables,2014-03-01,43,43
MOJOCOYA,otras actividades de enfermeria, inyectables,2014-03-01,623,623
MONTEAGUDO,otras actividades de enfermeria, inyectables,2014-03-01,4384,4384
MONTERO,otras actividades de enfermeria, inyectables,2014-03-01,18167,18167
MORO MORO,otras actividades de enfermeria, inyectables,2014-03-01,245,245
MOROCHATA,otras actividades de enfermeria, inyectables,2014-03-01,204,204
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria, inyectables,2014-03-01,288,288
NAZACARA DE PACAJES,otras actividades de enfermeria, inyectables,2014-03-01,16,16
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria, inyectables,2014-03-01,404,404
OCURI,otras actividades de enfermeria, inyectables,2014-03-01,315,315
OKINAWA,otras actividades de enfermeria, inyectables,2014-03-01,267,267
OMEREQUE,otras actividades de enfermeria, inyectables,2014-03-01,398,398
ORURO,otras actividades de enfermeria, inyectables,2014-03-01,58613,58613
PADCAYA,otras actividades de enfermeria, inyectables,2014-03-01,1878,1878
PADILLA,otras actividades de enfermeria, inyectables,2014-03-01,3247,3247
PAILON,otras actividades de enfermeria, inyectables,2014-03-01,857,857
PALCA,otras actividades de enfermeria, inyectables,2014-03-01,252,252
PALOS BLANCOS,otras actividades de enfermeria, inyectables,2014-03-01,1218,1218
PAMPA AULLAGAS,otras actividades de enfermeria, inyectables,2014-03-01,107,107
PAMPA GRANDE,otras actividades de enfermeria, inyectables,2014-03-01,453,453
PAPEL PAMPA,otras actividades de enfermeria, inyectables,2014-03-01,289,289
PASORAPA,otras actividades de enfermeria, inyectables,2014-03-01,46,46
PATACAMAYA,otras actividades de enfermeria, inyectables,2014-03-01,668,668
PAZÑA,otras actividades de enfermeria, inyectables,2014-03-01,244,244
PELECHUCO,otras actividades de enfermeria, inyectables,2014-03-01,204,204
POCOATA,otras actividades de enfermeria, inyectables,2014-03-01,220,220
POCONA,otras actividades de enfermeria, inyectables,2014-03-01,321,321
POJO (CBBA),otras actividades de enfermeria, inyectables,2014-03-01,418,418
POOPO,otras actividades de enfermeria, inyectables,2014-03-01,309,309
PORCO,otras actividades de enfermeria, inyectables,2014-03-01,366,366
POROMA,otras actividades de enfermeria, inyectables,2014-03-01,575,575
PORONGO,otras actividades de enfermeria, inyectables,2014-03-01,340,340
PORTACHUELO,otras actividades de enfermeria, inyectables,2014-03-01,5473,5473
PORVENIR,otras actividades de enfermeria, inyectables,2014-03-01,855,855
POSTRER VALLE,otras actividades de enfermeria, inyectables,2014-03-01,70,70
POTOSI,otras actividades de enfermeria, inyectables,2014-03-01,52121,52121
PRESTO,otras actividades de enfermeria, inyectables,2014-03-01,547,547
PUCARA,otras actividades de enfermeria, inyectables,2014-03-01,74,74
PUCARANI,otras actividades de enfermeria, inyectables,2014-03-01,491,491
PUERTO ACOSTA,otras actividades de enfermeria, inyectables,2014-03-01,250,250
PUERTO CARABUCO,otras actividades de enfermeria, inyectables,2014-03-01,217,217
PUERTO GONZALO MORENO,otras actividades de enfermeria, inyectables,2014-03-01,766,766
PUERTO PEREZ,otras actividades de enfermeria, inyectables,2014-03-01,90,90
PUERTO QUIJARRO,otras actividades de enfermeria, inyectables,2014-03-01,716,716
PUERTO RICO,otras actividades de enfermeria, inyectables,2014-03-01,1508,1508
PUERTO SILES,otras actividades de enfermeria, inyectables,2014-03-01,101,101
PUERTO SUAREZ,otras actividades de enfermeria, inyectables,2014-03-01,1802,1802
PUERTO VILLARROEL,otras actividades de enfermeria, inyectables,2014-03-01,1576,1576
PUNA,otras actividades de enfermeria, inyectables,2014-03-01,1003,1003
PUNATA,otras actividades de enfermeria, inyectables,2014-03-01,3218,3218
QUIABAYA,otras actividades de enfermeria, inyectables,2014-03-01,192,192
QUILLACOLLO,otras actividades de enfermeria, inyectables,2014-03-01,4243,4243
QUIME,otras actividades de enfermeria, inyectables,2014-03-01,278,278
QUIRUSILLAS,otras actividades de enfermeria, inyectables,2014-03-01,128,128
RAVELO,otras actividades de enfermeria, inyectables,2014-03-01,708,708
REYES,otras actividades de enfermeria, inyectables,2014-03-01,1467,1467
RIBERALTA,otras actividades de enfermeria, inyectables,2014-03-01,8158,8158
ROBORE,otras actividades de enfermeria, inyectables,2014-03-01,2831,2831
RURRENABAQUE,otras actividades de enfermeria, inyectables,2014-03-01,2925,2925
SABAYA,otras actividades de enfermeria, inyectables,2014-03-01,421,421
SACABA,otras actividades de enfermeria, inyectables,2014-03-01,4651,4651
SACABAMBA,otras actividades de enfermeria, inyectables,2014-03-01,91,91
SACACA,otras actividades de enfermeria, inyectables,2014-03-01,238,238
SAIPINA,otras actividades de enfermeria, inyectables,2014-03-01,249,249
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria, inyectables,2014-03-01,560,560
SAMAIPATA,otras actividades de enfermeria, inyectables,2014-03-01,874,874
SAN AGUSTIN,otras actividades de enfermeria, inyectables,2014-03-01,81,81
SAN ANDRES,otras actividades de enfermeria, inyectables,2014-03-01,417,417
SAN ANDRES DE MACHACA,otras actividades de enfermeria, inyectables,2014-03-01,101,101
SAN ANTONIO DE ESMORUCO,otras actividades de enfermeria, inyectables,2014-03-01,130,130
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria, inyectables,2014-03-01,282,282
SAN BENITO,otras actividades de enfermeria, inyectables,2014-03-01,339,339
SAN BORJA,otras actividades de enfermeria, inyectables,2014-03-01,1628,1628
SAN BUENA VENTURA,otras actividades de enfermeria, inyectables,2014-03-01,582,582
SAN CARLOS,otras actividades de enfermeria, inyectables,2014-03-01,2195,2195
SAN IGNACIO,otras actividades de enfermeria, inyectables,2014-03-01,2571,2571
SAN IGNACIO DE VELASCO,otras actividades de enfermeria, inyectables,2014-03-01,3318,3318
SAN JAVIER(BNI),otras actividades de enfermeria, inyectables,2014-03-01,144,144
SAN JAVIER(STC),otras actividades de enfermeria, inyectables,2014-03-01,302,302
SAN JOAQUIN,otras actividades de enfermeria, inyectables,2014-03-01,237,237
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria, inyectables,2014-03-01,1802,1802
SAN JUAN DE YAPACANI,otras actividades de enfermeria, inyectables,2014-03-01,456,456
SAN JULIAN,otras actividades de enfermeria, inyectables,2014-03-01,2295,2295
SAN LORENZO(PND),otras actividades de enfermeria, inyectables,2014-03-01,246,246
SAN LORENZO(TJA),otras actividades de enfermeria, inyectables,2014-03-01,1430,1430
SAN LUCAS,otras actividades de enfermeria, inyectables,2014-03-01,1774,1774
SAN MATIAS,otras actividades de enfermeria, inyectables,2014-03-01,1841,1841
SAN MIGUEL DE VELASCO,otras actividades de enfermeria, inyectables,2014-03-01,845,845
SAN PABLO DE LIPEZ,otras actividades de enfermeria, inyectables,2014-03-01,139,139
SAN PEDRO,otras actividades de enfermeria, inyectables,2014-03-01,1345,1345
SAN PEDRO DE BUENA VISTA,otras actividades de enfermeria, inyectables,2014-03-01,352,352
SAN PEDRO DE CURAHUARA,otras actividades de enfermeria, inyectables,2014-03-01,113,113
SAN PEDRO DE QUEMES,otras actividades de enfermeria, inyectables,2014-03-01,50,50
SAN PEDRO DE TIQUINA,otras actividades de enfermeria, inyectables,2014-03-01,296,296
SAN PEDRO(PND),otras actividades de enfermeria, inyectables,2014-03-01,183,183
SAN RAFAEL,otras actividades de enfermeria, inyectables,2014-03-01,929,929
SAN RAMON BENI,otras actividades de enfermeria, inyectables,2014-03-01,557,557
SAN RAMON SCZ,otras actividades de enfermeria, inyectables,2014-03-01,766,766
SANTA ANA,otras actividades de enfermeria, inyectables,2014-03-01,4648,4648
SANTA CRUZ DE LA SIERRA,otras actividades de enfermeria, inyectables,2014-03-01,266466,266466
SANTA ROSA,otras actividades de enfermeria, inyectables,2014-03-01,496,496
SANTA ROSA DEL SARA,otras actividades de enfermeria, inyectables,2014-03-01,846,846
SANTIAGO DE CALLAPA,otras actividades de enfermeria, inyectables,2014-03-01,91,91
SANTIAGO DE HUARI,otras actividades de enfermeria, inyectables,2014-03-01,597,597
SANTIAGO DE HUATA,otras actividades de enfermeria, inyectables,2014-03-01,216,216
SANTIAGO DE MACHACA,otras actividades de enfermeria, inyectables,2014-03-01,160,160
SANTIVAÑES,otras actividades de enfermeria, inyectables,2014-03-01,258,258
SANTUARIO DE QUILLACAS,otras actividades de enfermeria, inyectables,2014-03-01,243,243
SAPAHAQUI,otras actividades de enfermeria, inyectables,2014-03-01,242,242
SENA,otras actividades de enfermeria, inyectables,2014-03-01,225,225
SHINAOTA,otras actividades de enfermeria, inyectables,2014-03-01,1445,1445
SICA SICA (VILLA AROMA),otras actividades de enfermeria, inyectables,2014-03-01,452,452
SICAYA,otras actividades de enfermeria, inyectables,2014-03-01,60,60
SIPE SIPE,otras actividades de enfermeria, inyectables,2014-03-01,786,786
SOPACHUY,otras actividades de enfermeria, inyectables,2014-03-01,568,568
SORACACHI,otras actividades de enfermeria, inyectables,2014-03-01,235,235
SORATA,otras actividades de enfermeria, inyectables,2014-03-01,396,396
SUCRE,otras actividades de enfermeria, inyectables,2014-03-01,58655,58655
TACACHI,otras actividades de enfermeria, inyectables,2014-03-01,5,5
TACACOMA,otras actividades de enfermeria, inyectables,2014-03-01,256,256
TACOBAMBA,otras actividades de enfermeria, inyectables,2014-03-01,186,186
TACOPAYA,otras actividades de enfermeria, inyectables,2014-03-01,162,162
TAHUA,otras actividades de enfermeria, inyectables,2014-03-01,63,63
TAPACARI,otras actividades de enfermeria, inyectables,2014-03-01,453,453
TARABUCO,otras actividades de enfermeria, inyectables,2014-03-01,1643,1643
TARACO,otras actividades de enfermeria, inyectables,2014-03-01,182,182
TARATA,otras actividades de enfermeria, inyectables,2014-03-01,320,320
TARIJA,otras actividades de enfermeria, inyectables,2014-03-01,81418,81418
TARVITA,otras actividades de enfermeria, inyectables,2014-03-01,858,858
TEOPONTE,otras actividades de enfermeria, inyectables,2014-03-01,255,255
TIAWANACU,otras actividades de enfermeria, inyectables,2014-03-01,298,298
TINGUIPAYA,otras actividades de enfermeria, inyectables,2014-03-01,272,272
TIPUANI,otras actividades de enfermeria, inyectables,2014-03-01,144,144
TIQUIPAYA,otras actividades de enfermeria, inyectables,2014-03-01,726,726
TIRAQUE (CBBA),otras actividades de enfermeria, inyectables,2014-03-01,364,364
TITO YUPANQUI (PARQUIPUJIO),otras actividades de enfermeria, inyectables,2014-03-01,34,34
TOCO,otras actividades de enfermeria, inyectables,2014-03-01,210,210
TODOS SANTOS,otras actividades de enfermeria, inyectables,2014-03-01,21,21
TOLATA,otras actividades de enfermeria, inyectables,2014-03-01,237,237
TOLEDO,otras actividades de enfermeria, inyectables,2014-03-01,146,146
TOMAVE,otras actividades de enfermeria, inyectables,2014-03-01,1057,1057
TOMINA,otras actividades de enfermeria, inyectables,2014-03-01,812,812
TORO TORO,otras actividades de enfermeria, inyectables,2014-03-01,299,299
TOTORA(CBBA),otras actividades de enfermeria, inyectables,2014-03-01,543,543
TOTORA(ORR),otras actividades de enfermeria, inyectables,2014-03-01,170,170
TRIGAL,otras actividades de enfermeria, inyectables,2014-03-01,262,262
TRINIDAD,otras actividades de enfermeria, inyectables,2014-03-01,51544,51544
TUPIZA,otras actividades de enfermeria, inyectables,2014-03-01,9203,9203
TURCO,otras actividades de enfermeria, inyectables,2014-03-01,151,151
UMALA,otras actividades de enfermeria, inyectables,2014-03-01,156,156
UNCIA,otras actividades de enfermeria, inyectables,2014-03-01,484,484
URIONDO (A. CONCEPCION),otras actividades de enfermeria, inyectables,2014-03-01,1280,1280
URUBICHA,otras actividades de enfermeria, inyectables,2014-03-01,254,254
UYUNI,otras actividades de enfermeria, inyectables,2014-03-01,5259,5259
VACAS,otras actividades de enfermeria, inyectables,2014-03-01,283,283
VALLEGRANDE,otras actividades de enfermeria, inyectables,2014-03-01,4017,4017
VIACHA,otras actividades de enfermeria, inyectables,2014-03-01,5361,5361
VILA VILA,otras actividades de enfermeria, inyectables,2014-03-01,40,40
VILLA CHARCAS,otras actividades de enfermeria, inyectables,2014-03-01,447,447
VILLA MONTES,otras actividades de enfermeria, inyectables,2014-03-01,11018,11018
VILLA NUEVA (LOMA ALTA),otras actividades de enfermeria, inyectables,2014-03-01,144,144
VILLA RIVERO,otras actividades de enfermeria, inyectables,2014-03-01,296,296
VILLA SERRANO,otras actividades de enfermeria, inyectables,2014-03-01,647,647
VILLA TUNARI,otras actividades de enfermeria, inyectables,2014-03-01,1802,1802
VILLA VACA GUZMAN (MUYUPAMPA),otras actividades de enfermeria, inyectables,2014-03-01,353,353
VILLAZON,otras actividades de enfermeria, inyectables,2014-03-01,5761,5761
VINTO,otras actividades de enfermeria, inyectables,2014-03-01,515,515
VITICHI,otras actividades de enfermeria, inyectables,2014-03-01,520,520
WALDO BALLIVIAN,otras actividades de enfermeria, inyectables,2014-03-01,42,42
WARNES,otras actividades de enfermeria, inyectables,2014-03-01,3190,3190
YACO,otras actividades de enfermeria, inyectables,2014-03-01,109,109
YACUIBA,otras actividades de enfermeria, inyectables,2014-03-01,26902,26902
YAMPARAEZ,otras actividades de enfermeria, inyectables,2014-03-01,368,368
YANACACHI,otras actividades de enfermeria, inyectables,2014-03-01,264,264
YAPACANI,otras actividades de enfermeria, inyectables,2014-03-01,7069,7069
YOCALLA,otras actividades de enfermeria, inyectables,2014-03-01,351,351
YOTALA,otras actividades de enfermeria, inyectables,2014-03-01,630,630
YUNCHARA,otras actividades de enfermeria, inyectables,2014-03-01,455,455
YUNGUYO DE LITORAL,otras actividades de enfermeria, inyectables,2014-03-01,6,6
ZUDAÑEZ,otras actividades de enfermeria, inyectables,2014-03-01,489,489
ACACIO,otras actividades de enfermeria, inyectables,2014-04-01,224,224
ACHACACHI,otras actividades de enfermeria, inyectables,2014-04-01,1013,1013
ACHOCALLA,otras actividades de enfermeria, inyectables,2014-04-01,174,174
AIQUILE,otras actividades de enfermeria, inyectables,2014-04-01,1500,1500
ALALAY,otras actividades de enfermeria, inyectables,2014-04-01,65,65
ALCALA,otras actividades de enfermeria, inyectables,2014-04-01,300,300
ALTO BENI,otras actividades de enfermeria, inyectables,2014-04-01,278,278
ANCORAIMES,otras actividades de enfermeria, inyectables,2014-04-01,229,229
ANDAMARCA,otras actividades de enfermeria, inyectables,2014-04-01,169,169
ANTEQUERA,otras actividades de enfermeria, inyectables,2014-04-01,126,126
ANZALDO,otras actividades de enfermeria, inyectables,2014-04-01,244,244
APOLO,otras actividades de enfermeria, inyectables,2014-04-01,545,545
ARAMPAMPA,otras actividades de enfermeria, inyectables,2014-04-01,126,126
ARANI,otras actividades de enfermeria, inyectables,2014-04-01,163,163
ARBIETO,otras actividades de enfermeria, inyectables,2014-04-01,323,323
ARQUE,otras actividades de enfermeria, inyectables,2014-04-01,153,153
ASCENCION DE GUARAYOS,otras actividades de enfermeria, inyectables,2014-04-01,6648,6648
ATOCHA,otras actividades de enfermeria, inyectables,2014-04-01,4048,4048
AUCAPATA,otras actividades de enfermeria, inyectables,2014-04-01,113,113
AYATA,otras actividades de enfermeria, inyectables,2014-04-01,199,199
AYO AYO,otras actividades de enfermeria, inyectables,2014-04-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, inyectables,2014-04-01,946,946
AZURDUY,otras actividades de enfermeria, inyectables,2014-04-01,300,300
BATALLAS,otras actividades de enfermeria, inyectables,2014-04-01,344,344
BAURES,otras actividades de enfermeria, inyectables,2014-04-01,767,767
BELEN DE ANDAMARCA,otras actividades de enfermeria, inyectables,2014-04-01,110,110
BELEN DE URMIRI,otras actividades de enfermeria, inyectables,2014-04-01,18,18
BELLA FLOR,otras actividades de enfermeria, inyectables,2014-04-01,190,190
BERMEJO,otras actividades de enfermeria, inyectables,2014-04-01,10559,10559
BETANZOS,otras actividades de enfermeria, inyectables,2014-04-01,1599,1599
BOLIVAR,otras actividades de enfermeria, inyectables,2014-04-01,116,116
BOLPEBRA,otras actividades de enfermeria, inyectables,2014-04-01,151,151
BOYUIBE,otras actividades de enfermeria, inyectables,2014-04-01,605,605
BUENA VISTA,otras actividades de enfermeria, inyectables,2014-04-01,494,494
CABEZAS,otras actividades de enfermeria, inyectables,2014-04-01,2344,2344
CAIROMA,otras actividades de enfermeria, inyectables,2014-04-01,492,492
"CAIZA ""D""",otras actividades de enfermeria, inyectables,2014-04-01,474,474
