municipality,group,variable,month,Total 7.3 Curaciones y/o suturas,TOTAL
MECAPACA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,103,103
MINEROS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,114,114
MIZQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,274,274
MOCOMOCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,40,40
MOJINETE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,6,6
MOJOCOYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,23,23
MONTEAGUDO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,556,556
MONTERO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,3398,3398
MORO MORO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,20,20
MOROCHATA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,36,36
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,56,56
NAZACARA DE PACAJES,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,7,7
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,17,17
OCURI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,27,27
OKINAWA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,120,120
OMEREQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,43,43
ORURO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,9658,9658
PADCAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,311,311
PADILLA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,160,160
PAILON,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,295,295
PALCA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,63,63
PALOS BLANCOS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,167,167
PAMPA AULLAGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,34,34
PAMPA GRANDE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,111,111
PAPEL PAMPA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,65,65
PASORAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,21,21
PATACAMAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,180,180
PAZÑA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,51,51
PELECHUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,37,37
POCOATA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,105,105
POCONA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,70,70
POJO (CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,49,49
POOPO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,86,86
PORCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,42,42
POROMA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,91,91
PORONGO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,73,73
PORTACHUELO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,1485,1485
PORVENIR,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,101,101
POSTRER VALLE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,13,13
POTOSI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,4839,4839
PRESTO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,32,32
PUCARA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,15,15
PUCARANI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,131,131
PUERTO ACOSTA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,39,39
PUERTO CARABUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,55,55
PUERTO GONZALO MORENO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,130,130
PUERTO PEREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,37,37
PUERTO QUIJARRO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,267,267
PUERTO RICO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,23,23
PUERTO SILES,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,13,13
PUERTO SUAREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,379,379
PUERTO VILLARROEL,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,1010,1010
PUNA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,173,173
PUNATA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,944,944
QUIABAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,28,28
QUILLACOLLO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,1120,1120
QUIME,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,40,40
QUIRUSILLAS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,17,17
RAVELO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,56,56
REYES,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,483,483
RIBERALTA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,5471,5471
ROBORE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,325,325
RURRENABAQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,261,261
SABAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,29,29
SACABA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,1774,1774
SACABAMBA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,15,15
SACACA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,63,63
SAIPINA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,108,108
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,62,62
SAMAIPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,145,145
SAN AGUSTIN,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,5,5
SAN ANDRES,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,52,52
SAN ANDRES DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,64,64
SAN ANTONIO DE ESMORUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,18,18
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,33,33
SAN BENITO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,105,105
SAN BORJA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,757,757
SAN BUENA VENTURA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,103,103
SAN CARLOS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,174,174
SAN IGNACIO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,451,451
SAN IGNACIO DE VELASCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,853,853
SAN JAVIER(BNI),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,32,32
SAN JAVIER(STC),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,70,70
SAN JOAQUIN,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,144,144
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,277,277
SAN JUAN DE YAPACANI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,81,81
SAN JULIAN,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,604,604
SAN LORENZO(PND),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,15,15
SAN LORENZO(TJA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,278,278
SAN LUCAS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,111,111
SAN MATIAS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,152,152
SAN MIGUEL DE VELASCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,98,98
SAN PABLO DE LIPEZ,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,6,6
SAN PEDRO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,99,99
SAN PEDRO DE BUENA VISTA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,54,54
SAN PEDRO DE CURAHUARA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,14,14
SAN PEDRO DE QUEMES,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,7,7
SAN PEDRO DE TIQUINA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,133,133
SAN PEDRO(PND),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,11,11
SAN RAFAEL,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,85,85
SAN RAMON BENI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,128,128
SAN RAMON SCZ,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,232,232
SANTA ANA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,679,679
SANTA CRUZ DE LA SIERRA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,33962,33962
SANTA ROSA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,115,115
SANTA ROSA DEL SARA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,160,160
SANTIAGO DE CALLAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,20,20
SANTIAGO DE HUARI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,161,161
SANTIAGO DE HUATA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,60,60
SANTIAGO DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,18,18
SANTIVAÑES,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,62,62
SANTUARIO DE QUILLACAS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,120,120
SAPAHAQUI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,65,65
SENA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,31,31
SHINAOTA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,168,168
SICA SICA (VILLA AROMA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,140,140
SICAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,12,12
SIPE SIPE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,353,353
SOPACHUY,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,72,72
SORACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,38,38
SORATA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,63,63
SUCRE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,6522,6522
TACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,4,4
TACACOMA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,42,42
TACOBAMBA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,28,28
TACOPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,26,26
TAPACARI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,94,94
TARABUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,51,51
TARACO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,47,47
TARATA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,123,123
TARIJA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,16403,16403
TARVITA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,78,78
TEOPONTE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,25,25
TIAWANACU,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,59,59
TINGUIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,25,25
TIPUANI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,95,95
TIQUIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,333,333
TIRAQUE (CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,133,133
TITO YUPANQUI (PARQUIPUJIO),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,22,22
TOCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,54,54
TOLATA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,67,67
TOLEDO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,33,33
TOMAVE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,62,62
TOMINA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,56,56
TORO TORO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,43,43
TOTORA(CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,105,105
TOTORA(ORR),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,14,14
TRIGAL,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,39,39
TRINIDAD,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,26765,26765
TUPIZA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,1181,1181
TURCO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,33,33
UMALA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,29,29
UNCIA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,161,161
URIONDO (A. CONCEPCION),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,193,193
URUBICHA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,60,60
UYUNI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,1007,1007
VACAS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,95,95
VALLEGRANDE,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,268,268
VIACHA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,717,717
VILA VILA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,16,16
VILLA CHARCAS,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,36,36
VILLA MONTES,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,1336,1336
VILLA NUEVA (LOMA ALTA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,12,12
VILLA RIVERO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,71,71
VILLA SERRANO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,73,73
VILLA TUNARI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,720,720
VILLA VACA GUZMAN (MUYUPAMPA),otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,45,45
VILLAZON,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,803,803
VINTO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,514,514
VITICHI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,40,40
WALDO BALLIVIAN,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,18,18
WARNES,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,655,655
YACO,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,15,15
YACUIBA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,4780,4780
YAMPARAEZ,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,80,80
YANACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,35,35
YAPACANI,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,792,792
YOCALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,21,21
YOTALA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,57,57
YUNCHARA,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,45,45
YUNGUYO DE LITORAL,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,1,1
ZUDAÑEZ,otras actividades de enfermeria, curaciones y/o suturas,2014-04-01,162,162
ACACIO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,33,33
ACHACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,178,178
ACHOCALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,54,54
AIQUILE,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,279,279
ALALAY,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,16,16
ALCALA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,38,38
ALTO BENI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,29,29
ANCORAIMES,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,43,43
ANDAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,73,73
ANTEQUERA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,13,13
ANZALDO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,72,72
APOLO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,78,78
ARAMPAMPA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,19,19
ARANI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,146,146
ARBIETO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,51,51
ARQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,45,45
ASCENCION DE GUARAYOS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,588,588
ATOCHA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,610,610
AUCAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,24,24
AYATA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,77,77
AYO AYO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,23,23
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,115,115
AZURDUY,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,59,59
BATALLAS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,63,63
BAURES,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,282,282
BELEN DE ANDAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,13,13
BELEN DE URMIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,7,7
BELLA FLOR,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,41,41
BERMEJO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,1368,1368
BETANZOS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,159,159
BOLIVAR,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,14,14
BOLPEBRA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,40,40
BOYUIBE,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,34,34
BUENA VISTA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,40,40
CABEZAS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,157,157
CAIROMA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,77,77
"CAIZA ""D""",otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,56,56
CAJUATA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,36,36
CALACOTO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,11,11
CALAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,66,66
CAMARGO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,107,107
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,8,8
CAMIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,1011,1011
CAPINOTA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,175,175
CAQUIAVIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,41,41
CARACOLLO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,187,187
CARANAVI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,357,357
CARANGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,1,1
CARAPARI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,307,307
CARIPUYO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,19,19
CARMEN RIVERO TORREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,65,65
CATACORA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,6,6
CHACARILLA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,5,5
CHALLAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,439,439
CHAQUI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,64,64
CHARAGUA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,166,166
CHARAÑA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,13,13
CHAYANTA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,83,83
CHIMORE,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,345,345
CHIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,25,25
CHOQUE COTA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,12,12
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,169,169
CHUMA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,45,45
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,27,27
CKOCHAS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,29,29
CLIZA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,227,227
COBIJA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,1597,1597
COCAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,42,42
COCHABAMBA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,13532,13532
COIPASA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,6,6
COLCAPIRHUA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,529,529
"COLCHA ""K""",otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,130,130
COLLANA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,24,24
COLOMI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,112,112
COLPA BELGICA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,175,175
COLQUECHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,126,126
COLQUENCHA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,56,56
COLQUIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,466,466
COMANCHE,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,14,14
COMARAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,196,196
COMBAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,21,21
CONCEPCION,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,142,142
COPACABANA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,105,105
CORIPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,59,59
CORO CORO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,38,38
COROICO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,194,194
CORQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,26,26
COTAGAITA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,497,497
COTOCA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,918,918
CRUZ DE MACHACAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,4,4
CUATRO CAÑADAS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,383,383
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,5,5
CUEVO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,32,32
CULPINA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,147,147
CURAHUARA DE CARANGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,25,25
CURVA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,2,2
DESAGUADERO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,12,12
EL ALTO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,9835,9835
EL CHORO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,19,19
EL PUENTE(STC),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,108,108
EL PUENTE(TJA),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,96,96
EL TORNO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,3000,3000
EL VILLAR,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,25,25
ENTRE RIOS TRJ,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,291,291
ENTRE RIOS CBBA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,220,220
ESCOMA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,158,158
ESMERALDA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,2,2
EUCALIPTUS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,48,48
EUREKA (SANTOS MERCADO),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,4,4
EXALTACION,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,10,10
FERNANDEZ ALONSO,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,171,171
FILADELFIA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,48,48
GENERAL SAAVEDRA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,133,133
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,42,42
GUANAY,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,147,147
GUAQUI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,37,37
GUAYARAMERIN,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,1923,1923
GUTIERREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,35,35
HUACARETA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,70,70
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,7,7
HUACHACALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,24,24
HUANUNI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,902,902
HUARACAJE,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,85,85
HUARINA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,24,24
HUATAJATA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,96,96
HUAYLLAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,29,29
HUMANATA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,17,17
ICHOCA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,10,10
ICLA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,53,53
INCAHUASI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,99,99
INGAVI (HUMAITA),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,6,6
INQUISIVI,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,52,52
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,179,179
IXIAMAS,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,54,54
JESUS DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,98,98
LA ASUNTA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,206,206
LA GUARDIA,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,1164,1164
LA PAZ,otras actividades de enfermeria, curaciones y/o suturas,2014-05-01,30903,30903
