,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,4,9,13
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,7,14,21
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,57,162,219
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,0,2
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,1,3
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,6,10,16
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,3,4
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,4,0,4
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,15,10,25
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,0,2
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,361,252,613
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,54,10,64
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,3,4
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,0,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,4,5,9
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,8,3,11
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,10,12,22
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,14,14,28
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,4,0,4
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,1,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,12,10,22
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,417,515,932
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,7,5,12
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,3,1,4
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,5,2,7
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,18,17,35
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,36,60,96
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,19,13,32
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,49,50,99
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,8,10
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,3,1,4
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,0,2
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,6,8
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,0,2
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,4,1,5
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,4,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,28,43,71
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,5,14,19
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,5,2,7
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,12,5,17
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,3,6,9
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,1,3
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,7,9
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,3,1,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,2,4
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,5,4,9
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,2,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,23,6,29
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,8,6,14
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,2,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,3,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,1,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,9,12,21
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,5,2,7
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,3,4
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,19,37,56
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,316,396,712
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,5,6,11
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,0,2
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,20,27,47
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,472,472,944
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,3,2,5
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,15,18,33
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,3,1,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,48,48,96
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,2,4
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,1,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,3,2,5
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,1,1
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,0,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,4,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,6,18,24
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,42,50,92
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,1,3
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,3,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,23,18,41
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,10,6,16
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,19,23,42
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,8,8
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,0,8,8
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,3,4,7
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,1,3,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,4,7,11
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,29,39,68
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,2,1,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-04-01,6,6,12
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,6,10
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,1,3
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,2,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,2,2
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,4,6
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,5,3,8
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,5,1,6
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,13,17,30
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,10,21,31
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,5,2,7
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,2,3
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,0,4
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,3,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,0,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,16,15,31
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,4,8
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,6,1,7
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,1,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,3,5
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,0,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,5,8,13
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,153,153,306
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,1,3
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,6,9
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,2,2
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,2,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,7,6,13
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,220,207,427
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,23,27
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,5,3,8
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,8,8
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,7,11
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,2,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,6,9
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,1,3
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,8,6,14
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,10,4,14
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,11,11,22
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,209,284,493
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,2,2
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,5,5
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,7,7,14
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,2,3
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,0,2
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,1,4
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,6,9
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,10,12,22
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,41,19,60
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,6,9
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,17,20,37
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,61,82,143
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,4,8
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,3,7
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,0,2
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,5,5
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,0,2
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,6,8
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,35,49,84
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,2,3
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,2,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,2,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,8,6,14
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,4,5
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,3,5
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,5,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,8,5,13
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,1,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,6,8
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,1,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,12,16
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,9,8,17
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,7,4,11
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,1,3
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,2,6
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,6,2,8
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,4,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,11,14,25
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,2,5
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,7,13,20
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,259,351,610
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,4,5
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,0,4
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,8,9,17
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,385,635,1020
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,19,19,38
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,6,9
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,32,50,82
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,5,7
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,4,8
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,1,2
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,8,10
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,17,20
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,37,55,92
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2,1,3
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,3,1,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,2222,6,2228
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,6,3,9
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,2,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,14,29,43
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,6,4,10
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,0,3,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,10,7,17
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,5,13,18
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,38,36,74
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,4,3,7
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-05-01,5,2,7
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-06-01,4,6,10
