,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,3,3,6
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,6,11,17
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,45,53,98
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,8,15,23
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,2,5,7
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,2,5,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,4,2,6
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,2,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,4,3,7
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,186,199,385
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,46,112,158
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,9,4,13
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,3,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,2,2,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,2,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,3,0,3
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,217,388,605
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,3,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,6,12,18
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,62,50,112
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,2,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,2,2,4
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,2,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,4,1,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,1,2
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,8,12,20
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,140,141,281
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,2,1,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,56,76,132
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,6,0,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,9,8,17
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,2,3,5
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,1,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,3,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,2,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-08-01,1,1,2
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,2,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,2,0,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,4,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,233,406,639
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,2,0,2
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,5,5,10
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,2,1,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,45,38,83
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,10,15,25
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,10,26,36
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,6,9,15
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,6,4,10
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,3,2,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,4,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,117,163,280
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,3,7,10
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,2,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,32,86,118
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,2,2,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,8,16,24
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,9,2,11
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,2,1,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-09-01,5,1,6
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,3,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,3,2,5
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,5,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,247,454,701
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,4,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,7,11,18
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,2,1,3
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,68,38,106
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,43,10,53
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,2,6,8
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,4,2,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,2,2,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,6,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,160,213,373
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,1,2
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,6,10,16
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,1,2
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,48,113,161
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,11,0,11
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,4,15,19
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,2,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,5,2,7
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,0,2,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-10-01,6,4,10
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,3,8,11
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,252,444,696
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,6,4,10
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,3,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,31,43,74
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,8,3,11
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,5,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,3,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,2,0,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,7,7
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,2,5,7
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,1,2
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,134,24,158
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,33,86,119
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,9,3,12
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,8,12,20
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,6,1,7
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,28,43,71
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,3,0,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-11-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,4,0,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,1,1,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,256,415,671
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,2,2,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,3,17,20
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,9,0,9
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,52,33,85
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,4,7,11
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,3,5,8
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,2,0,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,3,12,15
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,0,2,2
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,157,160,317
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,82,117,199
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,3,1,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,3,18,21
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,2,1,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,5,2,7
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-12-01,0,1,1
