,group,variable,month,REUMÁTICAS CANTIDAD,REUMÁTICAS CANTIDAD,TOTALES
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,0,4
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,13,22,35
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,15,17
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,2,4
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,2,3
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,1,2
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,0,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,6,10
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,81,375,456
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,9,14,23
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,7,14,21
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,3,6
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,0,2
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,37,64,101
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,6,4,10
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,10,5,15
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,35,51,86
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,21,20,41
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,28,34,62
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,16,42,58
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,13,7,20
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,8,3,11
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,21,25,46
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,3,7
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,13,3,16
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,6,6,12
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,17,20
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,4,5
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,12,24,36
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,14,23,37
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,6,8,14
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,10,12,22
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,10,32,42
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,10,10,20
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,7,23,30
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,5,6,11
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,8,9
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,7,7,14
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,15,18
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,4,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,9,14,23
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,9,10
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,8,12,20
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,1,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,11,27,38
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,0,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,41,67,108
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,11,15,26
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,0,5,5
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,10,8,18
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,8,22,30
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,5,6
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,2,3
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,2,4
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,5,0,5
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,5,6
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,163,319,482
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,33,29,62
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,10,11,21
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,22,16,38
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,6,10
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,7,8
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,2,4
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,41,43,84
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,3,6
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,18,22
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,13,19,32
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,3,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,377,1093,1470
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,0,4,4
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,5,7
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,5,8
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,1,2
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,8,12
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,37,44,81
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,8,13,21
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,6,12,18
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,11,28,39
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,9,20,29
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,6,9
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,9,10
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,0,1,1
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,2,3
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,3,4
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,15,25,40
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,5,3,8
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,8,5,13
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,5,5,10
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,24,55,79
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,6,3,9
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,3,6
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,7,6,13
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,8,19,27
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,6,13,19
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,7,14,21
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,14,21,35
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,13,11,24
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,19,34,53
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,9,13
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,2,6
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,0,5,5
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,22,53,75
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,5,6,11
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,3,2,5
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,9,12,21
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,1,5
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,15,20,35
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,3,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,8,12
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,25,51,76
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,1,3
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,0,2,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,9,6,15
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,1,8,9
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,2,1,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-03-01,4,6,10
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,30,36,66
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,11,18,29
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,11,15
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,2,6
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,5,3,8
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,12,15
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,0,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,5,7
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,21,21
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,17,21
ARQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,12,7,19
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,1,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,18,21,39
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,30,55,85
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,8,11,19
BELEN DE URMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,36,36,72
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,26,27,53
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,1,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,3,6
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,52,8,60
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,1,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,6,10,16
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,19,30,49
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,50,125,175
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,27,26,53
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,7,6,13
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,1,5
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,5,5,10
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,9,13
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,2,2
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,6,6
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,1,4
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,11,2,13
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,25,24,49
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,5,5
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,2,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,18,27,45
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,13,14,27
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,273,452,725
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,1,2
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,3,6
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,5,7
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,2,5
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,10,30,40
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,3,4
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,14,18,32
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,1,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,6,18,24
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,4,5
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,7,20,27
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,5,8,13
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,6,4,10
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,14,30,44
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,3,5
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,14,37,51
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,5,3,8
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,2,3
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,7,6,13
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,6,8
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,88,153,241
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,0,2
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,2,5
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,3,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,14,15,29
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,11,11
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,3,6
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,1,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,10,14,24
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,4,7
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,5,9,14
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,6,0,6
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,10,13
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,3,5
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,12,12,24
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,6,7
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,3,3
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,38,16,54
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,0,1
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,24,28
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,6,10,16
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,1,5
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,18,40,58
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,6,2,8
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,15,11,26
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,4,5
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,15,18,33
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,236,569,805
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,1,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,16,18
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,64,82,146
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,7,9
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,5,4,9
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,5,7
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,3,6
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,5,4,9
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,8,11,19
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,9,17,26
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,1,4
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,1,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,5,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,102,183,285
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,11,10,21
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,11,8,19
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,9,15,24
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,0,1
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,1,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,63,98,161
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,8,3,11
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,9,8,17
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,6,9
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,0,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,42,74,116
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,9,16,25
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,30,25,55
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,4,8
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,8,7,15
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,8,10
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,23,27,50
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,4,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,18,22,40
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,8,10
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,14,21,35
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,3,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,9,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,2,7,9
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,15,27,42
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,4,8
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,21,30,51
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,15,13,28
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,7,2,9
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,3,4
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,5,5,10
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,4,6,10
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,0,4,4
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,3,5,8
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,1,2,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,19,36,55
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-04-01,6,4,10
