,group,variable,month,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,3,4
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,6,8
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,89,204,293
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,3,4
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,10,11
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,18,24,42
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,15,31,46
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,3,2,5
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,1,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,2,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,4,3,7
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,1,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,1,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,79,235,314
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,6,8
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,99,189,288
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,13,20,33
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,48,102,150
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,4,19,23
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,6,8
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,3,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,3,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,3,6,9
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,1,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,4,4
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,0,3,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-04-01,2,6,8
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,3,0,3
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,2,3
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,4,2,6
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,2,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,1,2
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,3,2,5
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,4,4,8
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,138,176,314
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,4,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,2,3
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,5,6,11
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,45,89,134
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,5,14,19
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,72,180,252
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,3,4
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,3,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,2,6,8
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,10,20,30
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,17,34,51
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,2,2
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,5,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,2,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,3,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,4,4
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,2,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,3,8,11
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,2,1,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,4,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,74,168,242
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,2,2
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,124,171,295
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,12,18,30
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,26,112,138
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,2,12,14
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,4,12,16
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,5,0,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,6,15,21
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,3,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,2,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,1,3,4
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,3,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,4,19,23
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-05-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,4,4
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,1,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,2,2,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,3,7,10
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,84,212,296
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,4,5
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,8,10,18
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,2,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,35,66,101
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,2,3
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,2,6,8
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,2,6,8
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,66,143,209
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,2,4,6
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,4,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,14,16,30
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,10,47,57
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,11,8,19
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,3,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,6,6
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,1,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,4,4
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,2,7,9
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,4,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,74,165,239
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,0,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,88,120,208
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,19,15,34
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,36,101,137
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,7,8
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,4,14,18
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,6,7
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,2,2,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,2,7,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,2,3,5
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,2,2
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,6,11,17
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-06-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,3,0,3
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,1,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,3,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,3,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,2,3,5
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,6,7
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,2,3,5
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,6,5,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,115,199,314
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,3,1,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,1,2
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,6,7
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,1,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,43,68,111
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,3,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,3,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,2,2,4
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,10,12,22
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,58,150,208
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,1,2
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,1,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,2,3,5
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,2,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,1,6,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2013-07-01,2,6,8
