,group,variable,month,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,2,0,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,47,56,103
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,3,0,3
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,134,143,277
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,11,17,28
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,70,72,142
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,0,1,1
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,3,4
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,1,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,5,2,7
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,3,5,8
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,2,6,8
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,0,3,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,2,5,7
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,7,5,12
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-03-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,2,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,6,1,7
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,1,3
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,5,3,8
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,2,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,3,1,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,3,3
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,3,9,12
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,2,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,5,4,9
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,51,55,106
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,3,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,2,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,1,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,40,32,72
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,2,2
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,9,11
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,4,5
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,4,7,11
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,86,83,169
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,7,17,24
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,23,13,36
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,7,9,16
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,3,5,8
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,8,3,11
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,8,6,14
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,1,3
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,1,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,2,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,3,2,5
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,4,2,6
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,1,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,3,0,3
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,2,2
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,4,0,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,87,105,192
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,4,9,13
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,86,90,176
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,3,1,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,54,68,122
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,5,5,10
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,2,4
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,8,10
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,4,0,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,7,3,10
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,7,7,14
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,1,2
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,24,20,44
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-04-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,1,3
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,2,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,3,1,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,6,6,12
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,1,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,2,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,3,0,3
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,1,2
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,5,6
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,5,11,16
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,1,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,8,9,17
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,67,86,153
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,0,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,51,35,86
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,4,6,10
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,0,2
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,6,6,12
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,71,106,177
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,9,11
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,2,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,13,10,23
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,10,9,19
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,9,3,12
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,20,17,37
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,3,1,4
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,4,5
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,3,1,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,0,2
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,1,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,2,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,4,1,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,74,70,144
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,79,91,170
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,2,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,41,85,126
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,1,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,4,7,11
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,4,9,13
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,2,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,6,5,11
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,3,0,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,3,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,2,0,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,27,23,50
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-05-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,5,7,12
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,2,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,2,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,7,5,12
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
