,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES
CHAYANTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,4,4
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,4,12,16
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,27,40,67
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,215,249,464
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,6,9,15
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,1,2
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,6,4,10
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,3,14,17
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,8,10
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,0,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,4,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,4,5
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,5,5
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,115,191,306
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,2,2
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,3,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,14,22,36
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,4,5
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,2,3
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,1,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,2,4
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,6,0,6
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,15,16
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,6,6
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,19,24,43
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,2,2
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,3,3
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,0,2
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,25,56,81
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,465,654,1119
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,2,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,10,57,67
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,2,3
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,1,2
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,2,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,4,9,13
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,28,54,82
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,13,13
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,81,132,213
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,4,5
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,6,6,12
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,4,6
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,7,7
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,0,1
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,3,2,5
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,2,3
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,15,12,27
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,1,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,62,91,153
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,4,4
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,5,0,5
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,7,10,17
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,14,37,51
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,7,11,18
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,28,41,69
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,0,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,32,88,120
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,10,14,24
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,25,56,81
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,12,18,30
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,3,3
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,3,5
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,4,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,10,24,34
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,8,10
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,22,21,43
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,2,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,11,20,31
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,0,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,3,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,13,15
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,0,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,3,2,5
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,3,4
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,1,3
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,3,1,4
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,2,3
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,7,8
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,16,25,41
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,642,887,1529
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,19,30,49
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,10,17,27
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,3,1,4
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,1,2
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,3,4
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,406,675,1081
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,3,12,15
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,15,16
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,62,192,254
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,4,5
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,3,2,5
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,52,105,157
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,50,52,102
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,14,20,34
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,2,3
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,17,25,42
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,17,3,20
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,19,30,49
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,15,24,39
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,3,9,12
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,5,13,18
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,1,18,19
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,6,5,11
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,2,4,6
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,47,12,59
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,34,66,100
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-04-01,14,19,33
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,7,11,18
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,0,2
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,0,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,1,2
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,3,5
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,46,70,116
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,14,14
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,3,3
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,5,8,13
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,8,10
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,68,52,120
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,3,11,14
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,3,3
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,3,4
CHACARILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,13,21,34
CHAYANTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,3,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,13,15
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,14,26,40
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,213,235,448
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,9,10
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,4,6
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,1,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,4,4
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,2,3
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,4,0,4
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,7,7
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,1,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,4,6
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,81,171,252
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,3,4
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,14,37,51
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,5,7
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,9,10
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,6,8
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,6,17,23
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,8,3,11
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,3,3
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,21,36,57
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,164,240,404
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,13,35,48
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,4,4
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,3,5
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,3,4
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,9,11
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,33,106,139
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,3,10,13
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,72,121,193
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,3,4
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,3,5,8
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,9,9,18
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,4,5,9
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,4,7,11
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,1,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,11,17,28
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,60,80,140
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,5,4,9
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,12,13,25
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,4,2,6
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,5,6
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,10,16,26
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,1,2
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,2,4,6
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,66,63,129
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,12,37,49
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,29,45,74
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,11,10,21
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,4,4
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,27,24,51
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,7,24,31
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,1,6,7
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,9,12,21
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,1,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,0,2,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,4,14,18
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-05-01,3,3,6
