,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,3,1,4
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,3,0,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,2,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,2,0,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,2,2
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,116,161,277
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,59,58,117
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,2,2
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,3,1,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,3,1,4
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,3,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,4,0,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,82,33,115
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,8,12,20
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,2,2,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,2,1,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,2,1,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,2,0,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,4,6,10
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,4,6,10
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,3,2,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,109,96,205
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,133,112,245
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,2,2
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,2,0,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,18,9,27
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,3,1,4
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,4,4,8
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-06-01,1,3,4
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,0,2
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,2,4
ARQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,78,79
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,1,2
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,26,34,60
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,2,4
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,10,14,24
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,6,8
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,18,18
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,5,5,10
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,16,22,38
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,3,1,4
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,4,4
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,4,5
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,3,5
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,4,2,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,77,57,134
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,6,8
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,2,4
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,3,1,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,6,4,10
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,2,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,3,1,4
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,1,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,4,2,6
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,3,5,8
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,7,6,13
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,7,5,12
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,63,42,105
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,108,155,263
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,17,12,29
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,2,0,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,4,0,4
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,2,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-07-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,1,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,4,6,10
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,1,4
CARIPUYO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,14,16,30
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,1,4
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,61,53,114
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,1,2
ESMERALDA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,1,1
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,2,3
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,2,0,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,6,3,9
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,1,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,76,36,112
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,5,6,11
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,1,4
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,2,2,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,6,7
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,0,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,4,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,0,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,6,6
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,0,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,15,13,28
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,3,7,10
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,143,96,239
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,89,75,164
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,2,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,6,0,6
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,14,2,16
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,2,2,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,0,4,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-08-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
ARQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,5,2,7
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,3,1,4
CARIPUYO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,22,44,66
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,0,2
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,92,62,154
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,1,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,1,3
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,3,0,3
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,1,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,1,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,78,38,116
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,11,3,14
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,3,3,6
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,2,2
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,3,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,1,3
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,2,4
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,2,3
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,2,2,4
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,9,9,18
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,8,8,16
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,88,52,140
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,71,72,143
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,6,7,13
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,1,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,5,0,5
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,12,18,30
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-09-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,2,1,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
