,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,12,33,45
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,32,0,32
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,4,0,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,3,0,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,3,0,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,9,0,9
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,17,8,25
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,25,7,32
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,10,4,14
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,2,0,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,1,2,3
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,0,2,2
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,14,2,16
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,8,5,13
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,2,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,4,1,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,8,7,15
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,11,5,16
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,0,3,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,19,7,26
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,16,45,61
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,12,0,12
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,4,0,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,4,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,20,0,20
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,3,0,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,3,1,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,29,20,49
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,15,7,22
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,0,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-10-01,1,0,1
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,3,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,8,5,13
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,3,2,5
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,4,0,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,4,5,9
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,10,6,16
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,11,5,16
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,15,30,45
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,6,0,6
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,0,9,9
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,9,2,11
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,28,19,47
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,5,3,8
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,2,0,2
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,3,2,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,10,6,16
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,2,0,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-11-01,10,0,10
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,2,0,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,8,5,13
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,3,0,3
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,4,1,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,2,12,14
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,17,12,29
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,0,2,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,2,0,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,6,4,10
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,5,11,16
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,16,0,16
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,2,0,2
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,3,0,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,10,1,11
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,23,17,40
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,11,3,14
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,6,0,6
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-12-01,2,3,5
