,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,3,0,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,0,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,20,4,24
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,3,0,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,3,0,3
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,0,2
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,79,178,257
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,1,3
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,34,6,40
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,93,12,105
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,6,0,6
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,0,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,4,2,6
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,2,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,6,3,9
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,3,1,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,24,8,32
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,0,1,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,5,2,7
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,11,3,14
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,3,0,3
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,10,7,17
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,149,143,292
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,0,1,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,3,1,4
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,1,3
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,51,6,57
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,18,4,22
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,4,1,5
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,2,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,5,1,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,3,3,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,7,19,26
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,25,2,27
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,0,1,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,3,0,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,4,1,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,57,138,195
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,10,0,10
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,0,1,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,5,0,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,42,6,48
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,41,77,118
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,0,3,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,7,0,7
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,5,0,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,3,0,3
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,6,1,7
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,7,1,8
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,1,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,2,0,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,6,0,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,5,2,7
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-05-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,5,1,6
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,16,9,25
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,18,3,21
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,7,0,7
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,4,1,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,84,33,117
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,1,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,0,1,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,2,4
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,1,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,7,1,8
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,4,0,4
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,8,2,10
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,4,1,5
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,1,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,5,0,5
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,3,1,4
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,10,1,11
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,13,0,13
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,73,35,108
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,49,2,51
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,65,17,82
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,2,0,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,5,2,7
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,4,0,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,2,3
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,3,0,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,6,0,6
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-06-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,2,2
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,6,7
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,2,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,7,0,7
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,4,2,6
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,2,4,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,12,6,18
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,15,5,20
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,4,0,4
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,3,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,6,2,8
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,122,50,172
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,2,0,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,8,4,12
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,4,5,9
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,7,5,12
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,11,5,16
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,3,0,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,3,1,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,2,0,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,2,0,2
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,8,1,9
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,4,1,5
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,4,1,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,2,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,83,54,137
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,2,0,2
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,52,5,57
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,77,16,93
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,2,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,5,0,5
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,2,2,4
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,4,1,5
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,5,1,6
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-07-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,3,0,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,5,0,5
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-08-01,12,7,19
