,group,variable,month,NÚMERO DE ANESTESIAS LOCALES REALIZADAS CANTIDAD,NÚMERO DE ANESTESIAS LOCALES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
COMARAPA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,0,1,0,1
COROICO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,2,1,2,3
CORQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,0,1,0,1
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,4,1,4,5
CUATRO CAÑADAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,0,1,0,1
CURAHUARA DE CARANGAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,2,0,2,0,2
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,167,166,167,166,333
ENTRE RIOS TRJ,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,1,1,1,2
ESCOMA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,1,0,1,1
HUACARAJE,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,5,0,5,0,5
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,15,8,15,8,23
INQUISIVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,6,4,6,4,10
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,243,363,243,363,606
LAGUNILLAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,3,0,3,3
LLALLAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,4,1,4,5
MAGDALENA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,6,4,6,4,10
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,7,0,7,7
MONTEAGUDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,1,0,1,1
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,21,12,21,12,33
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,108,120,108,120,228
PAILON,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,20,1,20,21
PATACAMAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,0,1,0,1
POROMA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,0,1,0,1
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,69,142,69,142,211
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,6,5,6,5,11
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,10,26,10,26,36
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,31,160,31,160,191
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,7,7,7,7,14
RURRENABAQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,4,30,4,30,34
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,9,8,9,8,17
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,14,60,14,60,74
SAN IGNACIO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,3,1,3,4
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,8,5,8,5,13
SAN JAVIER(STC),cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,5,1,5,6
SAN JULIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,15,12,15,12,27
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,41,25,41,25,66
SAN MATIAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,5,13,5,13,18
SANTA ANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,334,408,334,408,742
SOPACHUY,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,2,1,2,3
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,98,222,98,222,320
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,39,59,39,59,98
TIQUIPAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,18,0,18,18
TOMINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,4,2,4,2,6
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,23,28,23,28,51
TUPIZA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,5,5,5,5,10
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,6,5,6,5,11
VALLEGRANDE,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,5,5,5,5,10
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,14,10,14,10,24
VILLA CHARCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,22,10,22,10,32
VILLA TUNARI,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,5,6,5,6,11
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,1,1,1,2
VINTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,7,21,7,21,28
WARNES,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,20,64,20,64,84
YACUIBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,6,6,6,6,12
AIQUILE,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,2,1,2,3
ANZALDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,1,2,1,3
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,40,25,40,25,65
BAURES,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,3,0,3,0,3
BERMEJO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,0,5,0,5,5
CAMARGO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,4,4,4,4,8
CAMIRI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,2,1,2,3
CARACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,4,5,4,5,9
CARANAVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,8,1,8,1,9
CARMEN RIVERO TORREZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,0,1,0,1
CHALLAPATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,0,1,0,1,1
COBIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,17,25,17,25,42
COCHABAMBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,234,409,234,409,643
COLCAPIRHUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,0,8,0,8,8
COMARAPA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,0,3,0,3,3
CONCEPCION,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,10,33,10,33,43
COROICO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,3,1,3,1,4
CORQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,0,2,0,2
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,3,3,3,3,6
COTOCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,3,9,3,9,12
CUATRO CAÑADAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,0,1,0,1
CULPINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,1,2,1,3
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,97,91,97,91,188
EL TORNO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,0,1,0,1
GUAYARAMERIN,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,18,8,18,8,26
HUACARAJE,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,3,1,3,1,4
HUACARETA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,1,2,1,3
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,17,14,17,14,31
INQUISIVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,5,1,5,6
JESUS DE MACHACA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,0,1,0,1
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,217,258,217,258,475
LAJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,1,1,1,2
LLALLAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,0,3,0,3,3
MACHARETI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,0,1,0,1
MAGDALENA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,6,4,6,4,10
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,0,3,0,3,3
MONTEAGUDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,4,1,4,5
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,6,6,6,6,12
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,98,94,98,94,192
PAILON,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,15,2,15,17
PORTACHUELO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,15,2,15,17
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,37,49,37,49,86
PUCARANI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,0,1,0,1,1
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,2,1,2,3
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,3,18,3,18,21
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,32,152,32,152,184
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,5,6,5,6,11
RURRENABAQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,11,4,11,4,15
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,11,11,11,11,22
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,16,29,16,29,45
SAN IGNACIO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,19,28,19,28,47
SAN JAVIER(STC),cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,5,5,5,5,10
SAN JULIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,22,16,22,16,38
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,31,23,31,23,54
SAN MATIAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,6,18,6,18,24
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,274,303,274,303,577
SOPACHUY,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,3,4,3,4,7
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,93,205,93,205,298
TARABUCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,0,1,0,1
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,99,71,99,71,170
TIQUIPAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,0,5,0,5,5
TOMINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,0,2,0,2
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,27,15,27,15,42
TUPIZA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,1,2,1,3
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,2,6,2,6,8
VALLEGRANDE,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,6,5,6,5,11
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,7,8,7,8,15
VILLA CHARCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,17,18,17,18,35
VILLA MONTES,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,0,1,0,1
VILLA TUNARI,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,3,9,3,9,12
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,1,2,1,2,3
VINTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,4,18,4,18,22
YACUIBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-06-01,7,11,7,11,18
ACHACACHI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,8,2,8,10
AIQUILE,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,2,0,2,2
ANZALDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,1,0,1,1
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,43,22,43,22,65
BERMEJO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,1,1,1,2
CAMARGO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,3,6,3,6,9
CAMATAQUI (C. VILLA ABECIA),cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,1,0,1,1
CAMIRI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,0,1,0,1
CARACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,3,8,3,8,11
CARANAVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,9,9,9,9,18
CARMEN RIVERO TORREZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,2,0,2,2
CHALLAPATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,0,1,0,1
CHAYANTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,2,0,2,2
COBIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,23,19,23,19,42
COCHABAMBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,320,592,320,592,912
COLCAPIRHUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,14,0,14,14
COMARAPA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,2,0,2,2
CONCEPCION,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,11,8,11,8,19
COROICO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,0,2,0,2
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,3,0,3,0,3
COTOCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,10,6,10,6,16
CUATRO CAÑADAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,2,0,2,2
CULPINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,4,0,4,4
CURAHUARA DE CARANGAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,1,0,1,1
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,55,69,55,69,124
ESCOMA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,3,2,3,5
HUACARAJE,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,8,3,8,3,11
HUACARETA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,1,2,1,3
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,12,5,12,5,17
INQUISIVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,10,1,10,1,11
JESUS DE MACHACA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,1,0,1,1
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,243,352,243,352,595
LAGUNILLAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,3,1,3,1,4
LLALLAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,2,0,2,2
MACHACAMARCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,0,1,0,1
MACHARETI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,3,1,3,4
MAGDALENA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,3,1,3,4
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,7,1,7,8
MIZQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,1,1,1,2
MONTEAGUDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,0,1,0,1
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,7,6,7,6,13
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,107,134,107,134,241
PADILLA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,1,0,1,1
PAILON,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,5,16,5,16,21
PORTACHUELO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,5,8,5,8,13
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,67,110,67,110,177
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,4,2,4,6
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,3,29,3,29,32
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,5,6,5,6,11
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,6,9,6,9,15
RURRENABAQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,8,4,8,4,12
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,9,13,9,13,22
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,77,14,77,14,91
SAN IGNACIO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,42,24,42,24,66
SAN JAVIER(STC),cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,5,2,5,7
SAN JULIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,28,40,28,40,68
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,25,18,25,18,43
SAN MATIAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,7,12,7,12,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,306,456,306,456,762
SOPACHUY,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,7,4,7,4,11
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,127,235,127,235,362
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,86,82,86,82,168
TIQUIPAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,16,0,16,16
TOMINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,0,1,0,1
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,14,26,14,26,40
TUPIZA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,4,7,4,7,11
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,8,2,8,10
VALLEGRANDE,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,6,13,6,13,19
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,7,11,7,11,18
VILLA CHARCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,11,6,11,6,17
VILLA MONTES,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,2,0,2,2
VILLA TUNARI,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,4,7,4,7,11
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,1,0,1,1
VILLAZON,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,2,5,2,5,7
VINTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,7,12,7,12,19
WALDO BALLIVIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,1,0,1,0,1
WARNES,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,0,4,0,4,4
YACUIBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-07-01,3,3,3,3,6
ACHACACHI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,1,0,1,1
AIQUILE,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,0,2,0,2
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,6,0,6,6
CAMARGO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,4,3,4,3,7
CAMIRI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,1,0,1,1
CARACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,5,7,5,7,12
CARANAVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,17,2,17,2,19
CHALLAPATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,1,0,1,1
CHIMORE,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,4,1,4,5
COBIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,22,25,22,25,47
COCHABAMBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,287,401,287,401,688
COLCAPIRHUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,15,0,15,15
COMARAPA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,1,1,1,2
CONCEPCION,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,8,8,8,8,16
COROICO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,2,0,2,2
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,7,1,7,8
COTOCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,4,5,4,5,9
CULPINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,3,2,3,2,5
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,65,73,65,73,138
ENTRE RIOS TRJ,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,2,0,2,2
ESCOMA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,1,1,1,2
GUAYARAMERIN,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,3,2,3,2,5
HUACARAJE,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,5,0,5,0,5
HUACARETA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,1,1,1,2
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,10,7,10,7,17
ICLA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,6,0,6,6
INCAHUASI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,4,2,4,2,6
INQUISIVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,12,15,12,15,27
JESUS DE MACHACA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,1,0,1,1
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,230,290,230,290,520
LAGUNILLAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,3,2,3,5
LLALLAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,1,2,1,3
MACHARETI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,6,1,6,7
MAGDALENA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,0,1,0,1
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,11,1,11,12
MIZQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,0,2,0,2
MONTEAGUDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,2,1,2,3
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,6,5,6,5,11
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,172,107,172,107,279
PAILON,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,55,1,55,56
PORTACHUELO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,9,1,9,10
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,59,92,59,92,151
PRESTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,1,0,1,1
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,26,13,26,13,39
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,7,16,7,16,23
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,7,45,7,45,52
REYES,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,2,0,2,2
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,6,3,6,3,9
ROBORE,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,2,2,2,4
RURRENABAQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,32,4,32,4,36
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,7,13,7,13,20
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,11,33,11,33,44
SAN IGNACIO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,4,12,4,12,16
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,0,1,0,1
SAN JAVIER(STC),cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,2,2,2,4
SAN JULIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,25,16,25,16,41
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,28,14,28,14,42
SAN MATIAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,3,8,3,8,11
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,340,326,340,326,666
SOPACHUY,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,6,15,6,15,21
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,116,286,116,286,402
TARABUCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,0,1,0,1,1
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,59,83,59,83,142
TOMINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,2,2,2,4
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,22,11,22,11,33
UNCIA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,1,1,1,1,2
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,8,1,8,1,9
VALLEGRANDE,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,7,0,7,0,7
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,9,9,9,9,18
VILLA CHARCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,22,36,22,36,58
VILLA MONTES,cirugias y anestesias,numero de anestesias locales realizadas,2024-08-01,2,0,2,0,2
