,group,variable,month,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,1,0,1,1
CORQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,0,1,0,1
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,2,5,2,5,7
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,0,1,0,1
CURAHUARA DE CARANGAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,2,0,2,0,2
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,191,186,191,186,377
ENTRE RIOS TRJ,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,1,1,1,2
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,1,0,1,1
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,4,0,4,0,4
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,15,8,15,8,23
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,18,34,18,34,52
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,388,622,388,622,1010
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,9,23,9,23,32
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,6,4,6,4,10
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,7,0,7,7
MINEROS,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,3,0,3,3
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,8,0,8,8
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,7,8,7,8,15
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,102,175,102,175,277
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,3,5,3,5,8
PAILON,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,20,1,20,21
PATACAMAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,0,1,0,1
POROMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,0,1,0,1
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,5,7,5,7,12
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,70,156,70,156,226
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,6,5,6,5,11
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,10,25,10,25,35
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,31,160,31,160,191
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,11,11,11,11,22
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,2,9,2,9,11
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,41,70,41,70,111
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,5,0,5,0,5
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,3,3,3,3,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,8,5,8,5,13
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,5,1,5,6
SAN JOSE DE CHIQUITOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,0,1,0,1
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,5,8,5,8,13
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,41,25,41,25,66
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,5,13,5,13,18
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,458,569,458,569,1027
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,2,1,2,3
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,152,329,152,329,481
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,56,94,56,94,150
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,28,0,28,28
TOMINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,4,2,4,2,6
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,31,40,31,40,71
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,9,8,9,8,17
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,8,9,8,9,17
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,9,7,9,7,16
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,14,11,14,11,25
VILLA CHARCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,22,10,22,10,32
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,3,2,3,2,5
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,6,11,6,11,17
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,0,1,0,1
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,1,0,1,1
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,7,21,7,21,28
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,4,0,4,4
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,5,5,5,5,10
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,13,0,13,13
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,2,1,2,3
ANZALDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,2,1,2,1,3
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,40,26,40,26,66
BAURES,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,0,3,0,3
BERMEJO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,1,0,1,1
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,4,4,4,4,8
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,1,1,1,2
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,4,5,4,5,9
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,8,1,8,1,9
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,1,0,1,1
CLIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,7,0,7,7
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,25,35,25,35,60
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,263,432,263,432,695
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,8,0,8,8
COMARAPA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,3,0,3,3
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,9,2,9,2,11
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,2,1,2,1,3
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,3,3,3,6
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,8,3,8,11
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,0,1,0,1
CULPINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,2,1,2,1,3
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,134,111,134,111,245
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,0,1,0,1
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,2,0,2,2
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,12,6,12,6,18
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,1,3,1,4
HUACARETA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,2,1,2,1,3
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,15,14,15,14,29
JESUS DE MACHACA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,0,1,0,1
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,15,32,15,32,47
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,334,450,334,450,784
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,35,3,35,38
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,6,4,6,4,10
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,3,0,3,3
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,7,3,7,10
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,13,23,13,23,36
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,56,124,56,124,180
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,2,1,2,3
PAILON,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,2,15,2,15,17
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,2,29,2,29,31
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,60,89,60,89,149
PUCARANI,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,1,0,1,1
PUERTO QUIJARRO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,5,7,5,7,12
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,2,1,2,3
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,22,3,22,25
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,32,152,32,152,184
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,7,2,7,2,9
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,0,1,0,1,1
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,16,3,16,19
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,6,16,6,16,22
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,19,28,19,28,47
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,5,5,5,5,10
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,10,12,10,12,22
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,31,23,31,23,54
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,6,18,6,18,24
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,406,532,406,532,938
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,4,3,4,7
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,127,319,127,319,446
TARABUCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,0,1,0,1
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,98,101,98,101,199
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,6,23,6,23,29
TOMINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,2,0,2,0,2
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,51,31,51,31,82
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,9,13,9,13,22
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,3,12,3,12,15
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,8,6,8,6,14
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,10,8,10,8,18
VILLA CHARCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,15,15,15,15,30
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,5,4,5,4,9
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,12,10,12,10,22
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,1,2,1,2,3
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,2,0,2,0,2
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,4,18,4,18,22
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-06-01,9,11,9,11,20
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,22,2,22,24
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,2,1,2,3
ANZALDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,1,0,1,1
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,43,22,43,22,65
BERMEJO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,0,1,0,1
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,3,7,3,7,10
CAMATAQUI (C. VILLA ABECIA),cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,1,0,1,1
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,3,3,3,3,6
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,3,8,3,8,11
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,10,9,10,9,19
CARMEN RIVERO TORREZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,1,0,1,1
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,0,1,0,1
CLIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,3,0,3,3
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,26,33,26,33,59
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,318,595,318,595,913
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,14,0,14,14
COMARAPA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,2,0,2,2
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,11,8,11,8,19
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,0,2,0,2
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,3,0,3,0,3
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,10,7,10,7,17
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,2,0,2,2
CULPINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,4,0,4,4
CURAHUARA DE CARANGAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,1,0,1,1
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,98,135,98,135,233
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,3,2,3,5
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,8,3,8,3,11
HUACARETA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,1,2,1,3
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,11,5,11,5,16
INQUISIVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,20,16,20,16,36
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,20,23,20,23,43
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,377,588,377,588,965
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,3,32,3,32,35
MACHACAMARCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,0,1,0,1
MACHARETI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,2,1,2,3
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,3,1,3,4
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,7,1,7,8
MIZQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,1,1,1,2
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,2,2,2,4
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,7,8,7,8,15
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,120,213,120,213,333
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,7,2,7,9
PAILON,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,5,16,5,16,21
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,9,18,9,18,27
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,111,146,111,146,257
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,4,2,4,6
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,34,2,34,36
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,5,6,5,6,11
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,7,9,7,9,16
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,5,1,5,6
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,8,4,8,4,12
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,4,80,4,80,84
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,6,19,6,19,25
SAN BUENA VENTURA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,2,1,2,3
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,42,24,42,24,66
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,5,2,5,7
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,28,40,28,40,68
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,25,18,25,18,43
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,7,12,7,12,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,434,694,434,694,1128
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,7,4,7,4,11
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,195,343,195,343,538
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,121,180,121,180,301
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,3,18,3,18,21
TOMINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,0,1,0,1
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,47,39,47,39,86
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,8,13,8,13,21
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,2,9,2,9,11
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,9,17,9,17,26
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,8,9,8,9,17
VILLA CHARCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,11,4,11,4,15
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,4,1,4,5
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,10,10,10,10,20
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,0,1,0,1,1
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,2,1,2,3
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,7,12,7,12,19
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,1,6,1,6,7
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-07-01,4,2,4,2,6
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,17,1,17,18
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,2,0,2,0,2
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,6,0,6,6
BERMEJO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,1,0,1,1
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,4,3,4,3,7
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,4,0,4,4
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,5,7,5,7,12
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,17,1,17,1,18
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,1,1,1,2
CLIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,7,1,7,8
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,30,21,30,21,51
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,375,480,375,480,855
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,15,0,15,15
COMARAPA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,1,1,1,2
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,8,8,8,8,16
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,2,0,2,2
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,7,1,7,8
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,3,7,3,7,10
CULPINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,4,3,4,3,7
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,83,107,83,107,190
ENTRE RIOS TRJ,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,1,0,1,1
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,2,1,2,3
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,3,2,3,2,5
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,5,0,5,0,5
HUACARETA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,1,1,1,2
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,9,5,9,5,14
INCAHUASI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,4,2,4,2,6
INQUISIVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,15,7,15,22
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,25,30,25,30,55
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,340,560,340,560,900
LAGUNILLAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,0,1,0,1
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,9,38,9,38,47
MACHARETI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,6,0,6,6
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,2,1,2,3
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,11,1,11,12
MIZQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,2,0,2,0,2
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,4,4,4,4,8
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,8,7,8,15
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,124,173,124,173,297
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,3,17,3,17,20
PAILON,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,15,1,15,16
PALCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,1,0,1,1
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,5,14,5,14,19
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,94,132,94,132,226
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,26,14,26,14,40
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,2,15,2,15,17
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,45,7,45,52
REYES,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,2,0,2,2
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,3,7,3,10
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,1,1,1,2
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,3,7,3,10
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,13,7,13,20
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,2,13,2,13,15
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,4,12,4,12,16
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,0,1,0,1
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,2,2,2,2,4
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,25,17,25,17,42
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,28,14,28,14,42
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,3,8,3,8,11
SAN RAMON BENI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,425,502,425,502,927
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,6,15,6,15,21
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,158,381,158,381,539
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,52,121,52,121,173
TOMINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,2,4,2,4,6
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,31,32,31,32,63
