,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,3,0,3,3
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,5,30,5,30,35
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,35,0,35,35
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,6,87,6,87,93
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,7,0,7,7
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,11,0,11,11
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,29,2,29,31
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,56,144,56,144,200
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,15,228,15,228,243
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,22,0,22,22
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,6,19,6,19,25
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,85,0,85,85
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,46,0,46,46
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,260,973,260,973,1233
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,1,6,1,6,7
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,4,49,4,49,53
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,1,0,1,1
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,8,7,8,7,15
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,5,2,5,7
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,345,25,345,25,370
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,26,2,26,28
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,12,0,12,12
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,100,88,100,88,188
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,4,21,4,21,25
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,1,25,1,25,26
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,84,404,84,404,488
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,6,11,6,11,17
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,7,0,7,7
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,6,2,6,2,8
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,4,89,4,89,93
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,26,99,26,99,125
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,15,5,15,5,20
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,60,239,60,239,299
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,13,0,13,13
POCONA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,2,2,2,4
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,1,28,1,28,29
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,15,0,15,15
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,6,53,6,53,59
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,24,23,24,23,47
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,7,0,7,7
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,12,53,12,53,65
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,14,98,14,98,112
QUIABAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,2,2,2,4
QUILLACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,1,0,1,1
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,19,0,19,19
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,19,0,19,19
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,345,0,345,345
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,10,0,10,10
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,23,0,23,23
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,3,6,3,6,9
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,9,61,9,61,70
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,1,2,1,3
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,18,75,18,75,93
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,7,11,7,11,18
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,9,0,9,9
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,4,0,4,4
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,29,0,29,29
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,32,0,32,32
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,27,315,27,315,342
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,7,0,7,7
SANTIVAÑES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,4,0,4,4
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,10,0,10,10
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,26,0,26,26
SORATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,3,0,3,3
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,36,112,36,112,148
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,4,41,4,41,45
TARATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,1,0,1,1
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,12,65,12,65,77
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,2,21,2,21,23
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,9,0,9,9
TOTORA(CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,1,0,1,1
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,8,110,8,110,118
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,12,0,12,12
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,3,8,3,8,11
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,3,0,3,3
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,4,60,4,60,64
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,14,0,14,14
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,10,0,10,10
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,3,29,3,29,32
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,1,41,1,41,42
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,53,0,53,53
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,25,48,25,48,73
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,1,18,1,18,19
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-04-01,0,2,0,2,2
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,36,0,36,36
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,5,0,5,5
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,17,0,17,17
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,10,0,10,10
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,32,0,32,32
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,2,1,2,3
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,24,0,24,24
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,2,0,2,2
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,25,1,25,26
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,40,0,40,40
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,7,0,7,7
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,0,1,0,1
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,3,24,3,24,27
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,9,16,9,16,25
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,56,139,56,139,195
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,32,217,32,217,249
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,5,91,5,91,96
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,3,8,3,8,11
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,6,29,6,29,35
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,6,1,6,7
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,1,1,1,2
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,262,1011,262,1011,1273
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,14,1,14,15
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,17,84,17,84,101
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,20,0,20,20
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,7,1,7,8
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,14,0,14,14
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,195,432,195,432,627
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,2,28,2,28,30
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,7,14,7,14,21
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,7,0,7,7
JESUS DE MACHACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,2,2,2,2,4
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,3,19,3,19,22
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,6,23,6,23,29
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,27,249,27,249,276
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,4,0,4,4
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,1,0,1,1
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,5,0,5,5
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,3,26,3,26,29
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,50,0,50,50
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,12,0,12,12
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,18,49,18,49,67
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,6,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,52,23,52,23,75
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,98,365,98,365,463
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,11,0,11,11
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,1,0,1,1
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,4,0,4,4
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,6,8,6,8,14
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,6,0,6,6
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,4,42,4,42,46
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,7,13,7,13,20
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,8,12,8,12,20
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,4,24,4,24,28
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,1,0,1,1
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,9,95,9,95,104
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,12,201,12,201,213
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,10,1,10,11
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,4,6,4,6,10
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,50,75,50,75,125
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,356,0,356,356
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,16,1,16,17
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,47,0,47,47
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,8,67,8,67,75
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,3,10,3,10,13
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,16,44,16,44,60
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,13,48,13,48,61
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,1,0,1,1
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,6,0,6,6
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,26,0,26,26
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,7,0,7,7
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,3,22,3,22,25
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,56,397,56,397,453
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,1,0,1,1
SANTIVAÑES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,2,7,2,7,9
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,15,0,15,15
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,11,1,11,12
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,66,0,66,66
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,84,1,84,85
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,20,1,20,1,21
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,29,1,29,30
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,56,157,56,157,213
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,9,16,9,16,25
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,5,1,5,6
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,12,61,12,61,73
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,16,0,16,16
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,14,5,14,5,19
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,2,0,2,2
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,5,0,5,5
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,13,0,13,13
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,3,77,3,77,80
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,18,0,18,18
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,1,1,1,2
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,31,1,31,32
VITICHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,2,0,2,2
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,1,70,1,70,71
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,21,56,21,56,77
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,0,12,0,12,12
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-05-01,3,23,3,23,26
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,27,2,27,29
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,6,0,6,6
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,4,0,4,4
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,1,2,1,3
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,5,0,5,5
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,42,0,42,42
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,13,0,13,13
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,4,26,4,26,30
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,8,35,8,35,43
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,10,34,10,34,44
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,12,54,12,54,66
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,21,2,21,23
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,28,0,28,28
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,9,120,9,120,129
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,26,120,26,120,146
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,5,10,5,10,15
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,4,13,4,13,17
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,3,39,3,39,42
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,82,0,82,82
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,25,0,25,25
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,407,893,407,893,1300
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,4,0,4,4
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,15,111,15,111,126
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,27,0,27,27
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,3,0,3,3
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,3,0,3,3
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,334,187,334,187,521
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,1,2,1,2,3
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,1,5,1,5,6
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,13,19,13,19,32
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,5,23,5,23,28
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,6,9,6,9,15
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,215,486,215,486,701
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,2,0,2,2
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,6,4,6,4,10
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,16,0,16,16
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,18,2,18,20
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,7,121,7,121,128
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,18,26,18,26,44
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,5,2,5,7
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,2,0,2,2
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,89,458,89,458,547
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,17,0,17,17
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,19,0,19,19
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,4,55,4,55,59
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,1,18,1,18,19
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,39,0,39,39
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,24,2,24,26
POSTRER VALLE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,1,0,1,1
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,13,24,13,24,37
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,17,10,17,10,27
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,3,3,3,3,6
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,4,17,4,17,21
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,12,0,12,12
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,30,127,30,127,157
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,17,2,17,19
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,35,2,35,37
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,5,50,5,50,55
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,12,346,12,346,358
SACABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,3,3,3,3,6
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,1,0,1,1
