,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2010-05-01,0,6,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2010-05-01,52,17,52,17,69
ORURO,vih,n de personas con prueba rapida,2010-05-01,106,611,106,611,717
PADCAYA,vih,n de personas con prueba rapida,2010-05-01,0,10,0,10,10
PADILLA,vih,n de personas con prueba rapida,2010-05-01,1,0,1,0,1
PAILON,vih,n de personas con prueba rapida,2010-05-01,1,0,1,0,1
PORONGO,vih,n de personas con prueba rapida,2010-05-01,6,3,6,3,9
POTOSI,vih,n de personas con prueba rapida,2010-05-01,3,29,3,29,32
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-05-01,7,13,7,13,20
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-05-01,8,12,8,12,20
PUERTO RICO,vih,n de personas con prueba rapida,2010-05-01,4,24,4,24,28
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-05-01,9,21,9,21,30
PUNATA,vih,n de personas con prueba rapida,2010-05-01,10,16,10,16,26
RIBERALTA,vih,n de personas con prueba rapida,2010-05-01,0,7,0,7,7
ROBORE,vih,n de personas con prueba rapida,2010-05-01,4,6,4,6,10
RURRENABAQUE,vih,n de personas con prueba rapida,2010-05-01,25,46,25,46,71
SACABA,vih,n de personas con prueba rapida,2010-05-01,0,3,0,3,3
SAN BENITO,vih,n de personas con prueba rapida,2010-05-01,1,1,1,1,2
SAN IGNACIO,vih,n de personas con prueba rapida,2010-05-01,0,7,0,7,7
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-05-01,8,52,8,52,60
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2010-05-01,6,52,6,52,58
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-05-01,16,27,16,27,43
SAN JULIAN,vih,n de personas con prueba rapida,2010-05-01,13,13,13,13,26
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-05-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2010-05-01,0,3,0,3,3
SANTA ANA,vih,n de personas con prueba rapida,2010-05-01,3,22,3,22,25
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-05-01,91,131,91,131,222
SANTIVAÑES,vih,n de personas con prueba rapida,2010-05-01,2,0,2,0,2
SENA,vih,n de personas con prueba rapida,2010-05-01,0,13,0,13,13
SHINAOTA,vih,n de personas con prueba rapida,2010-05-01,1,0,1,0,1
SUCRE,vih,n de personas con prueba rapida,2010-05-01,51,41,51,41,92
TAPACARI,vih,n de personas con prueba rapida,2010-05-01,20,3,20,3,23
TARABUCO,vih,n de personas con prueba rapida,2010-05-01,1,1,1,1,2
TARATA,vih,n de personas con prueba rapida,2010-05-01,2,1,2,1,3
TARIJA,vih,n de personas con prueba rapida,2010-05-01,45,105,45,105,150
TOLEDO,vih,n de personas con prueba rapida,2010-05-01,9,14,9,14,23
TOMINA,vih,n de personas con prueba rapida,2010-05-01,1,5,1,5,6
TRINIDAD,vih,n de personas con prueba rapida,2010-05-01,9,46,9,46,55
TURCO,vih,n de personas con prueba rapida,2010-05-01,14,9,14,9,23
UNCIA,vih,n de personas con prueba rapida,2010-05-01,0,2,0,2,2
VIACHA,vih,n de personas con prueba rapida,2010-05-01,3,2,3,2,5
VILLA MONTES,vih,n de personas con prueba rapida,2010-05-01,9,3,9,3,12
VILLA SERRANO,vih,n de personas con prueba rapida,2010-05-01,0,18,0,18,18
VILLA TUNARI,vih,n de personas con prueba rapida,2010-05-01,7,3,7,3,10
VILLAZON,vih,n de personas con prueba rapida,2010-05-01,0,32,0,32,32
WARNES,vih,n de personas con prueba rapida,2010-05-01,7,50,7,50,57
YACUIBA,vih,n de personas con prueba rapida,2010-05-01,20,46,20,46,66
YAPACANI,vih,n de personas con prueba rapida,2010-05-01,0,12,0,12,12
YUNCHARA,vih,n de personas con prueba rapida,2010-05-01,3,6,3,6,9
ACHACACHI,vih,n de personas con prueba rapida,2010-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-06-01,12,0,12,0,12
BATALLAS,vih,n de personas con prueba rapida,2010-06-01,2,1,2,1,3
BELLA FLOR,vih,n de personas con prueba rapida,2010-06-01,0,6,0,6,6
BERMEJO,vih,n de personas con prueba rapida,2010-06-01,8,6,8,6,14
BETANZOS,vih,n de personas con prueba rapida,2010-06-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2010-06-01,0,7,0,7,7
CAMIRI,vih,n de personas con prueba rapida,2010-06-01,4,13,4,13,17
CAPINOTA,vih,n de personas con prueba rapida,2010-06-01,1,1,1,1,2
CARACOLLO,vih,n de personas con prueba rapida,2010-06-01,10,33,10,33,43
CARANAVI,vih,n de personas con prueba rapida,2010-06-01,12,8,12,8,20
CHALLAPATA,vih,n de personas con prueba rapida,2010-06-01,4,4,4,4,8
CHIMORE,vih,n de personas con prueba rapida,2010-06-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-06-01,2,0,2,0,2
COBIJA,vih,n de personas con prueba rapida,2010-06-01,15,255,15,255,270
COCHABAMBA,vih,n de personas con prueba rapida,2010-06-01,22,186,22,186,208
COLOMI,vih,n de personas con prueba rapida,2010-06-01,4,8,4,8,12
COROICO,vih,n de personas con prueba rapida,2010-06-01,3,50,3,50,53
COTAGAITA,vih,n de personas con prueba rapida,2010-06-01,1,0,1,0,1
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2010-06-01,0,25,0,25,25
EL ALTO,vih,n de personas con prueba rapida,2010-06-01,400,519,400,519,919
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-06-01,2,3,2,3,5
EL TORNO,vih,n de personas con prueba rapida,2010-06-01,15,27,15,27,42
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-06-01,0,23,0,23,23
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2010-06-01,0,1,0,1,1
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-06-01,0,3,0,3,3
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-06-01,202,460,202,460,662
HUANUNI,vih,n de personas con prueba rapida,2010-06-01,0,1,0,1,1
INCAHUASI,vih,n de personas con prueba rapida,2010-06-01,1,0,1,0,1
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2010-06-01,13,19,13,19,32
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2010-06-01,1,0,1,0,1
LA ASUNTA,vih,n de personas con prueba rapida,2010-06-01,5,23,5,23,28
LA GUARDIA,vih,n de personas con prueba rapida,2010-06-01,6,53,6,53,59
LA PAZ,vih,n de personas con prueba rapida,2010-06-01,104,263,104,263,367
MACHACAMARCA,vih,n de personas con prueba rapida,2010-06-01,6,4,6,4,10
MAIRANA,vih,n de personas con prueba rapida,2010-06-01,0,2,0,2,2
MONTEAGUDO,vih,n de personas con prueba rapida,2010-06-01,5,20,5,20,25
MONTERO,vih,n de personas con prueba rapida,2010-06-01,22,3,22,3,25
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2010-06-01,18,26,18,26,44
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2010-06-01,2,2,2,2,4
ORURO,vih,n de personas con prueba rapida,2010-06-01,90,627,90,627,717
PADCAYA,vih,n de personas con prueba rapida,2010-06-01,0,17,0,17,17
PADILLA,vih,n de personas con prueba rapida,2010-06-01,0,19,0,19,19
PAILON,vih,n de personas con prueba rapida,2010-06-01,4,55,4,55,59
PORONGO,vih,n de personas con prueba rapida,2010-06-01,1,0,1,0,1
PORVENIR,vih,n de personas con prueba rapida,2010-06-01,2,24,2,24,26
POTOSI,vih,n de personas con prueba rapida,2010-06-01,12,8,12,8,20
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-06-01,17,10,17,10,27
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-06-01,6,6,6,6,12
PUERTO RICO,vih,n de personas con prueba rapida,2010-06-01,4,17,4,17,21
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-06-01,10,7,10,7,17
PUNATA,vih,n de personas con prueba rapida,2010-06-01,26,39,26,39,65
RIBERALTA,vih,n de personas con prueba rapida,2010-06-01,0,5,0,5,5
ROBORE,vih,n de personas con prueba rapida,2010-06-01,2,3,2,3,5
RURRENABAQUE,vih,n de personas con prueba rapida,2010-06-01,5,43,5,43,48
SACABA,vih,n de personas con prueba rapida,2010-06-01,7,2,7,2,9
SAN IGNACIO,vih,n de personas con prueba rapida,2010-06-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-06-01,10,21,10,21,31
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2010-06-01,4,23,4,23,27
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-06-01,11,41,11,41,52
SAN JULIAN,vih,n de personas con prueba rapida,2010-06-01,13,22,13,22,35
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-06-01,3,3,3,3,6
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2010-06-01,1,1,1,1,2
SAN PEDRO,vih,n de personas con prueba rapida,2010-06-01,1,8,1,8,9
SANTA ANA,vih,n de personas con prueba rapida,2010-06-01,9,7,9,7,16
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-06-01,42,74,42,74,116
SENA,vih,n de personas con prueba rapida,2010-06-01,3,19,3,19,22
SHINAOTA,vih,n de personas con prueba rapida,2010-06-01,2,9,2,9,11
SIPE SIPE,vih,n de personas con prueba rapida,2010-06-01,0,12,0,12,12
SUCRE,vih,n de personas con prueba rapida,2010-06-01,8,117,8,117,125
TAPACARI,vih,n de personas con prueba rapida,2010-06-01,4,7,4,7,11
TARABUCO,vih,n de personas con prueba rapida,2010-06-01,3,1,3,1,4
TARIJA,vih,n de personas con prueba rapida,2010-06-01,304,67,304,67,371
TOLATA,vih,n de personas con prueba rapida,2010-06-01,1,4,1,4,5
TOLEDO,vih,n de personas con prueba rapida,2010-06-01,3,5,3,5,8
TRINIDAD,vih,n de personas con prueba rapida,2010-06-01,30,120,30,120,150
TURCO,vih,n de personas con prueba rapida,2010-06-01,25,0,25,0,25
VIACHA,vih,n de personas con prueba rapida,2010-06-01,1,0,1,0,1
VILLA MONTES,vih,n de personas con prueba rapida,2010-06-01,12,17,12,17,29
VILLA SERRANO,vih,n de personas con prueba rapida,2010-06-01,0,18,0,18,18
VILLA TUNARI,vih,n de personas con prueba rapida,2010-06-01,16,18,16,18,34
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2010-06-01,5,28,5,28,33
VILLAZON,vih,n de personas con prueba rapida,2010-06-01,0,3,0,3,3
WARNES,vih,n de personas con prueba rapida,2010-06-01,13,69,13,69,82
YACUIBA,vih,n de personas con prueba rapida,2010-06-01,21,96,21,96,117
YAPACANI,vih,n de personas con prueba rapida,2010-06-01,0,11,0,11,11
YUNCHARA,vih,n de personas con prueba rapida,2010-06-01,0,2,0,2,2
ALCALA,vih,n de personas con prueba rapida,2010-07-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-07-01,3,1,3,1,4
AZURDUY,vih,n de personas con prueba rapida,2010-07-01,1,2,1,2,3
BELLA FLOR,vih,n de personas con prueba rapida,2010-07-01,0,3,0,3,3
BOLPEBRA,vih,n de personas con prueba rapida,2010-07-01,5,6,5,6,11
CAMIRI,vih,n de personas con prueba rapida,2010-07-01,1,5,1,5,6
CAPINOTA,vih,n de personas con prueba rapida,2010-07-01,0,25,0,25,25
CARACOLLO,vih,n de personas con prueba rapida,2010-07-01,7,12,7,12,19
CARANAVI,vih,n de personas con prueba rapida,2010-07-01,0,6,0,6,6
CHALLAPATA,vih,n de personas con prueba rapida,2010-07-01,1,3,1,3,4
CHARAGUA,vih,n de personas con prueba rapida,2010-07-01,0,1,0,1,1
CHIMORE,vih,n de personas con prueba rapida,2010-07-01,0,9,0,9,9
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-07-01,1,2,1,2,3
COBIJA,vih,n de personas con prueba rapida,2010-07-01,26,275,26,275,301
COCHABAMBA,vih,n de personas con prueba rapida,2010-07-01,24,212,24,212,236
COLCAPIRHUA,vih,n de personas con prueba rapida,2010-07-01,1,10,1,10,11
COPACABANA,vih,n de personas con prueba rapida,2010-07-01,0,5,0,5,5
COROICO,vih,n de personas con prueba rapida,2010-07-01,1,42,1,42,43
COTOCA,vih,n de personas con prueba rapida,2010-07-01,7,102,7,102,109
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2010-07-01,3,12,3,12,15
EL ALTO,vih,n de personas con prueba rapida,2010-07-01,200,828,200,828,1028
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-07-01,4,2,4,2,6
EL TORNO,vih,n de personas con prueba rapida,2010-07-01,9,36,9,36,45
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-07-01,0,14,0,14,14
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2010-07-01,1,19,1,19,20
EUCALIPTUS,vih,n de personas con prueba rapida,2010-07-01,0,39,0,39,39
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2010-07-01,5,33,5,33,38
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-07-01,128,379,128,379,507
HUANUNI,vih,n de personas con prueba rapida,2010-07-01,103,89,103,89,192
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2010-07-01,0,2,0,2,2
INQUISIVI,vih,n de personas con prueba rapida,2010-07-01,2,10,2,10,12
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2010-07-01,0,1,0,1,1
LA ASUNTA,vih,n de personas con prueba rapida,2010-07-01,6,37,6,37,43
LA GUARDIA,vih,n de personas con prueba rapida,2010-07-01,6,11,6,11,17
LA PAZ,vih,n de personas con prueba rapida,2010-07-01,120,271,120,271,391
LICOMA PAMPA,vih,n de personas con prueba rapida,2010-07-01,3,4,3,4,7
LLALLAGUA,vih,n de personas con prueba rapida,2010-07-01,4,0,4,0,4
MACHARETI,vih,n de personas con prueba rapida,2010-07-01,1,0,1,0,1
MAIRANA,vih,n de personas con prueba rapida,2010-07-01,0,1,0,1,1
MINEROS,vih,n de personas con prueba rapida,2010-07-01,0,2,0,2,2
MIZQUE,vih,n de personas con prueba rapida,2010-07-01,1,3,1,3,4
MONTEAGUDO,vih,n de personas con prueba rapida,2010-07-01,3,17,3,17,20
MONTERO,vih,n de personas con prueba rapida,2010-07-01,25,40,25,40,65
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2010-07-01,18,5,18,5,23
ORURO,vih,n de personas con prueba rapida,2010-07-01,104,383,104,383,487
PADCAYA,vih,n de personas con prueba rapida,2010-07-01,0,14,0,14,14
PADILLA,vih,n de personas con prueba rapida,2010-07-01,7,7,7,7,14
PAILON,vih,n de personas con prueba rapida,2010-07-01,5,57,5,57,62
POJO (CBBA),vih,n de personas con prueba rapida,2010-07-01,0,2,0,2,2
PORONGO,vih,n de personas con prueba rapida,2010-07-01,4,6,4,6,10
PORTACHUELO,vih,n de personas con prueba rapida,2010-07-01,1,0,1,0,1
PORVENIR,vih,n de personas con prueba rapida,2010-07-01,4,1,4,1,5
POTOSI,vih,n de personas con prueba rapida,2010-07-01,1,6,1,6,7
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-07-01,0,3,0,3,3
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-07-01,51,25,51,25,76
PUERTO RICO,vih,n de personas con prueba rapida,2010-07-01,1,18,1,18,19
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-07-01,10,2,10,2,12
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-07-01,4,22,4,22,26
PUNATA,vih,n de personas con prueba rapida,2010-07-01,7,3,7,3,10
QUIME,vih,n de personas con prueba rapida,2010-07-01,0,3,0,3,3
RIBERALTA,vih,n de personas con prueba rapida,2010-07-01,0,25,0,25,25
ROBORE,vih,n de personas con prueba rapida,2010-07-01,5,22,5,22,27
RURRENABAQUE,vih,n de personas con prueba rapida,2010-07-01,1,44,1,44,45
SACABA,vih,n de personas con prueba rapida,2010-07-01,6,85,6,85,91
SAN CARLOS,vih,n de personas con prueba rapida,2010-07-01,5,30,5,30,35
SAN IGNACIO,vih,n de personas con prueba rapida,2010-07-01,5,0,5,0,5
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-07-01,17,46,17,46,63
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2010-07-01,4,61,4,61,65
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-07-01,0,16,0,16,16
SAN JULIAN,vih,n de personas con prueba rapida,2010-07-01,7,11,7,11,18
SAN PEDRO,vih,n de personas con prueba rapida,2010-07-01,1,7,1,7,8
SANTA ANA,vih,n de personas con prueba rapida,2010-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-07-01,52,541,52,541,593
SANTA ROSA,vih,n de personas con prueba rapida,2010-07-01,0,8,0,8,8
SENA,vih,n de personas con prueba rapida,2010-07-01,2,22,2,22,24
SIPE SIPE,vih,n de personas con prueba rapida,2010-07-01,0,75,0,75,75
SORATA,vih,n de personas con prueba rapida,2010-07-01,1,77,1,77,78
SUCRE,vih,n de personas con prueba rapida,2010-07-01,41,73,41,73,114
TARABUCO,vih,n de personas con prueba rapida,2010-07-01,2,7,2,7,9
TARIJA,vih,n de personas con prueba rapida,2010-07-01,167,141,167,141,308
TOLEDO,vih,n de personas con prueba rapida,2010-07-01,0,6,0,6,6
TOMINA,vih,n de personas con prueba rapida,2010-07-01,0,7,0,7,7
TRINIDAD,vih,n de personas con prueba rapida,2010-07-01,92,111,92,111,203
TURCO,vih,n de personas con prueba rapida,2010-07-01,5,12,5,12,17
UNCIA,vih,n de personas con prueba rapida,2010-07-01,2,2,2,2,4
URUBICHA,vih,n de personas con prueba rapida,2010-07-01,1,0,1,0,1
VIACHA,vih,n de personas con prueba rapida,2010-07-01,2,2,2,2,4
VILLA MONTES,vih,n de personas con prueba rapida,2010-07-01,5,4,5,4,9
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-07-01,0,4,0,4,4
VILLA SERRANO,vih,n de personas con prueba rapida,2010-07-01,0,6,0,6,6
VILLA TUNARI,vih,n de personas con prueba rapida,2010-07-01,18,17,18,17,35
WARNES,vih,n de personas con prueba rapida,2010-07-01,0,38,0,38,38
YACUIBA,vih,n de personas con prueba rapida,2010-07-01,15,62,15,62,77
YAPACANI,vih,n de personas con prueba rapida,2010-07-01,0,17,0,17,17
YUNCHARA,vih,n de personas con prueba rapida,2010-07-01,2,2,2,2,4
ACHACACHI,vih,n de personas con prueba rapida,2010-08-01,1,6,1,6,7
ALCALA,vih,n de personas con prueba rapida,2010-08-01,0,1,0,1,1
APOLO,vih,n de personas con prueba rapida,2010-08-01,101,133,101,133,234
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-08-01,2,5,2,5,7
AZURDUY,vih,n de personas con prueba rapida,2010-08-01,0,1,0,1,1
BATALLAS,vih,n de personas con prueba rapida,2010-08-01,1,2,1,2,3
BELLA FLOR,vih,n de personas con prueba rapida,2010-08-01,84,35,84,35,119
BERMEJO,vih,n de personas con prueba rapida,2010-08-01,6,11,6,11,17
BOLPEBRA,vih,n de personas con prueba rapida,2010-08-01,0,2,0,2,2
CAMIRI,vih,n de personas con prueba rapida,2010-08-01,0,49,0,49,49
CAPINOTA,vih,n de personas con prueba rapida,2010-08-01,2,1,2,1,3
CARACOLLO,vih,n de personas con prueba rapida,2010-08-01,9,18,9,18,27
CARANAVI,vih,n de personas con prueba rapida,2010-08-01,0,4,0,4,4
CHALLAPATA,vih,n de personas con prueba rapida,2010-08-01,2,17,2,17,19
CHIMORE,vih,n de personas con prueba rapida,2010-08-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-08-01,2,1,2,1,3
COBIJA,vih,n de personas con prueba rapida,2010-08-01,23,301,23,301,324
COCHABAMBA,vih,n de personas con prueba rapida,2010-08-01,26,206,26,206,232
COLCAPIRHUA,vih,n de personas con prueba rapida,2010-08-01,1,7,1,7,8
COLOMI,vih,n de personas con prueba rapida,2010-08-01,23,10,23,10,33
COLQUIRI,vih,n de personas con prueba rapida,2010-08-01,13,7,13,7,20
COTAGAITA,vih,n de personas con prueba rapida,2010-08-01,1,0,1,0,1
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2010-08-01,0,10,0,10,10
CULPINA,vih,n de personas con prueba rapida,2010-08-01,1,2,1,2,3
EL ALTO,vih,n de personas con prueba rapida,2010-08-01,502,682,502,682,1184
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-08-01,6,11,6,11,17
EL TORNO,vih,n de personas con prueba rapida,2010-08-01,9,55,9,55,64
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-08-01,7,27,7,27,34
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2010-08-01,1,5,1,5,6
EUCALIPTUS,vih,n de personas con prueba rapida,2010-08-01,2,17,2,17,19
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-08-01,0,4,0,4,4
FILADELFIA,vih,n de personas con prueba rapida,2010-08-01,0,1,0,1,1
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-08-01,32,199,32,199,231
HUANUNI,vih,n de personas con prueba rapida,2010-08-01,2,28,2,28,30
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2010-08-01,78,77,78,77,155
INQUISIVI,vih,n de personas con prueba rapida,2010-08-01,1,8,1,8,9
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2010-08-01,1,10,1,10,11
LA ASUNTA,vih,n de personas con prueba rapida,2010-08-01,4,2,4,2,6
LA GUARDIA,vih,n de personas con prueba rapida,2010-08-01,6,103,6,103,109
LA PAZ,vih,n de personas con prueba rapida,2010-08-01,118,327,118,327,445
LICOMA PAMPA,vih,n de personas con prueba rapida,2010-08-01,1,3,1,3,4
MACHARETI,vih,n de personas con prueba rapida,2010-08-01,5,0,5,0,5
MAIRANA,vih,n de personas con prueba rapida,2010-08-01,0,2,0,2,2
MINEROS,vih,n de personas con prueba rapida,2010-08-01,0,2,0,2,2
MONTEAGUDO,vih,n de personas con prueba rapida,2010-08-01,4,4,4,4,8
MONTERO,vih,n de personas con prueba rapida,2010-08-01,38,56,38,56,94
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2010-08-01,3,9,3,9,12
ORURO,vih,n de personas con prueba rapida,2010-08-01,33,291,33,291,324
PADCAYA,vih,n de personas con prueba rapida,2010-08-01,0,20,0,20,20
PAILON,vih,n de personas con prueba rapida,2010-08-01,6,55,6,55,61
PATACAMAYA,vih,n de personas con prueba rapida,2010-08-01,5,1,5,1,6
PORONGO,vih,n de personas con prueba rapida,2010-08-01,1,0,1,0,1
PORTACHUELO,vih,n de personas con prueba rapida,2010-08-01,1,0,1,0,1
PORVENIR,vih,n de personas con prueba rapida,2010-08-01,3,2,3,2,5
POTOSI,vih,n de personas con prueba rapida,2010-08-01,0,16,0,16,16
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-08-01,1,3,1,3,4
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-08-01,51,34,51,34,85
PUERTO RICO,vih,n de personas con prueba rapida,2010-08-01,3,29,3,29,32
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-08-01,1,0,1,0,1
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-08-01,10,83,10,83,93
PUNATA,vih,n de personas con prueba rapida,2010-08-01,13,3,13,3,16
RIBERALTA,vih,n de personas con prueba rapida,2010-08-01,5,16,5,16,21
ROBORE,vih,n de personas con prueba rapida,2010-08-01,4,4,4,4,8
RURRENABAQUE,vih,n de personas con prueba rapida,2010-08-01,50,85,50,85,135
SACABA,vih,n de personas con prueba rapida,2010-08-01,0,3,0,3,3
SAN IGNACIO,vih,n de personas con prueba rapida,2010-08-01,4,21,4,21,25
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-08-01,18,86,18,86,104
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2010-08-01,31,169,31,169,200
SAN JULIAN,vih,n de personas con prueba rapida,2010-08-01,5,15,5,15,20
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-08-01,0,4,0,4,4
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2010-08-01,1,0,1,0,1
SAN LUCAS,vih,n de personas con prueba rapida,2010-08-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2010-08-01,0,1,0,1,1
SAN PEDRO,vih,n de personas con prueba rapida,2010-08-01,0,1,0,1,1
SAN PEDRO(PND),vih,n de personas con prueba rapida,2010-08-01,11,6,11,6,17
SANTA ANA,vih,n de personas con prueba rapida,2010-08-01,23,0,23,0,23
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-08-01,180,593,180,593,773
SENA,vih,n de personas con prueba rapida,2010-08-01,1,22,1,22,23
SHINAOTA,vih,n de personas con prueba rapida,2010-08-01,2,0,2,0,2
SUCRE,vih,n de personas con prueba rapida,2010-08-01,45,100,45,100,145
TAPACARI,vih,n de personas con prueba rapida,2010-08-01,0,3,0,3,3
TARABUCO,vih,n de personas con prueba rapida,2010-08-01,0,1,0,1,1
TARATA,vih,n de personas con prueba rapida,2010-08-01,1,1,1,1,2
TARIJA,vih,n de personas con prueba rapida,2010-08-01,16,135,16,135,151
TOLATA,vih,n de personas con prueba rapida,2010-08-01,0,1,0,1,1
TOLEDO,vih,n de personas con prueba rapida,2010-08-01,1,6,1,6,7
TOMINA,vih,n de personas con prueba rapida,2010-08-01,2,12,2,12,14
TRINIDAD,vih,n de personas con prueba rapida,2010-08-01,19,87,19,87,106
TURCO,vih,n de personas con prueba rapida,2010-08-01,13,2,13,2,15
VIACHA,vih,n de personas con prueba rapida,2010-08-01,3,1,3,1,4
VILLA MONTES,vih,n de personas con prueba rapida,2010-08-01,7,3,7,3,10
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-08-01,0,2,0,2,2
VILLA TUNARI,vih,n de personas con prueba rapida,2010-08-01,9,5,9,5,14
WARNES,vih,n de personas con prueba rapida,2010-08-01,4,89,4,89,93
YACUIBA,vih,n de personas con prueba rapida,2010-08-01,29,50,29,50,79
YAPACANI,vih,n de personas con prueba rapida,2010-08-01,2,34,2,34,36
YUNCHARA,vih,n de personas con prueba rapida,2010-08-01,13,31,13,31,44
ACHACACHI,vih,n de personas con prueba rapida,2010-09-01,3,7,3,7,10
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-09-01,2,2,2,2,4
AZURDUY,vih,n de personas con prueba rapida,2010-09-01,0,7,0,7,7
BERMEJO,vih,n de personas con prueba rapida,2010-09-01,6,5,6,5,11
BETANZOS,vih,n de personas con prueba rapida,2010-09-01,0,20,0,20,20
BOLPEBRA,vih,n de personas con prueba rapida,2010-09-01,16,12,16,12,28
CAMIRI,vih,n de personas con prueba rapida,2010-09-01,7,31,7,31,38
CARACOLLO,vih,n de personas con prueba rapida,2010-09-01,6,15,6,15,21
