,group,variable,month,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS FUERA,ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
PRESTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,4,6,4,16
PUCARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,0,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,16,23,13,3,55
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,0,4,4,14
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,5,5,8,4,22
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,4,6,2,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,3,2,0,1,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,8,11,0,1,20
PUERTO RICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,9,3,1,19
PUERTO SILES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,1,0,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,11,16,2,1,30
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,44,50,2,10,106
PUNA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,11,8,3,3,25
PUNATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,22,19,0,2,43
QUIABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,2,2,2,7
QUILLACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,89,83,30,26,228
QUIME,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,7,0,0,14
RAVELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,2,4,10,20
REYES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,11,4,6,4,25
RIBERALTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,125,115,6,1,247
ROBORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,12,16,0,1,29
RURRENABAQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,18,17,0,0,35
SABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,3,0,2,5
SACABA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,155,128,3,15,301
SACABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,5,1,0,0,6
SACACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,13,11,5,11,40
SAIPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,2,2,1,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,3,7,7,18
SAMAIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,3,6,2,1,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,12,7,1,1,21
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,2,0,0,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,1,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,3,3,3,0,9
SAN BENITO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,9,14,0,4,27
SAN BORJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,41,29,4,4,78
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,8,1,3,16
SAN CARLOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,15,14,2,4,35
SAN IGNACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,15,17,1,2,35
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,60,52,9,10,131
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,4,0,3,8
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,19,18,0,0,37
SAN JOAQUIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,8,0,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,20,19,10,12,61
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,3,4,0,2,9
SAN JULIAN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,41,41,10,9,101
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,5,8,5,22
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,24,15,1,3,43
SAN LUCAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,12,10,7,9,38
SAN MATIAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,18,11,3,1,33
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,11,7,3,3,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,1,0,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,13,10,1,0,24
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,19,17,9,10,55
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,3,0,0,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,4,0,0,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,0,0,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,1,1,0,8
SAN RAMON BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,4,3,2,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,8,11,0,0,19
SANTA ANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,11,23,3,0,37
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1491,1432,5,4,2932
SANTA ROSA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,12,0,2,21
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,17,13,1,0,31
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,1,1,1,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,2,3,6,12
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,1,0,4,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,4,0,0,10
SANTIVAÑES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,4,0,0,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,2,2,0,6
SAPAHAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,1,3,5,11
SENA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,8,8,1,2,19
SHINAOTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,21,20,1,1,43
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,11,13,0,1,25
SICAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,5,3,2,1,11
SIPE SIPE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,40,42,3,0,85
SOPACHUY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,2,5,1,12
SORACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,5,2,0,1,8
SORATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,5,5,3,20
SUCRE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,342,298,3,4,647
TACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,1,0,0,2
TACACOMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,6,0,1,9
TACOBAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,6,1,3,11
TACOPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,3,3,4,12
TAHUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,1,0,0,2
TAPACARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,12,17,3,5,37
TARABUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,10,1,2,17
TARACO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,2,1,2,5
TARATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,5,5,1,1,12
TARIJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,210,230,1,5,446
TARVITA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,6,9,3,20
TEOPONTE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,8,1,4,20
TIAWANACU,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,7,0,3,16
TINGUIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,9,12,8,36
TIPUANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,5,0,3,9
TIQUIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,42,47,5,8,102
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,10,15,7,5,37
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,1,0,0,1
TOCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,3,0,0,7
TODOS SANTOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,0,0,0,1
TOLATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,3,0,0,5
TOLEDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,2,1,0,5
TOMAVE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,3,5,6,21
TOMINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,4,1,1,13
TORO TORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,3,1,5,5,14
TOTORA(CBBA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,9,12,4,6,31
TOTORA(ORR),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,3,0,0,4
TRIGAL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,106,116,10,8,240
TUPIZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,40,36,3,5,84
TURCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,1,0,2,3
UMALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,3,4,4,11
UNCIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,18,19,4,7,48
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,12,8,0,0,20
URUBICHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,5,3,0,0,8
UYUNI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,23,31,1,0,55
VACAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,2,4,2,14
VALLEGRANDE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,16,19,0,0,35
VIACHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,49,43,6,10,108
VILA VILA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,3,1,0,1,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,8,2,1,18
VILLA MONTES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,40,46,2,3,91
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,0,1,0,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,7,0,1,14
VILLA SERRANO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,4,3,2,13
VILLA TUNARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,72,62,4,4,142
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,9,0,0,13
VILLAZON,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,32,41,4,3,80
VINTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,18,23,3,2,46
VITICHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,5,3,0,12
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,1,0,2,1,4
WARNES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,111,101,5,4,221
YACO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,6,4,4,18
YACUIBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,94,76,2,2,174
YAMPARAEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,5,6,1,0,12
YANACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,2,0,0,8
YAPACANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,45,30,15,20,110
YOCALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,6,7,5,3,21
YOTALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,4,3,2,0,9
YUNCHARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,2,2,5,2,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-03-01,7,2,1,2,12
ACACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,4,2,2,10
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,5,16,9,3,33
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,8,7,5,22
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,12,9,9,8,38
ALALAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,2,2,1,5
ALCALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,1,1,0,2
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,4,7,0,2,13
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,4,3,3,3,13
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,1,0,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,4,0,0,7
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,4,1,1,4,10
APOLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,5,9,5,5,24
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,0,1,2,5
ARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,6,9,0,0,15
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,7,10,5,5,27
ARQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,7,11,0,3,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,23,31,3,2,59
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,7,4,0,0,11
AYATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,3,3,1,8
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,5,0,0,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,15,6,8,6,35
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,7,5,4,17
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,5,9,3,4,21
BAURES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,2,2,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,0,1,1,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,1,1,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,1,0,0,2
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,21,24,0,1,46
BETANZOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,21,12,2,3,38
BOLIVAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,1,1,0,3
BOLPEBRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,2,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,2,0,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,16,9,3,5,33
CABEZAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,14,15,14,8,51
CAIROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,2,0,2,7
"CAIZA ""D""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,6,1,2,11
CAJUATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,9,9,0,0,18
CALACOTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,0,1,1,3
CALAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,7,1,1,12
CAMARGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,7,9,1,3,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,2,0,0,2
CAMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,28,36,3,2,69
CAPINOTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,21,12,1,0,34
CAQUIAVIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,2,2,0,7
CARACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,6,2,3,14
CARANAVI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,44,19,3,2,68
CARAPARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,12,9,0,1,22
CARIPUYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,4,4,2,11
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,1,4,5,12
CATACORA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,0,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,2,0,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,13,19,7,6,45
CHAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,5,4,0,0,9
CHARAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,11,4,17,15,47
CHAYANTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,6,6,2,3,17
CHIMORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,21,12,8,2,43
CHIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,0,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,2,1,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,16,12,1,1,30
CHUMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,4,1,0,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,1,2,1,7
CKOCHAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,4,5,2,9,20
CLIZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,8,10,1,2,21
COBIJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,39,40,6,8,93
COCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,12,9,6,10,37
COCHABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,555,571,3,4,1133
COLCAPIRHUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,47,34,1,0,82
"COLCHA ""K""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,6,5,0,1,12
COLLANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,1,0,0,3
COLOMI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,21,17,4,0,42
COLPA BELGICA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,3,0,0,5
COLQUECHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,11,10,10,7,38
COLQUENCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,7,0,0,8
COLQUIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,7,2,4,16
COMANCHE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,1,0,1,3
COMARAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,13,15,0,3,31
COMBAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,0,1,1,2
CONCEPCION,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,19,21,2,2,44
COPACABANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,5,2,5,7,19
CORIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,9,12,0,0,21
CORO CORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,3,0,2,8
COROICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,8,5,0,2,15
CORQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,0,0,1,3
COTAGAITA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,17,14,3,5,39
COTOCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,46,33,3,1,83
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,20,7,3,1,31
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,1,0,0,1
CUEVO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,1,1,3,8
CULPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,7,10,2,4,23
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,0,1,1,2
CURVA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,0,2,0,4
DESAGUADERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,4,2,0,1,7
EL ALTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,487,519,164,141,1311
EL CHORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,2,1,1,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,9,10,1,0,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,8,2,0,1,11
EL TORNO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,27,37,3,1,68
EL VILLAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,0,3,2,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,10,7,5,2,24
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,34,31,1,2,68
ESCOMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,1,2,0,5
ESMERALDA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,0,0,1,2
EUCALIPTUS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,7,0,1,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,0,3,4,8
EXALTACION,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,1,0,4,3,8
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,9,7,1,0,17
FILADELFIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,2,0,5,1,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,15,13,1,1,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,5,0,5,13
GUANAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,6,10,3,4,23
GUAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,3,6,2,0,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2017-04-01,42,24,0,3,69
