municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
LORETO,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,5,5
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,4,4
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,30,30
PADCAYA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,4,4
PADILLA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,2,2
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
POROMA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,2,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,2,2
PUCARANI,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
PUNA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,2,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,5,5
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,2,2
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
SAN LUCAS,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,571,571
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,7,7
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,15,15
TACOPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,24,24
TARVITA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,8,8
TIAWANACU,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,3,3
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
VILA VILA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,2,2
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,30,30
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2005-10-01,2,2
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,25,25
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,2,2
CHARAGUA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,15,15
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,79,79
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,4,4
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,7,7
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,7,7
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,71,71
EL CHORO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,90,90
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,109,109
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,28,28
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,3,3
PUCARANI,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,2,2
PUNA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,3,3
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,14,14
RIBERALTA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,2,2
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,3,3
SAN BORJA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,2,2
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
SAN LUCAS,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,287,287
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
SANTIVAÑES,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,7,7
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,23,23
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,12,12
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2005-11-01,2,2
TORO TORO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
URUBICHA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,20,20
YOCALLA,otras vacunaciones,antirrabica humana esquema completo,2005-11-01,1,1
ACACIO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
ALCALA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,10,10
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
CALAMARCA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,6,6
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,30,30
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,11,11
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,49,49
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,22,22
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,62,62
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,8,8
OKINAWA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,47,47
PAILON,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
POJO (CBBA),otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
PUERTO ACOSTA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,12,12
PUNA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,3,3
ROBORE,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
SACABA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,4,4
SACACA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
SAN ANDRES,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,4,4
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,378,378
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,19,19
TACOPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
TARATA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,17,17
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
TORO TORO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,2,2
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,6,6
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,10,10
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2005-12-01,19,19
