municipality,group,variable,month,2.2 Pacientes derivados de la comunidad o medicina tradicional,TOTAL
SAN PEDRO DE CURAHUARA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,107,107
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,4,4
TARIJA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,2,2
TRINIDAD,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,9,9
TUPIZA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,4,4
URIONDO (A. CONCEPCION),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,2,2
URUBICHA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,2,2
YACUIBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-09-01,1,1
ACACIO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
AZURDUY,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,14,14
CAPINOTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,2,2
CONCEPCION,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,2,2
CUATRO CAÑADAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,2,2
EL CHORO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
EL PUENTE(STC),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,10,10
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,8,8
MONTEAGUDO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,3,3
PAMPA GRANDE,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,5,5
POCOATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,9,9
RIBERALTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
SACABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,2,2
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,7,7
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,28,28
SAN MATIAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,2,2
TAPACARI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
TOMINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,1,1
YACUIBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-10-01,2,2
ACACIO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
BETANZOS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,4,4
CUATRO CAÑADAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
EL CHORO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,14,14
MACHARETI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,6,6
MONTERO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
MOROCHATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
ORURO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,4,4
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,12,12
SAN ANDRES,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,2,2
SAN BORJA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,2,2
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,14,14
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,5,5
TIAWANACU,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
URUBICHA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,5,5
YOTALA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-11-01,1,1
BERMEJO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,2,2
CAPINOTA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
CARAPARI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
CHUA COCANI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,2,2
COCHABAMBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,3,3
CUATRO CAÑADAS,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
EL ALTO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,3,3
HUACARETA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
LLALLAGUA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,2,2
ORURO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,4,4
SAIPINA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,8,8
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
SAN JULIAN,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,26,26
SORATA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,7,7
TIPUANI,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
TUPIZA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,4,4
URIONDO (A. CONCEPCION),referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
VIACHA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
YACUIBA,referencias y retornos,       pacientes derivados de la comunidad o medicina tradicional,2014-12-01,1,1
