municipality,group,variable,month,2.4 PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
URUBICHA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-11-01,8,8
CAMARGO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,1,1
"COLCHA ""K""",referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,1,1
COTOCA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,2,2
DESAGUADERO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,2,2
EL ALTO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,4,4
HUARINA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,3,3
LA ASUNTA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,1,1
LA PAZ,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,6,6
MACHARETI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,2,2
ORURO,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,4,4
SAN CARLOS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,6,6
SAN LUCAS,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,5,5
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,6,6
SUCRE,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,6,6
TARIJA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,10,10
TIPUANI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,2,2
TOLATA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,1,1
TOMINA,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,5,5
VILLA TUNARI,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,7,7
WARNES,referencias y retornos,       pcd referidas a unidades de calificacion de discapacidad.,2014-12-01,52,52
