municipality,group,variable,month,2.3 Pacientes retornados al establecimiento de origen,TOTAL
VALLEGRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
VIACHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
VILLA RIVERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
VILLA SERRANO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,36,36
VINTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,4,4
VITICHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
WARNES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,18,18
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
YOTALA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,1,1
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-03-01,2,2
ALCALA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
AYO AYO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
AZURDUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,19,19
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,6,6
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
CAMIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
CARANAVI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
CARIPUYO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
CHUA COCANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,4,4
CKOCHAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,167,167
COCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,6,6
COLCAPIRHUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,14,14
COLQUECHACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,13,13
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,6,6
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,7,7
CURVA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,13,13
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
EL TORNO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
GUAQUI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
GUTIERREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,4,4
HUACARETA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
INCAHUASI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
LA ASUNTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,530,530
LURIBAY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,397,397
OKINAWA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,114,114
PADCAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,4,4
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,41,41
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,11,11
POCONA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
POJO (CBBA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
PORCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
POROMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
PORONGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
PORVENIR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,11,11
PUCARANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
PUERTO CARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
PUERTO GONZALO MORENO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
PUERTO QUIJARRO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
PUERTO SUAREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,13,13
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,5,5
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,12,12
QUIME,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,11,11
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,13,13
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,16,16
SACABA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
SAN ANDRES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
SAN BORJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
SAN BUENA VENTURA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,5,5
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,32,32
SAN JAVIER(BNI),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,165,165
SANTA ROSA DEL SARA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
SENA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
SHINAOTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
SIPE SIPE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,4,4
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,126,126
TAPACARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,4,4
TARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,5,5
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,47,47
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,8,8
TIPUANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
TOLEDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,21,21
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,76,76
VALLEGRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
VIACHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,2,2
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,66,66
VITICHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,7,7
YACO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,3,3
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,20,20
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
YOTALA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-04-01,1,1
ARQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
AYO AYO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
AZURDUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,14,14
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
BOYUIBE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
CAJUATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
CAMARGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
CARANAVI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
CARMEN RIVERO TORREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
CKOCHAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,3,3
CLIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,175,175
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,7,7
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,8,8
COLQUECHACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,13,13
CONCEPCION,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,14,14
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,5,5
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,8,8
CURVA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,55,55
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
EL TORNO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
ENTRE RIOS CBBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
GUTIERREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
HUACARETA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
HUATAJATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
INCAHUASI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,6,6
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,641,641
LURIBAY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,5,5
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
MECAPACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,409,409
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,125,125
PADCAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,37,37
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
POCONA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,3,3
PORCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,3,3
POROMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,5,5
PORTACHUELO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,17,17
PRESTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
PUERTO QUIJARRO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
PUERTO RICO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
PUERTO SUAREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,20,20
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,7,7
PUNA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,13,13
RAVELO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,25,25
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,5,5
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,6,6
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
SALINAS DE GARCI MENDOZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
SAMAIPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
SAN ANDRES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
SAN BORJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,4,4
SAN BUENA VENTURA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,12,12
SAN IGNACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,32,32
SAN JAVIER(BNI),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
SAN JOSE DE CHIQUITOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
SAN LORENZO(PND),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,4,4
SAN PEDRO(PND),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,172,172
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,559,559
TAPACARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,4,4
TARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,6,6
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,59,59
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,8,8
TIPUANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
TOLEDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
TOMAVE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,5,5
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,85,85
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,58,58
URUBICHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
VALLEGRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,5,5
VIACHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,3,3
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,3,3
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,3,3
VILLA NUEVA (LOMA ALTA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,27,27
VITICHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,1,1
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,28,28
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-05-01,2,2
ACHACACHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
ALCALA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
ANTEQUERA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
ANZALDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
ARBIETO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
ARQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,11,11
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,10,10
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,18,18
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,4,4
BOYUIBE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
BUENA VISTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,4,4
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
CAMARGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,5,5
CAMIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
CARIPUYO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
CKOCHAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,166,166
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,5,5
COLOMI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,3,3
COLQUECHACA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
COLQUIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,6,6
CORQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,23,23
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,9,9
CUEVO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
CULPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,58,58
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,3,3
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
EL TORNO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,6,6
ENTRE RIOS TRJ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,7,7
GENERAL SAAVEDRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,3,3
GUAYARAMERIN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,4,4
GUTIERREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
HUACARETA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,3,3
INCAHUASI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,5,5
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,565,565
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,4,4
MAPIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
MINEROS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,5,5
MOJINETE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,11,11
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,482,482
MORO MORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
OKINAWA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,145,145
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,38,38
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,17,17
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
PELECHUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
PORTACHUELO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,23,23
PORVENIR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
PRESTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,4,4
PUERTO GONZALO MORENO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
PUERTO SUAREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,12,12
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,5,5
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,6,6
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,13,13
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,18,18
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SACABA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,4,4
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SAN ANDRES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SAN BUENA VENTURA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,5,5
SAN IGNACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,34,34
SAN JAVIER(BNI),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
SAN JOSE DE CHIQUITOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,4,4
SAN LORENZO(PND),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,7,7
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,5,5
SAN MATIAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,11,11
SANTA ANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,172,172
SANTIAGO DE CALLAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SENA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
