municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
SACABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
SACACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
SAIPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,20,20
SALINAS DE GARCI MENDOZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,7,7
SAMAIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,13,13
SAN AGUSTIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
SAN ANDRES,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
SAN ANDRES DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,11,11
SAN ANTONIO DE ESMORUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
SAN ANTONIO DE LOMERIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
SAN BENITO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
SAN BORJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,26,26
SAN BUENA VENTURA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
SAN CARLOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,40,40
SAN IGNACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
SAN IGNACIO DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,30,30
SAN JAVIER(BNI),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
SAN JOAQUIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
SAN JOSE DE CHIQUITOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,13,13
SAN JUAN DE YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,15,15
SAN JULIAN,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,40,40
SAN LORENZO(PND),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
SAN LORENZO(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,62,62
SAN LUCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
SAN MATIAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,14,14
SAN MIGUEL DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,21,21
SAN PABLO DE LIPEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
SAN PEDRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,28,28
SAN PEDRO DE BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
SAN PEDRO DE CURAHUARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
SAN PEDRO DE TIQUINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,15,15
SAN RAFAEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,14,14
SAN RAMON BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
SAN RAMON SCZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,13,13
SANTA ANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3426,3426
SANTA ROSA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
SANTA ROSA DEL SARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,51,51
SANTIAGO DE HUARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
SANTIAGO DE HUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
SANTIAGO DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
SANTIVAÑES,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
SANTUARIO DE QUILLACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
SAPAHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
SENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
SHINAOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
SICA SICA (VILLA AROMA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,13,13
SICAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
SIPE SIPE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,17,17
SOPACHUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,7,7
SORACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
SORATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,21,21
SUCRE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1652,1652
TACACOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,4,4
TACOBAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
TACOPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
TAPACARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,6,6
TARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,27,27
TARACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,18,18
TARATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,19,19
TARIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,615,615
TARVITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,25,25
TEOPONTE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
TIAWANACU,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
TINGUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
TIPUANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
TIQUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,35,35
TIRAQUE (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,8,8
TITO YUPANQUI (PARQUIPUJIO),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
TOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
TOLATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,21,21
TOLEDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
TOMAVE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,1,1
TOMINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,13,13
TORO TORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
TOTORA(CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
TOTORA(ORR),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,7,7
TRIGAL,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,3,3
TRINIDAD,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,553,553
TUPIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,207,207
TURCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,7,7
UNCIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,32,32
URIONDO (A. CONCEPCION),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,42,42
URUBICHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
UYUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
VACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
VALLEGRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,22,22
VIACHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,165,165
VILLA CHARCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
VILLA MONTES,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,40,40
VILLA NUEVA (LOMA ALTA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,5,5
VILLA RIVERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
VILLA SERRANO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,11,11
VILLA TUNARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,97,97
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,9,9
VILLAZON,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,215,215
VINTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,32,32
VITICHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,12,12
WARNES,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,132,132
YACUIBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,123,123
YAMPARAEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,22,22
YANACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,12,12
YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,85,85
YOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,15,15
YOTALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,11,11
YUNCHARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,8,8
YUNGUYO DE LITORAL,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,2,2
ZUDAÑEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-02-01,10,10
ACACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
ACHACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,43,43
ACHOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,23,23
AIQUILE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,16,16
ALCALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
ANCORAIMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
ANZALDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
APOLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
ARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
ARBIETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,9,9
ARQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
ASCENCION DE GUARAYOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
ATOCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,102,102
AUCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
AYATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
AYO AYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,15,15
AZURDUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
BATALLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,9,9
BAURES,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
BELEN DE ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
BELLA FLOR,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
BERMEJO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,105,105
BETANZOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,49,49
BOLIVAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
BOYUIBE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,30,30
CABEZAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,32,32
CAIROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
"CAIZA ""D""",referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
CAJUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
CALACOTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
CALAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,11,11
CAMARGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,50,50
CAMATAQUI (C. VILLA ABECIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
CAMIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,18,18
CAPINOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,25,25
CAQUIAVIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
CARACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,15,15
CARANAVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,31,31
CARAPARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,46,46
CARIPUYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
CARMEN RIVERO TORREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
CHALLAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,60,60
CHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
CHARAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,20,20
CHAYANTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
CHIMORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,24,24
CHOQUE COTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
CHUA COCANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
CHUMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
CKOCHAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
CLIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,24,24
COBIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,144,144
COCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
COCHABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,309,309
COLCAPIRHUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,24,24
"COLCHA ""K""",referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,9,9
COLOMI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,35,35
COLPA BELGICA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,66,66
COLQUECHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,27,27
COLQUIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
COMARAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,57,57
CONCEPCION,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,12,12
COPACABANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
CORIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,21,21
COROICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
CORQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
COTAGAITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,39,39
COTOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,71,71
CUATRO CAÑADAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,24,24
CUEVO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
CULPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
CURAHUARA DE CARANGAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
CURVA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
EL ALTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3332,3332
EL CHORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
EL PUENTE(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,24,24
EL PUENTE(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,22,22
EL TORNO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,111,111
EL VILLAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
ENTRE RIOS TRJ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,22,22
ENTRE RIOS CBBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,81,81
ESCARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
ESCOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
EUCALIPTUS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,13,13
FERNANDEZ ALONSO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,41,41
FILADELFIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
GENERAL SAAVEDRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
GUAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,11,11
GUAYARAMERIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,85,85
GUTIERREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,11,11
HUACARETA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
HUACAYA (VILLA DE HUACAYA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
HUACHACALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
HUANUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,27,27
HUARACAJE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
HUARINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
HUATAJATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,11,11
HUAYLLAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
ICHOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
ICLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,11,11
INCAHUASI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
INGAVI (HUMAITA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
INQUISIVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
IRUPANA (VILLA DE LANZA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
IXIAMAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
JESUS DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
LA ASUNTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,12,12
LA GUARDIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,166,166
LA PAZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6822,6822
LAGUNILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
LAJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,39,39
LAS CARRERAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
LICOMA PAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
LLALLAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,19,19
LORETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
LURIBAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
MACHACAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
MACHARETI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,17,17
MAGDALENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
MAIRANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,39,39
MAPIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
MECAPACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,25,25
MINEROS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,21,21
MIZQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
MOJINETE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
MOJOCOYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
MONTEAGUDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,43,43
MONTERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,610,610
MORO MORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
MOROCHATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
OCURI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
OKINAWA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
OMEREQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
ORURO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,542,542
PADCAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,57,57
PADILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,15,15
PAILON,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,36,36
PALCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
PALOS BLANCOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,17,17
PAMPA GRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,16,16
PAPEL PAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
PASORAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
PATACAMAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,47,47
PAZÑA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
PELECHUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
POCOATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,12,12
POCONA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
POJO (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
PORCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
POROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
PORONGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
PORTACHUELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
PORVENIR,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,23,23
POTOSI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,228,228
PRESTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
PUCARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
PUCARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,33,33
PUERTO CARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
PUERTO GONZALO MORENO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
PUERTO PEREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
PUERTO QUIJARRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,32,32
PUERTO RICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,18,18
PUERTO SILES,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
PUERTO SUAREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,15,15
PUERTO VILLARROEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,59,59
PUNA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,28,28
PUNATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,30,30
QUIABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
QUILLACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,124,124
QUIME,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,20,20
QUIRUSILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
RAVELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
RIBERALTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,195,195
ROBORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,133,133
RURRENABAQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,20,20
SABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
SACABA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,125,125
SACABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
SACACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,13,13
SAIPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,16,16
SALINAS DE GARCI MENDOZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
SAMAIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,23,23
SAN ANDRES,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
SAN ANDRES DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,17,17
SAN ANTONIO DE LOMERIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
SAN BENITO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,12,12
SAN BORJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
SAN BUENA VENTURA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
SAN CARLOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,41,41
SAN IGNACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,15,15
SAN IGNACIO DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,25,25
SAN JAVIER(BNI),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
SAN JOAQUIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
SAN JOSE DE CHIQUITOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,27,27
SAN JUAN DE YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,31,31
SAN JULIAN,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,48,48
SAN LORENZO(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,88,88
SAN LUCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,29,29
SAN MATIAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,30,30
