,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,5,1,6
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,2,1,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,3,0,3
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,1,0,1
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,11,8,19
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2016-12-01,1,0,1
