,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,3,4,0,0,7
COROICO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,5,2,0,1,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,1,1,0,3
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,2,2,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,31,42,18,19,110
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,5,0,0,6
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,3,1,0,0,4
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,2,0,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,1,0,0,3
HUACARETA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,1,0,1
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,11,2,6,7,26
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,38,39,8,9,94
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,2,0,3
MIZQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,5,4,1,0,10
OCURI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,1,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,10,7,0,2,19
PADCAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,1,2
PAILON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,12,14,26
PALCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,2,2,1,7
POCONA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,8,7,15
POOPO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
POROMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,3,2,0,0,5
PORVENIR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,8,5,10,11,34
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,1,2,2,7
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,4,0,4,5,13
QUIME,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,3,5,8
RAVELO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,1,2,0,4
ROBORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,2,2
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,2,0,2,6
SACABA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,11,13,4,2,30
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,1,1,2,6
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,3,0,0,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,4,0,0,0,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,3,0,0,4
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,0,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,2,2,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,14,7,0,1,22
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,0,1,2,5
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,5,0,0,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,75,85,7,1,168
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,1,0,1
SENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,3,1,4
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,0,0,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,3,5,2,3,13
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,4,1,1,6
SORATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,2,0,0,0,2
TACACOMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,2,3,6
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,3,3,1,8
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,1,0,0,2
TOCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,7,3,1,2,13
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,0,1,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,3,2,1,7
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,1,1,3
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,1,0,2,2,5
WARNES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,6,7,0,0,13
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,0,0,5,1,6
YOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-03-01,3,6,0,0,9
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,2,0,0,3
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,3,2,1,0,6
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,3,0,0,3
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,2,2,4
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,0,0,0,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,1,1,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,3,0,0,5
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,3,1,4
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,3,2,2,9
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,1,0,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,0,0,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,17,19,2,2,40
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,4,0,0,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,1,0,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
COMBAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,2,3
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,1,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,2,1,2,6
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,4,5,0,1,10
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,0,1,1,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,32,34,20,21,107
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,2,2,1,5
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,2,0,3,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,2,1,0,5
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,2,0,2
EXALTACION,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,1,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,4,3,1,8
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,34,26,7,8,75
LAJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,2,0,0,2
LORETO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,1,2
LURIBAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,1,2
MIZQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,1,1,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,7,8,0,1,16
OKINAWA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,2,2,5
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,5,15,18,22,60
PADCAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,14,22,37
PALCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
POCONA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,1,1,0,3
POROMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,6,5,3,2,16
PUCARANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,1,2
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,0,0,0,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,3,0,0,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,3,1,4,9
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,4,2,3,0,9
ROBORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,6,0,3,3,12
SACABA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,5,7,2,2,16
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,3,5,0,0,8
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,0,3,1,6
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,3,1,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,2,0,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,2,6,1,9
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,8,4,0,0,12
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,9,4,0,0,13
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,3,0,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,63,50,2,1,116
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,6,0,6
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,7,3,0,0,10
TACACOMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,0,1,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,4,2,1,1,8
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,3,1,0,6
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,1,1,3
TOLEDO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,5,0,0,7
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,1,2,1,5
TURCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
URUBICHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,2,4,3,9
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,1,1,1,4
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,0,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,2,8,0,0,10
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,1,0,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-04-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,3,1,0,0,4
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,1,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,1,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,1,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,2,0,0,0,2
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,1,2
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,3,0,0,0,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,1,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,1,0,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,2,0,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,2,1,1,4,8
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,2,1,3
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,2,1,0,4
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,2,1,5,3,11
COCAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,1,0,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,37,29,4,4,74
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,3,0,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,0,2,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,2,1,4
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,2,1,1,5
COPACABANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,1,1,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,5,17,12,35
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,2,2,4,0,8
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,20,37,25,27,109
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,3,1,2,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,1,1,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,2,2,0,0,4
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,1,0,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,1,1,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,4,4,8,7,23
HUACARETA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,1,0,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,5,8,13
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,1,0,0,1
HUARINA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,2,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,3,2,12,17,34
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,23,18,0,2,43
LLICA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,0,0,2,2
LORETO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,0,0,0,1
LURIBAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,1,1,0,0,2
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-05-01,0,1,1,0,2
