,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
AUCAPATA,estado nutricional,l talla normal,2012-04-01,27,41,19,16,27,28,73,85,158
AYATA,estado nutricional,l talla normal,2012-04-01,69,71,39,50,43,28,151,149,300
AYO AYO,estado nutricional,l talla normal,2012-04-01,39,27,31,31,25,18,95,76,171
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla normal,2012-04-01,278,241,172,175,228,203,678,619,1297
AZURDUY,estado nutricional,l talla normal,2012-04-01,79,87,89,82,116,108,284,277,561
BATALLAS,estado nutricional,l talla normal,2012-04-01,133,135,92,104,71,76,296,315,611
BAURES,estado nutricional,l talla normal,2012-04-01,34,33,10,10,19,20,63,63,126
BELEN DE ANDAMARCA,estado nutricional,l talla normal,2012-04-01,17,26,14,12,27,31,58,69,127
BELEN DE URMIRI,estado nutricional,l talla normal,2012-04-01,5,4,2,4,7,7,14,15,29
BELLA FLOR,estado nutricional,l talla normal,2012-04-01,17,12,11,12,11,15,39,39,78
BERMEJO,estado nutricional,l talla normal,2012-04-01,225,183,170,149,95,122,490,454,944
BETANZOS,estado nutricional,l talla normal,2012-04-01,156,193,115,147,123,120,394,460,854
BOLIVAR,estado nutricional,l talla normal,2012-04-01,59,50,39,47,79,66,177,163,340
BOLPEBRA,estado nutricional,l talla normal,2012-04-01,8,10,4,14,14,8,26,32,58
BOYUIBE,estado nutricional,l talla normal,2012-04-01,24,19,19,16,26,27,69,62,131
BUENA VISTA,estado nutricional,l talla normal,2012-04-01,95,62,65,54,72,56,232,172,404
CABEZAS,estado nutricional,l talla normal,2012-04-01,126,119,111,95,97,106,334,320,654
CAIROMA,estado nutricional,l talla normal,2012-04-01,84,78,72,74,75,70,231,222,453
"CAIZA ""D""",estado nutricional,l talla normal,2012-04-01,55,50,51,44,39,37,145,131,276
CAJUATA,estado nutricional,l talla normal,2012-04-01,80,82,57,74,87,48,224,204,428
CALACOTO,estado nutricional,l talla normal,2012-04-01,28,33,26,34,23,19,77,86,163
CALAMARCA,estado nutricional,l talla normal,2012-04-01,75,99,56,65,65,68,196,232,428
CAMARGO,estado nutricional,l talla normal,2012-04-01,102,76,83,94,84,98,269,268,537
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla normal,2012-04-01,31,23,15,21,40,33,86,77,163
CAMIRI,estado nutricional,l talla normal,2012-04-01,209,196,110,102,108,123,427,421,848
CAPINOTA,estado nutricional,l talla normal,2012-04-01,109,128,100,85,92,78,301,291,592
CAQUIAVIRI,estado nutricional,l talla normal,2012-04-01,60,54,33,55,38,34,131,143,274
CARACOLLO,estado nutricional,l talla normal,2012-04-01,133,136,120,115,136,109,389,360,749
CARANAVI,estado nutricional,l talla normal,2012-04-01,369,331,258,253,217,202,844,786,1630
CARANGAS,estado nutricional,l talla normal,2012-04-01,1,2,0,1,3,1,4,4,8
CARAPARI,estado nutricional,l talla normal,2012-04-01,124,98,109,103,93,99,326,300,626
CARIPUYO,estado nutricional,l talla normal,2012-04-01,42,50,18,25,29,32,89,107,196
CARMEN RIVERO TORREZ,estado nutricional,l talla normal,2012-04-01,31,28,17,20,34,33,82,81,163
CATACORA,estado nutricional,l talla normal,2012-04-01,9,5,2,7,4,4,15,16,31
CHACARILLA,estado nutricional,l talla normal,2012-04-01,6,1,8,5,7,6,21,12,33
CHALLAPATA,estado nutricional,l talla normal,2012-04-01,229,229,146,135,119,119,494,483,977
CHAQUI,estado nutricional,l talla normal,2012-04-01,38,33,28,32,27,18,93,83,176
CHARAGUA,estado nutricional,l talla normal,2012-04-01,185,196,155,144,218,219,558,559,1117
CHARAÑA,estado nutricional,l talla normal,2012-04-01,17,17,20,7,15,27,52,51,103
CHAYANTA,estado nutricional,l talla normal,2012-04-01,81,69,48,42,21,25,150,136,286
CHIMORE,estado nutricional,l talla normal,2012-04-01,258,220,184,208,175,196,617,624,1241
CHIPAYA,estado nutricional,l talla normal,2012-04-01,10,10,11,12,12,15,33,37,70
CHOQUE COTA,estado nutricional,l talla normal,2012-04-01,5,9,17,8,17,21,39,38,77
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla normal,2012-04-01,92,94,58,332,81,61,231,487,718
CHUMA,estado nutricional,l talla normal,2012-04-01,86,81,59,60,53,44,198,185,383
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla normal,2012-04-01,63,56,34,23,14,13,111,92,203
CKOCHAS,estado nutricional,l talla normal,2012-04-01,53,48,40,42,27,27,120,117,237
CLIZA,estado nutricional,l talla normal,2012-04-01,140,135,101,91,105,95,346,321,667
COBIJA,estado nutricional,l talla normal,2012-04-01,96,106,34,31,26,18,156,155,311
COCAPATA,estado nutricional,l talla normal,2012-04-01,200,147,142,119,138,137,480,403,883
COCHABAMBA,estado nutricional,l talla normal,2012-04-01,2182,1967,1321,1318,1170,1049,4673,4334,9007
COIPASA,estado nutricional,l talla normal,2012-04-01,8,6,7,3,4,5,19,14,33
COLCAPIRHUA,estado nutricional,l talla normal,2012-04-01,311,256,229,180,235,240,775,676,1451
"COLCHA ""K""",estado nutricional,l talla normal,2012-04-01,78,70,48,55,67,57,193,182,375
COLLANA,estado nutricional,l talla normal,2012-04-01,20,21,22,18,14,24,56,63,119
COLOMI,estado nutricional,l talla normal,2012-04-01,215,169,130,77,116,89,461,335,796
COLPA BELGICA,estado nutricional,l talla normal,2012-04-01,4,3,2,1,0,1,6,5,11
COLQUECHACA,estado nutricional,l talla normal,2012-04-01,187,155,164,163,63,51,414,369,783
COLQUENCHA,estado nutricional,l talla normal,2012-04-01,64,69,56,77,24,41,144,187,331
COLQUIRI,estado nutricional,l talla normal,2012-04-01,142,153,94,103,127,130,363,386,749
COMANCHE,estado nutricional,l talla normal,2012-04-01,24,22,28,19,8,6,60,47,107
COMARAPA,estado nutricional,l talla normal,2012-04-01,160,127,101,105,55,51,316,283,599
COMBAYA,estado nutricional,l talla normal,2012-04-01,19,19,18,9,22,32,59,60,119
CONCEPCION,estado nutricional,l talla normal,2012-04-01,43,71,21,30,34,37,98,138,236
COPACABANA,estado nutricional,l talla normal,2012-04-01,105,62,42,36,46,54,193,152,345
CORIPATA,estado nutricional,l talla normal,2012-04-01,179,137,126,113,125,114,430,364,794
CORO CORO,estado nutricional,l talla normal,2012-04-01,82,70,46,55,51,69,179,194,373
COROICO,estado nutricional,l talla normal,2012-04-01,127,124,103,87,101,112,331,323,654
CORQUE,estado nutricional,l talla normal,2012-04-01,66,51,42,42,44,29,152,122,274
COTAGAITA,estado nutricional,l talla normal,2012-04-01,122,122,85,103,116,119,323,344,667
COTOCA,estado nutricional,l talla normal,2012-04-01,339,319,155,145,174,136,668,600,1268
CRUZ DE MACHACAMARCA,estado nutricional,l talla normal,2012-04-01,0,1,4,1,0,2,4,4,8
CUATRO CAÑADAS,estado nutricional,l talla normal,2012-04-01,143,115,124,117,118,103,385,335,720
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla normal,2012-04-01,5,3,15,8,1,4,21,15,36
CUEVO,estado nutricional,l talla normal,2012-04-01,28,45,25,30,51,47,104,122,226
CULPINA,estado nutricional,l talla normal,2012-04-01,164,152,127,140,149,187,440,479,919
CURAHUARA DE CARANGAS,estado nutricional,l talla normal,2012-04-01,32,36,23,35,48,33,103,104,207
CURVA,estado nutricional,l talla normal,2012-04-01,14,18,12,11,8,5,34,34,68
DESAGUADERO,estado nutricional,l talla normal,2012-04-01,19,27,22,18,15,12,56,57,113
EL ALTO,estado nutricional,l talla normal,2012-04-01,3025,2835,1974,1967,1955,1876,6954,6678,13632
EL CHORO,estado nutricional,l talla normal,2012-04-01,59,60,22,44,44,41,125,145,270
EL PUENTE(STC),estado nutricional,l talla normal,2012-04-01,104,111,98,79,81,58,283,248,531
EL PUENTE(TJA),estado nutricional,l talla normal,2012-04-01,31,30,22,22,31,30,84,82,166
EL TORNO,estado nutricional,l talla normal,2012-04-01,343,301,213,207,220,190,776,698,1474
EL VILLAR,estado nutricional,l talla normal,2012-04-01,27,27,25,24,58,57,110,108,218
ENTRE RIOS TRJ,estado nutricional,l talla normal,2012-04-01,110,103,74,86,100,96,284,285,569
ENTRE RIOS CBBA,estado nutricional,l talla normal,2012-04-01,328,292,232,235,190,219,750,746,1496
ESCARA,estado nutricional,l talla normal,2012-04-01,0,0,1,0,1,3,2,3,5
ESCOMA,estado nutricional,l talla normal,2012-04-01,36,33,30,37,59,55,125,125,250
ESMERALDA,estado nutricional,l talla normal,2012-04-01,0,0,1,0,0,1,1,1,2
EUCALIPTUS,estado nutricional,l talla normal,2012-04-01,61,42,34,39,45,40,140,121,261
EUREKA (SANTOS MERCADO),estado nutricional,l talla normal,2012-04-01,10,8,9,5,4,4,23,17,40
EXALTACION,estado nutricional,l talla normal,2012-04-01,5,13,5,5,2,1,12,19,31
FERNANDEZ ALONSO,estado nutricional,l talla normal,2012-04-01,100,89,89,60,105,115,294,264,558
FILADELFIA,estado nutricional,l talla normal,2012-04-01,7,17,4,10,9,18,20,45,65
GENERAL SAAVEDRA,estado nutricional,l talla normal,2012-04-01,115,103,110,100,129,94,354,297,651
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla normal,2012-04-01,75,79,36,50,44,56,155,185,340
GUANAY,estado nutricional,l talla normal,2012-04-01,150,140,99,111,114,125,363,376,739
GUAQUI,estado nutricional,l talla normal,2012-04-01,32,33,31,18,22,39,85,90,175
GUAYARAMERIN,estado nutricional,l talla normal,2012-04-01,110,125,83,78,57,48,250,251,501
GUTIERREZ,estado nutricional,l talla normal,2012-04-01,139,146,145,141,151,173,435,460,895
HUACARETA,estado nutricional,l talla normal,2012-04-01,84,65,83,80,74,94,241,239,480
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla normal,2012-04-01,18,20,24,17,38,43,80,80,160
HUACHACALLA,estado nutricional,l talla normal,2012-04-01,6,6,3,4,9,14,18,24,42
HUANUNI,estado nutricional,l talla normal,2012-04-01,173,172,94,90,103,118,370,380,750
HUARACAJE,estado nutricional,l talla normal,2012-04-01,46,34,19,17,24,31,89,82,171
HUARINA,estado nutricional,l talla normal,2012-04-01,27,18,29,20,28,36,84,74,158
HUAYLLAMARCA,estado nutricional,l talla normal,2012-04-01,21,16,26,20,33,39,80,75,155
HUMANATA,estado nutricional,l talla normal,2012-04-01,23,22,20,18,22,23,65,63,128
ICHOCA,estado nutricional,l talla normal,2012-04-01,33,17,18,16,23,10,74,43,117
ICLA,estado nutricional,l talla normal,2012-04-01,59,68,33,50,113,124,205,242,447
INCAHUASI,estado nutricional,l talla normal,2012-04-01,86,88,75,65,93,104,254,257,511
INGAVI (HUMAITA),estado nutricional,l talla normal,2012-04-01,6,4,2,5,0,5,8,14,22
INQUISIVI,estado nutricional,l talla normal,2012-04-01,91,66,67,60,57,62,215,188,403
IRUPANA (VILLA DE LANZA),estado nutricional,l talla normal,2012-04-01,93,90,76,87,97,92,266,269,535
IXIAMAS,estado nutricional,l talla normal,2012-04-01,80,69,82,56,63,73,225,198,423
JESUS DE MACHACA,estado nutricional,l talla normal,2012-04-01,94,121,89,88,94,111,277,320,597
LA ASUNTA,estado nutricional,l talla normal,2012-04-01,372,296,209,231,210,242,791,769,1560
LA GUARDIA,estado nutricional,l talla normal,2012-04-01,534,547,202,172,220,214,956,933,1889
LA PAZ,estado nutricional,l talla normal,2012-04-01,2810,2642,1943,1826,2573,2513,7326,6981,14307
LA RIVERA,estado nutricional,l talla normal,2012-04-01,0,2,2,1,2,2,4,5,9
LAGUNILLAS,estado nutricional,l talla normal,2012-04-01,47,41,42,40,91,70,180,151,331
LAJA,estado nutricional,l talla normal,2012-04-01,107,93,86,88,66,64,259,245,504
LAS CARRERAS,estado nutricional,l talla normal,2012-04-01,31,27,23,18,31,35,85,80,165
LICOMA PAMPA,estado nutricional,l talla normal,2012-04-01,27,17,28,11,22,22,77,50,127
LLALLAGUA,estado nutricional,l talla normal,2012-04-01,252,240,142,171,105,107,499,518,1017
LLICA,estado nutricional,l talla normal,2012-04-01,17,19,10,11,2,1,29,31,60
LORETO,estado nutricional,l talla normal,2012-04-01,18,39,22,25,36,26,76,90,166
LURIBAY,estado nutricional,l talla normal,2012-04-01,51,48,42,46,50,42,143,136,279
MACHACAMARCA,estado nutricional,l talla normal,2012-04-01,34,52,35,34,26,36,95,122,217
MACHARETI,estado nutricional,l talla normal,2012-04-01,46,59,69,58,95,76,210,193,403
MAGDALENA,estado nutricional,l talla normal,2012-04-01,37,34,20,16,22,32,79,82,161
MAIRANA,estado nutricional,l talla normal,2012-04-01,58,59,38,63,19,19,115,141,256
MALLA,estado nutricional,l talla normal,2012-04-01,17,9,8,12,13,14,38,35,73
MAPIRI,estado nutricional,l talla normal,2012-04-01,151,112,54,67,77,74,282,253,535
MECAPACA,estado nutricional,l talla normal,2012-04-01,67,59,44,47,55,46,166,152,318
MINEROS,estado nutricional,l talla normal,2012-04-01,44,44,31,29,34,23,109,96,205
MIZQUE,estado nutricional,l talla normal,2012-04-01,424,223,194,175,172,172,790,570,1360
MOCOMOCO,estado nutricional,l talla normal,2012-04-01,88,67,52,80,78,59,218,206,424
MOJOCOYA,estado nutricional,l talla normal,2012-04-01,65,62,45,56,72,86,182,204,386
MONTEAGUDO,estado nutricional,l talla normal,2012-04-01,224,178,188,170,190,204,602,552,1154
MONTERO,estado nutricional,l talla normal,2012-04-01,934,971,666,630,672,729,2272,2330,4602
MORO MORO,estado nutricional,l talla normal,2012-04-01,17,18,17,16,13,14,47,48,95
MOROCHATA,estado nutricional,l talla normal,2012-04-01,107,114,60,75,77,75,244,264,508
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla normal,2012-04-01,17,17,8,3,3,4,28,24,52
NAZACARA DE PACAJES,estado nutricional,l talla normal,2012-04-01,8,5,5,6,4,10,17,21,38
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla normal,2012-04-01,12,15,20,9,25,18,57,42,99
OCURI,estado nutricional,l talla normal,2012-04-01,56,57,34,39,29,27,119,123,242
OKINAWA,estado nutricional,l talla normal,2012-04-01,46,47,24,24,39,31,109,102,211
OMEREQUE,estado nutricional,l talla normal,2012-04-01,74,43,46,26,76,49,196,118,314
ORURO,estado nutricional,l talla normal,2012-04-01,417,411,261,254,271,260,949,925,1874
PADCAYA,estado nutricional,l talla normal,2012-04-01,94,108,87,102,114,122,295,332,627
PADILLA,estado nutricional,l talla normal,2012-04-01,72,94,68,87,136,151,276,332,608
PAILON,estado nutricional,l talla normal,2012-04-01,148,116,122,81,125,98,395,295,690
PALCA,estado nutricional,l talla normal,2012-04-01,114,77,59,58,51,60,224,195,419
PALOS BLANCOS,estado nutricional,l talla normal,2012-04-01,259,269,210,171,257,215,726,655,1381
PAMPA AULLAGAS,estado nutricional,l talla normal,2012-04-01,16,22,14,12,5,11,35,45,80
PAMPA GRANDE,estado nutricional,l talla normal,2012-04-01,72,65,50,57,29,35,151,157,308
PAPEL PAMPA,estado nutricional,l talla normal,2012-04-01,54,37,37,37,38,39,129,113,242
PASORAPA,estado nutricional,l talla normal,2012-04-01,26,16,30,32,40,32,96,80,176
PATACAMAYA,estado nutricional,l talla normal,2012-04-01,160,156,115,122,86,59,361,337,698
PAZÑA,estado nutricional,l talla normal,2012-04-01,71,42,49,50,101,100,221,192,413
PELECHUCO,estado nutricional,l talla normal,2012-04-01,65,59,28,37,48,35,141,131,272
POCOATA,estado nutricional,l talla normal,2012-04-01,123,144,98,96,83,67,304,307,611
POCONA,estado nutricional,l talla normal,2012-04-01,105,90,89,77,63,65,257,232,489
POJO (CBBA),estado nutricional,l talla normal,2012-04-01,138,117,85,91,98,88,321,296,617
POOPO,estado nutricional,l talla normal,2012-04-01,40,51,36,40,38,44,114,135,249
PORCO,estado nutricional,l talla normal,2012-04-01,88,82,37,41,41,42,166,165,331
POROMA,estado nutricional,l talla normal,2012-04-01,126,121,119,113,173,155,418,389,807
PORONGO,estado nutricional,l talla normal,2012-04-01,52,52,42,40,37,35,131,127,258
PORTACHUELO,estado nutricional,l talla normal,2012-04-01,75,61,24,26,22,18,121,105,226
PORVENIR,estado nutricional,l talla normal,2012-04-01,7,7,5,6,7,6,19,19,38
POSTRER VALLE,estado nutricional,l talla normal,2012-04-01,4,8,3,5,1,1,8,14,22
POTOSI,estado nutricional,l talla normal,2012-04-01,421,399,246,246,187,214,854,859,1713
PRESTO,estado nutricional,l talla normal,2012-04-01,68,62,41,53,73,73,182,188,370
PUCARA,estado nutricional,l talla normal,2012-04-01,4,4,3,5,5,3,12,12,24
PUCARANI,estado nutricional,l talla normal,2012-04-01,224,238,184,173,174,153,582,564,1146
PUERTO ACOSTA,estado nutricional,l talla normal,2012-04-01,74,74,43,61,74,80,191,215,406
PUERTO CARABUCO,estado nutricional,l talla normal,2012-04-01,69,58,64,68,98,84,231,210,441
PUERTO GONZALO MORENO,estado nutricional,l talla normal,2012-04-01,56,45,30,28,55,59,141,132,273
PUERTO PEREZ,estado nutricional,l talla normal,2012-04-01,46,26,26,45,42,49,114,120,234
PUERTO QUIJARRO,estado nutricional,l talla normal,2012-04-01,120,128,93,88,53,80,266,296,562
PUERTO RICO,estado nutricional,l talla normal,2012-04-01,35,44,31,19,29,22,95,85,180
PUERTO SILES,estado nutricional,l talla normal,2012-04-01,5,9,12,6,13,15,30,30,60
PUERTO SUAREZ,estado nutricional,l talla normal,2012-04-01,86,77,28,33,11,12,125,122,247
PUERTO VILLARROEL,estado nutricional,l talla normal,2012-04-01,429,378,309,278,274,238,1012,894,1906
PUNA,estado nutricional,l talla normal,2012-04-01,97,92,62,71,66,62,225,225,450
PUNATA,estado nutricional,l talla normal,2012-04-01,77,71,60,52,60,43,197,166,363
QUIABAYA,estado nutricional,l talla normal,2012-04-01,9,13,19,11,33,29,61,53,114
QUILLACOLLO,estado nutricional,l talla normal,2012-04-01,594,480,432,359,351,295,1377,1134,2511
QUIME,estado nutricional,l talla normal,2012-04-01,88,102,76,67,72,70,236,239,475
QUIRUSILLAS,estado nutricional,l talla normal,2012-04-01,8,13,8,7,12,10,28,30,58
RAVELO,estado nutricional,l talla normal,2012-04-01,58,50,46,54,76,85,180,189,369
REYES,estado nutricional,l talla normal,2012-04-01,34,35,25,22,25,29,84,86,170
RIBERALTA,estado nutricional,l talla normal,2012-04-01,235,248,178,153,138,108,551,509,1060
ROBORE,estado nutricional,l talla normal,2012-04-01,27,18,14,28,16,17,57,63,120
RURRENABAQUE,estado nutricional,l talla normal,2012-04-01,31,37,18,19,9,13,58,69,127
SABAYA,estado nutricional,l talla normal,2012-04-01,18,28,16,17,33,21,67,66,133
SACABA,estado nutricional,l talla normal,2012-04-01,1110,1070,751,704,714,735,2575,2509,5084
SACABAMBA,estado nutricional,l talla normal,2012-04-01,29,20,23,33,15,20,67,73,140
SACACA,estado nutricional,l talla normal,2012-04-01,63,73,64,56,40,49,167,178,345
SAIPINA,estado nutricional,l talla normal,2012-04-01,40,40,39,27,33,24,112,91,203
SALINAS DE GARCI MENDOZA,estado nutricional,l talla normal,2012-04-01,69,83,73,90,117,99,259,272,531
SAMAIPATA,estado nutricional,l talla normal,2012-04-01,59,57,40,45,34,31,133,133,266
SAN AGUSTIN,estado nutricional,l talla normal,2012-04-01,8,5,1,8,2,2,11,15,26
SAN ANDRES,estado nutricional,l talla normal,2012-04-01,63,54,55,38,50,73,168,165,333
SAN ANDRES DE MACHACA,estado nutricional,l talla normal,2012-04-01,22,19,16,23,22,12,60,54,114
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla normal,2012-04-01,3,5,4,10,6,9,13,24,37
SAN ANTONIO DE LOMERIO,estado nutricional,l talla normal,2012-04-01,70,59,53,43,89,93,212,195,407
SAN BENITO,estado nutricional,l talla normal,2012-04-01,115,124,97,97,131,118,343,339,682
SAN BORJA,estado nutricional,l talla normal,2012-04-01,331,271,216,202,267,263,814,736,1550
SAN BUENA VENTURA,estado nutricional,l talla normal,2012-04-01,66,68,57,52,94,66,217,186,403
SAN CARLOS,estado nutricional,l talla normal,2012-04-01,206,212,140,137,119,107,465,456,921
SAN IGNACIO,estado nutricional,l talla normal,2012-04-01,199,197,166,185,205,248,570,630,1200
SAN IGNACIO DE VELASCO,estado nutricional,l talla normal,2012-04-01,654,599,494,446,473,439,1621,1484,3105
SAN JAVIER(BNI),estado nutricional,l talla normal,2012-04-01,10,18,15,14,24,27,49,59,108
SAN JAVIER(STC),estado nutricional,l talla normal,2012-04-01,27,24,3,4,1,1,31,29,60
SAN JOAQUIN,estado nutricional,l talla normal,2012-04-01,5,9,1,5,1,6,7,20,27
SAN JOSE DE CHIQUITOS,estado nutricional,l talla normal,2012-04-01,50,49,18,24,14,19,82,92,174
SAN JUAN DE YAPACANI,estado nutricional,l talla normal,2012-04-01,56,53,42,40,51,54,149,147,296
SAN JULIAN,estado nutricional,l talla normal,2012-04-01,197,186,198,208,251,266,646,660,1306
SAN LORENZO(PND),estado nutricional,l talla normal,2012-04-01,22,13,11,8,8,9,41,30,71
SAN LORENZO(TJA),estado nutricional,l talla normal,2012-04-01,81,92,65,57,69,68,215,217,432
SAN LUCAS,estado nutricional,l talla normal,2012-04-01,138,138,99,105,203,217,440,460,900
SAN MATIAS,estado nutricional,l talla normal,2012-04-01,39,53,37,31,31,38,107,122,229
SAN MIGUEL DE VELASCO,estado nutricional,l talla normal,2012-04-01,118,107,91,94,79,94,288,295,583
SAN PABLO DE LIPEZ,estado nutricional,l talla normal,2012-04-01,5,5,4,3,0,2,9,10,19
SAN PEDRO,estado nutricional,l talla normal,2012-04-01,131,106,102,90,113,109,346,305,651
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla normal,2012-04-01,129,126,90,104,57,56,276,286,562
SAN PEDRO DE CURAHUARA,estado nutricional,l talla normal,2012-04-01,38,33,40,28,31,35,109,96,205
SAN PEDRO DE QUEMES,estado nutricional,l talla normal,2012-04-01,4,1,4,1,1,8,9,10,19
SAN PEDRO DE TIQUINA,estado nutricional,l talla normal,2012-04-01,34,22,18,30,42,43,94,95,189
SAN PEDRO(PND),estado nutricional,l talla normal,2012-04-01,0,0,0,1,0,0,0,1,1
SAN RAFAEL,estado nutricional,l talla normal,2012-04-01,58,51,37,49,56,39,151,139,290
SAN RAMON BENI,estado nutricional,l talla normal,2012-04-01,3,10,4,2,10,7,17,19,36
SAN RAMON SCZ,estado nutricional,l talla normal,2012-04-01,112,124,32,17,25,17,169,158,327
SANTA ANA,estado nutricional,l talla normal,2012-04-01,64,50,28,32,20,18,112,100,212
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla normal,2012-04-01,3168,2831,1661,1456,1604,1648,6433,5935,12368
SANTA ROSA,estado nutricional,l talla normal,2012-04-01,51,50,17,24,28,35,96,109,205
SANTA ROSA DEL SARA,estado nutricional,l talla normal,2012-04-01,132,103,75,75,53,72,260,250,510
SANTIAGO DE CALLAPA,estado nutricional,l talla normal,2012-04-01,30,25,27,31,16,16,73,72,145
SANTIAGO DE HUARI,estado nutricional,l talla normal,2012-04-01,83,93,86,56,68,56,237,205,442
SANTIAGO DE HUATA,estado nutricional,l talla normal,2012-04-01,45,45,25,37,41,41,111,123,234
SANTIAGO DE MACHACA,estado nutricional,l talla normal,2012-04-01,16,20,28,15,24,22,68,57,125
SANTIVAÑES,estado nutricional,l talla normal,2012-04-01,51,60,47,55,52,54,150,169,319
SANTUARIO DE QUILLACAS,estado nutricional,l talla normal,2012-04-01,30,29,35,29,21,24,86,82,168
SAPAHAQUI,estado nutricional,l talla normal,2012-04-01,62,44,51,46,46,54,159,144,303
SENA,estado nutricional,l talla normal,2012-04-01,6,8,0,2,0,0,6,10,16
SHINAOTA,estado nutricional,l talla normal,2012-04-01,344,310,263,242,237,234,844,786,1630
SICA SICA (VILLA AROMA),estado nutricional,l talla normal,2012-04-01,177,160,122,117,147,117,446,394,840
SICAYA,estado nutricional,l talla normal,2012-04-01,29,36,33,25,11,9,73,70,143
SIPE SIPE,estado nutricional,l talla normal,2012-04-01,368,345,235,223,211,238,814,806,1620
SOPACHUY,estado nutricional,l talla normal,2012-04-01,73,58,38,53,78,85,189,196,385
SORACACHI,estado nutricional,l talla normal,2012-04-01,103,83,84,87,107,127,294,297,591
SORATA,estado nutricional,l talla normal,2012-04-01,133,111,111,96,106,97,350,304,654
SUCRE,estado nutricional,l talla normal,2012-04-01,2480,2366,2006,1916,2022,2052,6508,6334,12842
TACACHI,estado nutricional,l talla normal,2012-04-01,5,3,2,4,10,3,17,10,27
TACACOMA,estado nutricional,l talla normal,2012-04-01,23,22,31,19,19,22,73,63,136
TACOBAMBA,estado nutricional,l talla normal,2012-04-01,28,34,28,22,21,18,77,74,151
TACOPAYA,estado nutricional,l talla normal,2012-04-01,77,87,57,71,135,155,269,313,582
TAHUA,estado nutricional,l talla normal,2012-04-01,4,3,1,4,4,3,9,10,19
TAPACARI,estado nutricional,l talla normal,2012-04-01,142,156,98,111,120,111,360,378,738
TARABUCO,estado nutricional,l talla normal,2012-04-01,106,121,84,125,146,165,336,411,747
TARACO,estado nutricional,l talla normal,2012-04-01,30,30,26,13,22,6,78,49,127
TARATA,estado nutricional,l talla normal,2012-04-01,64,94,46,69,56,54,166,217,383
TARIJA,estado nutricional,l talla normal,2012-04-01,601,551,372,366,425,356,1398,1273,2671
TARVITA,estado nutricional,l talla normal,2012-04-01,110,121,82,90,147,163,339,374,713
TEOPONTE,estado nutricional,l talla normal,2012-04-01,100,82,43,44,81,54,224,180,404
TIAWANACU,estado nutricional,l talla normal,2012-04-01,91,77,67,68,55,68,213,213,426
TINGUIPAYA,estado nutricional,l talla normal,2012-04-01,75,61,37,41,16,20,128,122,250
TIPUANI,estado nutricional,l talla normal,2012-04-01,101,64,73,52,90,64,264,180,444
TIQUIPAYA,estado nutricional,l talla normal,2012-04-01,380,387,331,257,461,408,1172,1052,2224
TIRAQUE (CBBA),estado nutricional,l talla normal,2012-04-01,154,153,124,130,79,89,357,372,729
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla normal,2012-04-01,7,4,4,5,8,5,19,14,33
TOCO,estado nutricional,l talla normal,2012-04-01,22,42,38,36,40,21,100,99,199
TODOS SANTOS,estado nutricional,l talla normal,2012-04-01,3,1,3,1,0,0,6,2,8
TOLATA,estado nutricional,l talla normal,2012-04-01,57,40,37,35,54,46,148,121,269
TOLEDO,estado nutricional,l talla normal,2012-04-01,38,45,50,45,40,30,128,120,248
TOMAVE,estado nutricional,l talla normal,2012-04-01,57,58,53,44,40,33,150,135,285
TOMINA,estado nutricional,l talla normal,2012-04-01,84,73,55,67,117,154,256,294,550
TORO TORO,estado nutricional,l talla normal,2012-04-01,64,58,43,36,45,67,152,161,313
TOTORA(CBBA),estado nutricional,l talla normal,2012-04-01,113,75,100,97,40,37,253,209,462
TOTORA(ORR),estado nutricional,l talla normal,2012-04-01,51,41,25,38,31,43,107,122,229
TRIGAL,estado nutricional,l talla normal,2012-04-01,8,4,12,13,9,14,29,31,60
TRINIDAD,estado nutricional,l talla normal,2012-04-01,278,219,129,120,128,106,535,445,980
TUPIZA,estado nutricional,l talla normal,2012-04-01,109,102,71,55,111,106,291,263,554
TURCO,estado nutricional,l talla normal,2012-04-01,41,39,35,26,47,54,123,119,242
UMALA,estado nutricional,l talla normal,2012-04-01,61,56,36,44,60,53,157,153,310
UNCIA,estado nutricional,l talla normal,2012-04-01,51,63,58,41,63,43,172,147,319
