,group,variable,month,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
EXALTACION,estado nutricional,l talla baja,2012-04-01,1,0,1,0,0,0,2,0,2
FERNANDEZ ALONSO,estado nutricional,l talla baja,2012-04-01,4,3,7,1,1,2,12,6,18
FILADELFIA,estado nutricional,l talla baja,2012-04-01,0,0,1,1,0,0,1,1,2
GENERAL SAAVEDRA,estado nutricional,l talla baja,2012-04-01,7,1,15,8,11,5,33,14,47
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla baja,2012-04-01,11,4,26,16,31,34,68,54,122
GUANAY,estado nutricional,l talla baja,2012-04-01,3,5,5,5,8,16,16,26,42
GUAQUI,estado nutricional,l talla baja,2012-04-01,1,3,4,2,6,8,11,13,24
GUAYARAMERIN,estado nutricional,l talla baja,2012-04-01,4,3,9,6,11,8,24,17,41
GUTIERREZ,estado nutricional,l talla baja,2012-04-01,9,9,28,22,37,27,74,58,132
HUACARETA,estado nutricional,l talla baja,2012-04-01,2,2,9,2,9,5,20,9,29
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla baja,2012-04-01,4,2,6,4,11,7,21,13,34
HUACHACALLA,estado nutricional,l talla baja,2012-04-01,4,0,4,1,5,3,13,4,17
HUANUNI,estado nutricional,l talla baja,2012-04-01,32,9,41,23,31,15,104,47,151
HUARACAJE,estado nutricional,l talla baja,2012-04-01,1,0,0,1,3,0,4,1,5
HUARINA,estado nutricional,l talla baja,2012-04-01,1,0,6,4,0,3,7,7,14
HUAYLLAMARCA,estado nutricional,l talla baja,2012-04-01,2,1,5,3,5,10,12,14,26
HUMANATA,estado nutricional,l talla baja,2012-04-01,4,4,12,7,15,9,31,20,51
ICHOCA,estado nutricional,l talla baja,2012-04-01,4,4,11,8,15,14,30,26,56
ICLA,estado nutricional,l talla baja,2012-04-01,10,4,34,19,98,94,142,117,259
INCAHUASI,estado nutricional,l talla baja,2012-04-01,25,10,33,21,47,37,105,68,173
INQUISIVI,estado nutricional,l talla baja,2012-04-01,8,8,10,14,21,7,39,29,68
IRUPANA (VILLA DE LANZA),estado nutricional,l talla baja,2012-04-01,2,1,2,2,3,1,7,4,11
IXIAMAS,estado nutricional,l talla baja,2012-04-01,1,3,4,4,13,17,18,24,42
JESUS DE MACHACA,estado nutricional,l talla baja,2012-04-01,4,3,17,13,17,11,38,27,65
LA ASUNTA,estado nutricional,l talla baja,2012-04-01,12,7,26,36,44,33,82,76,158
LA GUARDIA,estado nutricional,l talla baja,2012-04-01,5,3,4,1,5,5,14,9,23
LA PAZ,estado nutricional,l talla baja,2012-04-01,269,173,286,195,238,228,793,596,1389
LAGUNILLAS,estado nutricional,l talla baja,2012-04-01,5,5,2,7,8,23,15,35,50
LAJA,estado nutricional,l talla baja,2012-04-01,13,10,16,8,7,5,36,23,59
LAS CARRERAS,estado nutricional,l talla baja,2012-04-01,0,1,3,3,7,3,10,7,17
LICOMA PAMPA,estado nutricional,l talla baja,2012-04-01,0,1,1,1,1,0,2,2,4
LLALLAGUA,estado nutricional,l talla baja,2012-04-01,27,12,46,45,26,37,99,94,193
LLICA,estado nutricional,l talla baja,2012-04-01,2,1,6,1,0,0,8,2,10
LORETO,estado nutricional,l talla baja,2012-04-01,0,0,1,1,0,1,1,2,3
LURIBAY,estado nutricional,l talla baja,2012-04-01,9,5,14,9,15,14,38,28,66
MACHACAMARCA,estado nutricional,l talla baja,2012-04-01,6,1,5,1,2,1,13,3,16
MACHARETI,estado nutricional,l talla baja,2012-04-01,4,1,6,0,13,8,23,9,32
MAGDALENA,estado nutricional,l talla baja,2012-04-01,1,1,2,0,1,3,4,4,8
MAIRANA,estado nutricional,l talla baja,2012-04-01,3,3,2,2,1,1,6,6,12
MALLA,estado nutricional,l talla baja,2012-04-01,5,1,11,5,10,10,26,16,42
MAPIRI,estado nutricional,l talla baja,2012-04-01,91,7,25,16,18,17,134,40,174
MECAPACA,estado nutricional,l talla baja,2012-04-01,3,5,11,11,7,11,21,27,48
MINEROS,estado nutricional,l talla baja,2012-04-01,0,0,3,3,1,1,4,4,8
MIZQUE,estado nutricional,l talla baja,2012-04-01,7,11,20,17,25,17,52,45,97
MOCOMOCO,estado nutricional,l talla baja,2012-04-01,10,3,12,11,7,11,29,25,54
MOJOCOYA,estado nutricional,l talla baja,2012-04-01,3,2,17,6,38,30,58,38,96
MONTEAGUDO,estado nutricional,l talla baja,2012-04-01,3,5,22,9,17,13,42,27,69
MONTERO,estado nutricional,l talla baja,2012-04-01,11,5,16,12,18,30,45,47,92
MORO MORO,estado nutricional,l talla baja,2012-04-01,0,1,1,0,1,0,2,1,3
MOROCHATA,estado nutricional,l talla baja,2012-04-01,22,19,59,35,51,85,132,139,271
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla baja,2012-04-01,1,0,2,2,1,0,4,2,6
NAZACARA DE PACAJES,estado nutricional,l talla baja,2012-04-01,2,0,0,0,3,0,5,0,5
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla baja,2012-04-01,2,0,0,1,9,3,11,4,15
OCURI,estado nutricional,l talla baja,2012-04-01,15,15,48,50,31,37,94,102,196
OKINAWA,estado nutricional,l talla baja,2012-04-01,1,1,1,2,0,1,2,4,6
OMEREQUE,estado nutricional,l talla baja,2012-04-01,1,1,2,1,1,3,4,5,9
ORURO,estado nutricional,l talla baja,2012-04-01,42,59,61,63,45,55,148,177,325
PADCAYA,estado nutricional,l talla baja,2012-04-01,2,1,6,5,8,7,16,13,29
PADILLA,estado nutricional,l talla baja,2012-04-01,4,1,21,13,29,24,54,38,92
PAILON,estado nutricional,l talla baja,2012-04-01,3,1,4,5,2,3,9,9,18
PALCA,estado nutricional,l talla baja,2012-04-01,8,5,24,16,9,16,41,37,78
PALOS BLANCOS,estado nutricional,l talla baja,2012-04-01,5,2,16,14,18,22,39,38,77
PAMPA AULLAGAS,estado nutricional,l talla baja,2012-04-01,3,1,8,10,10,5,21,16,37
PAMPA GRANDE,estado nutricional,l talla baja,2012-04-01,2,0,5,3,5,4,12,7,19
PAPEL PAMPA,estado nutricional,l talla baja,2012-04-01,1,2,4,1,4,1,9,4,13
PASORAPA,estado nutricional,l talla baja,2012-04-01,0,0,1,4,0,2,1,6,7
PATACAMAYA,estado nutricional,l talla baja,2012-04-01,8,11,23,14,5,14,36,39,75
PAZÑA,estado nutricional,l talla baja,2012-04-01,10,5,11,9,11,24,32,38,70
PELECHUCO,estado nutricional,l talla baja,2012-04-01,4,2,12,4,3,4,19,10,29
POCOATA,estado nutricional,l talla baja,2012-04-01,27,22,59,44,67,65,153,131,284
POCONA,estado nutricional,l talla baja,2012-04-01,10,3,14,14,17,5,41,22,63
POJO (CBBA),estado nutricional,l talla baja,2012-04-01,4,10,23,15,15,13,42,38,80
POOPO,estado nutricional,l talla baja,2012-04-01,3,3,6,10,8,12,17,25,42
PORCO,estado nutricional,l talla baja,2012-04-01,22,12,31,16,17,12,70,40,110
POROMA,estado nutricional,l talla baja,2012-04-01,22,7,44,45,76,91,142,143,285
PORONGO,estado nutricional,l talla baja,2012-04-01,0,0,1,0,2,2,3,2,5
PORTACHUELO,estado nutricional,l talla baja,2012-04-01,1,2,0,1,0,1,1,4,5
POSTRER VALLE,estado nutricional,l talla baja,2012-04-01,0,0,1,0,0,0,1,0,1
POTOSI,estado nutricional,l talla baja,2012-04-01,49,34,74,36,34,43,157,113,270
PRESTO,estado nutricional,l talla baja,2012-04-01,5,7,37,19,56,46,98,72,170
PUCARA,estado nutricional,l talla baja,2012-04-01,0,0,0,0,1,2,1,2,3
PUCARANI,estado nutricional,l talla baja,2012-04-01,24,17,44,19,12,30,80,66,146
PUERTO ACOSTA,estado nutricional,l talla baja,2012-04-01,4,3,13,6,5,5,22,14,36
PUERTO CARABUCO,estado nutricional,l talla baja,2012-04-01,2,2,18,13,19,15,39,30,69
PUERTO GONZALO MORENO,estado nutricional,l talla baja,2012-04-01,8,4,12,7,7,5,27,16,43
PUERTO PEREZ,estado nutricional,l talla baja,2012-04-01,1,0,6,0,1,1,8,1,9
PUERTO RICO,estado nutricional,l talla baja,2012-04-01,2,3,7,5,4,5,13,13,26
PUERTO SILES,estado nutricional,l talla baja,2012-04-01,0,0,0,0,0,4,0,4,4
PUERTO SUAREZ,estado nutricional,l talla baja,2012-04-01,2,3,2,0,1,0,5,3,8
PUERTO VILLARROEL,estado nutricional,l talla baja,2012-04-01,18,12,21,21,31,20,70,53,123
PUNA,estado nutricional,l talla baja,2012-04-01,10,9,21,32,28,22,59,63,122
PUNATA,estado nutricional,l talla baja,2012-04-01,1,7,9,8,6,10,16,25,41
QUIABAYA,estado nutricional,l talla baja,2012-04-01,2,2,7,3,7,13,16,18,34
QUILLACOLLO,estado nutricional,l talla baja,2012-04-01,14,13,27,16,23,22,64,51,115
QUIME,estado nutricional,l talla baja,2012-04-01,7,3,16,5,17,15,40,23,63
QUIRUSILLAS,estado nutricional,l talla baja,2012-04-01,0,0,4,0,0,0,4,0,4
RAVELO,estado nutricional,l talla baja,2012-04-01,31,24,47,51,84,92,162,167,329
REYES,estado nutricional,l talla baja,2012-04-01,0,1,0,0,0,0,0,1,1
RIBERALTA,estado nutricional,l talla baja,2012-04-01,8,10,38,21,13,9,59,40,99
ROBORE,estado nutricional,l talla baja,2012-04-01,0,0,1,0,0,1,1,1,2
RURRENABAQUE,estado nutricional,l talla baja,2012-04-01,2,3,4,1,4,3,10,7,17
SABAYA,estado nutricional,l talla baja,2012-04-01,1,0,4,2,1,6,6,8,14
SACABA,estado nutricional,l talla baja,2012-04-01,14,12,69,46,80,62,163,120,283
SACABAMBA,estado nutricional,l talla baja,2012-04-01,4,3,3,3,10,8,17,14,31
SACACA,estado nutricional,l talla baja,2012-04-01,15,11,63,45,41,35,119,91,210
SAIPINA,estado nutricional,l talla baja,2012-04-01,0,0,0,0,4,2,4,2,6
SALINAS DE GARCI MENDOZA,estado nutricional,l talla baja,2012-04-01,7,7,21,15,24,22,52,44,96
SAMAIPATA,estado nutricional,l talla baja,2012-04-01,3,0,1,0,2,2,6,2,8
SAN AGUSTIN,estado nutricional,l talla baja,2012-04-01,1,1,0,1,0,0,1,2,3
SAN ANDRES,estado nutricional,l talla baja,2012-04-01,2,2,3,2,2,6,7,10,17
SAN ANDRES DE MACHACA,estado nutricional,l talla baja,2012-04-01,1,3,5,0,5,3,11,6,17
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla baja,2012-04-01,1,0,1,4,1,1,3,5,8
SAN ANTONIO DE LOMERIO,estado nutricional,l talla baja,2012-04-01,4,3,4,6,10,7,18,16,34
SAN BENITO,estado nutricional,l talla baja,2012-04-01,12,6,17,4,6,3,35,13,48
SAN BORJA,estado nutricional,l talla baja,2012-04-01,22,11,50,25,50,44,122,80,202
SAN BUENA VENTURA,estado nutricional,l talla baja,2012-04-01,2,6,10,5,9,9,21,20,41
SAN CARLOS,estado nutricional,l talla baja,2012-04-01,7,7,2,2,5,6,14,15,29
SAN IGNACIO,estado nutricional,l talla baja,2012-04-01,14,8,36,16,37,29,87,53,140
SAN IGNACIO DE VELASCO,estado nutricional,l talla baja,2012-04-01,23,14,33,21,38,39,94,74,168
SAN JAVIER(BNI),estado nutricional,l talla baja,2012-04-01,0,0,1,0,0,2,1,2,3
SAN JAVIER(STC),estado nutricional,l talla baja,2012-04-01,0,0,1,0,0,0,1,0,1
SAN JOAQUIN,estado nutricional,l talla baja,2012-04-01,0,0,0,0,0,1,0,1,1
SAN JOSE DE CHIQUITOS,estado nutricional,l talla baja,2012-04-01,4,0,2,2,0,1,6,3,9
SAN JUAN DE YAPACANI,estado nutricional,l talla baja,2012-04-01,1,0,2,1,1,0,4,1,5
SAN JULIAN,estado nutricional,l talla baja,2012-04-01,5,2,9,2,13,12,27,16,43
SAN LORENZO(PND),estado nutricional,l talla baja,2012-04-01,2,0,3,2,2,4,7,6,13
SAN LORENZO(TJA),estado nutricional,l talla baja,2012-04-01,3,1,9,3,5,6,17,10,27
SAN LUCAS,estado nutricional,l talla baja,2012-04-01,23,19,70,63,145,156,238,238,476
SAN MATIAS,estado nutricional,l talla baja,2012-04-01,3,1,1,0,1,0,5,1,6
SAN MIGUEL DE VELASCO,estado nutricional,l talla baja,2012-04-01,12,4,21,15,14,6,47,25,72
SAN PABLO DE LIPEZ,estado nutricional,l talla baja,2012-04-01,0,0,1,0,0,0,1,0,1
SAN PEDRO,estado nutricional,l talla baja,2012-04-01,2,0,3,1,3,10,8,11,19
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla baja,2012-04-01,36,21,65,38,30,50,131,109,240
SAN PEDRO DE CURAHUARA,estado nutricional,l talla baja,2012-04-01,1,3,0,6,0,3,1,12,13
SAN PEDRO DE QUEMES,estado nutricional,l talla baja,2012-04-01,0,0,0,0,2,1,2,1,3
SAN PEDRO DE TIQUINA,estado nutricional,l talla baja,2012-04-01,0,0,0,0,0,3,0,3,3
SAN PEDRO(PND),estado nutricional,l talla baja,2012-04-01,0,0,0,1,0,0,0,1,1
SAN RAFAEL,estado nutricional,l talla baja,2012-04-01,4,0,4,0,5,1,13,1,14
SAN RAMON BENI,estado nutricional,l talla baja,2012-04-01,0,0,5,2,3,2,8,4,12
SAN RAMON SCZ,estado nutricional,l talla baja,2012-04-01,8,4,4,0,1,2,13,6,19
SANTA ANA,estado nutricional,l talla baja,2012-04-01,0,1,1,1,1,0,2,2,4
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla baja,2012-04-01,62,28,52,41,54,38,168,107,275
SANTA ROSA,estado nutricional,l talla baja,2012-04-01,2,0,0,0,0,0,2,0,2
SANTA ROSA DEL SARA,estado nutricional,l talla baja,2012-04-01,0,1,5,1,6,6,11,8,19
SANTIAGO DE CALLAPA,estado nutricional,l talla baja,2012-04-01,0,3,4,4,2,0,6,7,13
SANTIAGO DE HUARI,estado nutricional,l talla baja,2012-04-01,8,4,23,5,21,18,52,27,79
SANTIAGO DE HUATA,estado nutricional,l talla baja,2012-04-01,1,0,6,2,6,4,13,6,19
SANTIAGO DE MACHACA,estado nutricional,l talla baja,2012-04-01,6,0,10,6,9,7,25,13,38
SANTIVAÑES,estado nutricional,l talla baja,2012-04-01,4,0,11,6,13,14,28,20,48
SANTUARIO DE QUILLACAS,estado nutricional,l talla baja,2012-04-01,3,0,15,9,11,6,29,15,44
SAPAHAQUI,estado nutricional,l talla baja,2012-04-01,9,4,11,6,4,11,24,21,45
SENA,estado nutricional,l talla baja,2012-04-01,2,0,0,0,0,0,2,0,2
SHINAOTA,estado nutricional,l talla baja,2012-04-01,9,11,12,7,7,12,28,30,58
SICA SICA (VILLA AROMA),estado nutricional,l talla baja,2012-04-01,12,9,25,22,17,13,54,44,98
SICAYA,estado nutricional,l talla baja,2012-04-01,4,5,13,7,8,11,25,23,48
SIPE SIPE,estado nutricional,l talla baja,2012-04-01,19,18,42,35,36,30,97,83,180
SOPACHUY,estado nutricional,l talla baja,2012-04-01,4,1,17,11,41,52,62,64,126
SORACACHI,estado nutricional,l talla baja,2012-04-01,17,6,29,17,35,31,81,54,135
SORATA,estado nutricional,l talla baja,2012-04-01,3,1,17,11,21,11,41,23,64
SUCRE,estado nutricional,l talla baja,2012-04-01,73,42,184,110,191,215,448,367,815
TACACHI,estado nutricional,l talla baja,2012-04-01,0,0,1,0,0,0,1,0,1
TACACOMA,estado nutricional,l talla baja,2012-04-01,4,3,4,3,11,4,19,10,29
TACOBAMBA,estado nutricional,l talla baja,2012-04-01,8,5,10,0,14,10,32,15,47
TACOPAYA,estado nutricional,l talla baja,2012-04-01,12,9,39,22,66,68,117,99,216
TAHUA,estado nutricional,l talla baja,2012-04-01,1,0,0,2,2,0,3,2,5
TAPACARI,estado nutricional,l talla baja,2012-04-01,54,44,68,64,86,69,208,177,385
TARABUCO,estado nutricional,l talla baja,2012-04-01,45,10,80,38,154,141,279,189,468
TARACO,estado nutricional,l talla baja,2012-04-01,0,0,6,2,2,3,8,5,13
TARATA,estado nutricional,l talla baja,2012-04-01,4,5,12,7,14,11,30,23,53
TARIJA,estado nutricional,l talla baja,2012-04-01,108,52,47,49,83,81,238,182,420
TARVITA,estado nutricional,l talla baja,2012-04-01,14,8,50,28,122,108,186,144,330
TEOPONTE,estado nutricional,l talla baja,2012-04-01,0,2,3,2,1,1,4,5,9
TIAWANACU,estado nutricional,l talla baja,2012-04-01,13,1,15,5,3,9,31,15,46
TINGUIPAYA,estado nutricional,l talla baja,2012-04-01,31,10,29,29,10,7,70,46,116
TIPUANI,estado nutricional,l talla baja,2012-04-01,1,2,2,4,6,4,9,10,19
TIQUIPAYA,estado nutricional,l talla baja,2012-04-01,9,8,24,40,36,36,69,84,153
TIRAQUE (CBBA),estado nutricional,l talla baja,2012-04-01,9,12,29,13,11,19,49,44,93
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla baja,2012-04-01,0,0,3,1,1,2,4,3,7
TOCO,estado nutricional,l talla baja,2012-04-01,2,1,0,3,1,2,3,6,9
TOLATA,estado nutricional,l talla baja,2012-04-01,0,5,3,5,4,3,7,13,20
TOLEDO,estado nutricional,l talla baja,2012-04-01,1,2,10,6,4,3,15,11,26
TOMAVE,estado nutricional,l talla baja,2012-04-01,9,3,14,13,12,13,35,29,64
TOMINA,estado nutricional,l talla baja,2012-04-01,10,10,16,22,82,61,108,93,201
TORO TORO,estado nutricional,l talla baja,2012-04-01,4,5,18,9,34,30,56,44,100
TOTORA(CBBA),estado nutricional,l talla baja,2012-04-01,9,5,20,15,13,8,42,28,70
TOTORA(ORR),estado nutricional,l talla baja,2012-04-01,2,1,6,1,4,9,12,11,23
TRIGAL,estado nutricional,l talla baja,2012-04-01,1,0,0,1,0,0,1,1,2
TRINIDAD,estado nutricional,l talla baja,2012-04-01,12,4,9,4,7,7,28,15,43
TUPIZA,estado nutricional,l talla baja,2012-04-01,5,2,11,2,19,22,35,26,61
TURCO,estado nutricional,l talla baja,2012-04-01,1,3,5,6,2,6,8,15,23
UMALA,estado nutricional,l talla baja,2012-04-01,1,0,5,9,3,2,9,11,20
UNCIA,estado nutricional,l talla baja,2012-04-01,15,4,24,13,16,6,55,23,78
URIONDO (A. CONCEPCION),estado nutricional,l talla baja,2012-04-01,4,3,1,3,2,2,7,8,15
URUBICHA,estado nutricional,l talla baja,2012-04-01,7,2,7,2,6,19,20,23,43
UYUNI,estado nutricional,l talla baja,2012-04-01,4,5,18,10,5,3,27,18,45
VACAS,estado nutricional,l talla baja,2012-04-01,11,8,21,17,10,14,42,39,81
VALLEGRANDE,estado nutricional,l talla baja,2012-04-01,2,2,2,0,0,0,4,2,6
VIACHA,estado nutricional,l talla baja,2012-04-01,20,13,40,24,20,17,80,54,134
VILA VILA,estado nutricional,l talla baja,2012-04-01,6,8,21,23,28,42,55,73,128
VILLA CHARCAS,estado nutricional,l talla baja,2012-04-01,25,11,36,40,108,96,169,147,316
VILLA MONTES,estado nutricional,l talla baja,2012-04-01,0,6,2,3,6,10,8,19,27
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla baja,2012-04-01,0,0,2,1,3,6,5,7,12
VILLA RIVERO,estado nutricional,l talla baja,2012-04-01,2,1,8,14,11,6,21,21,42
VILLA SERRANO,estado nutricional,l talla baja,2012-04-01,10,3,22,20,60,38,92,61,153
VILLA TUNARI,estado nutricional,l talla baja,2012-04-01,28,20,75,61,75,102,178,183,361
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla baja,2012-04-01,2,3,6,9,6,12,14,24,38
VILLAZON,estado nutricional,l talla baja,2012-04-01,34,12,48,32,17,17,99,61,160
VINTO,estado nutricional,l talla baja,2012-04-01,14,4,13,13,12,8,39,25,64
VITICHI,estado nutricional,l talla baja,2012-04-01,0,1,1,1,0,0,1,2,3
WALDO BALLIVIAN,estado nutricional,l talla baja,2012-04-01,3,3,5,1,0,4,8,8,16
WARNES,estado nutricional,l talla baja,2012-04-01,1,1,2,1,3,4,6,6,12
YACO,estado nutricional,l talla baja,2012-04-01,11,4,11,17,23,22,45,43,88
YACUIBA,estado nutricional,l talla baja,2012-04-01,7,2,10,6,6,18,23,26,49
YAMPARAEZ,estado nutricional,l talla baja,2012-04-01,4,0,20,17,64,71,88,88,176
YANACACHI,estado nutricional,l talla baja,2012-04-01,1,0,0,2,1,1,2,3,5
YAPACANI,estado nutricional,l talla baja,2012-04-01,5,1,15,4,6,3,26,8,34
YOCALLA,estado nutricional,l talla baja,2012-04-01,4,0,11,6,12,7,27,13,40
YOTALA,estado nutricional,l talla baja,2012-04-01,2,2,7,5,31,19,40,26,66
YUNCHARA,estado nutricional,l talla baja,2012-04-01,2,3,9,7,28,22,39,32,71
ZUDAÑEZ,estado nutricional,l talla baja,2012-04-01,5,6,13,8,69,60,87,74,161
ACACIO,estado nutricional,l talla baja,2012-05-01,9,11,19,20,26,28,54,59,113
ACHACACHI,estado nutricional,l talla baja,2012-05-01,16,15,26,21,23,22,65,58,123
ACHOCALLA,estado nutricional,l talla baja,2012-05-01,6,5,14,9,12,8,32,22,54
AIQUILE,estado nutricional,l talla baja,2012-05-01,20,10,36,41,48,45,104,96,200
ALALAY,estado nutricional,l talla baja,2012-05-01,2,2,15,15,12,7,29,24,53
ALCALA,estado nutricional,l talla baja,2012-05-01,0,0,9,4,12,10,21,14,35
ALTO BENI,estado nutricional,l talla baja,2012-05-01,1,2,6,4,5,12,12,18,30
ANCORAIMES,estado nutricional,l talla baja,2012-05-01,6,6,23,20,16,5,45,31,76
ANDAMARCA,estado nutricional,l talla baja,2012-05-01,2,2,11,5,25,22,38,29,67
ANTEQUERA,estado nutricional,l talla baja,2012-05-01,10,1,4,5,2,8,16,14,30
ANZALDO,estado nutricional,l talla baja,2012-05-01,3,3,17,16,11,11,31,30,61
APOLO,estado nutricional,l talla baja,2012-05-01,11,12,44,19,40,44,95,75,170
ARAMPAMPA,estado nutricional,l talla baja,2012-05-01,4,4,6,10,14,7,24,21,45
ARANI,estado nutricional,l talla baja,2012-05-01,0,0,4,7,4,4,8,11,19
ARBIETO,estado nutricional,l talla baja,2012-05-01,3,0,7,17,18,17,28,34,62
ARQUE,estado nutricional,l talla baja,2012-05-01,26,23,58,49,75,82,159,154,313
ASCENCION DE GUARAYOS,estado nutricional,l talla baja,2012-05-01,1,4,6,1,2,5,9,10,19
ATOCHA,estado nutricional,l talla baja,2012-05-01,8,5,10,14,10,16,28,35,63
AUCAPATA,estado nutricional,l talla baja,2012-05-01,2,2,12,3,4,11,18,16,34
AYATA,estado nutricional,l talla baja,2012-05-01,26,3,15,20,28,21,69,44,113
AYO AYO,estado nutricional,l talla baja,2012-05-01,15,9,27,14,5,5,47,28,75
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla baja,2012-05-01,37,17,66,46,81,49,184,112,296
AZURDUY,estado nutricional,l talla baja,2012-05-01,9,5,30,37,67,90,106,132,238
BATALLAS,estado nutricional,l talla baja,2012-05-01,13,9,26,15,9,12,48,36,84
BAURES,estado nutricional,l talla baja,2012-05-01,1,0,3,2,3,4,7,6,13
BELEN DE ANDAMARCA,estado nutricional,l talla baja,2012-05-01,0,0,7,8,2,3,9,11,20
BELEN DE URMIRI,estado nutricional,l talla baja,2012-05-01,7,2,5,4,7,4,19,10,29
BELLA FLOR,estado nutricional,l talla baja,2012-05-01,1,0,2,3,3,3,6,6,12
BERMEJO,estado nutricional,l talla baja,2012-05-01,6,1,8,12,9,15,23,28,51
BETANZOS,estado nutricional,l talla baja,2012-05-01,42,37,90,78,133,111,265,226,491
BOLIVAR,estado nutricional,l talla baja,2012-05-01,26,18,40,35,101,102,167,155,322
BOLPEBRA,estado nutricional,l talla baja,2012-05-01,0,1,2,2,6,2,8,5,13
BOYUIBE,estado nutricional,l talla baja,2012-05-01,0,0,1,1,2,4,3,5,8
BUENA VISTA,estado nutricional,l talla baja,2012-05-01,0,0,2,8,4,2,6,10,16
CABEZAS,estado nutricional,l talla baja,2012-05-01,1,1,2,1,0,0,3,2,5
CAIROMA,estado nutricional,l talla baja,2012-05-01,13,7,19,9,26,23,58,39,97
"CAIZA ""D""",estado nutricional,l talla baja,2012-05-01,9,4,26,19,18,10,53,33,86
CAJUATA,estado nutricional,l talla baja,2012-05-01,1,4,6,7,3,4,10,15,25
CALACOTO,estado nutricional,l talla baja,2012-05-01,2,2,9,7,10,7,21,16,37
CALAMARCA,estado nutricional,l talla baja,2012-05-01,15,6,29,23,29,19,73,48,121
CAMARGO,estado nutricional,l talla baja,2012-05-01,15,10,33,23,64,52,112,85,197
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla baja,2012-05-01,1,0,3,4,13,4,17,8,25
CAMIRI,estado nutricional,l talla baja,2012-05-01,0,1,5,1,7,17,12,19,31
CAPINOTA,estado nutricional,l talla baja,2012-05-01,10,6,17,14,17,18,44,38,82
CAQUIAVIRI,estado nutricional,l talla baja,2012-05-01,6,6,14,10,7,5,27,21,48
CARACOLLO,estado nutricional,l talla baja,2012-05-01,23,9,46,15,37,26,106,50,156
CARANAVI,estado nutricional,l talla baja,2012-05-01,31,22,41,16,50,47,122,85,207
CARANGAS,estado nutricional,l talla baja,2012-05-01,0,0,0,0,0,1,0,1,1
CARAPARI,estado nutricional,l talla baja,2012-05-01,2,2,5,6,7,2,14,10,24
CARIPUYO,estado nutricional,l talla baja,2012-05-01,19,15,47,39,76,71,142,125,267
CARMEN RIVERO TORREZ,estado nutricional,l talla baja,2012-05-01,3,1,3,2,0,0,6,3,9
CATACORA,estado nutricional,l talla baja,2012-05-01,2,1,5,1,13,3,20,5,25
CHACARILLA,estado nutricional,l talla baja,2012-05-01,3,0,2,1,1,2,6,3,9
CHALLAPATA,estado nutricional,l talla baja,2012-05-01,32,23,71,52,72,67,175,142,317
CHAQUI,estado nutricional,l talla baja,2012-05-01,9,8,21,10,8,12,38,30,68
CHARAGUA,estado nutricional,l talla baja,2012-05-01,3,2,14,10,8,7,25,19,44
CHARAÑA,estado nutricional,l talla baja,2012-05-01,3,0,5,2,4,6,12,8,20
CHAYANTA,estado nutricional,l talla baja,2012-05-01,31,15,58,33,37,36,126,84,210
CHIMORE,estado nutricional,l talla baja,2012-05-01,3,3,6,3,7,6,16,12,28
CHIPAYA,estado nutricional,l talla baja,2012-05-01,1,1,7,4,6,4,14,9,23
CHOQUE COTA,estado nutricional,l talla baja,2012-05-01,0,0,4,0,0,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla baja,2012-05-01,4,0,2,2,9,4,15,6,21
CHUMA,estado nutricional,l talla baja,2012-05-01,18,4,27,20,36,16,81,40,121
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla baja,2012-05-01,3,5,14,11,16,20,33,36,69
CKOCHAS,estado nutricional,l talla baja,2012-05-01,32,23,58,40,51,31,141,94,235
CLIZA,estado nutricional,l talla baja,2012-05-01,8,8,9,7,11,12,28,27,55
COBIJA,estado nutricional,l talla baja,2012-05-01,18,12,14,12,13,13,45,37,82
COCAPATA,estado nutricional,l talla baja,2012-05-01,29,20,52,32,56,50,137,102,239
COCHABAMBA,estado nutricional,l talla baja,2012-05-01,79,84,186,161,122,122,387,367,754
COIPASA,estado nutricional,l talla baja,2012-05-01,1,0,0,1,0,0,1,1,2
COLCAPIRHUA,estado nutricional,l talla baja,2012-05-01,13,7,18,23,20,12,51,42,93
"COLCHA ""K""",estado nutricional,l talla baja,2012-05-01,14,1,18,10,10,7,42,18,60
